business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Deep Auto,Auto Electrician and AC Repair,Auto electrical service,"Auto electrical service, Alternator supplier, Auto air conditioning service, Car battery store",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98258 49012,http://www.deep-auto.co.in/,4.5,,"Deep Auto, G/F Shop No.B.14, Arjune Aligance AEC Cross Road, Navneetbhai Patel Marg, opp. Bhagirath Society, near Divyapath School, Ahmedabad, Gujarat 380013",Naranpura,23.0522308,72.5448881,ChIJlyL8E5iEXjkR8D45Teh9Wuc,https://www.google.com/maps/place/?q=place_id:ChIJlyL8E5iEXjkR8D45Teh9Wuc,part_101,2026-09-20 16:40:09,2577
Preysol Autocare,Auto Electrician and AC Repair,Auto repair shop,"Auto repair shop, Auto air conditioning service, Auto body shop, Auto bodywork mechanic, Auto Dent Removal Service Station, Auto electrical service, Auto painting, Auto radiator repair service, Auto restoration service, Car battery store",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 94291 64424,N/A,4.3,,"plot no. 123, gopalnagar Saint xavier school road, Telephone Exchange Rd, op, Memnagar, Ahmedabad, Gujarat 380052","op, Memnagar",23.0475159,72.5456107,ChIJqdatyQGFXjkRyY-OUfkBmmU,https://www.google.com/maps/place/?q=place_id:ChIJqdatyQGFXjkRyY-OUfkBmmU,part_101,2026-09-20 16:40:09,2578
Antila Automotive,Auto Electrician and AC Repair,Auto repair shop,"Auto repair shop, Auto body shop, Auto bodywork mechanic, Auto painting, Car wash, Repair service",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 70432 12096,N/A,4.3,,"beside Reliance petrol pump, nr. C.N vidyalaya, Ambawadi, Ahmedabad, Gujarat 380006",Ambawadi,23.0220207,72.5509247,ChIJIYbCOuSEXjkRNzotaIbfd7k,https://www.google.com/maps/place/?q=place_id:ChIJIYbCOuSEXjkRNzotaIbfd7k,part_101,2026-09-20 16:40:09,2579
AK AUTO ELECTRICIAN ECM REPAIR & AC GAS WORK,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",N/A,N/A,5.0,,"Q8P2+JWF, Armur, Telangana 503223",380008,18.7865678,78.30229609999999,ChIJXUd0LwC_zTsR56JRiov2SHs,https://www.google.com/maps/place/?q=place_id:ChIJXUd0LwC_zTsR56JRiov2SHs,part_101,2026-09-20 16:40:09,2580
Car electrical and ac work,Auto Electrician and AC Repair,Mechanic,Mechanic,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 93814 04308,N/A,5.0,,"Madhapur hi-tech City vittal rao Nagar Sarva number 11, Hitech City Rd, Madhapur, Hyderabad, Telangana 500081","Vittal Rao Nagar, Madhapur",17.440120099999998,78.38460309999999,ChIJxxuNGhCRyzsR9Ztpj3Q_ew4,https://www.google.com/maps/place/?q=place_id:ChIJxxuNGhCRyzsR9Ztpj3Q_ew4,part_101,2026-09-20 16:40:09,2581
Auto Boost,Auto Electrician and AC Repair,Auto repair shop,Auto repair shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 99787 70651,http://www.autoboost.in/,4.8,,"B/H, Amore Cafe, Plot No: 531/2/1, GSRTC BUS WORKSHOP, Mumatpura Rd, nr. Atmanirbhar cafe, Mumatpura, Ahmedabad, Gujarat 380051",Mumatpura,23.013169899999998,72.4855524,ChIJB9Hx1kKbXjkR40ZOcRMvpDg,https://www.google.com/maps/place/?q=place_id:ChIJB9Hx1kKbXjkR40ZOcRMvpDg,part_101,2026-09-20 16:40:09,2582
Car Ac repair,Auto Electrician and AC Repair,Auto painting,"Auto painting, Car stereo store, Car wash",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 90335 42014,https://www.indiamart.com/diya-refrigerationgasescompresors/,5.0,,"Sahibaugh Sahibaugh, Dudheshwar, Ahmedabad, Gujarat 380004",Dudheshwar,23.0521525,72.5899486,ChIJmznhza2FXjkRsPnXv3kvuX8,https://www.google.com/maps/place/?q=place_id:ChIJmznhza2FXjkRsPnXv3kvuX8,part_101,2026-09-20 16:40:09,2583
Khushi Automobile,Auto Electrician and AC Repair,Car repair and maintenance service,"Car repair and maintenance service, Auto repair shop",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 76982 90875,N/A,4.9,,"Pushparaj Apartment, 8, New Judges Bunglow Rd, near VISHWAS CITY-2, Ghatlodiya, Chanakyapuri, Ahmedabad, Gujarat 380061","Ghatlodiya, Chanakyapuri",23.077990399999997,72.5334239,ChIJL4aRn1yDXjkRPJXEFh1AOqs,https://www.google.com/maps/place/?q=place_id:ChIJL4aRn1yDXjkRPJXEFh1AOqs,part_101,2026-09-20 16:40:09,2584
NextGen Auto Care,Auto Electrician and AC Repair,Vehicle wrapping service,"Vehicle wrapping service, Auto air conditioning service, Auto body shop, Auto painting, Auto repair shop, Auto restoration service, Car stereo store, Car wash, Repair service",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 90165 88843,https://nextgenautocare.co.in/,4.5,,"Ground Floor, Prarthana Complex Opp Sun Avenue One and Chimanbhai Patel Bungalow Shyamal, Manek Baug Rd, Satellite, Ahmedabad, Gujarat 380015","Shreenath Park Soceity, Parasunku Society, Satellite",23.0171067,72.5377104,ChIJM1Ft6H-FXjkR3YMhuo-duCU,https://www.google.com/maps/place/?q=place_id:ChIJM1Ft6H-FXjkR3YMhuo-duCU,part_101,2026-09-20 16:40:09,2585
Pranav Auto Care,Auto Electrician and AC Repair,Two Wheeler Repair Shop,Two Wheeler Repair Shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 95747 77474,N/A,4.2,,"Avadhtirth Apartment, GF-5, Near, Prernatirth Derasar Rd, Chotila, Jodhpur Village, Ahmedabad, Gujarat 380015","Chotila, Jodhpur Village",23.021105,72.5180719,ChIJ5ejuUGubXjkRtAmidkdZAs8,https://www.google.com/maps/place/?q=place_id:ChIJ5ejuUGubXjkRtAmidkdZAs8,part_101,2026-09-20 16:40:09,2586
