business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Skyline The Professionals,Business and Audit Services,Tax preparation service,"Tax preparation service, Accounting firm",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98240 68783,http://www.facebook.com/skylinetheprofessionals,5.0,,"402, Rajvi Complex, Police Station, opp. Maninagar, Krishna Baug, Rambagh, Maninagar, Ahmedabad, Gujarat 380008","Krishna Baug, Rambagh, Maninagar",22.9981448,72.6019743,ChIJFZUUY3KFXjkR_HUHNn7GTQE,https://www.google.com/maps/place/?q=place_id:ChIJFZUUY3KFXjkR_HUHNn7GTQE,part_101,2026-09-20 16:40:27,5908
Yogesh Prajapati & Associates,Business and Audit Services,Accounting firm,Accounting firm,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 81413 82910,N/A,5.0,,"Swagat Complex, Rambaug Rd, Prankunj Society, Jagabhai Park, Maninagar, Ahmedabad, Gujarat 380028","Prankunj Society, Jagabhai Park, Maninagar",23.0007141,72.6001168,ChIJrTsbocOFXjkRlDAjIumkwfA,https://www.google.com/maps/place/?q=place_id:ChIJrTsbocOFXjkRlDAjIumkwfA,part_101,2026-09-20 16:40:27,5909
P. D. Brahmkshatriya & Company,Business and Audit Services,Chartered accountant,Chartered accountant,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 73833 94472,http://www.linkedin.com/in/ca-parth-d-brahmkshatriya,5.0,,"C/14, 3rd Floor, Radhe Mall,, Khokhra Cir, Maninagar East, Ahmedabad, Gujarat 380026","Maninagar East, Khokhra",23.0028442,72.6184409,ChIJCfe3RnSGXjkRdD9L7lRVVsM,https://www.google.com/maps/place/?q=place_id:ChIJCfe3RnSGXjkRdD9L7lRVVsM,part_101,2026-09-20 16:40:27,5910
K M C and Associates,Business and Audit Services,Chartered accountant,Chartered accountant,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79 2289 1555,http://www.kmcassociates.org/,5.0,,"413, Aastha99, Hatkeshwar - CTM Rd, behind Bharvi Tower, C.T.M, Ahmedabad, Gujarat 380026","Chandra Vihar Society, Kailash Colony, C.T.M, Amraiwadi",22.997538199999997,72.6362335,ChIJ8wob216GXjkRtVpQyshQUsQ,https://www.google.com/maps/place/?q=place_id:ChIJ8wob216GXjkRtVpQyshQUsQ,part_101,2026-09-20 16:40:27,5911
HSVJ & Co.,Business and Audit Services,Tax consultant,"Tax consultant, Chartered accountant, Tax preparation, Tax preparation service",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 76007 87735,https://hsvjco.com/,4.9,,"Sun Gravitas, 1214-1215-1216-1220, near Shyamal Cross Road, Rajmani Society, Satellite, Ahmedabad, Gujarat 380015","Rajmani Society, Satellite",23.0108839,72.5307888,ChIJdW9rSduEXjkRO_QExw3yCvQ,https://www.google.com/maps/place/?q=place_id:ChIJdW9rSduEXjkRO_QExw3yCvQ,part_101,2026-09-20 16:40:27,5912
"NNT & Associates, Chartered Accountants",Business and Audit Services,Chartered accountant,Chartered accountant,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79 6690 0200,N/A,4.6,,"Samet Business Park, B P-4, Parishkaar-2 Phase-2, H. Parishkar, Khokhra, Ahmedabad, Gujarat 380026","Parishkaar-2 Phase-2, H. Parishkar, Khokhra",23.0056555,72.6225405,ChIJnXnxYA-HXjkRaoGpWVnEDHA,https://www.google.com/maps/place/?q=place_id:ChIJnXnxYA-HXjkRaoGpWVnEDHA,part_101,2026-09-20 16:40:27,5913
Vidya & Co,Business and Audit Services,Chartered accountant,Chartered accountant,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",N/A,http://www.vidyaca.com/,5.0,,"Radhe Kishan Business Park, A1-506, opp. HP petrol pump, Maheccha Society, Rajeswari Society, Narolgam, Ahmedabad, Gujarat 382443","Maheccha Society, Rajeswari Society, Narolgam",22.974242699999998,72.5933074,ChIJowvHLDCFXjkR13u8HQeSeuM,https://www.google.com/maps/place/?q=place_id:ChIJowvHLDCFXjkR13u8HQeSeuM,part_101,2026-09-20 16:40:27,5914
S K GIANCHANDANI & CO,Business and Audit Services,Certified public accountant,Certified public accountant,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 94299 02438,N/A,5.0,,"THIRD FLOOR, Sumel Business Park-2, D 284, Kankaria Rd, Kankaria, Ahmedabad, Gujarat 380022",Kankaria,23.012224,72.6028117,ChIJc3uSbQyFXjkR2H6VLlIUN5U,https://www.google.com/maps/place/?q=place_id:ChIJc3uSbQyFXjkR2H6VLlIUN5U,part_101,2026-09-20 16:40:27,5915
Nimit B Shah & Co,Business and Audit Services,Chartered accountant,Chartered accountant,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98253 51008,https://nimitshahca.com/,5.0,381.0,"602, Shikhar Complex, Nr Vadilal House, Netaji Marg, Mithakhali Cir, Navrangpura, Ahmedabad, Gujarat 380009","Muslim Society, Navrangpura",23.0335453,72.5668152,ChIJVe7aFhyFXjkRRNGwuTHHsS4,https://www.google.com/maps/place/?q=place_id:ChIJVe7aFhyFXjkRRNGwuTHHsS4,part_101,2026-09-20 16:40:28,5916
Devadiya & Associates Chartered Accountants,Business and Audit Services,Chartered accountant,"Chartered accountant, Accountant, Auditor, Tax consultant",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79 4032 6703,http://www.devadiya.com/,5.0,115.0,"Bh, Itc Narmada, Synthesis The First A301 The First, Vastrapur, Ahmedabad, Gujarat 380015","I I M, Vastrapur",23.030306799999998,72.5302804,ChIJ____P_WEXjkRX37VMOYzhes,https://www.google.com/maps/place/?q=place_id:ChIJ____P_WEXjkRX37VMOYzhes,part_101,2026-09-20 16:40:29,5917
