business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
True Flex Printing,Flex and Banner Printing,Print shop,"Print shop, Commercial printer",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 81404 21278,http://flexprinting.page.tl/,4.3,,"Maninagar Cross Road OPP BRTS STAND, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",22.995349299999997,72.6042944,ChIJq9banH-GXjkRpi1vvdHzZpw,https://www.google.com/maps/place/?q=place_id:ChIJq9banH-GXjkRpi1vvdHzZpw,part_101,2026-09-20 16:40:23,5122
Printt : Banner Printing | Pamphlet Printing | Visiting Card Printing and more,Flex and Banner Printing,Print shop,"Print shop, Graphic designer",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 99780 01161,N/A,4.7,,"4, Near, Maninagar Rd, Maninagar East, Khokhra, Ahmedabad, Gujarat 380008","Maninagar East, Khokhra",22.9947271,72.61405429999999,ChIJuWADdTaFXjkR3AC0gSwe7KU,https://www.google.com/maps/place/?q=place_id:ChIJuWADdTaFXjkR3AC0gSwe7KU,part_101,2026-09-20 16:40:23,5123
Ashok Art - flex banner printing- sign board,Flex and Banner Printing,Print shop,Print shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",N/A,N/A,4.0,,"Shop No.1, Swaminarayan Nagar Hatkeshwar To, CTM Road, nr. Dabaldekar Flyower, C.T.M, Amraiwadi, Ahmedabad, Gujarat 380026","Kailash Nagar, C.T.M, Amraiwadi",22.9949439,72.6298264,ChIJb3pgLRKGXjkRRlwb7HSkJSw,https://www.google.com/maps/place/?q=place_id:ChIJb3pgLRKGXjkRRlwb7HSkJSw,part_101,2026-09-20 16:40:23,5124
Teerath,Flex and Banner Printing,Sign shop,Sign shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98253 53153,N/A,4.1,,"Dwarkesh Building, Nirant Cross Rd, opp. Jalaram Plaza, near Jawaharchowk, Maninagar, Ahmedabad, Gujarat 380008","Daxini Society, Maninagar",22.993836299999998,72.6042171,ChIJR9rUEeeFXjkRUuup4lPFJzc,https://www.google.com/maps/place/?q=place_id:ChIJR9rUEeeFXjkRUuup4lPFJzc,part_101,2026-09-20 16:40:23,5125
Shree Keshar Bhavani Printers,Flex and Banner Printing,Print shop,Print shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 81410 64063,N/A,4.8,,"Bal Bhavan, E, Khokhra Cir, near Vagh Bakri Tea Shop, Maninagar East, Maninagar, Ahmedabad, Gujarat 380008","Maninagar East, Maninagar",23.001957599999997,72.6169987,ChIJyYtlo3WGXjkR2AlyK6ZR8LM,https://www.google.com/maps/place/?q=place_id:ChIJyYtlo3WGXjkR2AlyK6ZR8LM,part_101,2026-09-20 16:40:23,5126
flex banner,Flex and Banner Printing,Banner store,"Banner store, Design agency, Digital printer, Graphic designer, Offset Printer",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 73835 22466,N/A,4.9,,"GPO Road61, Shop No. 43, M floor, Sarvoday Commercial Centre Gate No 1 NEAR GPO Road Salapas Road, GPO Rd, Old City, Gheekanta, Bhadra, Ahmedabad, Gujarat 380001","Old City, Gheekanta, Bhadra",23.027449,72.5832822,ChIJUSgjbWCEXjkRCh1xFgGE5ds,https://www.google.com/maps/place/?q=place_id:ChIJUSgjbWCEXjkRCh1xFgGE5ds,part_101,2026-09-20 16:40:23,5127
KAVYA FLEX BANNER,Flex and Banner Printing,Print shop,Print shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 96011 91452,https://www.flexbannerprinting.com/,5.0,,"SK Complex, C/5, S.K. Complex, Under Karnavati Hotel, Opp. Navdeep Medical India Colony, Bapunagar, Ahmedabad, Gujarat 382350","Thakkarbapanagar, Bapunagar",23.0391352,72.6373083,ChIJT8jKD2CHXjkRznJlveqek-M,https://www.google.com/maps/place/?q=place_id:ChIJT8jKD2CHXjkRznJlveqek-M,part_101,2026-09-20 16:40:23,5128
Akanksha Creation,Flex and Banner Printing,Print shop,"Print shop, Banner store, Digital printer, Digital printing service, Graphic designer, Lamination service, Offset Printer, Screen printing supply store, Transcription service, Typist",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98255 10871,N/A,3.0,,"16, mahalaxmi market, 1, Maninagar Cross Rd, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",22.9978965,72.608006,ChIJ_____8KFXjkR_QTI6hxh6nk,https://www.google.com/maps/place/?q=place_id:ChIJ_____8KFXjkR_QTI6hxh6nk,part_101,2026-09-20 16:40:23,5129
Ronak Digital Sign (Flex Banner),Flex and Banner Printing,Print shop,Print shop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 89999 86644,http://www.ronakgroup.in/,4.9,,"FF-10 to FF-12, Darshan Complex, Bh. Umiya Mata Temple, Bopal Rd, opp. Adarsh Hospital, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.033774599999997,72.46519049999999,ChIJL_w6f0qbXjkR8cVu9FoAMUA,https://www.google.com/maps/place/?q=place_id:ChIJL_w6f0qbXjkR8cVu9FoAMUA,part_101,2026-09-20 16:40:24,5130
Flex Banner,Flex and Banner Printing,Poster store,"Poster store, Sign shop",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 91068 86296,N/A,4.8,,"A 2 Mangal Trith Tower, Dharnidhar Society, Sharda Nagar, Paldi, Ahmedabad, Gujarat 380007","Dharnidhar Society, Sharda Nagar, Paldi",23.010072299999997,72.5476024,ChIJaTTu5R6FXjkR1ehgPasxJYE,https://www.google.com/maps/place/?q=place_id:ChIJaTTu5R6FXjkR1ehgPasxJYE,part_101,2026-09-20 16:40:24,5131
