business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Precision Technoplast Pvt Ltd,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79 2276 0556,http://www.precisiontechnoplast.com/,4.9,11.0,"23 ambika oil mill compound, near amrapali cinema, behind jain derasar, Gomtipur, Ahmedabad, Gujarat 380021","Rajpur Hirpur, Gomtipur",23.0159172,72.615392,ChIJJxCHPNWFXjkR1x3r6lHkzhE,https://www.google.com/maps/place/?q=place_id:ChIJJxCHPNWFXjkR1x3r6lHkzhE,part_101,2026-09-20 16:40:28,6094
Patel Plastic Machinery Manufacturers,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Supplier, Exporter, Hydraulic equipment supplier, Machining manufacturer, Manufacturer, Molding supplier, Plastic fabrication company",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98250 39220,http://www.pplastmach.com/,4.8,16.0,"39,Panchratna Industrial Estate ,Survey No-281/11, Under Ramol Bridge,, Phase IV, Phase 4, GIDC Vatva, Ahmedabad, Gujarat 382445","Phase IV, Vatva GIDC",22.9691346,72.6560744,ChIJz6qqqqqqWTkRKFzZKR3cyHo,https://www.google.com/maps/place/?q=place_id:ChIJz6qqqqqqWTkRKFzZKR3cyHo,part_101,2026-09-20 16:40:28,6095
Maanila Plastic Industries,Plastic Molding Manufacturer,Machining manufacturer,Machining manufacturer,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 94260 71673,http://www.maanilaplasticindustries.com/,4.7,7.0,"Nr. Ramapir mandir,, Nr Rajendra Park Cross Road,, Soni Ni Chawl, Rakhial, Ahmedabad, Gujarat 380023",Shastri Nagar,23.0132694,72.63741639999999,ChIJR8hPzTG25zsRCQqfciz6MIo,https://www.google.com/maps/place/?q=place_id:ChIJR8hPzTG25zsRCQqfciz6MIo,part_101,2026-09-20 16:40:28,6096
Pragati Plast-Plastic Mould-Moulding Die-Die Injections Mould-Tea Filter Mould Manufacturers India,Plastic Molding Manufacturer,Molding supplier,Molding supplier,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 74050 53830,http://pragatiplastmoulds.com/,5.0,8.0,"25, Sita Ram Industrial Hub, B/h Astha Complex Opp. Marutinandan, Odhav Rd, Odhav, Ahmedabad, Gujarat 382415","G I D C Industrial Area, Odhav",23.023442499999998,72.656926,ChIJPz7MPJCGXjkRhT88M6It_z0,https://www.google.com/maps/place/?q=place_id:ChIJPz7MPJCGXjkRhT88M6It_z0,part_101,2026-09-20 16:40:28,6097
Laxmi Micro Industries,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 78743 18373,https://www.laxmimicroindustries.com/,4.7,3.0,"25 Gajanand Industrial Estate, Nagarvel Hanuman Rd, nr. Gujarat Bottling, Rakhial, Ahmedabad, Gujarat 380023","Soni ni chali, Industrial Area, Rakhial",23.0129277,72.6319498,ChIJo0jf5KqHXjkRuT5EPR5TtNQ,https://www.google.com/maps/place/?q=place_id:ChIJo0jf5KqHXjkRuT5EPR5TtNQ,part_101,2026-09-20 16:40:28,6098
Shivam Engitech,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Manufacturer",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 90337 33332,https://shivamengitech.com/,4.9,86.0,"Gopal Charan industrial Hub, Ahmedabad, Bakrol Bujrang, Gujarat 382430",380008,22.9935039,72.7383981,ChIJ4f9ysWGGXjkRXxv2UbBy7F8,https://www.google.com/maps/place/?q=place_id:ChIJ4f9ysWGGXjkRXxv2UbBy7F8,part_101,2026-09-20 16:40:28,6099
Dolphin Plast India PVT LTD,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,Plastic Injection Molding Workshop,380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98980 43125,http://www.dolphinplastindia.com/,5.0,25.0,"SWARNIM INDUSTRIAL PARK, Plot No B - 209, Bakrol Bujrang, Ahmedabad, Gujarat 382430",380008,22.9737577,72.7414275,ChIJzc1ijdx9XjkRWp-By5eHt9w,https://www.google.com/maps/place/?q=place_id:ChIJzc1ijdx9XjkRWp-By5eHt9w,part_101,2026-09-20 16:40:28,6100
Adeshwar Moulds,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Mold maker",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 98250 63393,https://adeshwarmoulds.com/,4.9,8.0,"Adeshwar Moulds Pvt. Ltd, Plot no 1801, NR Jashodanagar Cross Rd, nr. Rudraksh Way Bridge, Phase 3, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase 3, Vatva GIDC",22.981384199999997,72.6294492,ChIJKxHvhY2HXjkRsCnaw8F9ODY,https://www.google.com/maps/place/?q=place_id:ChIJKxHvhY2HXjkRsCnaw8F9ODY,part_101,2026-09-20 16:40:28,6101
Infini Mould Tech LLP,Plastic Molding Manufacturer,Toolroom,"Toolroom, Mold maker, Tool & die shop",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 79 4918 5664,https://www.infinimouldtech.com/,5.0,3.0,"Plot No. 1417, nr. Trikampura Patiya, Phase 3, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase 3, Vatva GIDC",22.978026,72.630478,ChIJY66yf5SHXjkRuD6XAA0DBkU,https://www.google.com/maps/place/?q=place_id:ChIJY66yf5SHXjkRuD6XAA0DBkU,part_101,2026-09-20 16:40:28,6102
BHOOMI MOULD INDUSTRIES,Plastic Molding Manufacturer,Plastic Injection Molding Workshop,"Plastic Injection Molding Workshop, Mold maker",380008,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Daxini Society SO, Jawahar Chowk SO, Khokhara Mehmadabad SO",+91 97142 89314,https://bhoomimould.com/,5.0,6.0,"SHED NO.189, RASHMI GROWTH HUB-2, Zalod - Ahmedabad Hwy, opp. VISHALA-111, Odhav Industrial Estate, Odhav, Ahmedabad, Gujarat 382415","Odhav Industrial Estate, Odhav",23.0167499,72.67672,ChIJ5TuCMZeHXjkR4kAgYMY3PjY,https://www.google.com/maps/place/?q=place_id:ChIJ5TuCMZeHXjkR4kAgYMY3PjY,part_101,2026-09-20 16:40:28,6103
