business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
GoMechanic - Ahmedabad HQ,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Audi dealer, BMW dealer, Car wash, Honda dealer, Hyundai dealer, Mechanic, Mercedes-Benz dealer, Skoda dealer, Toyota dealer",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 83989 70970,https://srd1.onelink.me/7EYj/GMB,4.7,838.0,"Shree Krishna Centre, B3, Bsquare Managed Office, 7th Floor, Mithakhali Cir, near Crossword, Ahmedabad, Gujarat 380009","Mithakhali, Navrangpura",23.0332555,72.5652363,ChIJjWri0oSFXjkRN-M4LBpbplM,https://www.google.com/maps/place/?q=place_id:ChIJjWri0oSFXjkRN-M4LBpbplM,part_101,2026-09-20 16:40:47
Munna Luhar Automobile,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 95123 97420,N/A,5.0,7.0,"Ground Floor Shop-4, Hash Complex, Police Line, near, Rasala Marg, near Nagri Hospital, nr. Atithi The Hotel, I P Mission Compound, Ellisbridge, Ahmedabad, Gujarat 380006","I P Mission Compound, Ellisbridge",23.025893399999998,72.5650003,ChIJU7nfVLSFXjkRND4PoBF_0XM,https://www.google.com/maps/place/?q=place_id:ChIJU7nfVLSFXjkRND4PoBF_0XM,part_101,2026-09-20 16:40:47
Vishwash Auto Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,N/A,5.0,2.0,"2HH3+HQV, Vasundhra Colony, Gulbai Tekra, Ahmedabad, Gujarat 380006","Vasundhra Colony, Gulbai Tekra",23.0289954,72.5544077,ChIJw4vijtiFXjkRuFvfQrI4io4,https://www.google.com/maps/place/?q=place_id:ChIJw4vijtiFXjkRuFvfQrI4io4,part_101,2026-09-20 16:40:47
Gujarat Auto,Car Repair Workshop and Garage,Auto repair shop,"Auto repair shop, Auto electrical service, Garage, Brake shop, Mechanic, Oil change service",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98251 08549,https://gujaratauto.online/,4.9,39.0,"Shop No GF-28, Swastik Super Market, Ashram Rd, opp. Kandoi Sweet Nr Sales India, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009","Shreyas Colony, Navrangpura",23.0369089,72.56953159999999,ChIJewQyIvqFXjkRjOrrC8Q4PR0,https://www.google.com/maps/place/?q=place_id:ChIJewQyIvqFXjkRjOrrC8Q4PR0,part_101,2026-09-20 16:40:47
Bosch Car Service - Shreeji Automobiles,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97240 75954,https://shreejiautomobiles.co.in/,4.7,268.0,"67, To Manekbag Satellite, Road, Shreenath Park Soceity, Shyamal, Ahmedabad, Gujarat 380015","Shreenath Park Soceity, Parasunku Society, Shyamal",23.017150899999997,72.5373302,ChIJq6oavi2bXjkRrKOcrJcG4kw,https://www.google.com/maps/place/?q=place_id:ChIJq6oavi2bXjkRrKOcrJcG4kw,part_101,2026-09-20 16:40:47
Bharat Auto Garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 91730 09701,N/A,,,"Panchavati Rd, opp. Central Mall, Panchavati Society, Ambawadi, Ahmedabad, Gujarat 380006","Panchavati Society, Ambawadi",23.021749999999997,72.5547411,ChIJNTbRn_-FXjkRVuMFOgtZqos,https://www.google.com/maps/place/?q=place_id:ChIJNTbRn_-FXjkRVuMFOgtZqos,part_101,2026-09-20 16:40:47
"New Sham Automobile - Car Repair, Car Service and Denting Painting.",Car Repair Workshop and Garage,Car repair and maintenance service,Car repair and maintenance service,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97258 38420,N/A,4.7,9.0,"New Sham Automobiles Near Nagri Hospital Pirkamal Masjid/Kbrastan, Netaji Rd, Ahmedabad, Gujarat 380006","Krishnakunj Society, Maharashtra Society, Ellisbridge",23.026603299999998,72.5659739,ChIJGWHUl9eEXjkRqt_lvs0qJK4,https://www.google.com/maps/place/?q=place_id:ChIJGWHUl9eEXjkRqt_lvs0qJK4,part_101,2026-09-20 16:40:47
Ganesh Auto Center,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99783 71345,N/A,4.7,3.0,"2HR2+MJM, near Vijay Cross Road, Motikunj Society, Sarvottam Nagar Society, Navrangpura, Ahmedabad, Gujarat 380009","Motikunj Society, Sarvottam Nagar Society, Navrangpura",23.0417053,72.5515484,ChIJdxjz6pOEXjkRY2WfP7jLlt8,https://www.google.com/maps/place/?q=place_id:ChIJdxjz6pOEXjkRY2WfP7jLlt8,part_101,2026-09-20 16:40:47
Naran Auto Center,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 84010 67705,N/A,4.6,5.0,"2, Circle, Tagore Park, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015","Tagore Park, Nehru Nagar, Ambawadi",23.021718,72.5433692,ChIJ4x7EnN2EXjkRjx9Oiny9MOk,https://www.google.com/maps/place/?q=place_id:ChIJ4x7EnN2EXjkRjx9Oiny9MOk,part_101,2026-09-20 16:40:47
Kismat Auto garage,Car Repair Workshop and Garage,Auto repair shop,Auto repair shop,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,N/A,5.0,1.0,"2G7X+W3J, Bhudarpura Rd, Ambawadi, Ahmedabad, Gujarat 380015",Ambawadi,23.0148443,72.5476274,ChIJEzHwIwCFXjkRPx35fRrgeJU,https://www.google.com/maps/place/?q=place_id:ChIJEzHwIwCFXjkRPx35fRrgeJU,part_101,2026-09-20 16:40:47
