business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Pruthvi Group,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98251 91934,https://pruthvicatering.in/,4.7,,"Gopal Palace, B- 508, Road, near Shiromani Complex, Shivranjani, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015","Shivranjani, Nehru Nagar, Ambawadi",23.023080099999998,72.5377165,ChIJIabWyzKFXjkRBvMj8zSgCwk,https://www.google.com/maps/place/?q=place_id:ChIJIabWyzKFXjkRBvMj8zSgCwk,part_101,2026-09-20 16:40:57
Alfresco Concept Caterings,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98246 20888,http://www.alfrescocaterings.com/,4.9,,"26, Sardar Patel Stadium Rd, nr. Golden Triangle Complex, Navrangpura, Ahmedabad, Gujarat 380009",Navrangpura,23.044487,72.562327,ChIJ0ZPvt8KFXjkRDP9D7b-GdBE,https://www.google.com/maps/place/?q=place_id:ChIJ0ZPvt8KFXjkRDP9D7b-GdBE,part_101,2026-09-20 16:40:57
SHREE JAGDISH CATERERS ®,Caterer and Event Planner,Caterer,"Caterer, Event planner",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 96626 98475,http://profile.tap1ce.com/shreejagdishcaterers,4.8,,"Laxmi Krupa App, 111-11423, Sola Rd, Paras Nagar, Naranpura, Ahmedabad, Gujarat 380063","Paras Nagar, Naranpura",23.0561926,72.5461874,ChIJxxgBM_WDXjkRMf1Re8u9Idk,https://www.google.com/maps/place/?q=place_id:ChIJxxgBM_WDXjkRMf1Re8u9Idk,part_101,2026-09-20 16:40:57
NAVKAR DECORATORS &CATERERS,Caterer and Event Planner,Event planner,Event planner,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 93285 05196,N/A,2.5,,"12 Shukhsagar Complex,Near Petrol Pump, Ashram Road, Usmanpura, Ahmedabad, Gujarat 380009",Usmanpura,23.048289399999998,72.5710331,ChIJEyIIAWOEXjkRC3QsKI-DD98,https://www.google.com/maps/place/?q=place_id:ChIJEyIIAWOEXjkRC3QsKI-DD98,part_101,2026-09-20 16:40:57
RD Wedding & Events,Caterer and Event Planner,Event management company,"Event management company, Caterer, Service establishment, Event planner, Restaurant supply store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98980 18106,https://rdweddingandevents.in/p/contactus,5.0,,"RD Wedding & Events, 380009, India",380009,24.2500675,72.4472984,ChIJ3d1_AACFXjkRpi9kjjzLEl0,https://www.google.com/maps/place/?q=place_id:ChIJ3d1_AACFXjkRpi9kjjzLEl0,part_101,2026-09-20 16:40:57
Krishna Caterers,Caterer and Event Planner,Caterer,"Caterer, Event management company",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 94261 71899,https://linktr.ee/KrishnaCaterers,5.0,,"3-A, Ground Floor, Klassic Avenue, Ashram Rd, opposite Sales India, near Toran Dinning, Shreyas Colony, Navrangpura, Ahmedabad, Gujarat 380009","Shreyas Colony, Navrangpura",23.038139599999997,72.5684031,ChIJC3WAjV-EXjkRALRBDMsazyU,https://www.google.com/maps/place/?q=place_id:ChIJC3WAjV-EXjkRALRBDMsazyU,part_101,2026-09-20 16:40:57
Devrana Caterers And Event Planners,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier, Event planner, Restaurant supply store, Tent House Supplier",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97169 58460,N/A,4.9,,"Khasra No 62, Office in, Phase 1, Chattarpur Enclave, Chhatarpur, New Delhi, Delhi 110068","Phase 1, Chattarpur Enclave, Chhatarpur",28.4991848,77.1926293,ChIJSc4spocfDTkRUJ7egqhsc0I,https://www.google.com/maps/place/?q=place_id:ChIJSc4spocfDTkRUJ7egqhsc0I,part_101,2026-09-20 16:40:57
M/s Bhagwati decorators & Caterers,Caterer and Event Planner,Event planner,"Event planner, Event management company, Food manufacturer",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,http://www.bhagwaticaterers.in/,,,"High School, 14/4, F.F., Vir vijay Society, Nr.; Sanghvi, Vijaynagar Rd, Naranpura, Ahmedabad, Gujarat 380013","Vivek Nagar, Vijaynagar, Naranpura",23.059573999999998,72.558691,ChIJK7NPA4SEXjkR8vCio9KtJLA,https://www.google.com/maps/place/?q=place_id:ChIJK7NPA4SEXjkR8vCio9KtJLA,part_101,2026-09-20 16:40:57
Shreeji Decorators,Caterer and Event Planner,Event planner,"Event planner, Wedding planner, Wedding service",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 94266 73337,N/A,4.9,,"11, Azad Society, Late Shri Ramanbhai Patel Marg, Acharya Narendradev Nagar, Ambawadi, Ahmedabad, Gujarat 380015","Acharya Narendradev Nagar, Ambawadi",23.0266204,72.5389716,ChIJ7bomcMOEXjkR0pXVcxE1cf0,https://www.google.com/maps/place/?q=place_id:ChIJ7bomcMOEXjkR0pXVcxE1cf0,part_101,2026-09-20 16:40:57
Mahavir decoretrs & caters in ahmedabad,Caterer and Event Planner,Wedding planner,Wedding planner,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 70164 62123,N/A,1.0,,"zavripark, Shalibhadra Tower, Shop.no.61.tulsinagar soc.near zaveripark Near, Old Wadaj, Ahmedabad, Gujarat 380013",Old Wadaj,23.0528753,72.571918,ChIJs3ihDkaFXjkRzAZFMY5lfUA,https://www.google.com/maps/place/?q=place_id:ChIJs3ihDkaFXjkRzAZFMY5lfUA,part_101,2026-09-20 16:40:57
Shubham Caterers,Caterer and Event Planner,Caterer,"Caterer, Catering food and drink supplier",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99098 72299,http://shubhamcaterers.info/,4.7,,"PATEL VAS, nr. TRUPTI BAKERY, behind Karnavati Club Road, Mumatpura, Ahmedabad, Gujarat 380058",Mumatpura,23.015085499999998,72.4909795,ChIJh_0yV8mbXjkR0M5q6-8uVQg,https://www.google.com/maps/place/?q=place_id:ChIJh_0yV8mbXjkR0M5q6-8uVQg,part_101,2026-09-20 16:40:58
Gordhan Catering Services,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98250 38888,N/A,4.4,,"2nd Floor, RUDRA SQUARE APARTMENT, Judges Bungalow Cross Rd, Bodakdev, Ahmedabad, Gujarat 380015",Bodakdev,23.0366088,72.5160772,ChIJKWaEllebXjkRTYPEMPepEXc,https://www.google.com/maps/place/?q=place_id:ChIJKWaEllebXjkRTYPEMPepEXc,part_101,2026-09-20 16:40:58
Luxe Event Planners,Caterer and Event Planner,Caterer,"Caterer, Event management company, Event planner, Florist, Restaurant supply store, Tent House Supplier, Wedding buffet, Wedding planner, Wedding service, Wedding venue",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 95601 35069,https://theluxevents.com/,4.9,,"Tower 10B, 10th Floor, Dlf Cyber Hub, DLF Cyber City, DLF Phase 2, Sector 24, Gurugram, Haryana 122002","DLF Cyber City, DLF Phase 2, Sector 24",28.4952491,77.08827819999999,ChIJC4YdVgfEG6cRKWmHIxGvl8M,https://www.google.com/maps/place/?q=place_id:ChIJC4YdVgfEG6cRKWmHIxGvl8M,part_101,2026-09-20 16:40:58
R Govind Caterers,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 79 2970 2701,http://rgovindcaterers.com/,4.4,,"313, Vraj Valencia, B/H AARYA GRAND HOTELS & RESORTS Hotel, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380060",Sola,23.0745065,72.5206374,ChIJm_aZq9eEXjkRkDCjSeRNtiY,https://www.google.com/maps/place/?q=place_id:ChIJm_aZq9eEXjkRkDCjSeRNtiY,part_101,2026-09-20 16:40:58
Kamal Caterers,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99245 99868,N/A,4.5,,"11, Jawahar Shopping centre Kabir Chowk, opp. Kabir Chowk Post Office, Sabarmati, Ahmedabad, Gujarat 380005","Jain Nagar, Ramdev Nagar, Ram Nagar, Sabarmati",23.089507599999997,72.5853849,ChIJdX1WR5ODXjkROqgRRW-9a-U,https://www.google.com/maps/place/?q=place_id:ChIJdX1WR5ODXjkROqgRRW-9a-U,part_101,2026-09-20 16:40:58
UVI - Luxury Catering & Decor,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 87582 47247,N/A,5.0,,"Srushti Flats, Gotri Rd, Gotri, Vadodara, Gujarat 390021",Gotri,22.3144869,73.1449234,ChIJc-ep1MvJXzkR_9AZrPKrRkc,https://www.google.com/maps/place/?q=place_id:ChIJc-ep1MvJXzkR_9AZrPKrRkc,part_101,2026-09-20 16:40:58
Just Catering Software,Caterer and Event Planner,Software company,Software company,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 88668 89580,https://just-catering-software.grexa.site/,4.9,,"subh house, 104, Swastik Cross Rd, opp. cloud9 sleep well, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009","Swastik Society, Navrangpura",23.038345099999997,72.560091,ChIJD1slcPGEXjkRJw7Kv9L95wA,https://www.google.com/maps/place/?q=place_id:ChIJD1slcPGEXjkRJw7Kv9L95wA,part_101,2026-09-20 16:40:58
The Narayan Caterers,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98254 94442,N/A,4.7,,"Thakor Vas, 1622, Navarangpura Gam, Navrangpura, Ahmedabad, Gujarat 380009","Navarangpura Gam, Navrangpura",23.0354389,72.5656084,ChIJ-caZqPWEXjkRztezRhAGsco,https://www.google.com/maps/place/?q=place_id:ChIJ-caZqPWEXjkRztezRhAGsco,part_101,2026-09-20 16:40:58
Mahavir Catring services,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98986 29193,http://mahavircatering.blogspot.com/,4.8,,"Abhishek Apartment, A 1, near kameshwar mahadev road, Jivansmruti Society, Naranpura, Ahmedabad, Gujarat 380013","Jivansmruti Society, Naranpura",23.0568781,72.5570722,ChIJ7Xoae1WFXjkRYKilvyISBRE,https://www.google.com/maps/place/?q=place_id:ChIJ7Xoae1WFXjkRYKilvyISBRE,part_101,2026-09-20 16:40:58
Visamo Caterers & Events,Caterer and Event Planner,Caterer,"Caterer, Entertainment agency, Wedding service",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97240 06615,N/A,4.4,,"404, 4th Floor, Bus Stop, near Devendra, Naranpura Gam, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013","Naranpura Gam, Sundar Nagar, Naranpura",23.052469199999997,72.5533016,ChIJZZuIBpuEXjkRv-ngar8iUcQ,https://www.google.com/maps/place/?q=place_id:ChIJZZuIBpuEXjkRv-ngar8iUcQ,part_101,2026-09-20 16:40:58
Nakalang Catering,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97273 08169,https://nakalangcatering.com/,5.0,,"S.F.-9, Orchid the Shopping Mall B/S, Govardhan Party Plot, Lake, opp. Thaltej, Thaltej, Ahmedabad, Gujarat 380059",Thaltej,23.049933499999998,72.50813769999999,ChIJDUJIh1abXjkRVYzgbtRwSRA,https://www.google.com/maps/place/?q=place_id:ChIJDUJIh1abXjkRVYzgbtRwSRA,part_101,2026-09-20 16:40:58
Bhavani Caterers,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 79 6542 4444,N/A,5.0,,"3rd Floor, Patel Avenue, Sarkhej - Gandhinagar Hwy, nr. Guru Dwara, Thaltej, Ahmedabad, Gujarat 380059",Thaltej,23.044750699999998,72.51435289999999,ChIJq6qq6kybXjkRx8ulQ57Hd-0,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6kybXjkRx8ulQ57Hd-0,part_101,2026-09-20 16:40:58
Shree Raj Caterers,Caterer and Event Planner,Caterer,"Caterer, Food manufacturer, Food producer, Mobile caterer, Restaurant supply store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99131 35878,https://www.shreerajcatering.in/,5.0,,"Toll Tax, Shantam Party Plot, Shed No.7, Mahakali Estate, Sardar Patel Ring Rd, near Ognaj, nr. Anmol Party Plot, Ahmedabad, Gujarat 380060",380009,23.1263625,72.5143099,ChIJNY9XM1OdXjkRq0DBa-T0ONo,https://www.google.com/maps/place/?q=place_id:ChIJNY9XM1OdXjkRq0DBa-T0ONo,part_101,2026-09-20 16:40:58
House of Catering,Caterer and Event Planner,Caterer,Caterer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99797 70709,N/A,4.4,,"Ognaj Toll Plaza, House of Catering, behind Greenwoods Resort, off Sardar Patel Ring Road, Ahmedabad, Gujarat 380060",380009,23.1325309,72.5177269,ChIJJTpbOrudXjkRUzlGajWwacw,https://www.google.com/maps/place/?q=place_id:ChIJJTpbOrudXjkRUzlGajWwacw,part_101,2026-09-20 16:40:58
Moments Event and Entertainment,Caterer and Event Planner,Event planner,"Event planner, Event management company, Exhibition planner",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98988 02500,N/A,4.0,,"Cross Road, Mondeal Square, B-411, Sarkhej - Gandhinagar Hwy, near Prahlad Nagar, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.012229899999998,72.5033322,ChIJyZkyjPqbXjkRtvhPQTIp3WQ,https://www.google.com/maps/place/?q=place_id:ChIJyZkyjPqbXjkRtvhPQTIp3WQ,part_101,2026-09-20 16:40:59
