business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ishna Herbs,Herbal and Ayurvedic Cosmetic Products,Beauty product supplier,Beauty product supplier,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 88493 08171,https://ishnaherbs.com/,5.0,22.0,"Chandra Prabhu Complex, T/7, Sardar Patel Stadium Rd, near sradar patel statue Municipal Corporation, Bharat Colony, Sardar Patel Colony, Nayak Nagar, Naranpura, Ahmedabad, Gujarat 380009","Bharat Colony, Sardar Patel Colony, Nayak Nagar, Naranpura",23.0473057,72.5621014,ChIJcxq30oiEXjkRbV7cpv6NYX4,https://www.google.com/maps/place/?q=place_id:ChIJcxq30oiEXjkRbV7cpv6NYX4,part_101,2026-09-20 16:40:55
Immune Herbal India,Herbal and Ayurvedic Cosmetic Products,Health and beauty shop,"Health and beauty shop, Bathroom supply store, Herbal medicine store, Hygiene articles wholesaler, Skin care products vending machine",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98250 28260,N/A,5.0,2.0,"403, Sukhsagar Apartment, Kamal colony, Navrangpura, Ahmedabad, Gujarat 380009","Kamal colony, Navrangpura",23.0411711,72.5587436,ChIJxX3kUu6FXjkREr5q2N47MZ8,https://www.google.com/maps/place/?q=place_id:ChIJxX3kUu6FXjkREr5q2N47MZ8,part_101,2026-09-20 16:40:55
Ayurmetic : Handmade Ayurvedic Body Soap,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 77090 09077,https://www.ayurmetic.com/,4.9,31.0,"Sai Arogyam, Anant Apartment, 881/A, near Mahesh Purandare Classes, Sadashiv Peth, Pune, Maharashtra 411030",Sadashiv Peth,18.512480699999998,73.84789839999999,ChIJCag2vUvBwjsRCTunVQtCsKU,https://www.google.com/maps/place/?q=place_id:ChIJCag2vUvBwjsRCTunVQtCsKU,part_101,2026-09-20 16:40:55
A for Ayurveda Pvt Ltd,Herbal and Ayurvedic Cosmetic Products,Ayurvedic clinic,"Ayurvedic clinic, Manufacturer",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 84889 71234,https://www.aforayurveda.co/,4.6,25.0,"A For Ayurveda, Pushti Heights, 609-610, Gurukul Rd, Nilmani Society, Memnagar, Ahmedabad, Gujarat 380052","Nilmani Society, Memnagar",23.0501419,72.533526,ChIJ_ff9-neFXjkRvzo6dPcsg9s,https://www.google.com/maps/place/?q=place_id:ChIJ_ff9-neFXjkRvzo6dPcsg9s,part_101,2026-09-20 16:40:55
Ayur Herbals (Pvt.) Ltd.,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98109 62646,https://www.ayurherbals.co.in/,5.0,1.0,"168, Phase 1, Udyog Vihar, Indl. Area, Sector 20, Gurugram, Haryana 122016","Phase 1, Udyog Vihar, Indl. Area, Sector 20",28.5105699,77.0813755,ChIJBwAAQPIXDTkRuGTV-zviwSQ,https://www.google.com/maps/place/?q=place_id:ChIJBwAAQPIXDTkRuGTV-zviwSQ,part_101,2026-09-20 16:40:55
Kiuora,Herbal and Ayurvedic Cosmetic Products,Cosmetic Products Manufacturer,Cosmetic Products Manufacturer,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,http://www.kiuora.in/,5.0,39.0,"Glorious House, 4, behind Doctor house, Ellisbridge, Ahmedabad, Gujarat 380006","Shanti Sadan Society, Ellisbridge",23.017538899999998,72.55927009999999,ChIJjfk-briFXjkRy0fy1oK4Ds4,https://www.google.com/maps/place/?q=place_id:ChIJjfk-briFXjkRy0fy1oK4Ds4,part_101,2026-09-20 16:40:55
Sri Sri Tattva The Divine Shop - Arika Enterprises,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,"Herbal medicine store, Convenience store, Organic shop",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99789 14914,http://www.artoflivingshop.com/,4.9,55.0,"Satellite, Ambawadi, Ahmedabad, Gujarat 380015","Satellite, Ambawadi",23.0223884,72.5332463,ChIJQ1wt2TWbXjkRrMw-F0ndZy4,https://www.google.com/maps/place/?q=place_id:ChIJQ1wt2TWbXjkRrMw-F0ndZy4,part_101,2026-09-20 16:40:55
Shantanu Aushdh Bhandar,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",N/A,N/A,4.7,14.0,"7 Anand Complex, Hirabaug Society, opp. Amrut Jyoti School, Tulsibag Society, Ambawadi, Ahmedabad, Gujarat 380006","Tulsibag Society, Ambawadi",23.0187627,72.554827,ChIJD2TRf8KFXjkRHLL3tck_XMU,https://www.google.com/maps/place/?q=place_id:ChIJD2TRf8KFXjkRHLL3tck_XMU,part_101,2026-09-20 16:40:55
Jivan Jyot Ayurveda,Herbal and Ayurvedic Cosmetic Products,Cosmetics store,"Cosmetics store, Ayurvedic clinic, Herbal medicine store, Service establishment",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 96018 85165,https://jivanjyotayurveda.in/,5.0,12.0,"Jivan Jyot Ayurveda, 380009, India",380009,23.020245799999998,72.5794282,ChIJIZKBXye0JEURfNvn8dMa0SM,https://www.google.com/maps/place/?q=place_id:ChIJIZKBXye0JEURfNvn8dMa0SM,part_101,2026-09-20 16:40:55
LVG,Herbal and Ayurvedic Cosmetic Products,Herbal medicine store,Herbal medicine store,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 79 2644 2165,http://www.lvg.co.in/,3.9,153.0,"G-8, Saffron Building, near Bank of Baroda Ambawadi Branch, Ambawadi, Ahmedabad, Gujarat 380006","Panchavati Society, Ambawadi",23.021751,72.554738,ChIJgWc_keSEXjkRSXigKCr8LFU,https://www.google.com/maps/place/?q=place_id:ChIJgWc_keSEXjkRSXigKCr8LFU,part_101,2026-09-20 16:40:55
