business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Nagar Chasmaghar,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Optical Products Manufacturer, Optical Wholesaler, Optometrist",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 96389 59229,http://www.nagareyes.com/,4.8,,"Anand Chambers, Chimanlal Girdharlal Rd, opp. Shilp Building, near Girish Cold drink crossroads, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380009","Vasant Vihar, Navrangpura",23.0330256,72.5600086,ChIJwe5d2_OEXjkRPOdONk6w43E,https://www.google.com/maps/place/?q=place_id:ChIJwe5d2_OEXjkRPOdONk6w43E,part_101,2026-09-20 16:40:43
Dr. + Optician,Optical Store and Eyewear,Optician,Optician,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99981 28121,N/A,5.0,,"Gf #1, Near, Swastik Rd, opp. Mehsana Co. Op. Bank, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009","Swastik Society, Navrangpura",23.036333499999998,72.5622933,ChIJhXba04SFXjkRECAPo8G2oAw,https://www.google.com/maps/place/?q=place_id:ChIJhXba04SFXjkRECAPo8G2oAw,part_101,2026-09-20 16:40:43
Charun Optic,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Ophthalmologist, Optical Wholesaler, Optometrist, Perfume store, Safety equipment supplier, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98983 35547,https://www.charunoptic.com/,5.0,,"7, White House, Panchvati Circle, Chimanlal Girdharlal Rd, Ahmedabad, Gujarat 380006","Panchavati Society, Gulbai Tekra",23.0232903,72.5558648,ChIJVbgZ1eSEXjkR4B7R7u89J20,https://www.google.com/maps/place/?q=place_id:ChIJVbgZ1eSEXjkR4B7R7u89J20,part_101,2026-09-20 16:40:43
Optic Town,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 91043 26063,N/A,4.9,,"Gf-4, Soham-1 Complex, nr. Navrang school circle, nr. Darpan Circle, Navrangpura, University Area, Ahmedabad, Gujarat 380014","Navrangpura, University Area",23.0470451,72.5556272,ChIJ____P_WEXjkRtQj_UlCgtEs,https://www.google.com/maps/place/?q=place_id:ChIJ____P_WEXjkRtQj_UlCgtEs,part_101,2026-09-20 16:40:43
KD OPTICS,Optical Store and Eyewear,Optician,"Optician, Eye care center, Glasses repair service, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 97231 18683,https://store.shoopy.in/kdoptics06,4.9,,"Gf 1, Besides state Bank of India, Shri Krishna Complex, Bhudarpura Rd, Ambawadi Bazar, Ambawadi, Ahmedabad, Gujarat 380006","Ambawadi Bazar, Ambawadi",23.019305799999998,72.5526781,ChIJU2ETtX2FXjkRDN-Yp_9VmVM,https://www.google.com/maps/place/?q=place_id:ChIJU2ETtX2FXjkRDN-Yp_9VmVM,part_101,2026-09-20 16:40:43
R Kumar Opticians,Optical Store and Eyewear,Optician,Optician,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 79 2640 1755,https://www.rkumar.in/pages/cg-road-ahmedabad?utm_source=google&utm_medium=organic&utm_campaign=gbp_cg_road,4.6,,"Pariseema Complex, 15, Chimanlal Girdharlal Rd, next to Jade Blue, Ellisbridge, Ahmedabad, Gujarat 380006",Ellisbridge,23.0286625,72.55834949999999,ChIJCyRBWvCEXjkRn4Hubm08rDQ,https://www.google.com/maps/place/?q=place_id:ChIJCyRBWvCEXjkRn4Hubm08rDQ,part_101,2026-09-20 16:40:43
"Titan Eye+ at Navrangpura, Ahmedabad (Buy 1 Get 1 Free)",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glasses repair service, Optical instrument repair service, Optical Products Manufacturer, Optometrist, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 95379 30303,https://www.titaneyeplus.com/stores/india/gujarat/ahmedabad/titan-eye-c-g-road-2,4.9,,"GROUND FLOOR, TITAN EYE PLUS 6A, Pariseema Complex, below MANYAVAR STORE, Ellisbridge, Ahmedabad, Gujarat 380006",Ellisbridge,23.0290678,72.5584089,ChIJE2COavCEXjkRd3v_VCdjNKE,https://www.google.com/maps/place/?q=place_id:ChIJE2COavCEXjkRd3v_VCdjNKE,part_101,2026-09-20 16:40:43
A 2 Z Optics,Optical Store and Eyewear,Optician,Optician,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98259 85920,N/A,4.8,,"Harishidhha Chamber, Near Oswal Restaurant, 9, Ashram Rd, Usmanpura, Ahmedabad, Gujarat 380009",Usmanpura,23.041150599999998,72.56970369999999,ChIJrU7o4r-FXjkRX9ZcD2luNVs,https://www.google.com/maps/place/?q=place_id:ChIJrU7o4r-FXjkRX9ZcD2luNVs,part_101,2026-09-20 16:40:43
Green Eyes,Optical Store and Eyewear,Optician,Optician,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 84888 82568,N/A,4.9,,"71, opp. Amul Garden, Memnagar, Krishna Nagar Society, Ahmedabad, Gujarat 380052",Memnagar,23.0521326,72.5369102,ChIJsT9FS9ODXjkR49DYG3fJ9qk,https://www.google.com/maps/place/?q=place_id:ChIJsT9FS9ODXjkR49DYG3fJ9qk,part_101,2026-09-20 16:40:43
Nagar Chasmaghar,Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Optical Products Manufacturer, Optical Wholesaler, Optometrist, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 94270 49680,http://www.nagareyes.com/,4.9,,"ocean park Satellite Road, Acharya Narendradev Nagar, Ambawadi, Ahmedabad, Gujarat 380015","Acharya Narendradev Nagar, Ambawadi",23.0230486,72.5379452,ChIJwe0XXzObXjkRTNCM_nSJZlI,https://www.google.com/maps/place/?q=place_id:ChIJwe0XXzObXjkRTNCM_nSJZlI,part_101,2026-09-20 16:40:43
"Parishram Chashma Ghar || Best Optical Shop In Memnagar, Contact Lens Shop In Memnagar, Chashma Ghar In Memnagar",Optical Store and Eyewear,Optician,"Optician, Optical Wholesaler",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98246 75874,N/A,4.9,,"EL-9, Maruti Complex, Subash Chowk, Gurukul Rd, Memnagar, Ahmedabad, Gujarat 380052",Memnagar,23.0520759,72.53402249999999,ChIJFyJK3KWEXjkRwCzQGNksM28,https://www.google.com/maps/place/?q=place_id:ChIJFyJK3KWEXjkRwCzQGNksM28,part_101,2026-09-20 16:40:43
"Lawrence & Mayo, Parimal Garden",Optical Store and Eyewear,Optician,"Optician, Contact lenses supplier, Eye care center, Glasses repair service, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 81049 65184,https://lawrenceandmayo.com/stores/gujarat/ahmedabad/parimal-garden/,4.9,,"Doctor House - Office, Near Parimal Garden, Chimanlal Girdharlal Rd, Ellisbridge, Ahmedabad, Gujarat 380006","Shanti Sadan Society, Ellisbridge",23.019069,72.55785999999999,ChIJcRjrqfyEXjkRoZ8wvdzrnpM,https://www.google.com/maps/place/?q=place_id:ChIJcRjrqfyEXjkRoZ8wvdzrnpM,part_101,2026-09-20 16:40:43
AMARJYOTI OPTICALS,Optical Store and Eyewear,Optical Products Manufacturer,"Optical Products Manufacturer, Optician",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99799 86339,N/A,4.8,,"Aanshi Avenue Opp.Emerald Honda Polytechnic road Gulbai Tekra, Ambawadi, Ahmedabad, Gujarat 380015",Ambawadi,23.023965399999998,72.54977699999999,ChIJ____P9yEXjkRbWyS6g1gWRs,https://www.google.com/maps/place/?q=place_id:ChIJ____P9yEXjkRbWyS6g1gWRs,part_101,2026-09-20 16:40:43
Soneji Optics,Optical Store and Eyewear,Optician,Optician,380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 99092 67225,N/A,4.9,,"G-4,Sundar Gopal Complex,Ambawadi Circle, Panchavati Rd, Ellisbridge, Panchavati Society, Gulbai Tekra, Ahmedabad, Gujarat 380006","Ellisbridge, Panchavati Society, Gulbai Tekra",23.0212099,72.553907,ChIJ____P_iEXjkR3diIo15IJZA,https://www.google.com/maps/place/?q=place_id:ChIJ____P_iEXjkR3diIo15IJZA,part_101,2026-09-20 16:40:43
Laxmi Opticians,Optical Store and Eyewear,Optician,"Optician, Optometrist",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 63517 90919,http://www.laxmiopticians.com/,4.9,,"Shop No.1, Dhanalaxmi Market Opp Nehrunagar BRTS, Satellite Rd, Ahmedabad, Gujarat 380015","Acharya Narendradev Nagar, Ambawadi",23.0227564,72.5413143,ChIJoReg9syEXjkRCLa2AcHyaOw,https://www.google.com/maps/place/?q=place_id:ChIJoReg9syEXjkRCLa2AcHyaOw,part_101,2026-09-20 16:40:43
Shiva Optics,Optical Store and Eyewear,Optician,"Optician, Optical Products Manufacturer, Sunglasses store",380009,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Navrangpura HO, B D Cell Ahmedabad City, Darpan Society SO",+91 98795 76385,https://eraeyewear.shop/,4.7,,"Mansarovar Complex, 5, Char Rasta, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013","Sundar Nagar, Naranpura",23.0522471,72.5598826,ChIJ8_qnyIqEXjkRem0hJkeCTLc,https://www.google.com/maps/place/?q=place_id:ChIJ8_qnyIqEXjkRem0hJkeCTLc,part_101,2026-09-20 16:40:43
