business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
J.k khodadhara fitness centre,Gym and Fitness Center,Fitness center,Fitness center,380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",N/A,N/A,4.8,50.0,"housing soc, nr. Lic qauters, Shastrinagar, Nirnay Nagar, Ahmedabad, Gujarat 380063","Shastrinagar, Nirnay Nagar",23.0663186,72.5517417,ChIJ-2oRzhODXjkRlSsAI2tM5os,https://www.google.com/maps/place/?q=place_id:ChIJ-2oRzhODXjkRlSsAI2tM5os,part_101,2026-09-20 16:41:26
New Body Shape Gym and Fitness Center,Gym and Fitness Center,Gym,Gym,380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 97119 34923,http://newbodyshapegym.com/,4.3,263.0,"4th Floor, Sweni complex, Nava Wadaj Rd, near Akhbar Nagar Circle, Khat Colony, Nava Vadaj, Ahmedabad, Gujarat 380013","Khat Colony, Nava Vadaj",23.0662417,72.5628668,ChIJAQAAwH6DXjkR3bg_DVC4ZBU,https://www.google.com/maps/place/?q=place_id:ChIJAQAAwH6DXjkR3bg_DVC4ZBU,part_101,2026-09-20 16:41:26
The Blue Star Gym,Gym and Fitness Center,Gym,"Gym, Aerobics Class, Fitness center, Yoga studio",380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 95741 24914,N/A,4.3,329.0,"6th floor , Satya Two , Nr. Bharat Petrol pump , Ranna park road, Shastrinagar, Ahmedabad, Gujarat 380063",Shastrinagar,23.0656483,72.54754299999999,ChIJZwzVpuyDXjkRxurn5Otc8i4,https://www.google.com/maps/place/?q=place_id:ChIJZwzVpuyDXjkRxurn5Otc8i4,part_101,2026-09-20 16:41:26
Star11 Health & Fitness,Gym and Fitness Center,Fitness center,Fitness center,380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 72111 69450,N/A,3.4,5.0,"3rd-5th-6th Floor, Tatvam Arcade, Sardar Patel Stadium Rd, near Naranpura Road, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013","Sundar Nagar, Naranpura",23.0514518,72.56165399999999,ChIJZQRKScGFXjkRWxcUZv9Bz2k,https://www.google.com/maps/place/?q=place_id:ChIJZQRKScGFXjkRWxcUZv9Bz2k,part_101,2026-09-20 16:41:26
Healthy Hustle Experience Centre,Gym and Fitness Center,Fitness center,"Fitness center, Gym, Nutritionist, Personal trainer, Physical fitness program, Physiotherapist, Weight loss service, Wellness center",380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 91575 76747,https://www.healthyhustle.in/,4.9,,"309, COLONNADE-2, Rajpath Rangoli Rd, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.0319234,72.5032875,ChIJL4us8IebXjkR0cGzjxgLSu0,https://www.google.com/maps/place/?q=place_id:ChIJL4us8IebXjkR0cGzjxgLSu0,part_101,2026-09-20 16:41:26
I SHREE HEALTH CLUB - GYM ( NEW ),Gym and Fitness Center,Gym,"Gym, Aerobics Class, Body shaping class, Fitness center, Personal trainer, Physical fitness program, Weight loss service, Weightlifting area, Women's personal trainer",380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 97234 67400,http://www.ishreehealthclub.co.in/,4.9,,"Shivam Complex, 203, Bhuyangdev Cross Rd, near Shree Mahakali Mataji Temple, Sarvodaya Nagar, Ghatlodiya, Ahmedabad, Gujarat 380061","Sarvodaya Nagar, Ghatlodiya",23.0599313,72.5364269,ChIJbRpda4aEXjkR7FLWh4pKhjo,https://www.google.com/maps/place/?q=place_id:ChIJbRpda4aEXjkR7FLWh4pKhjo,part_101,2026-09-20 16:41:26
CARV'D,Gym and Fitness Center,Gym,Gym,380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 93272 92782,N/A,4.8,,"105 - 106, Orbit Building Rajpath Rangoli Road, Sarkhej - Gandhinagar Hwy, near PDPU Hall, Ahmedabad, Gujarat 380059","PRL Colony, Thaltej",23.034742899999998,72.5034479,ChIJ-fUZg26bXjkRgPB-5SDJJm0,https://www.google.com/maps/place/?q=place_id:ChIJ-fUZg26bXjkRgPB-5SDJJm0,part_101,2026-09-20 16:41:26
ARVED Fitness Point,Gym and Fitness Center,Gym,Gym,380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",N/A,http://facebook.com/arvedtranscubeplaza,3.9,107.0,"GSRTC 5th floor, Arved Transcube plaza, Bandhu Nagar, Vijay Nagar, Ranip, Ahmedabad, Gujarat 382480","Bandhu Nagar, Vijay Nagar, Ranip",23.068409,72.5761235,ChIJl4cVb-yDXjkRV6-K3LZQinQ,https://www.google.com/maps/place/?q=place_id:ChIJl4cVb-yDXjkRV6-K3LZQinQ,part_101,2026-09-20 16:41:27
Point of Fitness,Gym and Fitness Center,Health consultant,"Health consultant, Fitness center",380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 95742 98930,N/A,4.8,29.0,"Sukan Apartment, Bus Stop, I-04, Nirnay Nagar Rd, near Vimalnath, Umiya Nagar, Nirnay Nagar Sector V, Nirnay Nagar, Ahmedabad, Gujarat 382480","Umiya Nagar, Nirnay Nagar Sector V, Nirnay Nagar",23.079286699999997,72.56350669999999,ChIJ1z6MboiDXjkRHSUQAX3iF0o,https://www.google.com/maps/place/?q=place_id:ChIJ1z6MboiDXjkRHSUQAX3iF0o,part_101,2026-09-20 16:41:27
Fitnessway Treadmill Repair and Service Center Ahmedabad,Gym and Fitness Center,Exercise equipment store,"Exercise equipment store, Repair service, Fitness Equipment Wholesaler, Manufacturer",380013,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Naranpura Vistar SO, Nava Vadaj SO, Shastrinagar SO Ahmedabad",+91 94263 50864,N/A,5.0,,"M rupal park, Ankur Rd, nr Vijay Nagar, Naranpura, Ahmedabad, Gujarat 380013","nr Vijay Nagar, Vijaynagar, Naranpura",23.060857799999997,72.5566137,ChIJgwH16GiDXjkRaopKTqE1D34,https://www.google.com/maps/place/?q=place_id:ChIJgwH16GiDXjkRaopKTqE1D34,part_101,2026-09-20 16:41:28
