business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Smytten Store - Palladium Ahmedabad,Shops,Cosmetics store,Cosmetics store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,N/A,https://smytten.com/,4.6,,"Unit no. FF-11 fourth floor, Phoenix Palladium, Sarkhej - Gandhinagar Hwy, Thaltej, Ahmedabad, Gujarat 380054",Thaltej,23.0579923,72.5212353,ChIJpY9D0MCDXjkRjF685ZouKq4,https://www.google.com/maps/place/?q=place_id:ChIJpY9D0MCDXjkRjF685ZouKq4,part_101,2026-09-20 16:42:29
ONLY - Ahmedabad - Alpha One Mall,Shops,Clothing store,Clothing store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 4746 9250,https://stores.only.in/only-ahmedabad-alpha-one-mall-clothing-accessories-store-vastrapur-ahmedabad-480771/Home?utm_source=locator&utm_medium=googleplaces,4.0,,"Near, ONLY, Unit No. G-19, Ground Floor Ahmedabad One Mall, Plot No. 216, T.P Scheme-01, Lake, Vastrapur, Ahmedabad, Gujarat 380054",Vastrapur,23.0400371,72.53177579999999,ChIJX1tgwsKFXjkRweW1G9nya8E,https://www.google.com/maps/place/?q=place_id:ChIJX1tgwsKFXjkRweW1G9nya8E,part_101,2026-09-20 16:42:29
Shoppers Stop Ltd - Sindhu Bhavan,Shops,Shopping mall,"Shopping mall, Clothing store, Cosmetics store, Department store",380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 6972 7779,https://store.shoppersstop.com/shoppers-stop-ltd-sindhu-bhavan-department-stores-thaltej-ahmedabad-562898/Home?utm_source=locator&utm_medium=googleplaces,4.5,,"Ground Floor, Sindhubhavan Rd, next to Times Square Grand, PRL Colony, Thaltej, Ahmedabad, Gujarat 380059","PRL Colony, Thaltej",23.041037,72.499411,ChIJO5TPFsKbXjkRTnYp5ghbgwY,https://www.google.com/maps/place/?q=place_id:ChIJO5TPFsKbXjkRTnYp5ghbgwY,part_101,2026-09-20 16:42:29
"Amdavad Haat , Milan park Society",Shops,Craft store,Craft store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,N/A,N/A,4.3,,"2GQG+M68, Aurobindo Society Rd, Opp. Lake Road, Vastrapur, Ahmedabad, Gujarat 380054",Vastrapur,23.0391673,72.5255901,ChIJfcJkIbSEXjkR4VzSRx4kuNA,https://www.google.com/maps/place/?q=place_id:ChIJfcJkIbSEXjkR4VzSRx4kuNA,part_101,2026-09-20 16:42:29
Nykaa On Trend,Shops,Cosmetics store,Cosmetics store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 4600 9331,https://stores.nykaa.com/nykaa-on-trend-cosmetics-store-ambawadi-ahmedabad-343622/Home?utm_source=locator&utm_medium=googleplaces,4.8,,"Ground Floor 4, Iconic Shyamal, 132 Feet Ring Rd, next to La Pinoz Pizza, Swinagar Society, Nehru Nagar, Ambawadi, Ahmedabad, Gujarat 380015","Swinagar Society, Nehru Nagar, Ambawadi",23.01559,72.5305134,ChIJ61pzZ_CFXjkRQZBf4KAN1Z0,https://www.google.com/maps/place/?q=place_id:ChIJ61pzZ_CFXjkRQZBf4KAN1Z0,part_101,2026-09-20 16:42:29
Nykaa Luxe,Shops,Cosmetics store,Cosmetics store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 2717 463 902,https://stores.nykaa.com/nykaa-luxe-cosmetics-store-ashok-vatika-ahmedabad-343828/Home?utm_source=locator&utm_medium=googleplaces,4.3,,"Shop No G/09, One42 Retail Plaza, Chhanalal Joshi Marg, next to TDW Furniture Showcase, Ashok Vatika, Ahmedabad, Gujarat 380058",Ashok Vatika,23.030577299999997,72.4926128,ChIJfaZTRjCbXjkR-aq7ZxjdOeU,https://www.google.com/maps/place/?q=place_id:ChIJfaZTRjCbXjkR-aq7ZxjdOeU,part_101,2026-09-20 16:42:29
Nykaa Luxe,Shops,Cosmetics store,Cosmetics store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 6924 3665,https://stores.nykaa.com/nykaa-luxe-cosmetics-store-thaltej-ahmedabad-343837/Home?utm_source=locator&utm_medium=googleplaces,4.6,,"1st Floor, Palladium Mall, F/02, Service Rd, near Smytten Store, Thaltej, Ahmedabad, Gujarat 380054",Thaltej,23.057409699999997,72.5206695,ChIJbSiRZMiDXjkRwJ_NvOIro0Y,https://www.google.com/maps/place/?q=place_id:ChIJbSiRZMiDXjkRwJ_NvOIro0Y,part_101,2026-09-20 16:42:29
ONLY Store - Palladium Ahmedabad,Shops,Clothing store,Clothing store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 6924 3623,https://www.only.in/,2.7,,"F21, First Floor, Palladium, off SG highway, Thaltej, Ahmedabad, Gujarat 380054",Thaltej,23.057511599999998,72.5209174,ChIJf_rY5kiFXjkRJuDBWF2VBMA,https://www.google.com/maps/place/?q=place_id:ChIJf_rY5kiFXjkRJuDBWF2VBMA,part_101,2026-09-20 16:42:29
"Soch at Nexus Ahmedabad One, Ahmedabad",Shops,Women's clothing store,Women's clothing store,380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 4504 5617,https://www.soch.com/in/store-locator/store-detail/Soch-Nexus%20Ahmedabad%20One-Ahmedabad,4.8,,"Alpha One Mall, 216, Town Planning Rd, Scheme 1, Vastrapur, Ahmedabad, Gujarat 380054","Scheme 1, Vastrapur",23.0400359,72.5313494,ChIJI0rnT7eEXjkRbfacCZ0DEHE,https://www.google.com/maps/place/?q=place_id:ChIJI0rnT7eEXjkRbfacCZ0DEHE,part_101,2026-09-20 16:42:29
Nykaa Luxe,Shops,Cosmetics store,"Cosmetics store, Beauty supply store, Perfume store",380014,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Navjivan SO,+91 79 4919 7989,https://stores.nykaa.com/nykaa-luxe-cosmetics-store-vastrapur-ahmedabad-343804/Home?utm_source=locator&utm_medium=googleplaces,4.5,,"Ground Floor, Alpha One Mall, G/35, Vastrapur Lk Rd, near Kama Ayurveda Cosmetics Store, Vastrapur, Ahmedabad, Gujarat 380054",Vastrapur,23.040040599999998,72.5315785,ChIJMaJxVAuFXjkRF9kEdAPSt08,https://www.google.com/maps/place/?q=place_id:ChIJMaJxVAuFXjkRF9kEdAPSt08,part_101,2026-09-20 16:42:29
