business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Notary & Advocate,Document Writer and Stamp Vendor,Law firm,"Law firm, Divorce lawyer, Family law attorney, Intellectual property registry, Lawyer, Legal services, Notary public, Real estate attorney",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 94270 86839,N/A,4.9,475,"Sanjay Park Row House, F-13, opp. Prernatirth Derasar Road, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.021088199999998,72.5194653,ChIJhST82iqbXjkRuspl_5d4cjk,https://www.google.com/maps/place/?q=place_id:ChIJhST82iqbXjkRuspl_5d4cjk,part_101,2026-09-20 16:42:59
Nexus Law Firm,Document Writer and Stamp Vendor,Notary public,"Notary public, Law firm, Legal services, Real estate attorney",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 79905 53157,N/A,4.6,19,"Ekaso Chotish G/F , Aplha Bazzar , Venus Atlantis , Opp. Mac Donald , Besides Shell Petrol Pump , Prahladnagar Satellite, Gujarat 380015",Prahlad Nagar,23.011282599999998,72.51132729999999,ChIJdaokWiibXjkR3ChUwmncjVc,https://www.google.com/maps/place/?q=place_id:ChIJdaokWiibXjkR3ChUwmncjVc,part_101,2026-09-20 16:42:59
Registered Valuer(SFA) - CS RV Avani Patel,Document Writer and Stamp Vendor,Legal services,"Legal services, Intellectual property registry",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 98250 97259,https://registeredvaluer.co/,4.9,121,"EL-6, Manthan Complex, Opp. APM Mall, near Sun-N-Step Club, Ghatlodiya, Ahmedabad, Gujarat 380061","Visharam Nagar, Ghatlodiya, Memnagar",23.062277599999998,72.5312754,ChIJKQdHxMaDXjkRC03nodXRbWw,https://www.google.com/maps/place/?q=place_id:ChIJKQdHxMaDXjkRC03nodXRbWw,part_101,2026-09-20 16:43:00
"E Stamp Center , Advocate And Notary (Dinesh Desai)",Document Writer and Stamp Vendor,Legal services,Legal services,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 99785 17175,N/A,4.0,21,"Ratnasagar Complex, 27, Gulab Tower Rd, Thaltej, Ahmedabad, Gujarat 380060",Thaltej,23.063427299999997,72.52540479999999,ChIJo-uIoSmDXjkRQ4Le2Mbv-jA,https://www.google.com/maps/place/?q=place_id:ChIJo-uIoSmDXjkRQ4Le2Mbv-jA,part_101,2026-09-20 16:43:00
E-Stamping/Stamp Vendor - K R Patadia,Document Writer and Stamp Vendor,Notary public,Notary public,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 78784 49192,N/A,4.8,13,"Mandakini Society, 7, KK Nagar Rd, Manilal Nagar, Ghatlodiya, Ahmedabad, Gujarat 380061","Manilal Nagar, Ghatlodiya",23.0739785,72.5534725,ChIJby7Rg4iFXjkRyCfIfDQJM6Y,https://www.google.com/maps/place/?q=place_id:ChIJby7Rg4iFXjkRyCfIfDQJM6Y,part_101,2026-09-20 16:43:00
E Stamping ( E - Franking ),Document Writer and Stamp Vendor,Notary public,Notary public,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 94297 04698,N/A,2.3,12,"OFFICE NO - 134 C , ALFA BAJAR VINAS ATLANTIS OPP PIZZA HUT BESIDES SHELL PETROL PUMP Prahlad Nagar Road Satellite, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.0117042,72.5112517,ChIJfy1qN8ibXjkR12qSYFk0jlM,https://www.google.com/maps/place/?q=place_id:ChIJfy1qN8ibXjkR12qSYFk0jlM,part_101,2026-09-20 16:43:00
ZALA ADVISORY LLP,Document Writer and Stamp Vendor,Legal services,"Legal services, Stamp shop",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 90169 83123,N/A,4.7,75,"208, Shreyas Complex, opp. Jain Derasar, Shrimali Society, Navrangpura, Ahmedabad, Gujarat 380009","Shrimali Society, Navrangpura",23.034795,72.56467669999999,ChIJoczZr1-FXjkRRNfQQeNgDqU,https://www.google.com/maps/place/?q=place_id:ChIJoczZr1-FXjkRRNfQQeNgDqU,part_101,2026-09-20 16:43:00
S M Digital - e Stamp,Document Writer and Stamp Vendor,Store,Store,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",N/A,N/A,4.2,10,"SOMESHWAR COMPLEX, S M Digital Seva, 117, Popular Plaza, A/117, Shyamal Cross Rd, opp. Medilik Hospital, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0167815,72.52995,ChIJt3a4xDyFXjkRXK8BJniKBgU,https://www.google.com/maps/place/?q=place_id:ChIJt3a4xDyFXjkRXK8BJniKBgU,part_101,2026-09-20 16:43:00
Estamp and Notary Public Bhavna G Patel,Document Writer and Stamp Vendor,Stamp shop,"Stamp shop, Law firm, Notary public",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 90991 57016,N/A,5.0,5,"Krupal Pathshala, 904, near Shivranjani Cross Road, opp. hp petrol pump, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0231928,72.530616,ChIJc0QIOq6FXjkRJsffF9PW_Nk,https://www.google.com/maps/place/?q=place_id:ChIJc0QIOq6FXjkRJsffF9PW_Nk,part_101,2026-09-20 16:43:00
"Notary, E Stamp, franking Advocate Divya Modi",Document Writer and Stamp Vendor,Notary public,Notary public,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 98254 16310,https://www.advocatedivyamodi.com/,4.5,31,"301,murlidhar complex nr,fathepura cross road, opp. fathepura police chowky paldi, Paldi, nr I A N TAhmedabad, Gujarat 380007","Pankaj Society, Paldi",23.0073911,72.5587422,ChIJy6sDjwGFXjkR4uaXfevvS44,https://www.google.com/maps/place/?q=place_id:ChIJy6sDjwGFXjkR4uaXfevvS44,part_101,2026-09-20 16:43:00
