business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Heads Up For Tails Pet Store & Spa - Satellite Road, Ahmedabad",Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet adoption service, Pet groomer, Pet sitter, Pet trainer",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 82910 30961,https://stores.headsupfortails.com/pet-store-in-gujarat-ahmedabad-satellite-road-70798/home,4.9,,"II, Keshavbaug, Shivalik Shilp, Shop No 10, Satellite Rd, Ahmedabad, Gujarat 380015","Suryapooja Block B, Satellite",23.0290906,72.52926339999999,ChIJNWJJF46FXjkRn2z0ykfuSHQ,https://www.google.com/maps/place/?q=place_id:ChIJNWJJF46FXjkRn2z0ykfuSHQ,part_101,2026-09-20 16:42:32
Doggy Do Pet Store,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Dog breeder, Dog trainer, Pet adoption service, Pet boarding service, Pet cemetery, Pet groomer, Pet sitter, Pet store",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",N/A,N/A,5.0,,"16, Premchand Nagar Rd, Avani Raw House, Premchand Nagar Society, Satellite, Ahmedabad, Gujarat 380015","Avani Raw House, Premchand Nagar Society, Satellite",23.034013599999998,72.5193153,ChIJkWxKHiCbXjkRaWijR0gwvO4,https://www.google.com/maps/place/?q=place_id:ChIJkWxKHiCbXjkRaWijR0gwvO4,part_101,2026-09-20 16:42:32
THE PET STORE,Pet Food and Pet Supplies,Pet store,Pet store,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 88664 47716,N/A,5.0,,"Kanak Kala 1, Vraj Vihar, Prahlad Nagar, Ahmedabad, Gujarat 380015","Vraj Vihar, Prahlad Nagar",23.013084499999998,72.51842719999999,ChIJAZVU32ybXjkRlJQPmWcJrOc,https://www.google.com/maps/place/?q=place_id:ChIJAZVU32ybXjkRlJQPmWcJrOc,part_101,2026-09-20 16:42:32
Forever 24 Pet Store,Pet Food and Pet Supplies,Pet store,Pet store,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 92288 12338,N/A,4.7,,"Shop no. 1, Shiv Complex, 51, Makarba Rd, Srinagar Part 2, Vejalpur, Ahmedabad, Gujarat 380051","Srinagar Part 2, Vejalpur",23.0015157,72.51616829999999,ChIJN3pezB-bXjkRpgUCtX4zAhk,https://www.google.com/maps/place/?q=place_id:ChIJN3pezB-bXjkRpgUCtX4zAhk,part_101,2026-09-20 16:42:32
Dog care the pet store,Pet Food and Pet Supplies,Food products supplier,"Food products supplier, Grocery store",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 81282 62291,N/A,5.0,,"Shop no 3,4, rameshwar tenaments sattelite, near saibaba temple, Ramdev Nagar, Ahmedabad, Gujarat 380015",Ramdev Nagar,23.0313061,72.511712,ChIJ0WztxuSbXjkR4y8cov2An08,https://www.google.com/maps/place/?q=place_id:ChIJ0WztxuSbXjkR4y8cov2An08,part_101,2026-09-20 16:42:32
Shreeji Pet Shop,Pet Food and Pet Supplies,Pet store,Pet store,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 94288 41668,N/A,4.5,,"Akshar Complex, 204, Shivranjani Cross Rd, next to HARIT ZAVERI JEWELLERES, Satellite, Ahmedabad, Gujarat 380015","Shivranjani, Satellite",23.0243181,72.5287378,ChIJoaR3M9CEXjkRu3WL5xVZ8Fw,https://www.google.com/maps/place/?q=place_id:ChIJoaR3M9CEXjkRu3WL5xVZ8Fw,part_101,2026-09-20 16:42:32
Little Buddies,Pet Food and Pet Supplies,Pet store,Pet store,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 70961 63167,N/A,4.6,,"G5 Tirthjal complex, opp.HDFC Bank,Shyamal, Shivranjani Flyover, Satellite, Ahmedabad, Gujarat 380015","Kailas Colony, Satellite",23.0203213,72.5306964,ChIJ2dl958SFXjkRA7eWEvwKOaA,https://www.google.com/maps/place/?q=place_id:ChIJ2dl958SFXjkRA7eWEvwKOaA,part_101,2026-09-20 16:42:32
Dog Care - The Pet Shop,Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Dog breeder, Pet store",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 98982 48964,N/A,3.6,,"Shop no - 3,4 rameshwar tenement nr-saibaba temple ramdevnagar, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0313393,72.5117029,ChIJq8pCTjabXjkRTykNlS2I_NQ,https://www.google.com/maps/place/?q=place_id:ChIJq8pCTjabXjkRTykNlS2I_NQ,part_101,2026-09-20 16:42:32
Jwala Pet Zone,Pet Food and Pet Supplies,Pet store,Pet store,380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 96243 22237,N/A,3.8,,"Titanium City Center, 100 Feet Rd, Ahmedabad, Gujarat 380015",Jodhpur Village,23.0125977,72.5227652,ChIJy-dmKQqFXjkRgTQ5Pcpu4us,https://www.google.com/maps/place/?q=place_id:ChIJy-dmKQqFXjkRgTQ5Pcpu4us,part_101,2026-09-20 16:42:32
"JUSTDOGS | Bodakdev, Ahmedabad - Pet Store",Pet Food and Pet Supplies,Pet supply store,"Pet supply store, Pet groomer",380015,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Azad Society SO, I I M SO, Jodhpur Char Rasta SO",+91 85119 42111,http://www.justdogsstore.com/,4.7,,"Springfield, 51, Judges Bunglow Rd, near Aakash Tower, Bodakdev, Ahmedabad, Gujarat 380054",Bodakdev,23.0349166,72.5210542,ChIJgTn307OFXjkRtNm8Z2A9pZg,https://www.google.com/maps/place/?q=place_id:ChIJgTn307OFXjkRtNm8Z2A9pZg,part_101,2026-09-20 16:42:32
