business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Sheetal Varsha - Mahavir Business Park,Commercial Complex,Shopping mall,Shopping mall,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,N/A,4.3,,"2H5J+R9W, Satya Nagar, Behrampura, Ahmedabad, Gujarat 380022","Satya Nagar, Behrampura",23.0096003,72.5809534,ChIJlSGczyWFXjkRAQGgcNwA8Sg,https://www.google.com/maps/place/?q=place_id:ChIJlSGczyWFXjkRAQGgcNwA8Sg,part_101,2026-09-20 16:46:21
Sumel Business Park-2,Commercial Complex,Commercial Complex,Commercial Complex,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,N/A,,,"Kankaria, Ahmedabad, Gujarat 380022",Kankaria,23.0122184,72.60273509999999,ChIJI0RPJs6FXjkRESBxYtH4snM,https://www.google.com/maps/place/?q=place_id:ChIJI0RPJs6FXjkRESBxYtH4snM,part_101,2026-09-20 16:46:21
Sarovar Platinum,Commercial Complex,Corporate campus,Corporate campus,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",+91 97378 74949,https://www.sarovargroup.com/project/sarovar-platinum/,4.7,,"1A/1B, Dutt Society, Kankaria, Ahmedabad, Gujarat 380022","Dutt Society, Kankaria",23.0061792,72.5927419,ChIJgVcL2UKFXjkR1wGoZwYJaTA,https://www.google.com/maps/place/?q=place_id:ChIJgVcL2UKFXjkR1wGoZwYJaTA,part_101,2026-09-20 16:46:21
Jalaram Complex,Commercial Complex,Shopping mall,Shopping mall,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,N/A,3.8,,"84b, Gita Mandir Rd, Municipal Servant Society, Mangal Park, Kankaria, Jamalpur, Ahmedabad, Gujarat 380022","Municipal Servant Society, Mangal Park, Kankaria, Jamalpur",23.010976199999998,72.5913326,ChIJq1kQJ7aFXjkReIkpH7rixhk,https://www.google.com/maps/place/?q=place_id:ChIJq1kQJ7aFXjkReIkpH7rixhk,part_101,2026-09-20 16:46:21
Regalia By Nakshatra Group - at Gift city,Commercial Complex,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",+91 75750 58888,http://www.regalia.co.in/,4.6,39.0,"DTA Zone, Regalia, Plot No. 56C, behind GIFT Tower-2, Gujarat International Finance Tec-City, Gandhinagar, Gujarat 382050",Gujarat International Finance Tec-City,23.165647999999997,72.6815096,ChIJ1b2uBOKBXjkRL7XR764_ToM,https://www.google.com/maps/place/?q=place_id:ChIJ1b2uBOKBXjkRL7XR764_ToM,part_101,2026-09-20 16:46:22
Town Plaza,Commercial Complex,Financial consultant,"Financial consultant, Immigration attorney",380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,http://www.vardhmanfintech.in/,4.4,891.0,"3rd Floor, Town Plaza, 318, Basantbahar Road, opp. Sardar TV, New India Colony, Nikol, Ahmedabad, Gujarat 382345","New India Colony, Nikol",23.0497861,72.6724867,ChIJBati30OHXjkRjIh0VvNLDNQ,https://www.google.com/maps/place/?q=place_id:ChIJBati30OHXjkRjIh0VvNLDNQ,part_101,2026-09-20 16:46:22
Ankur Commercial Complex,Commercial Complex,Building,Building,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,N/A,,,"ANKUR FLAT, 8, Somnath Prabhashankar Dave Marg, Narayan Nagar Society, Ranna Park, Paldi, Ahmedabad, Gujarat 380007","Narayan Nagar Society, Ranna Park, Paldi",23.0000562,72.561358,ChIJEQ8Bxg6FXjkRToZWraRRzIM,https://www.google.com/maps/place/?q=place_id:ChIJEQ8Bxg6FXjkRToZWraRRzIM,part_101,2026-09-20 16:46:22
Vrajbhumi Apartment Commercial Complex,Commercial Complex,Building,Building,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,N/A,,,"Vrajbhumi Apartment, 4, Fatehpura Gam, Paldi, Ahmedabad, Gujarat 380007","Fatehpura Gam, Paldi",23.008230299999997,72.5659003,ChIJRwYcFweFXjkRV2gf4OskPrQ,https://www.google.com/maps/place/?q=place_id:ChIJRwYcFweFXjkRV2gf4OskPrQ,part_101,2026-09-20 16:46:22
Suvidhinath Bungalows Commercial Complex,Commercial Complex,Building,Building,380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,N/A,,,"SUVIDHINATH BUNGALOWS, Maharshi Ravindranath Tagore Society, Ranna Park, Paldi, Ahmedabad, Gujarat 380007","Maharshi Ravindranath Tagore Society, Ranna Park, Paldi",22.999736,72.563458,ChIJbwFIFQmFXjkRHpEDNliRY84,https://www.google.com/maps/place/?q=place_id:ChIJbwFIFQmFXjkRHpEDNliRY84,part_101,2026-09-20 16:46:22
Kamal Enterprise,Commercial Complex,Electrical products wholesaler,"Electrical products wholesaler, Electrical supply store, Industrial equipment supplier",380022,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Behrampura SO, Calico Mills SO, Gita Mandir Road SO",N/A,https://kamalelectrical.in/,4.9,,"203, Raj Complex, Kothari, Pole, Gandhi Rd, Ahmedabad, Gujarat 380001","Old City, Khadia",23.0245887,72.59301219999999,ChIJH_dYUXWFXjkRQ7GdHpUJRsc,https://www.google.com/maps/place/?q=place_id:ChIJH_dYUXWFXjkRQ7GdHpUJRsc,part_101,2026-09-20 16:46:23
