business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree Dhanlaxmi General Stores,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 98986 17872,N/A,5.0,2.0,"88/3, Vastral Road, Narsingh Nagar Ward 2, Chamunda Nagar, Rita Nagar, Amraiwadi, Ahmedabad, Gujarat 380026","Narsingh Nagar Ward 2, Chamunda Nagar, Rita Nagar, Amraiwadi",23.0078082,72.62847049999999,ChIJe1sXSG6GXjkRZ6SzdNdw9pU,https://www.google.com/maps/place/?q=place_id:ChIJe1sXSG6GXjkRZ6SzdNdw9pU,part_101,2026-09-20 16:47:39
VIKASH GENERAL STORE,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 91152 04749,N/A,5.0,3.0,"Satya, Narayan Nagar, opp. Amraiwadi Shak Market, Satyanarayan Nagar, Amraiwadi, Ahmedabad, Gujarat 380026","Satyanarayan Nagar, Amraiwadi",23.0028696,72.6256027,ChIJRxxjgJ6HXjkRDCWh3eNqbUY,https://www.google.com/maps/place/?q=place_id:ChIJRxxjgJ6HXjkRDCWh3eNqbUY,part_101,2026-09-20 16:47:39
Amit General Store,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 96011 25652,N/A,5.0,3.0,"Nagarvel Rd, Amraiwadi, Ahmedabad, Gujarat 380026",Amraiwadi,23.0044544,72.6258658,ChIJSaW3zNCHXjkRgJqMeSanlGI,https://www.google.com/maps/place/?q=place_id:ChIJSaW3zNCHXjkRgJqMeSanlGI,part_101,2026-09-20 16:47:39
Jayswal General Stores,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",N/A,N/A,5.0,2.0,"2J4M+H64, Rabari Colony, Satyam Nagar, Ahmedabad, Gujarat 380026","Rabari Colony, Satyam Nagar",23.006387,72.63308599999999,ChIJZd7tuzSHXjkR2u_SeqfqFmQ,https://www.google.com/maps/place/?q=place_id:ChIJZd7tuzSHXjkR2u_SeqfqFmQ,part_101,2026-09-20 16:47:39
Amit General Store,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 98243 17934,N/A,4.7,11.0,"shop no 7, tejendra apprmnet, Surya Nagar, C.T.M, Hatkeshwar, Ahmedabad, Gujarat 380026","Surya Nagar, C.T.M, Hatkeshwar",22.999152799999997,72.6260578,ChIJlz4WTHGHXjkRrtU-DN0J8nc,https://www.google.com/maps/place/?q=place_id:ChIJlz4WTHGHXjkRrtU-DN0J8nc,part_101,2026-09-20 16:47:39
Shree Shakti General Store,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 97232 47383,N/A,4.2,13.0,"Jamfalwadi, Janta Nagar, Ahmedabad, Gujarat 382449","Jamfalwadi, Janta Nagar",22.992954899999997,72.6406547,ChIJ6ZVEnD2GXjkRj7jucJyEV4M,https://www.google.com/maps/place/?q=place_id:ChIJ6ZVEnD2GXjkRj7jucJyEV4M,part_101,2026-09-20 16:47:39
Sitaram General Stores,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 84606 76367,N/A,5.0,3.0,"C/ 7,Tirth Nagar Society, Jogeshwari Rd, Amraiwadi, Ahmedabad, Gujarat 380026","Jagruti Nagar, C.T.M, Amraiwadi",22.9999976,72.6319338,ChIJuyri-LSHXjkRbgXSW2JIurE,https://www.google.com/maps/place/?q=place_id:ChIJuyri-LSHXjkRbgXSW2JIurE,part_101,2026-09-20 16:47:39
NARESH GENERAL STORE,General Store,Stationery store,"Stationery store, Cutlery store, Gift shop",380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 98258 17619,N/A,4.0,1.0,"Satyanarayan Nagar, Amraiwadi, Ahmedabad, Gujarat 380026","Satyanarayan Nagar, Amraiwadi",23.003209299999998,72.6256743,ChIJp8qTaHKGXjkRH1awouVu34k,https://www.google.com/maps/place/?q=place_id:ChIJp8qTaHKGXjkRH1awouVu34k,part_101,2026-09-20 16:47:39
Mitesh General Stores,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",+91 83477 48840,N/A,,,"9 Vimal Nagar Bhagawati Nagar Road Hatkeshwar, Amraiwadi, Ahmedabad, Gujarat 380026","C.T.M, Amraiwadi",22.997818,72.629768,ChIJy2Gt4hKGXjkR7_QamLMkoVE,https://www.google.com/maps/place/?q=place_id:ChIJy2Gt4hKGXjkR7_QamLMkoVE,part_101,2026-09-20 16:47:39
Gaytri General Store,General Store,General store,General store,380026,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Amraiwadi SO, Ctm Char Rasta SO",N/A,N/A,3.7,7.0,"Jogeshwari Rd, Jagruti Nagar, Jogeshwari Society, C.T.M, Amraiwadi, Ahmedabad, Gujarat 380026","Jagruti Nagar, Jogeshwari Society, C.T.M, Amraiwadi",22.9998623,72.6310172,ChIJN7KgSm2GXjkRKBYQU9lDEbU,https://www.google.com/maps/place/?q=place_id:ChIJN7KgSm2GXjkRKBYQU9lDEbU,part_101,2026-09-20 16:47:39
