business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
KAHAAN ELECTRIC,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 63548 71250,https://wa.me/916354871250,5.0,,"Chepirog hospital, Bhavna Colony, Behrampura, Ahmedabad, Gujarat 380028","Bhavna Colony, Behrampura",23.004111599999998,72.5793108,ChIJzQLj-seFXjkR7sN3l-eSJQw,https://www.google.com/maps/place/?q=place_id:ChIJzQLj-seFXjkR7sN3l-eSJQw,part_101,2026-09-20 16:49:11
M.R.CHOUHAN ELECTRICAL,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 98287 42880,N/A,,,"Chipp society, Danilimda, Ahmedabad, Gujarat 380028",Danilimda,22.9962406,72.5817855,ChIJ26gKyluFXjkRmTJuPNT0dfw,https://www.google.com/maps/place/?q=place_id:ChIJ26gKyluFXjkRmTJuPNT0dfw,part_101,2026-09-20 16:49:11
KGN electrician,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",N/A,N/A,5.0,,"chokidar bawa dargah, Shahalam, Danilimda, Ahmedabad, Gujarat 380028","Shahalam, Danilimda",22.9957423,72.58391739999999,ChIJz8FR-vuFXjkRJI-IMA0wN9s,https://www.google.com/maps/place/?q=place_id:ChIJz8FR-vuFXjkRJI-IMA0wN9s,part_101,2026-09-20 16:49:11
S.M. ELECTRIC WORKS,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 98252 69117,N/A,5.0,,"No.3, opp. Kabadi Market, Bhavna Colony, Behrampura, Ahmedabad, Gujarat 380028","Bhavna Colony, Behrampura",23.0027918,72.5846476,ChIJRcSLLHuFXjkRDlzDAIN-CSs,https://www.google.com/maps/place/?q=place_id:ChIJRcSLLHuFXjkRDlzDAIN-CSs,part_101,2026-09-20 16:49:11
Care Electronics,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 99248 19884,N/A,4.0,,"XHVQ+XCJ Sha E Alam, Road, opposite Nawab Builders Office, Shah-E-Alam, Danilimda, Ahmedabad, Gujarat 380028","Shah-E-Alam, Danilimda",22.9949741,72.5885042,ChIJ3xLNeJWFXjkRE1w1Ge2XTGA,https://www.google.com/maps/place/?q=place_id:ChIJ3xLNeJWFXjkRE1w1Ge2XTGA,part_101,2026-09-20 16:49:11
Kaunain Electricals,Electrician,Electrician,"Electrician, Electronics repair shop",380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 98246 58086,N/A,5.0,,"Farha Complex, Rasulabad Rd, Shah-E-Alam, Shah-E-Alam Darwaja, P & T Colony, Shah-E-Alam Roja, Ahmedabad, Gujarat 380028","Shah-E-Alam, Shah-E-Alam Darwaja, P & T Colony, Shah-E-Alam Roja",22.995660899999997,72.5898334,ChIJTw5w37-FXjkRBbvgTqqvT00,https://www.google.com/maps/place/?q=place_id:ChIJTw5w37-FXjkRBbvgTqqvT00,part_101,2026-09-20 16:49:11
Arif Electrician,Electrician,Housing society,Housing society,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",N/A,N/A,,,"XHWR+33G, Shahalam, Pushpkunj, Shah-E-Alam Roja, Ahmedabad, Gujarat 380028","Shahalam, Pushpkunj, Shah-E-Alam Roja",22.9951875,72.5902031,ChIJ5XtXQgCFXjkRbRRXnQoSsTI,https://www.google.com/maps/place/?q=place_id:ChIJ5XtXQgCFXjkRbRRXnQoSsTI,part_101,2026-09-20 16:49:11
VASIB AUTO ELECTRICIAN,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",N/A,N/A,,,"Vasib auto electrician, char rasta, opp. ganj shohda kabristan, nr. danilimda, Bhavna Colony, Danilimda, Ahmedabad, Gujarat 380028","Bhavna Colony, Danilimda",22.9984596,72.57933349999999,ChIJpbhgkcaFXjkRs9vW_C3-Yng,https://www.google.com/maps/place/?q=place_id:ChIJpbhgkcaFXjkRs9vW_C3-Yng,part_101,2026-09-20 16:49:11
Turkey electrician,Electrician,Electronics store,Electronics store,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",N/A,N/A,4.0,,"29, Mira Cinema Rd, Makhdoom Colony, P & T Colony, Shah-E-Alam Roja, Ahmedabad, Gujarat 380028","Makhdoom Colony, P & T Colony, Shah-E-Alam Roja",22.9942477,72.59339489999999,ChIJKefZ8VuFXjkRYAAEvsox2F0,https://www.google.com/maps/place/?q=place_id:ChIJKefZ8VuFXjkRYAAEvsox2F0,part_101,2026-09-20 16:49:11
Star Electric,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 98796 73196,N/A,,,"Shop No. 14, Police Station, Isanpur Rd, opposite Isanpur, P & T Colony, Maninagar, Ahmedabad, Gujarat 380028","P & T Colony, Maninagar",22.9928897,72.5959443,ChIJx1T3yeuFXjkRy9QVEHNJ7HQ,https://www.google.com/maps/place/?q=place_id:ChIJx1T3yeuFXjkRy9QVEHNJ7HQ,part_101,2026-09-20 16:49:11
STAR ELACTRIC & WORK,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 97244 41036,N/A,4.8,12.0,"Shakti Society Gate Number 4, Shakti Society, Danilimda, Ahmedabad, Gujarat 382405","Shakti Society, Danilimda",22.9965074,72.57819409999999,ChIJ4Yjak66FXjkRrwbwotFUUr8,https://www.google.com/maps/place/?q=place_id:ChIJ4Yjak66FXjkRrwbwotFUUr8,part_101,2026-09-20 16:49:11
Shree Shivam Electricals Services,Electrician,Electrical supply store,"Electrical supply store, Electrical products wholesaler, Wholesaler",380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 95105 50870,N/A,5.0,17.0,"Bhagwan Nagar, Isanpur Rd, Govindwadi, Jaymala, Isanpur, Ahmedabad, Gujarat 382443","Govindwadi, Jaymala, Isanpur",22.9832179,72.59863659999999,ChIJ-WPtjPGFXjkRqgJxEsvQw7U,https://www.google.com/maps/place/?q=place_id:ChIJ-WPtjPGFXjkRqgJxEsvQw7U,part_101,2026-09-20 16:49:11
Sifa Electricals,Electrician,Electrician,Electrician,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 84608 57155,N/A,,,"Shop No 5 Al Habib Society, Barrel Market Danilimada 380028, Ahmedabad, Gujarat 382405",Chhipakuva,22.9818522,72.5730051,ChIJ-9qAUoOFXjkRgQ5erRnx_2Y,https://www.google.com/maps/place/?q=place_id:ChIJ-9qAUoOFXjkRgQ5erRnx_2Y,part_101,2026-09-20 16:49:12
NEW AABAD ENTERPRISE/AVOCAB WIRE & CABLES AUTHORISED DEALER,Electrician,Electrical supply store,Electrical supply store,380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 96628 92901,https://www.indiamart.com/newaabadenterprise/?srsltid=AfmBOorSR9ww7EM4cPw5CXBR6BLR32Mw_TsMBnW7KaNgt8UjsaMe-Bh5,4.0,1.0,"Jay Jagdish Estate, 4, Narol - Sarkhej Rd, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9724546,72.5833243,ChIJ8wxp9qOPXjkRw-q6d-bZCWE,https://www.google.com/maps/place/?q=place_id:ChIJ8wxp9qOPXjkRw-q6d-bZCWE,part_101,2026-09-20 16:49:12
Perfect enterprises - Tibcon capacitor Distributor,Electrician,Electrical products wholesaler,"Electrical products wholesaler, Electrical engineer",380028,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhairavnath Road SO, Shah Alam Roza SO",+91 97276 68609,https://dgmnews.com/posts/how-to-select-a-business-email-solution-that-complements-your-compliance-requirements/,3.8,4.0,"GF 3, Karnavati Complex, near Ambica Hotel, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9739801,72.58843159999999,ChIJVxM2WYqFXjkRY-9MXUnl17g,https://www.google.com/maps/place/?q=place_id:ChIJVxM2WYqFXjkRY-9MXUnl17g,part_101,2026-09-20 16:49:12
