business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
JK Fabrication,Aluminium Fabrication,Fabrication Engineer,"Fabrication Engineer, Aluminum window, Glass & mirror shop",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 90274 00927,N/A,5.0,5.0,"Shop No. 6, Krishna Complex, Ghuma Rd, near Krishna Shelby Hospital, Ahmedabad, Gujarat 380058",380058,23.025041899999998,72.44231309999999,ChIJdYX-IoGbXjkRbTbjdE_PLQ0,https://www.google.com/maps/place/?q=place_id:ChIJdYX-IoGbXjkRbTbjdE_PLQ0,part_101,2026-09-20 16:53:57
Blackbird Aluminium and Glass,Aluminium Fabrication,Aluminum window,"Aluminum window, Aluminium Supplier, Aluminum frames supplier, Aluminum welder, Glass & mirror shop, Glass cutting service, Glass industry, Glass manufacturer, Glass repair service, Glass shop",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 83207 07354,https://blackbird-aluminium.grexa.site/,4.9,68.0,"G13, nr. Little Wings, BRTS Bus Stop, Vraj Avenue, opp. Amdavadi Khaman House, Bopal, Gujarat 380058",Bopal,23.0326916,72.4601163,ChIJtfeFnRWbXjkRjwotZrmYXSE,https://www.google.com/maps/place/?q=place_id:ChIJtfeFnRWbXjkRjwotZrmYXSE,part_101,2026-09-20 16:53:57
Ahmedabad Aluminium And Glass,Aluminium Fabrication,Aluminum window,"Aluminum window, Glass & mirror shop, Glass repair service, Metal fabricator, PVC windows supplier, Window installation service",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 93688 58259,http://www.abdaluglass.site/,5.0,164.0,"Shop No 7, Krishna Residency, Ghuma Rd, nr. Krishna Shalby Hospital, Ahmedabad, Gujarat 380058",380058,23.0248666,72.4421502,ChIJ1eC56RyFXjkRrWrJTIFuZAM,https://www.google.com/maps/place/?q=place_id:ChIJ1eC56RyFXjkRrWrJTIFuZAM,part_101,2026-09-20 16:53:57
Hannan Fabrication,Aluminium Fabrication,Fabrication Engineer,Fabrication Engineer,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 63983 81426,N/A,5.0,34.0,"Nilkanth Villa Bunglow, Nr, N Bopal Rd, near DPS School, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.043434599999998,72.4605931,ChIJg154VSebXjkRfV52kI0TA_I,https://www.google.com/maps/place/?q=place_id:ChIJg154VSebXjkRfV52kI0TA_I,part_101,2026-09-20 16:53:57
Perfect Glass & Alluminium,Aluminium Fabrication,Glass shop,Glass shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 98242 34723,N/A,4.9,46.0,"Aarohi, SHREE LAXMI NARAYAN RESIDENCY, Residency Road, nearby Shreeji Party Plot, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.0239987,72.4613342,ChIJod0m7hObXjkRKSpz2EJa0MA,https://www.google.com/maps/place/?q=place_id:ChIJod0m7hObXjkRKSpz2EJa0MA,part_101,2026-09-20 16:53:57
New Mahalaxmi Fabrication,Aluminium Fabrication,Metal fabricator,Metal fabricator,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",N/A,https://new-mahalaxmi.grexa.site/,5.0,1.0,"junior Mahakali flower, GARDEN RESIDENCY 1, Chittavan, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Chittavan, South Bopal, Bopal",23.0240197,72.46597,ChIJWb3V75SbXjkRAksGKN2JATw,https://www.google.com/maps/place/?q=place_id:ChIJWb3V75SbXjkRAksGKN2JATw,part_101,2026-09-20 16:53:57
DHRUVI FABRICATION,Aluminium Fabrication,Metal fabricator,Metal fabricator,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 97270 70822,N/A,5.0,2.0,"3, Pragati Complex, A - 7, Telephone Exchange Rd, near PARAS, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.027836,72.4706348,ChIJGxcU_qebXjkRehl-iT2sMJ4,https://www.google.com/maps/place/?q=place_id:ChIJGxcU_qebXjkRehl-iT2sMJ4,part_101,2026-09-20 16:53:57
ROYAL FABRICATION ROYAL ALUMINIUM,Aluminium Fabrication,Fabric product manufacturer,Fabric product manufacturer,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 80771 51253,http://www.rmfabricationblodsport.com/,4.8,12.0,"H N Safal, Shela, Club O7 Rd, opp. SKY CITY ARCADE, Ahmedabad, Gujarat 380057",380058,23.005101,72.468043,ChIJL6Bimf6bXjkR7SIXp3PTNvs,https://www.google.com/maps/place/?q=place_id:ChIJL6Bimf6bXjkR7SIXp3PTNvs,part_101,2026-09-20 16:53:57
Orhan Fabrication,Aluminium Fabrication,Fabrication Engineer,Fabrication Engineer,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 97614 85047,N/A,4.7,31.0,"Opp Nilkanth Villa Bunglow, near DPS School, Ahmedabad, Gujarat 380058",380058,23.0435928,72.4653989,ChIJf7rSA9-bXjkRXFRq3ks6Lwk,https://www.google.com/maps/place/?q=place_id:ChIJf7rSA9-bXjkRXFRq3ks6Lwk,part_101,2026-09-20 16:53:57
Raj Fabrication | Bopal,Aluminium Fabrication,Metal fabricator,"Metal fabricator, Fabrication Engineer, Steel fabricator",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 82798 51598,N/A,4.8,18.0,"G-12, Vraj Avenue, nr. Little Wings BRTS Bus Stop, opp. Amdavadi Khaman House, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.0324837,72.4599765,ChIJdfl5qj6bXjkRZk6Yra0VSeI,https://www.google.com/maps/place/?q=place_id:ChIJdfl5qj6bXjkRZk6Yra0VSeI,part_101,2026-09-20 16:53:57
