business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mohit Solanki & Co.,Chartered Accountant (CA),Certified public accountant,Certified public accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 90169 37703,https://mohitsolanki.com/,5.0,,"1026, Shaligram Arcade, S. P. Ring Road, Ambli - Bopal Rd, Junction, Ahmedabad, Gujarat 380058","Junction, Bopal",23.024247499999998,72.4767431,ChIJ6S8vCK-bXjkRsKCnZ22Uuo4,https://www.google.com/maps/place/?q=place_id:ChIJ6S8vCK-bXjkRsKCnZ22Uuo4,part_101,2026-09-20 16:53:53
CA KUSHAL VASA (CHARTERED ACCOUNTANT),Chartered Accountant (CA),Certified public accountant,Certified public accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 94092 94670,N/A,5.0,,"30, Hariom Villa Rd, Ghuma, BOPAL, Ahmedabad, Gujarat 380058",Ghuma,23.027504099999998,72.45326709999999,ChIJJcZzuQmbXjkRtIEwbXWd8aY,https://www.google.com/maps/place/?q=place_id:ChIJJcZzuQmbXjkRtIEwbXWd8aY,part_101,2026-09-20 16:53:53
H J Bhalodiya & Associates,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Bookkeeping service, Consultant, Financial audit, Income tax help association",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 81414 48063,N/A,5.0,,"1303, Shivalik Satyamev, Iskon Road, opposite Vakil Saheb Bridge, South Bopal, Bopal, Ahmedabad, Gujarat 380058","South Bopal, Bopal",23.0262346,72.4760494,ChIJyyoRtVqbXjkREndPfkH4V6M,https://www.google.com/maps/place/?q=place_id:ChIJyyoRtVqbXjkREndPfkH4V6M,part_101,2026-09-20 16:53:53
PALAK & ASSOCIATES Chartered Accountants,Chartered Accountant (CA),Accountant,Accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 93996 00638,N/A,4.9,,"608, One World West, Ambli - Bopal Rd, South Bopal, Ahmedabad, Gujarat 380058","South Bopal, Ambli",23.025403,72.4772466,ChIJu31yOPGbXjkRELOwu_3guGw,https://www.google.com/maps/place/?q=place_id:ChIJu31yOPGbXjkRELOwu_3guGw,part_101,2026-09-20 16:53:53
S V VITHLANI & CO,Chartered Accountant (CA),Chartered accountant,Chartered accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 94295 50640,http://www.svvithlani.com/,5.0,,"7th Floor, Shivalik Satyamev, 709, Ambli - Bopal Rd, Junction, Bopal, Ahmedabad, Gujarat 380058","Junction, Bopal",23.0266667,72.47595,ChIJdxzJocebXjkRTwEnJbmfMiQ,https://www.google.com/maps/place/?q=place_id:ChIJdxzJocebXjkRTwEnJbmfMiQ,part_101,2026-09-20 16:53:53
Chartered Accountants Hemlata Sharma & Associates,Chartered Accountant (CA),Accounting firm,"Accounting firm, Auditor, Certified public accountant, Tax consultant, Tax preparation service",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 76780 18900,N/A,5.0,,"The Retail Park, 2113, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.031017499999997,72.4701225,ChIJq2Hh4zCbXjkR-WQrWrz88uY,https://www.google.com/maps/place/?q=place_id:ChIJq2Hh4zCbXjkR-WQrWrz88uY,part_101,2026-09-20 16:53:53
C. R. Sharedalal & Co.,Chartered Accountant (CA),Chartered accountant,Chartered accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 98240 55181,http://www.crsharedalalco.com/,5.0,,"North Tower, 304 & 305, Ambli Bopal Road, near Ashok Vatika, Ashok Vatika, Ahmedabad, Gujarat 380058",Ashok Vatika,23.030854599999998,72.49233679999999,ChIJBWp_EtiaXjkRhD0ctcVV0Yc,https://www.google.com/maps/place/?q=place_id:ChIJBWp_EtiaXjkRhD0ctcVV0Yc,part_101,2026-09-20 16:53:53
A. H. SUTHAR & CO.,Chartered Accountant (CA),Chartered accountant,Chartered accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 99253 64234,N/A,5.0,,"SF-39, Axiom Complex, Sardar Patel Ring Rd, Ambli, Bopal, Ahmedabad, Gujarat 380058",Ambli,23.027079699999998,72.4772588,ChIJB7guFwubXjkRLkCQ-5fIk4Q,https://www.google.com/maps/place/?q=place_id:ChIJB7guFwubXjkRLkCQ-5fIk4Q,part_101,2026-09-20 16:53:53
Dattani Patel and Co,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm, Auditor, Tax consultant",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 94281 87123,http://www.cadattanipatel.com/,4.9,,"D-458 Sobo Center B/h Sun City, Gala Gymkhana Road, South Bopal, Bopal, Ahmedabad, Gujarat 380057","South Bopal, Bopal",23.017252,72.475267,ChIJ__htdwibXjkRW2zGa1IEMdY,https://www.google.com/maps/place/?q=place_id:ChIJ__htdwibXjkRW2zGa1IEMdY,part_101,2026-09-20 16:53:53
CA DHRUVIN BHAGDEV & CO.,Chartered Accountant (CA),Chartered accountant,Chartered accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 91732 14900,N/A,5.0,,"Gala Magnus, 412, Safal Parisar Rd, South Bopal, Bopal, Ahmedabad, Gujarat 380057","South Bopal, Bopal",23.0163439,72.4687325,ChIJA9wsCbabXjkR8RLCFTvO6DM,https://www.google.com/maps/place/?q=place_id:ChIJA9wsCbabXjkR8RLCFTvO6DM,part_101,2026-09-20 16:53:53
Panchal S K & Associates,Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 75738 00080,http://panchalsk.com/,5.0,,"1908-1909, Sun Central Place, 1601, Bopal - Ghuma Rd, opp. ISCON PLATINUM, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.029397799999998,72.4778907,ChIJP_XpH_2bXjkRWFNydiLvSPE,https://www.google.com/maps/place/?q=place_id:ChIJP_XpH_2bXjkRWFNydiLvSPE,part_101,2026-09-20 16:53:53
"R K Muley & Co. , Chartered Accountants",Chartered Accountant (CA),Chartered accountant,"Chartered accountant, Accounting firm, Consultant, Tax preparation service",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 76000 16554,N/A,5.0,,"B 233, Sobo Center Gala Gymkhana Road South Bopal, Bopal Ahmedabad Gujarat 380058 IN, Gala Gymkhana Rd, Bopal, Ahmedabad, Gujarat 380057","South Bopal, Bopal",23.017167,72.4755933,ChIJf9jtwaCbXjkRwqsweWM6R0Y,https://www.google.com/maps/place/?q=place_id:ChIJf9jtwaCbXjkRwqsweWM6R0Y,part_101,2026-09-20 16:53:53
Nakrani Rabadiya & Co. - Best CA in Ahmedabad,Chartered Accountant (CA),Chartered accountant,Chartered accountant,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",N/A,https://nakranirabadiyanco.in/ca-in-ahmedabad/,,,"Sanskruti Apartment, A-42, near Tejas School, Bopal Gam, BRTS, Bopal, Ahmedabad, Gujarat 380058","Bopal Gam, BRTS, Bopal",23.034526,72.4630526,ChIJj3t7oo2bXjkRYckbU0-ntKs,https://www.google.com/maps/place/?q=place_id:ChIJj3t7oo2bXjkRYckbU0-ntKs,part_101,2026-09-20 16:53:53
