business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Swati's Hamper Galore,Gifting,Gift shop,Gift shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 98792 55321,N/A,5.0,,"ORCHID PARADISE, Safal Parisar Rd, South Bopal, Bopal, Ahmedabad, Gujarat 380057","South Bopal, Bopal",23.017967,72.4707877,ChIJPzOQfgCbXjkRPXJ1l1bSiC8,https://www.google.com/maps/place/?q=place_id:ChIJPzOQfgCbXjkRPXJ1l1bSiC8,part_101,2026-09-20 16:53:48
Hamper Full Of Love,Gifting,Gift shop,Gift shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 82002 17391,N/A,4.6,,"Siddhi Sangath Apartment, 7, tenament, Bopal, Ahmedabad, Gujarat 380058","tenament, Bopal",23.0308842,72.459109,ChIJUQZgjPObXjkRFK-UZGZotRo,https://www.google.com/maps/place/?q=place_id:ChIJUQZgjPObXjkRFK-UZGZotRo,part_101,2026-09-20 16:53:48
the uneven lines (home decor | Gift boxes & hamper),Gifting,Gift shop,"Gift shop, Artistic handicrafts, Service establishment, Interior Decorator, Handicraft, Scrapbooking store",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",N/A,https://instagram.com/theunevenlines?utm_medium=copy_link,4.9,,"the uneven lines (home decor | Gift boxes & hamper), 380058, India",380058,21.0680074,82.7525294,ChIJG603J2_inyQRufhndArzu0o,https://www.google.com/maps/place/?q=place_id:ChIJG603J2_inyQRufhndArzu0o,part_101,2026-09-20 16:53:48
Beyond Hampers,Gifting,Gift shop,"Gift shop, Corporate gift supplier",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 96010 82713,https://beyondhampers.com/,4.9,,"Sun Central Place, 605, Ahmedabad, Gujarat 380058",Ambli,23.0298494,72.4778133,ChIJgW3PHmebXjkRT8fTx3MY8c0,https://www.google.com/maps/place/?q=place_id:ChIJgW3PHmebXjkRT8fTx3MY8c0,part_101,2026-09-20 16:53:48
Lakshmi Gift And Toys,Gifting,Toy store,Toy store,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",N/A,N/A,4.8,,"Shop no 117 B wing, The Retail Park Rajyash City, BRTS, Main Rd, Central Bopal, Bopal, Ahmedabad, Gujarat 380058","Central Bopal, Bopal",23.031113599999998,72.4700435,ChIJP733u_WbXjkRlGbWxylte7k,https://www.google.com/maps/place/?q=place_id:ChIJP733u_WbXjkRlGbWxylte7k,part_101,2026-09-20 16:53:48
KAWAIIKARTT - UNLEASH THE VIBE,Gifting,Gift shop,"Gift shop, Stationery store",380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 88245 90784,N/A,4.8,,"BF-02, DPS - Neelkanth Rd, SERENO SPARKLES, Shilaj, Ahmedabad, Gujarat 380059",SERENO SPARKLES,23.0484525,72.4756045,ChIJhw7xTgCbXjkRm7lsWJfcUwg,https://www.google.com/maps/place/?q=place_id:ChIJhw7xTgCbXjkRm7lsWJfcUwg,part_101,2026-09-20 16:53:48
Sarang Stationery & Gift,Gifting,Gift shop,Gift shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 95371 76999,N/A,4.8,,"BRTS Bus Stop, Ground floor 19 Dholeshwar Residency nr, Krishna shalby road, Ahmedabad, Gujarat 380058",Ghuma,23.0303404,72.4482146,ChIJywZmYA2bXjkRD4k2U4rYbro,https://www.google.com/maps/place/?q=place_id:ChIJywZmYA2bXjkRD4k2U4rYbro,part_101,2026-09-20 16:53:48
Radhe Radhe Gift Art,Gifting,Gift shop,Gift shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",N/A,N/A,5.0,,"shivana oram, 13, Safal Parisar Rd, opp. bhagvat bunglows, near marigold circle, South Bopal, Ahmedabad, Gujarat 380058",South Bopal,23.015807,72.461395,ChIJ7X1iJSabXjkRHpbSJhCcez4,https://www.google.com/maps/place/?q=place_id:ChIJ7X1iJSabXjkRHpbSJhCcez4,part_101,2026-09-20 16:53:48
BACK IN THE LAB,Gifting,Gift shop,Gift shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 81281 50279,N/A,,,"SUN SOUTH TRADE, 406, Gala Gymkhana Rd, opp. BOPAL POLICE STATION, Chittavan, South Bopal, Bopal, Ahmedabad, Gujarat 380058","Chittavan, South Bopal, Bopal",23.02397,72.470422,ChIJgxMKYRqbXjkRIHEbOjN6rh8,https://www.google.com/maps/place/?q=place_id:ChIJgxMKYRqbXjkRIHEbOjN6rh8,part_101,2026-09-20 16:53:48
BBLISS STATIONERY & GIFT,Gifting,Gift shop,Gift shop,380058,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Ambli BO, Ghuma BO, Shela BO",+91 96648 71711,N/A,5.0,,"shilp Revanta, J 603, near Club O7 Road, Khadiya, Shela, Ahmedabad, Gujarat 380058",Khadiya,23.0076072,72.45662399999999,ChIJMyG_VOSbXjkREQ5ZGe3Tsu4,https://www.google.com/maps/place/?q=place_id:ChIJMyG_VOSbXjkREQ5ZGe3Tsu4,part_101,2026-09-20 16:53:49
