business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Fantasy World,Banquet Hall,Wedding venue,Wedding venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99094 64121,N/A,4.3,181.0,"Nr Swagat Circle, Highway, Sarkhej - Gandhinagar Hwy, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.191510599999997,72.6112188,ChIJZdPi74gpXDkRNFwMDgl3yx4,https://www.google.com/maps/place/?q=place_id:ChIJZdPi74gpXDkRNFwMDgl3yx4,part_101,2026-09-20 16:57:02
Serene Garden Multicuisine Restaurant and Banquet - Gandhinagar,Banquet Hall,Banquet hall,"Banquet hall, Hotel, Restaurant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99257 77440,https://serenegarden.co/,4.7,1396.0,"303, near Kansar Hotel, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.173399999999997,72.6294082,ChIJGes1LgArXDkRI35ayZipLDk,https://www.google.com/maps/place/?q=place_id:ChIJGes1LgArXDkRI35ayZipLDk,part_101,2026-09-20 16:57:02
Pramukh Greens Party Plot,Banquet Hall,Event venue,Event venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.3,700.0,"test, Gandhinagar, Gujarat 382620",382006,23.2073236,72.6157343,ChIJRZawZ9UrXDkRe0zR0ckaEC4,https://www.google.com/maps/place/?q=place_id:ChIJRZawZ9UrXDkRe0zR0ckaEC4,part_101,2026-09-20 16:57:02
Community hall,Banquet Hall,Banquet hall,Banquet hall,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.6,10.0,"6JH8+78H, Vavol, Gandhinagar, Gujarat 382016",Vavol,23.228040099999998,72.6158584,ChIJ1-eLHAArXDkR2cjxla3Oxuo,https://www.google.com/maps/place/?q=place_id:ChIJ1-eLHAArXDkR2cjxla3Oxuo,part_101,2026-09-20 16:57:02
Shantam Party Plot,Banquet Hall,Wedding venue,Wedding venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.3,491.0,"5JX5+5XH, Near, Sargasan Cross Rd, behind Swagat Rainforest III, Gandhinagar, Gujarat 382419",382006,23.1983937,72.6116225,ChIJD-Imw4YpXDkRHrOwA4yIbXU,https://www.google.com/maps/place/?q=place_id:ChIJD-Imw4YpXDkRHrOwA4yIbXU,part_101,2026-09-20 16:57:02
Government Community Hall,Banquet Hall,Event venue,Event venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,3.9,446.0,"6J6Q+FX4, Sector 7, Gandhinagar, Gujarat 382007",Sector 7,23.2111365,72.63994869999999,ChIJO9cmDbUrXDkRxMVJJ55N-ns,https://www.google.com/maps/place/?q=place_id:ChIJO9cmDbUrXDkRxMVJJ55N-ns,part_101,2026-09-20 16:57:02
THAKERS FARM,Banquet Hall,Wedding venue,Wedding venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99798 91921,http://www.thakers.in/,4.6,432.0,"Opposite The Palm, Palm Road, Sarkhej - Gandhinagar Hwy, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.1875076,72.6086141,ChIJo0KhvskrXDkRsO2VRNRngDU,https://www.google.com/maps/place/?q=place_id:ChIJo0KhvskrXDkRsO2VRNRngDU,part_101,2026-09-20 16:57:02
Divine Green Party Plot,Banquet Hall,Wedding venue,"Wedding venue, Event venue",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 98983 49781,https://divinegreenpartyplot.com/,4.8,59.0,"Vavol - Kolavada Rd, Gandhinagar, Gujarat 382422",382006,23.2426948,72.6129204,ChIJaV1oIs8pXDkRfcTxoxldDfU,https://www.google.com/maps/place/?q=place_id:ChIJaV1oIs8pXDkRfcTxoxldDfU,part_101,2026-09-20 16:57:02
Rao World,Banquet Hall,Banquet hall,"Banquet hall, Marriage celebrant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 72019 47777,N/A,4.3,333.0,"5J9Q+QPQ, Service Rd, Urjanagar 1, Gandhinagar, Gujarat 382426",Urjanagar 1,23.1688308,72.6397763,ChIJ6cjUTXMqXDkRS15mfLtvFhk,https://www.google.com/maps/place/?q=place_id:ChIJ6cjUTXMqXDkRS15mfLtvFhk,part_101,2026-09-20 16:57:02
Haveli Banquets,Banquet Hall,Restaurant,Restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 62636 60539,N/A,4.3,31.0,"nr. Haveli Arcade, Sector 11, Gandhinagar, Gujarat 382010",Sector 11,23.216929699999998,72.6497712,ChIJP6Sw7TorXDkR4u3YwgzAEz0,https://www.google.com/maps/place/?q=place_id:ChIJP6Sw7TorXDkR4u3YwgzAEz0,part_101,2026-09-20 16:57:02
Urbania Restaurant & Banquet,Banquet Hall,Banquet hall,"Banquet hall, Indian restaurant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,http://www.urbaniarestaurant.com/,4.5,701.0,"1st floor, The Urbania Complex, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.1789609,72.6284294,ChIJtRTqQLsrXDkROYK7P9XvlsU,https://www.google.com/maps/place/?q=place_id:ChIJtRTqQLsrXDkROYK7P9XvlsU,part_101,2026-09-20 16:57:02
Rangmanch Community Hall Sector-12,Banquet Hall,Event venue,Event venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.2,184.0,"6JFQ+5G5, Sector 12B, Gandhinagar, Gujarat 382016",Sector 12B,23.2228826,72.63886939999999,ChIJ42l2f7grXDkRQFUnhSqUYi8,https://www.google.com/maps/place/?q=place_id:ChIJ42l2f7grXDkRQFUnhSqUYi8,part_101,2026-09-20 16:57:02
Prasang Farm,Banquet Hall,Event venue,"Event venue, Restaurant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99982 67489,N/A,4.2,163.0,"Near Ved School, Reliance Cross Road, Road, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.184224999999998,72.6232958,ChIJ53azsCIqXDkR2MohIHT_y1Y,https://www.google.com/maps/place/?q=place_id:ChIJ53azsCIqXDkR2MohIHT_y1Y,part_101,2026-09-20 16:57:02
Tulsi Banquet Hall,Banquet Hall,Banquet hall,Banquet hall,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.3,116.0,"5JC7+8C4, Adalaj, Gujarat 382419",382006,23.1705622,72.6145166,ChIJF3TGz-ApXDkRQS_3ExGPk1k,https://www.google.com/maps/place/?q=place_id:ChIJF3TGz-ApXDkRQS_3ExGPk1k,part_101,2026-09-20 16:57:02
"Rangmanch hall,sector13",Banquet Hall,Event venue,Event venue,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.5,28.0,"6JFM+XWG, G Rd, near underbridge, Sector 13A, Sector 13, Gandhinagar, Gujarat 382016","Sector 13A, Sector 13",23.224940699999998,72.6348273,ChIJRZMEHaErXDkRZFOxjiubc-0,https://www.google.com/maps/place/?q=place_id:ChIJRZMEHaErXDkRZFOxjiubc-0,part_101,2026-09-20 16:57:02
Vidhya Bhavan,Banquet Hall,Hall,Hall,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.5,200.0,"GH Rd, Sector 12B, Gandhinagar, Gujarat 382016",Sector 12B,23.224119899999998,72.64380129999999,ChIJN4sZnrkrXDkRrgDlk7WJ10w,https://www.google.com/maps/place/?q=place_id:ChIJN4sZnrkrXDkRrgDlk7WJ10w,part_101,2026-09-20 16:57:02
Diya Greens Party Plot,Banquet Hall,Party planner,Party planner,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 98985 61828,N/A,4.5,82.0,"ARJUN226, Uvarsad-Vavol Rd, Gandhinagar, Gujarat 382016",382006,23.2226204,72.6152603,ChIJL3CnvC8rXDkR29XxFC2EPp8,https://www.google.com/maps/place/?q=place_id:ChIJL3CnvC8rXDkR29XxFC2EPp8,part_101,2026-09-20 16:57:02
Patel Samaj Bhavan,Banquet Hall,Community center,Community center,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,https://kadvapatelsamajbhavan.com/,4.4,179.0,"6JCR+RG3, beside civil hospital, Sector 12B, Gandhinagar, Gujarat 382016",Sector 12B,23.222013999999998,72.64130709999999,ChIJYca6TrgrXDkRwQVoaoZ4hNk,https://www.google.com/maps/place/?q=place_id:ChIJYca6TrgrXDkRwQVoaoZ4hNk,part_101,2026-09-20 16:57:02
Dwarkesh dining hall,Banquet Hall,Restaurant,Restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 90998 94848,http://www.dwaekesh.com/,4.9,37.0,"Shop no. 8, g-1, sangeet Circle, shalin galleria, Sargasan, Gandhinagar, Gujarat 382006",Sargasan,23.203394,72.6235835,ChIJcVjFBhkrXDkRUj6g8OzK0gw,https://www.google.com/maps/place/?q=place_id:ChIJcVjFBhkrXDkRUj6g8OzK0gw,part_101,2026-09-20 16:57:02
Sargasan Community Hall,Banquet Hall,Community center,Community center,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,4.3,,"5JM8+WM5, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.1847742,72.6167351,ChIJefmZuGwrXDkRV9rLmRfwVtM,https://www.google.com/maps/place/?q=place_id:ChIJefmZuGwrXDkRV9rLmRfwVtM,part_101,2026-09-20 16:57:02
