business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Footwear Factory,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 76007 68175,N/A,5.0,,"Shop No.03, VTC Tower, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.1817231,72.628772,ChIJ4zdIyForXDkR1NDSfJe2Zh0,https://www.google.com/maps/place/?q=place_id:ChIJ4zdIyForXDkR1NDSfJe2Zh0,part_101,2026-09-20 16:56:49
Campus Exclusive Store,Footwear and Shoe Store,Shoe store,"Shoe store, Sportswear store, Store",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 8071 178 295,https://stores.campusshoes.com/gujarat/gandhi-nagar/campus-exclusive-store-infocity-super-mall,4.8,,"Shop no. 1, SUPER MALL-2, nr. Go Colour Shop, Infocity, Gandhinagar, Gujarat 382007",Infocity,23.1964374,72.63309389999999,ChIJs5reO1spXDkRIf8WystA46k,https://www.google.com/maps/place/?q=place_id:ChIJs5reO1spXDkRIf8WystA46k,part_101,2026-09-20 16:56:49
Metro Shoes,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 79 4923 8555,https://stores.metroshoes.com/metro-shoes-swagat-holiday-mall-gandhinagar-ghn,4.8,,"Shop No- 108, 109 & 110, Swagat Holiday Mall Rd, near Sargasan Cross Road, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.18892,72.610128,ChIJuaf6XlcpXDkRvbxtAXa7G8c,https://www.google.com/maps/place/?q=place_id:ChIJuaf6XlcpXDkRvbxtAXa7G8c,part_101,2026-09-20 16:56:49
Campus Exclusive Store,Footwear and Shoe Store,Shoe store,"Shoe store, Sportswear store, Store",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 8071 178 323,https://stores.campusshoes.com/gujarat/gandhi-nagar/campus-exclusive-kudasan-gandhinagar,4.9,,"Shop No 3, Siddhraj Z Square, Podar International School, Road, opp. The Landmark, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.175711999999997,72.6297788,ChIJmckyYqArXDkR_m5XnnboaLs,https://www.google.com/maps/place/?q=place_id:ChIJmckyYqArXDkR_m5XnnboaLs,part_101,2026-09-20 16:56:49
Krinis Footwear,Footwear and Shoe Store,Shoe store,"Shoe store, Felt boots store, Orthopedic shoe store, Shoe shining service, Footwear wholesaler",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99042 56222,N/A,4.7,,"SUPER MALL-2, 33, Infocity, Gandhinagar, Gujarat 382007",Infocity,23.1967929,72.6324183,ChIJTdw5qjAqXDkRAAAA0DQwoTs,https://www.google.com/maps/place/?q=place_id:ChIJTdw5qjAqXDkRAAAA0DQwoTs,part_101,2026-09-20 16:56:49
Noble Shoe Co.,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 70166 45033,http://nobleshoeco.com/,4.1,,"Shop No. B/17, district Shopping Centre, near reliance mall, Sector 21, Gandhinagar, Gujarat 382021",Sector 21,23.2299425,72.66698769999999,ChIJK1Qs6AsrXDkRevAqSDFYn7M,https://www.google.com/maps/place/?q=place_id:ChIJK1Qs6AsrXDkRevAqSDFYn7M,part_101,2026-09-20 16:56:49
Krish shoes,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 96243 49941,N/A,4.2,,"Urjanagar 1, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.1852406,72.6352593,ChIJbWNaAgArXDkRjFrM-tJvXwU,https://www.google.com/maps/place/?q=place_id:ChIJbWNaAgArXDkRjFrM-tJvXwU,part_101,2026-09-20 16:56:49
Manglam Footwear,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 98247 42901,N/A,4.7,,"827/2, Sector 6/C, Sector 6, Gandhinagar, Gujarat 382006","Sector 6/C, Sector 6",23.2149078,72.6335489,ChIJBXUTCgArXDkROe7xmlgkaFQ,https://www.google.com/maps/place/?q=place_id:ChIJBXUTCgArXDkROe7xmlgkaFQ,part_101,2026-09-20 16:56:49
Bata Shoe Store,Footwear and Shoe Store,Shoe store,"Shoe store, Bag shop, Belt shop, Boot store, Clothing store",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 72899 00000,https://www.bata.com/in/?utm_source=gmb&utm_medium=organic&utm_campaign=sulekhapromanage-bata&utm_id=loyalty-gmb,4.0,,"Shop No 28, 5JWJ+JV7 SUPER MALL-2, Infocity, Gandhinagar, Gujarat 382007",Infocity,23.1961324,72.6324918,ChIJBTfvqTAqXDkRVrOi3K71gDQ,https://www.google.com/maps/place/?q=place_id:ChIJBTfvqTAqXDkRVrOi3K71gDQ,part_101,2026-09-20 16:56:49
DENISH SHOES,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 94263 94912,N/A,3.8,,"Shop 08, RADHE SQUARE, Kudasan, Ahmedabad, Gandhinagar, Gujarat 382419",Kudasan,23.1849191,72.6298951,ChIJLcidnswrXDkRLcLfV1pB3yQ,https://www.google.com/maps/place/?q=place_id:ChIJLcidnswrXDkRLcLfV1pB3yQ,part_101,2026-09-20 16:56:49
Bombay footwear,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 97144 19942,N/A,3.8,,"Shop No. 105/454 , Sri nagar, Sector 24, Gandhinagar, Gujarat 382016",Sector 24,23.2430886,72.6465044,ChIJAb-TKz4rXDkRfcszGMTsztI,https://www.google.com/maps/place/?q=place_id:ChIJAb-TKz4rXDkRfcszGMTsztI,part_101,2026-09-20 16:56:49
Mahavir footwear sargasan,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,N/A,N/A,5.0,,"5JR8+M7C, Sargasan Cross Rd, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.1916795,72.6156422,ChIJ17jFYgArXDkRajZKFrtqLgo,https://www.google.com/maps/place/?q=place_id:ChIJ17jFYgArXDkRajZKFrtqLgo,part_101,2026-09-20 16:56:49
Shoe box 2.0,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 91048 33239,N/A,4.9,,"12, Sarthak Shreenand Rd, Gandhinagar, Gujarat 382421",382006,23.1638177,72.63886769999999,ChIJ_d2iRJcrXDkR76KZ0WF-JzI,https://www.google.com/maps/place/?q=place_id:ChIJ_d2iRJcrXDkR76KZ0WF-JzI,part_101,2026-09-20 16:56:49
KHODIYAR FOOTWEAR,Footwear and Shoe Store,Shoe store,Shoe store,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99797 69655,N/A,4.5,,"Shop no 22, 6MJ8+5MJ, Trikoniya market, near charch, Sector 21, Gandhinagar, Gujarat 382021",Sector 21,23.230454599999998,72.6666383,ChIJ-fyjUwErXDkRWhWIQ799MWE,https://www.google.com/maps/place/?q=place_id:ChIJ-fyjUwErXDkRWhWIQ799MWE,part_101,2026-09-20 16:56:49
