business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
The House of Makeba - Pure Veg Family Dining Restaurant in Gandhinagar,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Family restaurant, Fine dining restaurant, Restaurant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 87801 41564,https://www.thehouseofmakeba.com/location/kudasan-gandhinagar,4.5,,"Radhe Infinity, 105/106, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382426","Urjanagar 1, Randesan",23.184733299999998,72.6391884,ChIJwdUMVJ4rXDkRQtDQwd3OTYQ,https://www.google.com/maps/place/?q=place_id:ChIJwdUMVJ4rXDkRQtDQwd3OTYQ,part_101,2026-09-20 16:56:44
Yanki Sizzlerr - Pure Veg Restaurant in Gandhinagar,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 88664 48288,https://theyanki.com/,4.5,,"2nd Floor, Radhe Infinity, 212-215, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382421","Urjanagar 1, Randesan",23.185295099999998,72.63923849999999,ChIJ0bYH9m8rXDkRTCMSJEx4ec8,https://www.google.com/maps/place/?q=place_id:ChIJ0bYH9m8rXDkRTCMSJEx4ec8,part_101,2026-09-20 16:56:44
Balista-Bistro (Pure Veg)-Sargasan,Pure Veg Restaurant,Restaurant,Restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 85112 96446,http://balista.in/,4.6,,"24, opp. Aashka hospital, Pramukh cyprus, Kudasan, Gandhinagar, Gujarat 382419","Pramukh cyprus, Kudasan",23.1849602,72.6251338,ChIJMZJvEU0rXDkRIiYnB-8uyp8,https://www.google.com/maps/place/?q=place_id:ChIJMZJvEU0rXDkRIiYnB-8uyp8,part_101,2026-09-20 16:56:44
Asha delicious food | Non Veg Restaurant,Pure Veg Restaurant,Non Vegetarian Restaurant,Non Vegetarian Restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 96380 89650,N/A,4.8,,"Shop No 001, Burj Mastan Society, New, Vavol, Gandhinagar, Gujarat 382016",Vavol,23.218484399999998,72.617744,ChIJj3pmEfsrXDkRiKWmZAO7uSk,https://www.google.com/maps/place/?q=place_id:ChIJj3pmEfsrXDkRiKWmZAO7uSk,part_101,2026-09-20 16:56:44
Dakshin Bhojnam,Pure Veg Restaurant,South Indian restaurant,South Indian restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 88688 20520,https://dakshinbhojnam.com/,4.8,,"Pramukh Orbit Mall, A/111-114, Reliance Circle, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.185125,72.6307849,ChIJqRGHD9UrXDkR3IyfIzFza_M,https://www.google.com/maps/place/?q=place_id:ChIJqRGHD9UrXDkR3IyfIzFza_M,part_101,2026-09-20 16:56:44
Khetlaaapa Gujarati Thali,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 99253 41016,N/A,4.9,,"108, first floor, super mall 1, 107, Infocity Rd, near sbi, Infocity, Gandhinagar, Gujarat 382007",Infocity,23.1959929,72.6340349,ChIJVeHH8xkrXDkRQJVewZbZ8Xk,https://www.google.com/maps/place/?q=place_id:ChIJVeHH8xkrXDkRQJVewZbZ8Xk,part_101,2026-09-20 16:56:44
RASOI DINING HALL,Pure Veg Restaurant,Restaurant,Restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 84695 24064,N/A,4.7,,"BASEMENT, B-12, HALL PRESIDENT COMPLEX, PLOT NO - 1, Sector 11, Gandhinagar, Gujarat 382010",Sector 11,23.2153515,72.64822579999999,ChIJ2VTVnFArXDkRXVkB-RUaL60,https://www.google.com/maps/place/?q=place_id:ChIJ2VTVnFArXDkRXVkB-RUaL60,part_101,2026-09-20 16:56:44
Shree Sai South indian Hotel (Andhra Mess),Pure Veg Restaurant,Andhra restaurant,"Andhra restaurant, South Indian restaurant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 96873 16662,N/A,4.4,,"BLOCK-F, Shop no 133,First floor, near SBI bank, Infocity, Gandhinagar, Gujarat 382007",Infocity,23.1960002,72.6337826,ChIJVVWp3jkqXDkR9w9Bhu8x-uw,https://www.google.com/maps/place/?q=place_id:ChIJVVWp3jkqXDkR9w9Bhu8x-uw,part_101,2026-09-20 16:56:44
KHADYAM,Pure Veg Restaurant,Vegetarian restaurant,Vegetarian restaurant,382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 98791 06203,N/A,5.0,,"Shop no. A-6, Shree Residency, near HDFC Bank, opp. Shivanjali Imperia, Gandhinagar, Gujarat 382419",382006,23.2003541,72.60975839999999,ChIJeQPBIZcpXDkRJ5fzx8kZJYQ,https://www.google.com/maps/place/?q=place_id:ChIJeQPBIZcpXDkRJ5fzx8kZJYQ,part_101,2026-09-20 16:56:44
The Matka Khichdi,Pure Veg Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Brunch restaurant, Indian restaurant, Organic restaurant, Modern Indian restaurant",382006,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Gandhinagar Sector 6 SO,+91 78620 22317,http://thematkakhichdi.com/,4.6,,"85-86, Pramukh Mastana, Gandhinagar-Koba Highway, Near, Reliance Cross Rd, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.184939099999998,72.63214479999999,ChIJp89BEhkrXDkRwYckuepAP4w,https://www.google.com/maps/place/?q=place_id:ChIJp89BEhkrXDkRwYckuepAP4w,part_101,2026-09-20 16:56:44
