business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Chamunda motors- second hand two wheeler dealer,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 93135 91035,https://www.instagram.com/chamunda_motors_official/,5.0,,"Shree chamunda auto parts and service, Vishwakarma Shopping, Rd Number 6, opp. sankalpsidhh hanu man tample, Sector 21, Gandhinagar, Gujarat 382021",Sector 21,23.233627199999997,72.66824749999999,ChIJlRGqiqIrXDkRcEvoerJ5Fyw,https://www.google.com/maps/place/?q=place_id:ChIJlRGqiqIrXDkRcEvoerJ5Fyw,part_101,2026-09-20 16:58:10
M/S ROYAL MOTORS,Two Wheeler Showroom and Dealer,Motorcycle shop,Motorcycle shop,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 98258 03397,N/A,3.5,,"PLOT NO 144, nr. RAJESHRI CINEMA, Sector 21, Gandhinagar, Gujarat 382021",Sector 21,23.2318864,72.6683992,ChIJAcUmub0rXDkRAfc87IhoycA,https://www.google.com/maps/place/?q=place_id:ChIJAcUmub0rXDkRAfc87IhoycA,part_101,2026-09-20 16:58:10
YADAV BAJAJ (Motorcycle Dealer in Kota),Two Wheeler Showroom and Dealer,Two Wheeler Dealer,"Two Wheeler Dealer, Motorcycle shop",382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 93586 00261,N/A,4.8,,"146/147, 147, A, Sector - A, Shrinath Puram, Kota, Kota Municipal Area, Rajasthan 324005","Sector - A, Shrinath Puram",25.1334974,75.8231368,ChIJhfMVk7yFbzkRWZ2BW7W-WFM,https://www.google.com/maps/place/?q=place_id:ChIJhfMVk7yFbzkRWZ2BW7W-WFM,part_101,2026-09-20 16:58:10
Jai Vankhandi Motors,Two Wheeler Showroom and Dealer,Motor vehicle dealer,"Motor vehicle dealer, Motorcycle shop",382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 94133 37444,http://facebook.com/jaivankhandimotors,4.9,,"Kota, Road, Sultanpur, Rajasthan 325204",382010,25.285699299999997,76.1652488,ChIJQXbB7AjsbzkRdJG-RrvBKvI,https://www.google.com/maps/place/?q=place_id:ChIJQXbB7AjsbzkRdJG-RrvBKvI,part_101,2026-09-20 16:58:10
New Chandigarh Automobiles,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 98550 77087,N/A,4.0,,"Mullanpur Ratwara Sahib, Mullanpur Garibdass, Punjab 140901",Mullanpur Ratwara Sahib,30.795597899999997,76.7422002,ChIJe9kQawjzDzkRsNJds0ylvuI,https://www.google.com/maps/place/?q=place_id:ChIJe9kQawjzDzkRsNJds0ylvuI,part_101,2026-09-20 16:58:10
Narmada Honda,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 94901 40702,http://www.narmadahonda.com/,4.8,,"Hanumanpura, Old Palamoor, Mahbubnagar, Telangana 509001","Hanumanpura, Old Palamoor",16.7341257,77.9868824,ChIJKxpskzomyjsR44ruqM1UlQc,https://www.google.com/maps/place/?q=place_id:ChIJKxpskzomyjsR44ruqM1UlQc,part_101,2026-09-20 16:58:10
G STAR MOTORS,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 97030 27928,N/A,5.0,,"12, H, 12, NBT Nagar Rd, near GOVT SCHOOL, Banjara Hills, Hyderabad, Telangana 500028","Banjara Green Colony, NBT Nagar, Banjara Hills",17.4096825,78.43128279999999,ChIJRY7dJpmXyzsRJFa48GucRUc,https://www.google.com/maps/place/?q=place_id:ChIJRY7dJpmXyzsRJFa48GucRUc,part_101,2026-09-20 16:58:10
Honda Two Wheelers Showroom - SANSAAR HONDA,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 81711 88188,https://sansaarhonda.in/,4.4,,"Sansaar House, Road, near Hotel Gang Tarang, Gandhi Ashram Colony, Singhdwar, Bharav Mandir Colony, Kankhal, Haridwar, Uttarakhand 249404","Gandhi Ashram Colony, Singhdwar, Bharav Mandir Colony, Kankhal",29.9265546,78.1327902,ChIJCTmhszhGCTkRSBj9_uWT8GU,https://www.google.com/maps/place/?q=place_id:ChIJCTmhszhGCTkRSBj9_uWT8GU,part_101,2026-09-20 16:58:10
DS HONDA Raipur road ladpur dehradun,Two Wheeler Showroom and Dealer,Two Wheeler Dealer,Two Wheeler Dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 95209 92731,N/A,4.7,,"Raipur Rd, Kailash Vihar, Ladpur, Dehradun, Uttarakhand 248008","Kailash Vihar, Ladpur",30.3202499,78.07669659999999,ChIJcffdzHIpCTkRadhDyJr3nQA,https://www.google.com/maps/place/?q=place_id:ChIJcffdzHIpCTkRadhDyJr3nQA,part_101,2026-09-20 16:58:10
Shree Shakti Lining Works (Seat Cover),Two Wheeler Showroom and Dealer,Seat dealer,Seat dealer,382010,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Gujarat HO, Vidhansabha SO, New Sachivalaya Complex SO",+91 99244 52961,N/A,4.7,,"6JJX+H8X, opposite inox, Sector 16, Gandhinagar, Gujarat 382016",Sector 16,23.2314841,72.64835099999999,ChIJne7vDAErXDkR94hmgqcunCg,https://www.google.com/maps/place/?q=place_id:ChIJne7vDAErXDkR94hmgqcunCg,part_101,2026-09-20 16:58:10
