business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
BirlaNu Putty Distributor - Yadav Paints,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 94164 99943,https://birlanu.com/,,,"Kalaka Rd, Vikas Nagar, Vijay Nagar, Haryana 123110","Vikas Nagar, Vijay Nagar",28.1887166,76.6403361,ChIJq5iSswJQDTkR1wznVdmvKOM,https://www.google.com/maps/place/?q=place_id:ChIJq5iSswJQDTkR1wznVdmvKOM,part_101,2026-09-20 17:01:14
JANSON PAINT CENTRE,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 98453 42443,https://younicornportfolios.com/JANSON-PAINT-CENTRE,5.0,,"164, Dispensary Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001","Tasker Town, Shivaji Nagar",12.982161999999999,77.6063601,ChIJ5YmDdAAXrjsRrmwj6b7MH5Q,https://www.google.com/maps/place/?q=place_id:ChIJ5YmDdAAXrjsRrmwj6b7MH5Q,part_101,2026-09-20 17:01:14
SREE SRINIVAS TRADERS,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 97430 75999,N/A,,,"Ramachandrappa Layout, 247, North, near Hill Rock school, Sir M Vishweshwaraiah Layout 6th Block, Yashwanthpura Holli, Ullal Uppanagar, Kodigehalli, Bengaluru, Karnataka 560091","Sir M Vishweshwaraiah Layout 6th Block, Yashwanthpura Holli, Ullal Uppanagar",12.963984,77.47231769999999,ChIJyy-zZrk9rjsRXBQxPO8jsVc,https://www.google.com/maps/place/?q=place_id:ChIJyy-zZrk9rjsRXBQxPO8jsVc,part_101,2026-09-20 17:01:14
Bharat Paints,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 97564 64925,N/A,5.0,,"Chandpur, Uttar Pradesh 246725",382030,29.1365244,78.2676688,ChIJJayTTEqWCzkRFgSfRdQwrt4,https://www.google.com/maps/place/?q=place_id:ChIJJayTTEqWCzkRFgSfRdQwrt4,part_101,2026-09-20 17:01:14
Paint House,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",N/A,N/A,,,"Sai Nagar, Bambedkar Nagar, Arvi, Maharashtra 442201","Sai Nagar, Bambedkar Nagar",21.0057874,78.2259795,ChIJmR7tE0gU1DsR83vO5zO5vcM,https://www.google.com/maps/place/?q=place_id:ChIJmR7tE0gU1DsR83vO5zO5vcM,part_101,2026-09-20 17:01:14
Jai Chandra Hardwares,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 98451 10423,http://www.asianpaints.com/,4.5,214.0,"No New 32, Old No162, S End Rd, Vijayarangam Layout, Basavanagudi, Bengaluru, Karnataka 560004","Vijayarangam Layout, Basavanagudi",12.9366866,77.57556699999999,ChIJAQAAwJIVrjsRjUv8RsSsQwM,https://www.google.com/maps/place/?q=place_id:ChIJAQAAwJIVrjsRjUv8RsSsQwM,part_101,2026-09-20 17:01:14
Farsons paints,Paint and Putty Dealer,Paint store,Paint store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 98867 12194,http://www.farsonspaints.in/,4.6,258.0,"64/2, Siddaiah Rd, Sudhama Nagar, Bengaluru, Karnataka 560027",Sudhama Nagar,12.9544676,77.5896551,ChIJxRh9JcMVrjsR7Mhz3DI_oL0,https://www.google.com/maps/place/?q=place_id:ChIJxRh9JcMVrjsR7Mhz3DI_oL0,part_101,2026-09-20 17:01:14
​Janson hardware,Paint and Putty Dealer,Paint store,"Paint store, Auto painting, Paint Manufacturer, Painter, Painting, Paintings store",382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 98867 52189,https://mydigitalcard.store/Janson-Hardware-,4.5,136.0,"6, 9th cross, Siddaiah Rd, Sudhama Nagar, Bengaluru, Karnataka 560027",Sudhama Nagar,12.9550717,77.5901106,ChIJi5lG4nkWrjsRlqfvDO-rS38,https://www.google.com/maps/place/?q=place_id:ChIJi5lG4nkWrjsRlqfvDO-rS38,part_101,2026-09-20 17:01:14
J. K. Protomax Pvt. Ltd.,Paint and Putty Dealer,Paint Manufacturer,Paint Manufacturer,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 93304 91049,https://jkprotomax.in/,4.7,44.0,"J K PROTOMAX PVT. LTD. PSIXL, 5TH FLOOR, ROOM NO. 501, SERVICE ROAD, Rajarhat Main Rd, Atghara, Rajarhat, Kolkata, West Bengal 700136","Atghara, Rajarhat",22.623650899999998,88.4439658,ChIJkQ_Sw8l3AjoRX2Gn71iH6EQ,https://www.google.com/maps/place/?q=place_id:ChIJkQ_Sw8l3AjoRX2Gn71iH6EQ,part_101,2026-09-20 17:01:14
Aiswaryam Paints & Hardwares,Paint and Putty Dealer,Hardware store,Hardware store,382030,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gandhinagar Sector 29 SO, Gandhinagar Sector 30 SO",+91 94461 44990,N/A,4.9,91.0,"Attakulangara, Thiruvananthapuram, Keralam 695036",Attakulangara,8.479546,76.9503375,ChIJKfmnxgO7BTsRSS63s4U5Brw,https://www.google.com/maps/place/?q=place_id:ChIJKfmnxgO7BTsRSS63s4U5Brw,part_101,2026-09-20 17:01:14
