business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
HETANSHI BEAUTY PARLOUR,Beauty Parlour,Beauty Parlour,Beauty Parlour,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 84888 45788,N/A,5.0,4.0,"25, OM BUNGALOWS, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.265230799999998,72.6625011,ChIJe2hrGcQtXDkRwY0TKnwkMbc,https://www.google.com/maps/place/?q=place_id:ChIJe2hrGcQtXDkRwY0TKnwkMbc,part_101,2026-09-20 17:01:51
S.R.Beauty Zone,Beauty Parlour,Beauty Parlour,Beauty Parlour,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 97142 74992,N/A,4.8,4.0,"First Floor, Shiv Shakti Avenue, Shop no 117, opp. Somnath Society, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.265604099999997,72.6697456,ChIJ8e5x1-UtXDkRTGXiirbrPUc,https://www.google.com/maps/place/?q=place_id:ChIJ8e5x1-UtXDkRTGXiirbrPUc,part_101,2026-09-20 17:01:51
Maangal Beauty Care,Beauty Parlour,Beauty Parlour,Beauty Parlour,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 93289 42623,N/A,5.0,6.0,"shop no. 202, keshav arcade, Pethapur, pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2630899,72.66524869999999,ChIJK__wZjstXDkR2eUrHbAgMCQ,https://www.google.com/maps/place/?q=place_id:ChIJK__wZjstXDkR2eUrHbAgMCQ,part_101,2026-09-20 17:01:51
Liza's beauty care,Beauty Parlour,Beauty Parlour,Beauty Parlour,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 90331 77301,N/A,5.0,1.0,"Block no 87, sanjari park 2, near GEB Road, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.264047599999998,72.6748951,ChIJFWgZrxMtXDkR7LwHnsPVFnQ,https://www.google.com/maps/place/?q=place_id:ChIJFWgZrxMtXDkR7LwHnsPVFnQ,part_101,2026-09-20 17:01:51
Glam Nails by Jill,Beauty Parlour,Nail salon,Nail salon,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 81606 35881,N/A,5.0,23.0,"Jalaram park society, 35, near SBI bank, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.267475299999997,72.6660133,ChIJ43PS2zwtXDkR3zHZPo1zyjw,https://www.google.com/maps/place/?q=place_id:ChIJ43PS2zwtXDkR3zHZPo1zyjw,part_101,2026-09-20 17:01:51
The Look Beauty Care,Beauty Parlour,Beauty Parlour,Beauty Parlour,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 88494 88597,N/A,,,"Jalaram park society, 13, near sbi bank, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2676821,72.66524059999999,ChIJ8WdHAIktXDkRXmQWJ55ICWQ,https://www.google.com/maps/place/?q=place_id:ChIJ8WdHAIktXDkRXmQWJ55ICWQ,part_101,2026-09-20 17:01:51
Beauty Zone,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist, Nail salon, Skin care clinic, Hairdresser, Waxing hair removal service",382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 99500 19014,https://www.beautyzonejaipur.com/,5.0,785.0,"Shop No. 2, Ganesh Aangan Apartment, Dhawas Road, Janki Vihar, West, Vaishali Nagar, Jaipur, Jaipur Nagar Nigam Area, Rajasthan 302024","Janki Vihar, West, Vaishali Nagar",26.8926859,75.7227331,ChIJedOH5YK1bTkRgNuDROxcYyg,https://www.google.com/maps/place/?q=place_id:ChIJedOH5YK1bTkRgNuDROxcYyg,part_101,2026-09-20 17:01:51
Sakshi Beauty Parlour & Makeup Studio,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Make-up artist",382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,N/A,N/A,4.7,238.0,"177, Street Number 7, Bhola Nath Nagar, Block B, Shahdara, Delhi, 110032","Bhola Nath Nagar, Block B, Shahdara",28.6706115,77.2870147,ChIJAV989uz7DDkRe-w3Wpk_rHU,https://www.google.com/maps/place/?q=place_id:ChIJAV989uz7DDkRe-w3Wpk_rHU,part_101,2026-09-20 17:01:51
Krupa Beauty Care & Classes,Beauty Parlour,Beauty Parlour,Beauty Parlour,382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 63566 93773,N/A,5.0,7.0,"Shop no 21, B/H ramdev mandir, old pranam square, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.265451,72.6698755,ChIJ40fzwoEtXDkRzoQKvScsT-g,https://www.google.com/maps/place/?q=place_id:ChIJ40fzwoEtXDkRzoQKvScsT-g,part_101,2026-09-20 17:01:51
P7 Star Smart Unisex Salon & Academy - Bridal Makeup in Dehradun | Hair Color | Nail Extension | Hair Extension | Eyelashes,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Eyelash salon, Hair transplantation clinic, Make-up artist, Nail salon, Waxing hair removal service",382041,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Thermal Power Station SO,+91 63958 19217,https://www.facebook.com/p7starsalon?mibextid=ZbWKwL,4.8,2223.0,"203-A, Vasant Vihar Phase 2, Balliwala, Dehradun, Uttarakhand 248007",Balliwala,30.3272166,77.9956114,ChIJARTEOCkrCTkRmc4uA_JWOWs,https://www.google.com/maps/place/?q=place_id:ChIJARTEOCkrCTkRmc4uA_JWOWs,part_101,2026-09-20 17:01:52
