business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
DIAMOND GLASS AND ART WORK,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 98536 75350,N/A,4.9,65.0,"Laxmisagar Canal Rd, Santoshi Vihar Square, Laxmisagar, Bhubaneswar, Odisha 751006","Santoshi Vihar Square, Laxmisagar",20.265168,85.8572779,ChIJD5h-xrCgGToRH2U63AuxL1k,https://www.google.com/maps/place/?q=place_id:ChIJD5h-xrCgGToRH2U63AuxL1k,part_101,2026-09-20 17:09:53
Aggarwal Glass,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 98769 10519,N/A,3.9,106.0,"Goniana Road, near axis bank, opposite improvement trust office, Parjapat Colony, Mata Jivi Nagar, Bathinda, Punjab 151001","Parjapat Colony, Mata Jivi Nagar",30.225985599999998,74.9375235,ChIJ0-yKj-wyFzkRLGTnURqyyVg,https://www.google.com/maps/place/?q=place_id:ChIJ0-yKj-wyFzkRLGTnURqyyVg,part_101,2026-09-20 17:09:53
Raja Glass House,Glass and Mirror Merchant,Hardware store,"Hardware store, Glass manufacturer",382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 98878 87101,N/A,4.8,17.0,"Banswara, Udaipur, Rajasthan 313027",Shriram Colony,23.541383099999997,74.43667669999999,ChIJC_v7eMvFZjkRDYJjXciBG_0,https://www.google.com/maps/place/?q=place_id:ChIJC_v7eMvFZjkRDYJjXciBG_0,part_101,2026-09-20 17:09:53
Ashapura Glass House,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 88900 59929,https://www.instagram.com/reel/Cw0S9T0y5dG/?igshid=MTc4MmM1YmI2Ng==,5.0,3.0,"Banswara main rode, Partapur, Garhi, Rajasthan 327024",382213,23.5959458,74.18144319999999,ChIJwcP-V5snZzkRGZJ49-A9d4s,https://www.google.com/maps/place/?q=place_id:ChIJwcP-V5snZzkRGZJ49-A9d4s,part_101,2026-09-20 17:09:53
Vijaya Glass House,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 98457 49934,N/A,4.7,129.0,"Shop No:#951, opposite supriya hospital, near ring road, Hinkal, Hutagalli, Karnataka 570017",Hinkal,12.333725999999999,76.5995101,ChIJEeGOSP96rzsR-oNUqsmADiE,https://www.google.com/maps/place/?q=place_id:ChIJEeGOSP96rzsR-oNUqsmADiE,part_101,2026-09-20 17:09:53
Bhavani Enterprises - Saint Gobain Glass Dealers Hosur,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 94433 50467,https://www.saint-gobain-glass.com/,4.4,29.0,"Plot No 42&43, New SIDCO Industrial Area, Sri Nagar, Hosur, Tamil Nadu 635109","New SIDCO Industrial Area, Sri Nagar",12.7389529,77.8267152,ChIJaVxhlT1xrjsRb24OxY6AySs,https://www.google.com/maps/place/?q=place_id:ChIJaVxhlT1xrjsRb24OxY6AySs,part_101,2026-09-20 17:09:53
New Indian Glass Agency,Glass and Mirror Merchant,Glass & mirror shop,Glass & mirror shop,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 92072 20666,http://www.newindianglassagency.com/,4.1,96.0,"North Kottachery, Puthiyavalapu, Kanhangad, Keralam 671531","North Kottachery, Puthiyavalapu",12.3285216,75.091212,ChIJdWPAZzh8pDsRRvJGWo9uizo,https://www.google.com/maps/place/?q=place_id:ChIJdWPAZzh8pDsRRvJGWo9uizo,part_101,2026-09-20 17:09:53
Metro Glass Centre,Glass and Mirror Merchant,Glass & mirror shop,"Glass & mirror shop, Glass shop, Glass cutting service, Glass etching service, Glass merchant",382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 99707 12666,https://www.metroglass.in/,4.3,114.0,"17, Ambadi Rd, Navghar Manikpur, Vishal Nagar, Vasai West, Vasai-Virar, Maharashtra 401202","Navghar Manikpur, Vishal Nagar, Vasai West",19.3861032,72.8271192,ChIJiYG5vLiu5zsRlLeSuLjBu6c,https://www.google.com/maps/place/?q=place_id:ChIJiYG5vLiu5zsRlLeSuLjBu6c,part_101,2026-09-20 17:09:54
Meet Glass Traders,Glass and Mirror Merchant,Glass manufacturer,"Glass manufacturer, Auto glass shop, Fiberglass supplier, Glass blower, Sunglasses store",382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",+91 99983 31055,N/A,3.7,3.0,"19, Nandi Shopping Center, India Colony Rd, near Trimurti Complex, Sarvoday Society, Thakkarbapanagar, Bapunagar, Ahmedabad, Gujarat 380024","Sarvoday Society, Thakkarbapanagar, Bapunagar",23.0390332,72.6378726,ChIJ9fucJJOGXjkRKmF3i2EfYi0,https://www.google.com/maps/place/?q=place_id:ChIJ9fucJJOGXjkRKmF3i2EfYi0,part_101,2026-09-20 17:09:54
M S Glass,Glass and Mirror Merchant,Manufacturer,Manufacturer,382213,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Changodar SO, Devtimoti BO, Matoda BO",N/A,N/A,,,"A 2, Ramdev estate, Amul fan compound, M S Glass 10, Gota, Ahmedabad, Gujarat 382481",Gota,23.093394699999997,72.5403931,ChIJyy0nXgCDXjkRH1Cvq426gdg,https://www.google.com/maps/place/?q=place_id:ChIJyy0nXgCDXjkRH1Cvq426gdg,part_101,2026-09-20 17:09:54
