business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Kinju Beauty Studio,Beauty Parlour,Make-up artist,Make-up artist,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 84019 81435,https://www.instagram.com/kinju_beauty_studio?igsh=MWVpOHN6ZnQzYTVhMg==,5.0,,"Holi Chakla, Khara kuva, nr. Gajanand Bank, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7226696,72.4403476,ChIJW1OdAiLtXjkRPUukbXqvxEI,https://www.google.com/maps/place/?q=place_id:ChIJW1OdAiLtXjkRPUukbXqvxEI,part_102,2026-09-20 16:40:16,3516
Anu beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 84012 62624,N/A,5.0,,"001, Marutinagar, Maghiya, Dholka, Gujarat 382225","Marutinagar, Maghiya",22.718327499999997,72.43723949999999,ChIJ--E0JgDtXjkRRCyG9frJVe8,https://www.google.com/maps/place/?q=place_id:ChIJ--E0JgDtXjkRRCyG9frJVe8,part_102,2026-09-20 16:40:16,3517
Niks Beauty Studio,Beauty Parlour,Make-up artist,Make-up artist,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 96247 87948,N/A,5.0,,"Lohana Boarding, Near, Char Sheri Rd, behind H K Patel School, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7234837,72.4425156,ChIJw87c377tXjkRgK-91EyE0Fw,https://www.google.com/maps/place/?q=place_id:ChIJw87c377tXjkRgK-91EyE0Fw,part_102,2026-09-20 16:40:16,3518
Highlight Beauty Parlour,Beauty Parlour,Hair salon,Hair salon,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98792 16127,N/A,5.0,,"Rahemani Complex, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7265595,72.4407955,ChIJoxfgmeTtXjkRgbfmtnleu7U,https://www.google.com/maps/place/?q=place_id:ChIJoxfgmeTtXjkRgbfmtnleu7U,part_102,2026-09-20 16:40:16,3519
Reshmi Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 78783 21045,N/A,5.0,,"Shop no. 212, Sai Avenue complex, near Aayat Hospital, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7272931,72.43841739999999,ChIJwzohqFbtXjkRvvARjwA-UUA,https://www.google.com/maps/place/?q=place_id:ChIJwzohqFbtXjkRvvARjwA-UUA,part_102,2026-09-20 16:40:16,3520
Hasti beauty care,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 6355 692 534,N/A,5.0,,"f7, HP petrol pump, parshwanath circle, Sri ram complex, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7460558,72.4465261,ChIJIxI-fdTtXjkRNSl0iKP27_0,https://www.google.com/maps/place/?q=place_id:ChIJIxI-fdTtXjkRNSl0iKP27_0,part_102,2026-09-20 16:40:16,3521
Viva beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 80928 32159,N/A,4.3,,"shop no. 5, dev vihar ke samne, Baijnath society, Kalikund, Gujarat 382225",Kalikund,22.7551301,72.4568523,ChIJhc1l8yiTXjkRWkZpJHzW5Yk,https://www.google.com/maps/place/?q=place_id:ChIJhc1l8yiTXjkRWkZpJHzW5Yk,part_102,2026-09-20 16:40:16,3522
Saheli Beauty Parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Hair salon",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99243 57701,N/A,4.5,,"Lucky Chowk, main, Dholka, Gujarat 382225",Lilajpur,22.728579099999997,72.4408967,ChIJQVfgAInsXjkR0pUnOQ9guSc,https://www.google.com/maps/place/?q=place_id:ChIJQVfgAInsXjkR0pUnOQ9guSc,part_102,2026-09-20 16:40:16,3523
Amazing Beauty,Beauty Parlour,Beauty supply store,Beauty supply store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 70968 58230,N/A,4.8,,"Hariom shopping center, paswanath road, Kalikund, Dholka, Gujarat 382225",Kalikund,22.743681799999997,72.4421124,ChIJ4ba_uaTtXjkRSfQZscYuzig,https://www.google.com/maps/place/?q=place_id:ChIJ4ba_uaTtXjkRSfQZscYuzig,part_102,2026-09-20 16:40:16,3524
Anjana Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,,"R9P8+R48, Rajoda, Anjana, Bavla, Gujarat 382220",Rajoda,22.8370343,72.365335,ChIJi6WoHACVXjkRaeUbIUy4cZ8,https://www.google.com/maps/place/?q=place_id:ChIJi6WoHACVXjkRaeUbIUy4cZ8,part_102,2026-09-20 16:40:16,3525
Kinjal Beauty Parlour & classes,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 96249 88382,N/A,4.8,,"Teen Batti, Bareja, Gujarat 382425",Teen Batti,22.851157099999998,72.5920608,ChIJn5fi-mmMXjkROumy8MDyeqQ,https://www.google.com/maps/place/?q=place_id:ChIJn5fi-mmMXjkROumy8MDyeqQ,part_102,2026-09-20 16:40:16,3526
Z Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"Khanpur, Gujarat 382225",382225,22.704828499999998,72.387346,ChIJP-64NgDrXjkROzal4TqERek,https://www.google.com/maps/place/?q=place_id:ChIJP-64NgDrXjkROzal4TqERek,part_102,2026-09-20 16:40:17,3527
Zaini Beauty Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Facial spa, Make-up artist, Nail salon, Training center",382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 98257 85635,https://www.instagram.com/invites/contact/?i=1pz6z1vtc07b2&utm_content=1dct6kb,4.8,183.0,"MB Towers, B block, 1, Makubhai Sheth Marg, opposite Pushpak Complex, Khanpur, Ahmedabad, Gujarat 380001","Old City, Khanpur",23.0322213,72.5778286,ChIJZwLAeWGFXjkR4XarvsckNQI,https://www.google.com/maps/place/?q=place_id:ChIJZwLAeWGFXjkR4XarvsckNQI,part_102,2026-09-20 16:40:56,8394
diwan beauty parlour,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Mehndi Designer",382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 63521 18872,N/A,,,"Viramgam, Vekariya, Gujarat 382110",382230,22.818584299999998,72.0621054,ChIJ9wyCweu3XjkRfxe58DuVfbo,https://www.google.com/maps/place/?q=place_id:ChIJ9wyCweu3XjkRfxe58DuVfbo,part_102,2026-09-20 16:40:56,8395
Blossom Hair Beauty Makeup,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 70167 64144,https://rutublossom.com/,4.9,258.0,"Shop 14, Dhananjay elegance, Karmachari Nagar Rd, opp. ARJUN GRACE, Ghatlodiya, Ahmedabad, Gujarat 380063",Ghatlodiya,23.062833599999998,72.54559569999999,ChIJnUdvbzyDXjkRtkInp2GOrfE,https://www.google.com/maps/place/?q=place_id:ChIJnUdvbzyDXjkRtkInp2GOrfE,part_102,2026-09-20 16:40:56,8396
My beauty salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 76007 07033,N/A,5.0,4.0,"1st floor, Madhuvan complex, opp. bus station, Thakker Nagar Society, Rajoda, Bavla, Gujarat 382220","Thakker Nagar Society, Rajoda",22.835401599999997,72.3655802,ChIJA_YVXQaVXjkRIiM6cPVdd98,https://www.google.com/maps/place/?q=place_id:ChIJA_YVXQaVXjkRIiM6cPVdd98,part_102,2026-09-20 16:40:56,8397
Mahi Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 88665 27184,N/A,5.0,3.0,"Shreedhar Society, 13, nr. Girl's High school, Bavla, Gujarat 382220",Rajoda,22.8325238,72.37116979999999,ChIJK6BYDp6VXjkR5Bc3nRw4UEo,https://www.google.com/maps/place/?q=place_id:ChIJK6BYDp6VXjkR5Bc3nRw4UEo,part_102,2026-09-20 16:40:56,8398
She's Beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 76002 42371,N/A,4.9,156.0,"E403, VANDEMATARAM ICON, NR Vandematram Cross Rd, Gota, Ahmedabad, Gujarat 382481",Gota,23.097469,72.5475811,ChIJc5_WBNCDXjkRnh-uY9ijcsM,https://www.google.com/maps/place/?q=place_id:ChIJc5_WBNCDXjkRnh-uY9ijcsM,part_102,2026-09-20 16:40:56,8399
RAJ BEAUTY PARLOUR(*Ladies only),Beauty Parlour,Beautician,Beautician,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 97142 45052,N/A,5.0,6.0,"Raj Beauty Parlour, opp. talapad vas, near Ghoomliya ni deli, Vallabh Nagar Society, Bavla, Gujarat 382220",Vallabh Nagar Society,22.826717,72.3644654,ChIJO-EPowuVXjkRWIOId3iHCOc,https://www.google.com/maps/place/?q=place_id:ChIJO-EPowuVXjkRWIOId3iHCOc,part_102,2026-09-20 16:40:56,8400
Misk Beauty Salon,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 95585 28217,http://miskbeautysalon.in/,4.9,123.0,"near, kaliyani wad, opp. Patthar Wali Masjid, Old City, chakla, Khanpur, Ahmedabad, Gujarat 380001","Old City, chakla, Khanpur",23.0301534,72.57868359999999,ChIJu0pBWG2FXjkR7JdvvdwmO90,https://www.google.com/maps/place/?q=place_id:ChIJu0pBWG2FXjkR7JdvvdwmO90,part_102,2026-09-20 16:40:56,8401
Komal Beauty Parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 92272 12929,N/A,4.6,321.0,"Shop No 2 Upper Level, Rudra Plaza, Judges Bunglow Rd, near Mother Milk Lane, Bodakdev, Ahmedabad, Gujarat 380015",Bodakdev,23.035561299999998,72.5153777,ChIJ9cElMkqbXjkRmGuK4sYqrUY,https://www.google.com/maps/place/?q=place_id:ChIJ9cElMkqbXjkRmGuK4sYqrUY,part_102,2026-09-20 16:40:56,8402
Meera Beauty Palace,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 99791 23755,N/A,4.9,21.0,"G.F. -2, Swaminarayan Park -4, B/h. G.B. Shah Collage, New, Vasna, Ahmedabad, Gujarat 380007",Vasna,22.9926988,72.542076,ChIJGR1Psj-FXjkRaLx18TiTdss,https://www.google.com/maps/place/?q=place_id:ChIJGR1Psj-FXjkRaLx18TiTdss,part_102,2026-09-20 16:40:56,8403
Be U Smart Salon,Beauty Parlour,Beauty Parlour,"Beauty Parlour, Barber shop, Beautician, Facial spa, Hair removal service, Make-up artist, Nail salon, Skin care clinic, Hairdresser, Waxing hair removal service",382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 91572 42242,https://www.beusmartsalon.com/,4.7,743.0,"First Floor, SATYAMEV EMINENCE, FF 104, Science City Rd, Sola, Ahmedabad, Gujarat 380060",Sola,23.072236399999998,72.51530319999999,ChIJobdk4_idXjkRz-6FTUfUFWc,https://www.google.com/maps/place/?q=place_id:ChIJobdk4_idXjkRz-6FTUfUFWc,part_102,2026-09-20 16:40:56,8404
A.K hear salun,Beauty Parlour,Nail salon,Nail salon,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,5.0,1.0,"Q7Q9+F2R, Chhabasar, Gujarat 382220",382230,22.7887508,72.2672296,ChIJ8bxXXgC_XjkRGrrCPoYKB8Y,https://www.google.com/maps/place/?q=place_id:ChIJ8bxXXgC_XjkRGrrCPoYKB8Y,part_102,2026-09-20 16:40:56,8405
Janvi beauty parlour,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,,,"MX8C+H8G, Parnala, Gujarat 363427",382230,22.666431799999998,71.9708136,ChIJc2ZsGwDLXjkRhAu6m4N42po,https://www.google.com/maps/place/?q=place_id:ChIJc2ZsGwDLXjkRhAu6m4N42po,part_102,2026-09-20 16:40:56,8406
રનેહલ બ્યુટી પાર્લર,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,,,"M5Q5+F87, Mukhi Bapa Rd, Shiyal, Gujarat 382230",382230,22.6886635,72.1582849,ChIJ6YKB7DPGXjkRkuOdHLxkekk,https://www.google.com/maps/place/?q=place_id:ChIJ6YKB7DPGXjkRkuOdHLxkekk,part_102,2026-09-20 16:40:56,8407
Kiara beauty studio,Beauty Parlour,Beauty Parlour,Beauty Parlour,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 92659 86271,https://www.zylu.co/kiara-beauty-studio,4.7,,"Sarkari Tubewell Rd, near Labana cake's, opp. KADAMB FLATS, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.0284925,72.4728923,ChIJc7SUSAibXjkReMKPUhGftwo,https://www.google.com/maps/place/?q=place_id:ChIJc7SUSAibXjkReMKPUhGftwo,part_102,2026-09-20 16:40:57,8408
