business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SHREE SANATAN STATIONERY MART,Bookstore and Stationery Shop,Pen store,Pen store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 78741 74248,N/A,4.0,8.0,"A/3, Alka Complex, Alka Talkiz Road, Dholka, Dholka, Gujarat 382225",Radhanpuri,22.7282889,72.4387437,ChIJj1jBK-ztXjkRQB6OrLA_Jj0,https://www.google.com/maps/place/?q=place_id:ChIJj1jBK-ztXjkRQB6OrLA_Jj0,part_102,2026-09-20 16:40:22,4426
Ashapururi stationary,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"PCHQ+9J4, Alka Rd, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.728383899999997,72.439076,ChIJwR6VOwDtXjkRdrct1RXGVjk,https://www.google.com/maps/place/?q=place_id:ChIJwR6VOwDtXjkRdrct1RXGVjk,part_102,2026-09-20 16:40:22,4427
Kaira Xerox,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 94286 60174,N/A,5.0,109.0,"AMBICA CIRCLE, near COLLEGE, AMBICA CIRC, Bhavani Society, Dholka, Gujarat 382225","AMBICA CIRC, Bhavani Society",22.7221342,72.4480286,ChIJmYFbo9LtXjkR4ctYdPzNwMY,https://www.google.com/maps/place/?q=place_id:ChIJmYFbo9LtXjkR4ctYdPzNwMY,part_102,2026-09-20 16:40:22,4428
Shah Books & Stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Game store, Outdoor sports store, Scrapbooking store, Children's Book Store, Toy store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 91372 25588,N/A,4.8,33.0,"Shop No.14, Sheladia Sarva, Shivalik Park View Road, Stanza Rd, Shela, Ahmedabad, Gujarat 380058",Khadiya,23.0100658,72.4579797,ChIJAbRw2lqbXjkRkoPHobm5jgk,https://www.google.com/maps/place/?q=place_id:ChIJAbRw2lqbXjkRkoPHobm5jgk,part_102,2026-09-20 16:40:22,4429
Ambika xerox,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99043 22100,N/A,4.3,29.0,"kalikund bavla opp. axix bank Dholka, Kalikund Cir, Kalikund, Ahmedabad, Gujarat 382225",Kalikund,22.7428366,72.44601109999999,ChIJ_c-Gf5TsXjkRQE9FC7Yv0uw,https://www.google.com/maps/place/?q=place_id:ChIJ_c-Gf5TsXjkRQE9FC7Yv0uw,part_102,2026-09-20 16:40:22,4430
Jay Adhya Shakti General & Stationers,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 81604 15652,N/A,2.5,4.0,"40, Jay ADHYA SHAKTI STATIONARY, opp. SL PATEL SCHOOL, PART-1, Hari Om Nagar, Dholka, Gujarat 382225","PART-1, Hari Om Nagar",22.720355299999998,72.44345969999999,ChIJ9___P6uDXjkRRxvJazGTHf8,https://www.google.com/maps/place/?q=place_id:ChIJ9___P6uDXjkRRxvJazGTHf8,part_102,2026-09-20 16:40:22,4431
Shubham stationery,Bookstore and Stationery Shop,Book store,Book store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,1.0,"Kudoz Khushboo Ice-cream 39/srifal Exotika Trasad chokdi, Hari Om Nagar, Dholka, Gujarat 382225",Hari Om Nagar,22.7194012,72.4420049,ChIJhbHg2UntXjkRolO3Tz3Z65M,https://www.google.com/maps/place/?q=place_id:ChIJhbHg2UntXjkRolO3Tz3Z65M,part_102,2026-09-20 16:40:22,4432
Vidyarthi Book Depot/ Vidyarthi Stationers,Bookstore and Stationery Shop,Stationery store,"Stationery store, Art supply store, Book store, Educational supply store, Office supply store, School supply store, Stationery wholesaler",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 63527 69130,https://vidyarthi-book-depot.grexa.site/,4.2,445.0,"Gandhi Rd, Old City, Tankshal, Kalupur, Ahmedabad, Gujarat 380001","Old City, Tankshal, Kalupur",23.024926,72.590443,ChIJwUtLQYuEXjkReonUbEINLmg,https://www.google.com/maps/place/?q=place_id:ChIJwUtLQYuEXjkReonUbEINLmg,part_102,2026-09-20 16:40:23,4433
New Mahaveer Book Center,Bookstore and Stationery Shop,Stationery store,"Stationery store, Art supply store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98869 60846,N/A,4.2,82.0,"SFS 407, 127/A, D6-65, Self Financed Society 208 Colony, 4th Phase, Yelahanka New Town, Bengaluru, Karnataka 560064","Self Financed Society 208 Colony, 4th Phase, Yelahanka New Town",13.102487,77.5731452,ChIJeWuq_YcYrjsRYBD0gmCuHpM,https://www.google.com/maps/place/?q=place_id:ChIJeWuq_YcYrjsRYBD0gmCuHpM,part_102,2026-09-20 16:40:23,4434
Bhagwati Books and Stationers,Bookstore and Stationery Shop,Book store,Book store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98250 07199,N/A,4.3,204.0,"21,1st floor, Murdhanya Complex, Opp. Super Society, Nr. R. H. Kapadiya School, Ramdevnagar, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0209251,72.51232279999999,ChIJVaaAYhWbXjkR4XiHJ_MfUBU,https://www.google.com/maps/place/?q=place_id:ChIJVaaAYhWbXjkR4XiHJ_MfUBU,part_102,2026-09-20 16:40:23,4435
Vijay book stores,Bookstore and Stationery Shop,Book store,"Book store, Bookbinder, Books Wholesaler, Gift shop, Novelty store, Office supply store, Office supply wholesaler, Paper store, Stationery store, Stationery wholesaler",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 81280 94010,N/A,4.1,250.0,"Shop No.1, Parthil Complex, near Mahavir bandhani, Patel Society, Rambagh, Maninagar, Ahmedabad, Gujarat 380008","Patel Society, Rambagh, Maninagar",22.995500999999997,72.6011458,ChIJXywBQuiFXjkRYLMF9ZDhSsM,https://www.google.com/maps/place/?q=place_id:ChIJXywBQuiFXjkRYLMF9ZDhSsM,part_102,2026-09-20 16:40:23,4436
Mahajan Book Depot,Bookstore and Stationery Shop,Book store,Book store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99252 40080,http://www.mahajanbook.com/,4.0,321.0,"3 - Titanium City Center Mall, near Sachin Tower, opp. Seema Hall, Ahmedabad, Gujarat 380015",Jodhpur Village,23.0125416,72.5228987,ChIJt5WkUtqEXjkR__r28cl1ceY,https://www.google.com/maps/place/?q=place_id:ChIJt5WkUtqEXjkR__r28cl1ceY,part_102,2026-09-20 16:40:23,4437
SRI KRISHNA BOOKS & STATIONERY,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Books Wholesaler, Children's Book Store, Comic book store, Law Book Store, Wholesaler",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 86670 19144,N/A,4.5,56.0,"52, G block, Park View Layout, Bengaluru, Karnataka 560092",Park View Layout,13.0635207,77.591794,ChIJDeLGuRQZrjsRAg8FuibOdeY,https://www.google.com/maps/place/?q=place_id:ChIJDeLGuRQZrjsRAg8FuibOdeY,part_102,2026-09-20 16:40:23,4438
The Ideal Book & Stationery,Bookstore and Stationery Shop,Book store,"Book store, Educational supply store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 87585 04711,N/A,5.0,8.0,"Patel computer, street, Bhesan, Gujarat 362020",382225,21.5543259,70.70394519999999,ChIJMy6e700JWDkRzplHVGGPAak,https://www.google.com/maps/place/?q=place_id:ChIJMy6e700JWDkRzplHVGGPAak,part_102,2026-09-20 16:40:23,4439
Sahitya Mandir Pustakalay,Bookstore and Stationery Shop,Book store,"Book store, Bookkeeping service, Books Wholesaler",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92285 90899,http://www.iasbookstall.in/,4.5,1205.0,"Shop No - 40, basement),Om Tower, Jodhpur Tekra, Indus Park, Satellite, Ahmedabad, Gujarat 380015","Indus Park, Satellite",23.0267584,72.5233037,ChIJVVVVhdGEXjkR59FSeSz9YpU,https://www.google.com/maps/place/?q=place_id:ChIJVVVVhdGEXjkR59FSeSz9YpU,part_102,2026-09-20 16:40:23,4440
Reader's Corner,Bookstore and Stationery Shop,Book store,Book store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 76229 53732,https://readers-corner.grexa.site/,4.9,925.0,"133, Ground Floor, Alpha Bazar, Venus Atlantis Park, 100 Feet Rd, near Nini's Kitchen, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.0116603,72.51113269999999,ChIJf4W0jfabXjkRvAyyT9cZaS0,https://www.google.com/maps/place/?q=place_id:ChIJf4W0jfabXjkRvAyyT9cZaS0,part_102,2026-09-20 16:40:23,4441
Reader's Corner,Bookstore and Stationery Shop,Book store,"Book store, Books Wholesaler, Comic book store, Rare book store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,http://www.instagram.com/readerscornerindia,4.8,232.0,"53, Ground floor, Shree Balaji Alpha Bazzar, nr. GLS College, opp. Netaji Road, Ellisbridge, Ahmedabad, Gujarat 380006",Ellisbridge,23.024906899999998,72.5594425,ChIJQTNJQ_qEXjkRAgMPtFEHJ9o,https://www.google.com/maps/place/?q=place_id:ChIJQTNJQ_qEXjkRAgMPtFEHJ9o,part_102,2026-09-20 16:40:23,4442
ROHIT BOOK DEPO,Bookstore and Stationery Shop,Book store,Book store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 90842 84478,N/A,5.0,1.0,"Sant Ravidas Nagar, Noorpur, Uttar Pradesh 246734",Sant Ravidas Nagar,29.146100399999998,78.4144774,ChIJKxHSZae7CzkRHOJChudpOuw,https://www.google.com/maps/place/?q=place_id:ChIJKxHSZae7CzkRHOJChudpOuw,part_102,2026-09-20 16:40:23,4443
Bhavik Stationery,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92658 33510,N/A,5.0,2.0,"G9, Kalpatru Arcade, opp. Nayara Petrol Pump, Moraiya, Gujarat 382213",382225,22.923789,72.421803,ChIJ08oUDwCXXjkRWFZx_ZmrQUE,https://www.google.com/maps/place/?q=place_id:ChIJ08oUDwCXXjkRWFZx_ZmrQUE,part_102,2026-09-20 16:40:23,4444
Indian book store,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 81718 41267,N/A,4.9,29.0,"Akbarabad, Begampur Shadi, Uttar Pradesh 246764",382225,29.479075299999998,78.3471366,ChIJbdNCXQDdCzkRWzqHAoDz__g,https://www.google.com/maps/place/?q=place_id:ChIJbdNCXQDdCzkRWzqHAoDz__g,part_102,2026-09-20 16:40:23,4445
agrawal book store,Bookstore and Stationery Shop,Book store,Book store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 76983 31700,N/A,4.2,26.0,"opp, PD Pandya College Rd, Ghodasar, Ahmedabad, Gujarat 382445",Ghodasar,22.9678394,72.61566069999999,ChIJY_LdMseJXjkRO3jYDgms8Bg,https://www.google.com/maps/place/?q=place_id:ChIJY_LdMseJXjkRO3jYDgms8Bg,part_102,2026-09-20 16:40:23,4446
Modern Book Store,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98972 32480,N/A,4.0,1.0,"00, Nariyawal, Uttar Pradesh 243123",382225,28.317036899999998,79.470353,ChIJywsXxJIBoDkRNa0ft-3UYMc,https://www.google.com/maps/place/?q=place_id:ChIJywsXxJIBoDkRNa0ft-3UYMc,part_102,2026-09-20 16:40:23,4447
Vinayak Print & Stationery,Bookstore and Stationery Shop,Stationery wholesaler,"Stationery wholesaler, Commercial printer, Digital printing service, Print shop, Printer ink refill store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99253 11147,https://vinayak-print-stationery.grexa.site/,4.7,38.0,"Shop No 11, Ankur Rd, Parshwanath Society, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013","Parshwanath Society, Sundar Nagar, Naranpura",23.0527339,72.55899389999999,ChIJ6XdnbE-FXjkRAUFkH7wG79g,https://www.google.com/maps/place/?q=place_id:ChIJ6XdnbE-FXjkRAUFkH7wG79g,part_102,2026-09-20 16:40:23,4448
Khandelwal Stationers & Book Depot,Bookstore and Stationery Shop,Stationery store,"Stationery store, Book store, Children's Book Store, Corporate gift supplier, Pen store, Religious Book Store, Scrapbooking store, Stationery wholesaler, Used book store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 94148 61048,N/A,4.0,160.0,"111/174, Kumbha Marg, Sunny Nagar, Sector 8, Sector 11, Pratap Nagar, Jaipur, Rajasthan 302033","Sunny Nagar, Sector 8, Sector 11, Pratap Nagar",26.8032175,75.823577,ChIJV1rqgpPJbTkR1NQ47CsRWVU,https://www.google.com/maps/place/?q=place_id:ChIJV1rqgpPJbTkR1NQ47CsRWVU,part_102,2026-09-20 16:40:23,4449
Vidhyarthi Book Store And Stationery,Bookstore and Stationery Shop,Stationery store,Stationery store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 95742 37341,N/A,4.9,15.0,"Ram Complex, 3, nr. Suvas complex, Moraiya, Gujarat 382213",382225,22.915550399999997,72.4234293,ChIJ_6Qi7iyXXjkR4YxaF-QULrE,https://www.google.com/maps/place/?q=place_id:ChIJ_6Qi7iyXXjkR4YxaF-QULrE,part_102,2026-09-20 16:40:23,4450
The Paper Lounge,Bookstore and Stationery Shop,Stationery store,"Stationery store, Print shop",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98989 22828,https://www.thepaperlounge.com/,4.9,132.0,"Shop No. GF-19, Himalaya Falaknuma Building, behind ROYAL AKBAR TOWER, Quresh Nagar Society, Juhapura, Sarkhej-Okaf, Ahmedabad, Gujarat 380055","Quresh Nagar Society, Juhapura",22.994605099999998,72.5237319,ChIJ8dmUYlqFXjkR245U8BPVfGk,https://www.google.com/maps/place/?q=place_id:ChIJ8dmUYlqFXjkR245U8BPVfGk,part_102,2026-09-20 16:40:23,4451
