business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Dhrishay enterprise,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 6355 932 634,N/A,5.0,1.0,"Devam complex, 61, Dholka, Gujarat 382225",382225,22.7214712,72.4619104,ChIJN1yF3mbtXjkRh4AmIx89QPI,https://www.google.com/maps/place/?q=place_id:ChIJN1yF3mbtXjkRh4AmIx89QPI,part_102,2026-09-20 16:40:15,3414
Sahara Construction and developer,Civil Contractor and Builder,Housing development,Housing development,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,3.0,"Sahara selection, Maghiya, Dholka, Gujarat 382225",Maghiya,22.734900099999997,72.44132979999999,ChIJ9XoY1pDtXjkRKfm6euKTq1I,https://www.google.com/maps/place/?q=place_id:ChIJ9XoY1pDtXjkRKfm6euKTq1I,part_102,2026-09-20 16:40:15,3415
Shilp Construction,Civil Contractor and Builder,Civil engineer,Civil engineer,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 2714 355 391,N/A,,,"PFR3+GRH, F/25, Ganesh Plaza, opp chandrabhaga garden, Kalikund-Kheda, road, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7410414,72.4546329,ChIJAZafJCLtXjkRBsIngeo6oY0,https://www.google.com/maps/place/?q=place_id:ChIJAZafJCLtXjkRBsIngeo6oY0,part_102,2026-09-20 16:40:15,3416
Krishna febricaion and civil countsion work,Civil Contractor and Builder,Shed builder,Shed builder,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"PCRX+VV7, Kalikund, Dholka, Gujarat 382225",Kalikund,22.742152299999997,72.44967489999999,ChIJfxRn_c7tXjkRrjy1NZUt-KQ,https://www.google.com/maps/place/?q=place_id:ChIJfxRn_c7tXjkRrjy1NZUt-KQ,part_102,2026-09-20 16:40:15,3417
Dev Chanchal Blues,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,https://chanchalinfra.com/,,,"BAgodra Highway, opp. Chanchal Villa, Dholka, Gujarat 382225",382225,22.7161974,72.42343369999999,ChIJq79S0aDrXjkR709jfFlQKBk,https://www.google.com/maps/place/?q=place_id:ChIJq79S0aDrXjkR709jfFlQKBk,part_102,2026-09-20 16:40:15,3418
Aastha Elegance,Civil Contractor and Builder,Real estate developer,Real estate developer,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92270 06009,http://www.aasthadevelopers.com/,4.6,9.0,"Survyey No. 289, Paikki 260 Paokki, Aastha Elegance, Taluka, Moje, Dholka, Gujarat 382225",Moje,22.722399799999998,72.4611822,ChIJz7rJgXjtXjkRBqzHgOZYMzU,https://www.google.com/maps/place/?q=place_id:ChIJz7rJgXjtXjkRBqzHgOZYMzU,part_102,2026-09-20 16:40:15,3419
Ziyad Civil Engineering,Civil Contractor and Builder,Civil engineer,Civil engineer,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93755 12268,N/A,,,"5, Satyadeep Residency, Transad Rd, Hari Om Nagar, Dholka, Gujarat 382225",Hari Om Nagar,22.7169898,72.4424959,ChIJL4Y993aDXjkRgFlFZsqOx_Q,https://www.google.com/maps/place/?q=place_id:ChIJL4Y993aDXjkRgFlFZsqOx_Q,part_102,2026-09-20 16:40:15,3420
Thakar Tar Fencing,Civil Contractor and Builder,Contractor,Contractor,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,https://thakar-tar-fencing.grexa.site/,4.9,15.0,"kannapara near Gadhemar, Dholka, Gujarat 382225",382225,22.7174349,72.4614268,ChIJh3R--nntXjkRCBEGPCf_bf8,https://www.google.com/maps/place/?q=place_id:ChIJh3R--nntXjkRCBEGPCf_bf8,part_102,2026-09-20 16:40:15,3421
Dwarkesh diamond sofa,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,1.0,"PC9J+7M9, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.718167899999997,72.4317499,ChIJ8cebdwDtXjkR5dMbE78RCeI,https://www.google.com/maps/place/?q=place_id:ChIJ8cebdwDtXjkR5dMbE78RCeI,part_102,2026-09-20 16:40:15,3422
Shree Shailaja Developers,Civil Contractor and Builder,Civil engineering company,"Civil engineering company, Interior architect office",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98250 34245,http://shreeshailaja.org/,4.4,44.0,"810, Safal Prelude, Corporate Rd, opp. SPIPA, Satellite, Prahlad Nagar, Ahmedabad, Gujarat 380015","Satellite, Prahlad Nagar",23.007653899999998,72.5044683,ChIJVVVBlNiaXjkR7cmd6_uMgBM,https://www.google.com/maps/place/?q=place_id:ChIJVVVBlNiaXjkR7cmd6_uMgBM,part_102,2026-09-20 16:40:15,3423
