business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
JB electric dholka,Electrician,Electrician,Electrician,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,,"Gayatri society, pasvanatha, Kalikund, Dholka, Gujarat 382225","pasvanatha, Kalikund",22.7471163,72.4413715,ChIJa5JGitztXjkRyvk0meyQw_g,https://www.google.com/maps/place/?q=place_id:ChIJa5JGitztXjkRyvk0meyQw_g,part_102,2026-09-20 16:40:14,3161
Khodiyar electric pintu Rana,Electrician,Electrician,Electrician,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,,"Bapa sitaram madhuli, chowkdi, Maghiya, Dholka, Gujarat 382225","chowkdi, Maghiya",22.719798299999997,72.4353533,ChIJIbvoWk7tXjkRT9HJA5fG0ls,https://www.google.com/maps/place/?q=place_id:ChIJIbvoWk7tXjkRT9HJA5fG0ls,part_102,2026-09-20 16:40:14,3162
Ashirwad Auto electrical,Electrician,Auto electrical service,Auto electrical service,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 78019 40674,N/A,5.0,,"Shop No. 21, Samarpan Shopping Center, Bavla - Dholka Road, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7428693,72.4435562,ChIJm6YTv3HtXjkRDCPLlk8pnY4,https://www.google.com/maps/place/?q=place_id:ChIJm6YTv3HtXjkRDCPLlk8pnY4,part_102,2026-09-20 16:40:14,3163
VRAJ ELECTRICAL & MOBAIL RIPERING,Electrician,Washer & dryer repair service,Washer & dryer repair service,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 70415 05902,N/A,5.0,,"SREE RAM AEVANU, D40, ROD, KHEDA, Bavla, Dholka, Gujarat 382225",KHEDA,22.7439979,72.4366725,ChIJOVzhC-ftXjkRumr2vEfsR8E,https://www.google.com/maps/place/?q=place_id:ChIJOVzhC-ftXjkRumr2vEfsR8E,part_102,2026-09-20 16:40:14,3164
BHAGYA SOLAR & ELECTRIC,Electrician,Electrician,"Electrician, Electrical engineer, Solar Energy Company",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 91575 46408,N/A,5.0,,"Shop No.17, Rajeshwari society, road, beside ambika Xerox, beside Rajeshwari society, Kalikund, Bavla, Dholka, Gujarat 382225",Kalikund,22.7428653,72.4460758,ChIJY5lkdmftXjkRY2V2WWtm4FY,https://www.google.com/maps/place/?q=place_id:ChIJY5lkdmftXjkRY2V2WWtm4FY,part_102,2026-09-20 16:40:14,3165
શ્રી વહાણવટી ઇલેકટ્રીકલ વર્કસ,Electrician,Electrical equipment supplier,Electrical equipment supplier,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,,"PC9R+P24, NH 751, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7192676,72.4400726,ChIJIcosiEPtXjkRmFvI9w4zfp0,https://www.google.com/maps/place/?q=place_id:ChIJIcosiEPtXjkRmFvI9w4zfp0,part_102,2026-09-20 16:40:14,3166
PATEL ELECTRIC,Electrician,Electrical products wholesaler,Electrical products wholesaler,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97227 00542,N/A,5.0,,"SWAMINARAYAN TEMPLE ROAD PULEN, OPP ARAMBH GREVITY NEAR PULEN CIRCLE KHEDA BAGODRA HIGHWAY, APPOLO CIRCLE, Dholka, Gujarat 382225",382225,22.7189196,72.45871509999999,ChIJO_3_UhTtXjkRI4Oo4wSWYjo,https://www.google.com/maps/place/?q=place_id:ChIJO_3_UhTtXjkRI4Oo4wSWYjo,part_102,2026-09-20 16:40:14,3167
K K Electric Store,Electrician,Electronics repair shop,"Electronics repair shop, Electrical supply store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 85117 78052,N/A,5.0,,"Alka Rd, Cinemaroad, Radhanpuri, Dholka, Gujarat 382225","Cinemaroad, Radhanpuri",22.7288222,72.43937369999999,ChIJY7aNjIjsXjkRjYTWXenHoC8,https://www.google.com/maps/place/?q=place_id:ChIJY7aNjIjsXjkRjYTWXenHoC8,part_102,2026-09-20 16:40:14,3168
Aavej electrician,Electrician,Holiday apartment,Holiday apartment,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98246 44256,N/A,,,"Kalikund, Dholka, Gujarat 382225",Kalikund,22.742152299999997,72.44967489999999,ChIJ4Wg8ZXftXjkRgTxcZVvgAA0,https://www.google.com/maps/place/?q=place_id:ChIJ4Wg8ZXftXjkRgTxcZVvgAA0,part_102,2026-09-20 16:40:14,3169
Gurukrupa Electricals,Electrician,Electrical supply store,Electrical supply store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 96626 60906,N/A,4.0,,"GJ SH 16, 206, State Highway 16, Dholka, Gujarat 382225",382225,22.7160017,72.4641414,ChIJJfSB1E_sXjkRQm5h1ShkBY8,https://www.google.com/maps/place/?q=place_id:ChIJJfSB1E_sXjkRQm5h1ShkBY8,part_102,2026-09-20 16:40:14,3170
Jitendra auto electrician,Electrician,Battery Store,Battery Store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"Lilajpur, Bhagalpur, Dholka, Gujarat 382225",Lilajpur,22.7305474,72.44698149999999,ChIJe1dfXMDtXjkR9Z7V0xB7gNQ,https://www.google.com/maps/place/?q=place_id:ChIJe1dfXMDtXjkR9Z7V0xB7gNQ,part_102,2026-09-20 16:40:14,3171
SP Electrical wiring,Electrician,Electrical installation service,"Electrical installation service, Electrical engineer, Service establishment",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 77780 21718,http://spelectrical.com/,,,"SP Electrical wiring, 382225, India",382225,22.925533899999998,72.5655609,ChIJj4dz6YDHXWIRVasbjD3uemQ,https://www.google.com/maps/place/?q=place_id:ChIJj4dz6YDHXWIRVasbjD3uemQ,part_102,2026-09-20 16:40:14,3172
Arbuda Electrics,Electrician,Electrician,Electrician,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,,"RUXMANI PARK, B 14, Shetrunjay Society, Kalikund, Dholka, Gujarat 382225","Shetrunjay Society, Kalikund",22.7378259,72.4491386,ChIJ5-3RK6rtXjkRshE3d4bwdHw,https://www.google.com/maps/place/?q=place_id:ChIJ5-3RK6rtXjkRshE3d4bwdHw,part_102,2026-09-20 16:40:14,3173
Unique electrical services,Electrician,Electrician,"Electrician, Electrical engineer, Service establishment",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 95585 81108,N/A,4.9,,"Unique electrical services, 382225, India",382225,22.8541982,72.3936581,ChIJWz6O5Xp5rIoRk5LEq7TQQ9Y,https://www.google.com/maps/place/?q=place_id:ChIJWz6O5Xp5rIoRk5LEq7TQQ9Y,part_102,2026-09-20 16:40:14,3174
INCREDIBLE ELECTRICIAN SERVICE,Electrician,Electrical installation service,"Electrical installation service, Electrician, Lamp repair service, Repair service",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 78188 91616,https://incredible-electrician.grexa.site/,4.8,,"Mani Nagar Estate Rd, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",23.0002593,72.603684,ChIJpXpPbOmHXjkRfe3zRTNByhI,https://www.google.com/maps/place/?q=place_id:ChIJpXpPbOmHXjkRfe3zRTNByhI,part_102,2026-09-20 16:40:14,3175
Perfect Electric Works,Electrician,Electrician,"Electrician, Electric motor store, Electrical engineer, Electrical repair shop, Electrical supply store, Electric motor repair shop, Engineering consultant, Fabrication Engineer, Mechanical engineer",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99251 97650,https://perfect-electric-works.grexa.site/,5.0,,"Aditya green complex, 15, opp. Rajoda Road, near NH 27, Rajoda, Bavla, Gujarat 382220",Rajoda,22.8448884,72.3720039,ChIJ418xybCVXjkRHEnGNUXD-3c,https://www.google.com/maps/place/?q=place_id:ChIJ418xybCVXjkRHEnGNUXD-3c,part_102,2026-09-20 16:40:14,3176
Angel electric sales and service,Electrician,Electrician,"Electrician, Air compressor repair service, Electrical engineer, Electrical equipment supplier, Electrical installation service, Electrical repair shop, Electrical supply store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 87807 84383,N/A,4.8,,"Makarba Rd, Shri Ram Nagar, Shrinand Nagar, Juhapura, Ahmedabad, Gujarat 380055","Shri Ram Nagar, Shrinand Nagar, Juhapura",22.995575199999998,72.5207483,ChIJW0eruYOFXjkREgmsajKX7UU,https://www.google.com/maps/place/?q=place_id:ChIJW0eruYOFXjkREgmsajKX7UU,part_102,2026-09-20 16:40:14,3177
Ashi Electical And Electrician Service,Electrician,Electrician,Electrician,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 81609 60207,N/A,5.0,,"Pramukh Swami Nagar, B 39, IOC Rd, Vadinath Chokadi, Gujarat Housing Board, Chandkheda, Ahmedabad, Gujarat 382424","Vadinath Chokadi, Gujarat Housing Board, Chandkheda",23.1138187,72.5786442,ChIJxT2kXlCDXjkRMMdka2qFLAI,https://www.google.com/maps/place/?q=place_id:ChIJxT2kXlCDXjkRMMdka2qFLAI,part_102,2026-09-20 16:40:14,3178
Unique electrician services,Electrician,Electrical repair shop,Electrical repair shop,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 75728 74868,N/A,4.9,,"police station, New Maninagar Rd, near narol, Ramol, Ahmedabad, Gujarat 382449",Ramol,22.9819943,72.6449966,ChIJteYHHjOHXjkR07TGLwC7exU,https://www.google.com/maps/place/?q=place_id:ChIJteYHHjOHXjkR07TGLwC7exU,part_102,2026-09-20 16:40:14,3179
FAKHRI ELECTRIWORKS,Electrician,Electrician,Electrician,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 78787 12152,N/A,5.0,,"BHARMAL PUMP & HARDWARE, B72, Marutinagar, Hari Om Nagar, Dholka, Gujarat 382225","Marutinagar, Hari Om Nagar",22.716480999999998,72.4385113,ChIJmbm7u8PtXjkRDIgx287oTVk,https://www.google.com/maps/place/?q=place_id:ChIJmbm7u8PtXjkRDIgx287oTVk,part_102,2026-09-20 16:40:14,3180
Aarambh electricals,Electrician,Electrical supply store,Electrical supply store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 81606 29944,N/A,5.0,,"aarambh electricals , g-15 , Pramukh arcade , appolo cicrcle (pullen, Kheda - Bagodara Rd, Kheda, Dholka, Gujarat 382225",382225,22.7180626,72.4599819,ChIJNYCXp9jtXjkRLK4HdHGcwcM,https://www.google.com/maps/place/?q=place_id:ChIJNYCXp9jtXjkRLK4HdHGcwcM,part_102,2026-09-20 16:40:15,3181
Kamiyab Electricals,Electrician,Electrical products wholesaler,"Electrical products wholesaler, Electrical repair shop, Electrical supply store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97372 92856,N/A,5.0,,"Shope33Dholka Old, Bus Stand, Malav Talav Rd, opposite Shope33Dholka Old Bus Stand, opposite Ahmedabad, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.727267599999998,72.43813999999999,ChIJrSbYGhftXjkRb4FzLaFChXY,https://www.google.com/maps/place/?q=place_id:ChIJrSbYGhftXjkRb4FzLaFChXY,part_102,2026-09-20 16:40:15,3182
Jay ambe electric,Electrician,Electrician,Electrician,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,,,"Jalalpur Vazifa, Rajpur, Gujarat 382225",382225,22.7530741,72.4749707,ChIJuZAxAHLtXjkRPQ130wNom0s,https://www.google.com/maps/place/?q=place_id:ChIJuZAxAHLtXjkRPQ130wNom0s,part_102,2026-09-20 16:40:15,3183
Icon Electricals,Electrician,Electrical supply store,Electrical supply store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 70167 94025,N/A,5.0,6.0,"Shop no. 1, Shivalik Arcade, Gundra Road, Parshwaath Circle, opp. HP petrol pump, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7432373,72.4415451,ChIJoadvWtntXjkR83MA4T9lhts,https://www.google.com/maps/place/?q=place_id:ChIJoadvWtntXjkR83MA4T9lhts,part_102,2026-09-20 16:40:16,3184
