business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Gajanand hardware and electric,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 95587 15041,N/A,3.7,3.0,"Saroda, rod, near Patel dairy, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7460286,72.4465697,ChIJexFiR5XtXjkR1GxLsvVbcTc,https://www.google.com/maps/place/?q=place_id:ChIJexFiR5XtXjkR1GxLsvVbcTc,part_102,2026-09-20 16:40:12,2817
Jay Brahman,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,4.4,48.0,"Prakash Chamber, New Vegetable Market, Yard, B/7, Marutinagar, Hari Om Nagar, Dholka, Gujarat 382225","Marutinagar, Hari Om Nagar",22.718272499999998,72.4378582,ChIJNVVVVZHsXjkR30rVcGOlXl0,https://www.google.com/maps/place/?q=place_id:ChIJNVVVVZHsXjkR30rVcGOlXl0,part_102,2026-09-20 16:40:12,2818
Labh Tools & hardware,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99250 92338,N/A,4.4,30.0,"6, tirth arced, kheda bagodra highway, poonam society, dholka, Ahmedabad, Gujarat 382225",Radhanpuri,22.7204223,72.44386399999999,ChIJNVVVVZHsXjkRygpojsW4ewE,https://www.google.com/maps/place/?q=place_id:ChIJNVVVVZHsXjkRygpojsW4ewE,part_102,2026-09-20 16:40:12,2819
KRISHNA HARDWARE,Hardware Store,Hardware store,"Hardware store, Building materials store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97230 22488,N/A,5.0,1.0,"Pcvv, 7P, Bavla - Dholka Road, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7431818,72.4443764,ChIJuTYVCpTsXjkRMjzGf3q_uzY,https://www.google.com/maps/place/?q=place_id:ChIJuTYVCpTsXjkRMjzGf3q_uzY,part_102,2026-09-20 16:40:12,2820
AJ Machinery & Hardware,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97240 06252,N/A,5.0,2.0,"1, Madarota, near Simla Hotel, Hari Om Nagar, Dholka, Gujarat 382225",Hari Om Nagar,22.7195295,72.442443,ChIJNVVVVZHsXjkRr2v57pko3tw,https://www.google.com/maps/place/?q=place_id:ChIJNVVVVZHsXjkRr2v57pko3tw,part_102,2026-09-20 16:40:12,2821
Hakimi Hardware And Tools,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 79906 71228,N/A,5.0,5.0,"Bavla - Dholka Road, Kalikund, Ahmedabad, Dholka, Gujarat 382225",Kalikund,22.7426818,72.4471284,ChIJV5mWVqntXjkRKuUylWdLtGk,https://www.google.com/maps/place/?q=place_id:ChIJV5mWVqntXjkRKuUylWdLtGk,part_102,2026-09-20 16:40:12,2822
Shree Siddheshwari Trading,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97242 19326,N/A,5.0,2.0,"Shop No 2, opp. Pramukh Arcade, near Fulan Cross Road, Dholka, Gujarat 382225",382225,22.717901599999998,72.4602561,ChIJHVw9aYntXjkRPeIQz10URp4,https://www.google.com/maps/place/?q=place_id:ChIJHVw9aYntXjkRPeIQz10URp4,part_102,2026-09-20 16:40:12,2823
DADA SHREE PLYWOOD AND HARDWARE,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,2.0,"PCCP+J6M, Malav Talav Rd, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7215928,72.4355559,ChIJsQzTR7XtXjkR7pUTOKXnqtM,https://www.google.com/maps/place/?q=place_id:ChIJsQzTR7XtXjkR7pUTOKXnqtM,part_102,2026-09-20 16:40:12,2824
Khodiyar Traders,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 90813 81872,N/A,5.0,2.0,"GF-4, Dev Ganesh Complex, Bagodara Rd, near Chikli Talav, Dholka, Gujarat 382225",382225,22.7171386,72.4233385,ChIJ5_LyT2PrXjkRz2sKxEC7ymE,https://www.google.com/maps/place/?q=place_id:ChIJ5_LyT2PrXjkRz2sKxEC7ymE,part_102,2026-09-20 16:40:12,2825
Shree Ganesh Hardware,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97140 00125,N/A,,,"Vaijnath complex, saroda road, opposite dev vihar socity, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7554037,72.4570103,ChIJ_cKoOgDtXjkRvJZGDh9Xvcs,https://www.google.com/maps/place/?q=place_id:ChIJ_cKoOgDtXjkRvJZGDh9Xvcs,part_102,2026-09-20 16:40:12,2826
Shrijee Enterprise,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 79904 90533,N/A,5.0,6.0,"Shop Number - 21, Natubha Complex, Bhayala, Gujarat 382220",382225,22.758301799999998,72.3198015,ChIJq-zOzp-_XjkR378HhSc4i2k,https://www.google.com/maps/place/?q=place_id:ChIJq-zOzp-_XjkR378HhSc4i2k,part_102,2026-09-20 16:40:12,2827
Rang Rogan,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97277 45406,N/A,4.2,5.0,"PCVV+52V, Kalikund, Dholka, Gujarat 382225",Kalikund,22.7429784,72.4425555,ChIJF8obr0XtXjkR_YJPOz4-Y2Q,https://www.google.com/maps/place/?q=place_id:ChIJF8obr0XtXjkR_YJPOz4-Y2Q,part_102,2026-09-20 16:40:12,2828
Devansh Electrical & Hardware Bhayala,Hardware Store,Hardware store,Hardware store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,5.0,6.0,"Shop no. 4, Jai Mataji Complex, Bus Stand, Bagodra Highway, Bavla, Bhayala, Gujarat 382220",382225,22.7592796,72.31590659999999,ChIJ32Jbfcu_XjkRHx3t8PAgrGI,https://www.google.com/maps/place/?q=place_id:ChIJ32Jbfcu_XjkRHx3t8PAgrGI,part_102,2026-09-20 16:40:12,2829
