business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Umiya Vijay Saw Mill,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Firewood supplier, Lumber store, Pallet supplier, Packaging supply store, Wood supplier, Woodworking supply store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 96011 76933,N/A,5.0,,"Bavla-Bagodra Highway, Nr. Aadroda, Cross Road, Bavla, Gujarat 382220",Shantinagar Society,22.8223967,72.3540751,ChIJ3YgBLpaVXjkRRisI13189cQ,https://www.google.com/maps/place/?q=place_id:ChIJ3YgBLpaVXjkRRisI13189cQ,part_102,2026-09-20 16:40:12,3021
Manu Ply N Panels,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92272 10811,http://business.google.com/website/manu-ply-n-panels,4.9,,"B 201, Club O7 Rd, Shela, Ahmedabad, Gujarat 380057",382225,23.0055327,72.46652329999999,ChIJq6qq6kybXjkRkTEf5-pno74,https://www.google.com/maps/place/?q=place_id:ChIJq6qq6kybXjkRkTEf5-pno74,part_102,2026-09-20 16:40:12,3022
Anagha Timber & Plywood,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98795 35742,N/A,4.4,,"B-18, Applewood Galleria, S P, Sardar Patel Ring Rd, Bopal, Shela, Ahmedabad, Gujarat 380057",Bopal,22.9949169,72.4720309,ChIJdUXf6FeaXjkRx04SFlO1O64,https://www.google.com/maps/place/?q=place_id:ChIJdUXf6FeaXjkRx04SFlO1O64,part_102,2026-09-20 16:40:12,3023
"Akash Ply & Doors, Plywood",Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99549 79797,https://akashplyanddoors.com/,4.7,,"godown no. 70-73, prime estate-2, near jamnagar transport co., sarkhe bavla, road, Ahmedabad, Gujarat 382210",Sarkhej,22.9760433,72.4912581,ChIJHTD405aaXjkRadq9VMY-2JQ,https://www.google.com/maps/place/?q=place_id:ChIJHTD405aaXjkRadq9VMY-2JQ,part_102,2026-09-20 16:40:12,3024
SKJ PLY AND DECOR,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99252 43418,https://flyashbrickpallet.in/,5.0,,"Meldi Estate, near Meldi Mata Temple, Gota, Ahmedabad, Gujarat 382481",Gota,23.089171,72.53988989999999,ChIJQ0HGX6yDXjkRU5RVerMlJg4,https://www.google.com/maps/place/?q=place_id:ChIJQ0HGX6yDXjkRU5RVerMlJg4,part_102,2026-09-20 16:40:12,3025
Sepal Ply,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door supplier, Furniture wholesaler, Laminating equipment supplier, Lamination service, Wholesaler, Wholesaler household appliances, Wood and laminate flooring supplier, Wood frame supplier, Wood supplier",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99797 64607,http://www.sepalply.com/,4.9,,"380/1/5, Sola Timber Mart B/h. Mahindra Show Room, Sarkhej - Gandhinagar Hwy, Sola, Ahmedabad, Gujarat 380060",Sola,23.0733501,72.52288949999999,ChIJm5eKbJ-DXjkRvbrbBhlX5AQ,https://www.google.com/maps/place/?q=place_id:ChIJm5eKbJ-DXjkRvbrbBhlX5AQ,part_102,2026-09-20 16:40:12,3026
HOGAN Industries Pvt Ltd.,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93272 72932,https://www.hoganply.com/,4.8,,"Circle, 3, Laxmi Industrial Estate B/h, Aarkay Food Ltd Nr. Sceince city, Bhadaj, Gujarat 382722",382225,23.0884233,72.4741342,ChIJUTGJUdWbXjkRxyKa014YdXM,https://www.google.com/maps/place/?q=place_id:ChIJUTGJUdWbXjkRxyKa014YdXM,part_102,2026-09-20 16:40:12,3027
Ply India,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97257 32567,N/A,4.9,,"8/87 Santoshi Rice Mill, Naaz Road, Jetalpur, Gujarat 382427",382225,22.886568,72.5922333,ChIJl8r0FxqbXjkRXNkDSHnKF3I,https://www.google.com/maps/place/?q=place_id:ChIJl8r0FxqbXjkRXNkDSHnKF3I,part_102,2026-09-20 16:40:12,3028
Laxmi Wood Ply,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Door supplier, Furniture accessories supplier, Hardware store, Laminating equipment supplier, Locks Supplier, Pine furniture shop, Wood and laminate flooring supplier, Wood frame supplier, Wood supplier",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99049 10077,N/A,4.8,,"GF.10. Akshar Jyot Complex Ramdev Nagar, Ramdevnagar Rd, opp. Sarthak Tower, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.024621699999997,72.5117374,ChIJS37JHDGbXjkRpvTKckiJ2yA,https://www.google.com/maps/place/?q=place_id:ChIJS37JHDGbXjkRpvTKckiJ2yA,part_102,2026-09-20 16:40:12,3029
SIKOTAR SALES CORPORATION,Plywood and Timber Merchant,Plywood supplier,Plywood supplier,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 92651 73182,https://flyashbrickpallet.in/,5.0,,"E-9,Gokulam, Ujala Circle, next to Keshav Flats, nr. Ujala Hotel, Sarkhej, Ahmedabad, Gujarat 382210",Sarkhej,22.9753343,72.49123569999999,ChIJRVxMRkqbXjkRXDbPraBUNGA,https://www.google.com/maps/place/?q=place_id:ChIJRVxMRkqbXjkRXDbPraBUNGA,part_102,2026-09-20 16:40:12,3030
Royal pvc furniture,Plywood and Timber Merchant,Furniture store,Furniture store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93137 94620,https://www.instagram.com/royalpvcfurniture_dholka?igsh=MWtia2thOHc3cW56Zw==,4.8,,"15, Devam complex, pulen, kalikund road, Dholka, Gujarat 382225",382225,22.7214575,72.4613079,ChIJm78UrRTtXjkRnO_9zlmEz0o,https://www.google.com/maps/place/?q=place_id:ChIJm78UrRTtXjkRnO_9zlmEz0o,part_102,2026-09-20 16:40:12,3031
iscon timber,Plywood and Timber Merchant,Lumber store,Lumber store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,N/A,4.0,,"bus stop, sola overbridge, corner, Sarkhej - Gandhinagar Hwy, near ramdev masala, Ahmedabad, Gujarat 380060",Sola,23.074769999999997,72.524198,ChIJ1b8_JKCDXjkR6l-eCRhJj-M,https://www.google.com/maps/place/?q=place_id:ChIJ1b8_JKCDXjkR6l-eCRhJj-M,part_102,2026-09-20 16:40:12,3032
K.M.Patel & Co.,Plywood and Timber Merchant,Saw mill,"Saw mill, Wood supplier",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99250 24681,N/A,4.3,,"Sarkari lati zone 2, B/H, Gita Mandir Rd, Gita Mandir, Ahmedabad, Gujarat 380022","Gita Mandir, Jamalpur",23.011138,72.5885028,ChIJgStQbv2FXjkRr6hPKor8QM4,https://www.google.com/maps/place/?q=place_id:ChIJgStQbv2FXjkRr6hPKor8QM4,part_102,2026-09-20 16:40:12,3033
Vishwakarma Plywood,Plywood and Timber Merchant,Lumber store,Lumber store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98258 13752,N/A,5.0,,"Shop 19, AksharDham Residency, New India Colony, Nikol, Ahmedabad, Gujarat 380049","New India Colony, Nikol",23.0580601,72.67090979999999,ChIJqxXCWCSHXjkRbSpMSbtmbTc,https://www.google.com/maps/place/?q=place_id:ChIJqxXCWCSHXjkRbSpMSbtmbTc,part_102,2026-09-20 16:40:12,3034
Shree Gujarat Timber Mart,Plywood and Timber Merchant,Furniture store,Furniture store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98240 62199,N/A,5.0,,"Shop No-28, Goteshwar Mahadev Nagar, Gota, Ahmedabad, Gujarat 382481",Gota,23.0896613,72.5410174,ChIJpQmBTDyDXjkR-ZukChxQISs,https://www.google.com/maps/place/?q=place_id:ChIJpQmBTDyDXjkR-ZukChxQISs,part_102,2026-09-20 16:40:12,3035
Mahavir Ply N Decor,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Acrylic Dealer, Building materials supplier, Hardware store, Modular home dealer, Wood and laminate flooring supplier",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 63539 12375,N/A,5.0,,"Shop No 5 Zone 1 &2, Sarkari Lathibazar, near Deepak hotel, Behrampura, Ahmedabad, Gujarat 380022",Behrampura,23.0113405,72.5889763,ChIJGZ3zXnyHXjkRjslmPYfnqpg,https://www.google.com/maps/place/?q=place_id:ChIJGZ3zXnyHXjkRjslmPYfnqpg,part_102,2026-09-20 16:40:12,3036
Master and Ply,Plywood and Timber Merchant,Plywood supplier,"Plywood supplier, Lumber store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 98249 98909,N/A,5.0,,"2FHF+VP5, Bopal Rd, near Government Tubewell, Bopal, Ahmedabad, Gujarat 380058",Bopal,23.0296251,72.47437459999999,ChIJ_____5ubXjkRWKARM2Fhr6M,https://www.google.com/maps/place/?q=place_id:ChIJ_____5ubXjkRWKARM2Fhr6M,part_102,2026-09-20 16:40:12,3037
