business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
PRAYOSHA SAREE CENTRE,Saree Showroom,Saree Shop,Saree Shop,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99989 92768,N/A,5.0,,"1st Floor F, 2 Alka Complex, Alka Rd, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.7281191,72.4388512,ChIJm62ri4jsXjkRE-5S099bWhs,https://www.google.com/maps/place/?q=place_id:ChIJm62ri4jsXjkRE-5S099bWhs,part_102,2026-09-20 16:40:01,960
Jalak fashion,Saree Showroom,Women's clothing store,Women's clothing store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 87350 03025,https://jalakfashion.shop/,5.0,,"road, near Suvidha store, Kalikund, Saroda, Dholka, Gujarat 382225",Kalikund,22.743709499999998,72.4507118,ChIJlUIwcYztXjkRmm-9_0ujFXg,https://www.google.com/maps/place/?q=place_id:ChIJlUIwcYztXjkRmm-9_0ujFXg,part_102,2026-09-20 16:40:01,961
Rajendra Saree & Dresses,Saree Showroom,Women's clothing store,Women's clothing store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 97272 82121,N/A,2.8,,"PC9R+8W3, Lilajpur, Dholka, Gujarat 382225",Lilajpur,22.7182657,72.44230089999999,ChIJ1dsPqInsXjkREHO-nn3G620,https://www.google.com/maps/place/?q=place_id:ChIJ1dsPqInsXjkREHO-nn3G620,part_102,2026-09-20 16:40:01,962
New Apsara Saree Point,Saree Showroom,Saree Shop,Saree Shop,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93286 76694,N/A,5.0,,"Laxmi Arcade, G 16, near Sai Avenue, Radhanpuri, Dholka, Gujarat 382225",Radhanpuri,22.727284599999997,72.4381472,ChIJV8XdUOPtXjkRlr8dlKhFIbc,https://www.google.com/maps/place/?q=place_id:ChIJV8XdUOPtXjkRlr8dlKhFIbc,part_102,2026-09-20 16:40:01,963
Varsha Fashion,Saree Showroom,Women's clothing store,"Women's clothing store, Saree Shop",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 93270 13001,http://www.varshafashionllp.com/,4.1,,"WG8H+GJ9, Dholka - Ahmedabad Hwy, Paldi Kankaj, Gujarat 382210",382225,22.917304599999998,72.5298684,ChIJwfBFBi2OXjkR_Om_-hkFCE0,https://www.google.com/maps/place/?q=place_id:ChIJwfBFBi2OXjkR_Om_-hkFCE0,part_102,2026-09-20 16:40:01,964
Khodal saree selection,Saree Showroom,Women's clothing store,Women's clothing store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",N/A,https://www.instagram.com/khodalsaree_selection?igsh=MWN1bzA1eW83anhu,5.0,,"Chaloda, Gujarat 382260",382225,22.7993135,72.448735,ChIJi4TvTACTXjkRob1WAkhN754,https://www.google.com/maps/place/?q=place_id:ChIJi4TvTACTXjkRob1WAkhN754,part_102,2026-09-20 16:40:01,965
Shree Radhe Rajwadi Palace,Saree Showroom,Men's clothing store,Men's clothing store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99833 18973,N/A,4.8,,"Shop No. 03,04, Royal Business Park, Dholka, Gujarat 382225",Kalikund,22.7397809,72.4561178,ChIJc6fjVYbtXjkRINyZ7h1O_Bg,https://www.google.com/maps/place/?q=place_id:ChIJc6fjVYbtXjkRINyZ7h1O_Bg,part_102,2026-09-20 16:40:01,966
P.Ramesh,Saree Showroom,Clothing store,"Clothing store, Designer Clothing Store",382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 99789 44086,http://prameshsilks.com/,4.9,,"2480/2, 1st Floor, Manek Chowk Rd, Ahmedabad, Gujarat 380001","Old City, Danapidth, Khadia",23.0239853,72.5884452,ChIJW-aPwkuEXjkRUncyVKb9GE0,https://www.google.com/maps/place/?q=place_id:ChIJW-aPwkuEXjkRUncyVKb9GE0,part_102,2026-09-20 16:40:01,967
Jaya Sarees,Saree Showroom,Clothing store,Clothing store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 95103 84615,http://www.jayasarees.com/,4.7,,"121-122, 1st Floor, Austmangal Complex, near Rajasthan Hospital, Shahibag, Ahmedabad, Gujarat 380004",Shahibag,23.0542952,72.5959319,ChIJ3VaquXKEXjkRcnjM1l3b_dA,https://www.google.com/maps/place/?q=place_id:ChIJ3VaquXKEXjkRcnjM1l3b_dA,part_102,2026-09-20 16:40:01,968
Aaradhya saree selection,Saree Showroom,Clothing store,Clothing store,382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO",+91 96247 82999,https://chat.whatsapp.com/DecWJmh4F8N3IEo0gDjK2S,4.0,,"Chaloda, Gujarat 382260",382225,22.8079394,72.4497186,ChIJG6gA2SaTXjkRfMyq46-LwdM,https://www.google.com/maps/place/?q=place_id:ChIJG6gA2SaTXjkRfMyq46-LwdM,part_102,2026-09-20 16:40:01,969
