business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
SANJIVANI CLINIC,Clinics,Medical clinic,Medical clinic,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 96879 39214,N/A,5.0,16.0,"Bagodara, Gujarat 382230",382230,22.6417359,72.20050429999999,ChIJo2RHAEbFXjkRdJUSPCjo-r4,https://www.google.com/maps/place/?q=place_id:ChIJo2RHAEbFXjkRdJUSPCjo-r4,part_102,2026-09-20 16:40:45
Maa Family Clinic,Clinics,Medical clinic,Medical clinic,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 83203 64949,N/A,5.0,1.0,"Main Bazaar, near mahadev mandir, Fedara, Gujarat 382465",382230,22.453180699999997,72.1577731,ChIJuTwy2cXZXjkRsRQuSsuWe7k,https://www.google.com/maps/place/?q=place_id:ChIJuTwy2cXZXjkRsRQuSsuWe7k,part_102,2026-09-20 16:40:45
GRS clinic,Clinics,Hospital,Hospital,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,,,"G725+JV9, Saragwala, Gujarat 382230",382230,22.501530199999998,72.25972709999999,ChIJd55qVADdXjkRRxVffPsYZfM,https://www.google.com/maps/place/?q=place_id:ChIJd55qVADdXjkRRxVffPsYZfM,part_102,2026-09-20 16:40:45
Ozone Clinic - Bagodara,Clinics,Medical clinic,Medical clinic,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 87340 55208,N/A,,,"Ozone Clinic, opp. Nalsarovar Crossroads, Bagodara, Gujarat 382230",382230,22.641162899999998,72.2003841,ChIJyxNFz83FXjkRJbtL5eReBFk,https://www.google.com/maps/place/?q=place_id:ChIJyxNFz83FXjkRJbtL5eReBFk,part_102,2026-09-20 16:40:45
Om Clinic,Clinics,Doctor,Doctor,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 95584 56285,N/A,5.0,1.0,"Rajkot - Ahmedabad Hwy, Bagodara, Gujarat 382230",382230,22.642003499999998,72.2013527,ChIJYZNLCXnFXjkR_kTlpLyB3qg,https://www.google.com/maps/place/?q=place_id:ChIJYZNLCXnFXjkR_kTlpLyB3qg,part_102,2026-09-20 16:40:45
Government Healthcare Center,Clinics,Child health care center,Child health care center,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,4.0,1.0,"F7X6+HWP, Saragwala, Gujarat 382230",382230,22.4989745,72.262321,ChIJ0zACZkDcXjkRslCLswbSNK0,https://www.google.com/maps/place/?q=place_id:ChIJ0zACZkDcXjkRslCLswbSNK0,part_102,2026-09-20 16:40:45
Sainath Clinic,Clinics,Doctor,Doctor,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,4.0,1.0,"Q5GQ+9F6, Devdholera, Gujarat 382240",382230,22.7759075,72.1886404,ChIJQYygLcW5XjkRYJJzBv4EZXg,https://www.google.com/maps/place/?q=place_id:ChIJQYygLcW5XjkRYJJzBv4EZXg,part_102,2026-09-20 16:40:45
Sanjeevani clinic and laboratory,Clinics,Medical clinic,Medical clinic,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 76006 13061,N/A,,,"Zamp, Gujarat 382110",382230,22.8025509,72.15938419999999,ChIJzRWOG0-5XjkRMCtDZNEjmGE,https://www.google.com/maps/place/?q=place_id:ChIJzRWOG0-5XjkRMCtDZNEjmGE,part_102,2026-09-20 16:40:45
AYUSH CLINIC,Clinics,Doctor,Doctor,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",+91 97122 12290,N/A,,,"Shop 1, Vataman Chokadi, Vataman, Ahmedabad, Gujarat 382265",382230,22.5165239,72.4091265,ChIJ3_lcCSjnXjkRyau25acJ6PI,https://www.google.com/maps/place/?q=place_id:ChIJ3_lcCSjnXjkRyau25acJ6PI,part_102,2026-09-20 16:40:45
Aarav Clinic Kerala 24/7,Clinics,Medical clinic,Medical clinic,382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO",N/A,N/A,5.0,22.0,"Q8JF+CPP, Kerala, Gujarat 382220",382230,22.781299399999998,72.3240454,ChIJk4zDdQC_XjkRqKaEEoDbw5Q,https://www.google.com/maps/place/?q=place_id:ChIJk4zDdQC_XjkRqKaEEoDbw5Q,part_102,2026-09-20 16:40:45
