business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Zitek - Computer & Laptop Repair, Sales & Service",Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer Hardware Company, Computer store, Computer service, Printer repair service, Window installation service",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 92747 25943,https://techcare.zitek.in/,4.8,,"Shop No. 47-Karmabhumi Shopping centre, Gopal Chowk, Nikol - Naroda Rd, Nikol, Ahmedabad, Gujarat 382345","Parishram Park, Nikol",23.046673,72.65772419999999,ChIJqTxc48KHXjkRg4xVQVH5c40,https://www.google.com/maps/place/?q=place_id:ChIJqTxc48KHXjkRg4xVQVH5c40,part_102,2026-09-20 16:44:30
Laptop Hub,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer Rental Agency, Computer service, Computer store, Repair service, Screen repair service, Used computer store",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98980 85773,https://www.laptophub.co.in/,4.4,,"Himalaya Mall, 115, Gurukul, Ahmedabad, Gujarat 380052","Nilmani Society, Gurukul",23.046399599999997,72.5311289,ChIJSQBWjfaEXjkRYGMOEHxKS8g,https://www.google.com/maps/place/?q=place_id:ChIJSQBWjfaEXjkRYGMOEHxKS8g,part_102,2026-09-20 16:44:30
Techbuddy IT | Computer & Laptop Shop,Computer Sales and Laptop Repair,Computer store,"Computer store, Repair service",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 88668 66158,http://jsdi.al/M0DW2,4.8,,"25, Shraddha Deep Complex, nr. Laxmi gathiyarath, Shastrinagar, Naranpura, Ahmedabad, Gujarat 380063","Shastrinagar, Naranpura",23.0624212,72.5510491,ChIJx_Ny-eODXjkRE3kML9dHWlk,https://www.google.com/maps/place/?q=place_id:ChIJx_Ny-eODXjkRE3kML9dHWlk,part_102,2026-09-20 16:44:30
Nand Electronics,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 97120 00126,N/A,4.5,,"Ground Floor 17 ,Ivory Terrace, RC Dutt Road Alkapuri, Vadodara, Gujarat 390007",Jetalpur,22.309946,73.175345,ChIJuUbP2KzIXzkRcUrappv7HnE,https://www.google.com/maps/place/?q=place_id:ChIJuUbP2KzIXzkRcUrappv7HnE,part_102,2026-09-20 16:44:31
Axiom Infosys,Computer Sales and Laptop Repair,Computer repair service,Computer repair service,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98983 60081,http://www.axiominfosys.com/,4.9,,"GF-3, Cascade Complex, opp. Mota Appartment, beside Raju Pan Corner, Chistiya Nagar, Chhani Jakatnaka, Vadodara, Gujarat 390002","Chistiya Nagar, Chhani Jakatnaka",22.3437146,73.1764055,ChIJs2LG4tXIXzkRM6upBtpOaug,https://www.google.com/maps/place/?q=place_id:ChIJs2LG4tXIXzkRM6upBtpOaug,part_102,2026-09-20 16:44:31
Laptop and mobile clinic,Computer Sales and Laptop Repair,Computer service,Computer service,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98252 62779,https://profile.nextapsolutions.com/laptop-and-mobile-clinic,4.9,,"Gf 6, Sainath Avanue, Abbas tayyabji road, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390002","Jayesh Colony, Fatehgunj",22.321612599999998,73.1888532,ChIJLcOxbSbHXzkRD4obS4mkwZo,https://www.google.com/maps/place/?q=place_id:ChIJLcOxbSbHXzkRD4obS4mkwZo,part_102,2026-09-20 16:44:31
Sunray Systems Vadodara,Computer Sales and Laptop Repair,Used computer store,"Used computer store, Computer repair service, Computer service, Computer store, Computer Wholesaler",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 94084 32620,https://www.sunraysystems.in/,4.9,,"Alankar Tower, GF-4, Aurobindo Ghosh Rd, Sarod, Sayajiganj, Vadodara, Gujarat 390007","Near Sayajigunj Police Station, Sarod, Sayajiganj",22.3093611,73.1840509,ChIJoe4QITrPXzkRPXsx--xRDUM,https://www.google.com/maps/place/?q=place_id:ChIJoe4QITrPXzkRPXsx--xRDUM,part_102,2026-09-20 16:44:33
Navisha Tech,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer service, Used computer store",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 90169 80440,N/A,4.9,,"1st Floor Shop No 120, Shukan Ananta, Muktanand Cir, Karelibagh, Vadodara, Gujarat 390018",Karelibagh,22.321322499999997,73.1977024,ChIJ1z9JGnrPXzkRYdAR6L-twAs,https://www.google.com/maps/place/?q=place_id:ChIJ1z9JGnrPXzkRYdAR6L-twAs,part_102,2026-09-20 16:44:33
GAYATRI ELECTRONICS,Computer Sales and Laptop Repair,Computer store,"Computer store, Security system installation service",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98245 45321,N/A,4.7,,"GF-1, Sundaram hub Complex, Bahucharaji Temple Road, opp. Nanjibhai Chamber, Behind Gujarat Samachar Press, Harish Nagar, Karelibagh, Vadodara, Gujarat 390018","Behind Gujarat Samachar Press, Harish Nagar, Karelibagh",22.3112173,73.19757349999999,ChIJ-XGHZ87PXzkRjwJGkVxt2pQ,https://www.google.com/maps/place/?q=place_id:ChIJ-XGHZ87PXzkRjwJGkVxt2pQ,part_102,2026-09-20 16:44:33
BLUECHIP COMPUTER SYSTEM,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer consultant, Computer desk store, Computer networking service, Computer repair service, Computer service, Computer software store, Computer support and services, Computer Wholesaler",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 90991 28072,http://www.bccsgroup.in/,4.7,,"001, Vrundavan Complex, 29-B, opp. M.K high School, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007","Nutan Bharat Society, Alkapuri",22.3146263,73.1710689,ChIJbdb_rbDIXzkRp1uot84BcVE,https://www.google.com/maps/place/?q=place_id:ChIJbdb_rbDIXzkRp1uot84BcVE,part_102,2026-09-20 16:44:33
Computer Solution,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Computer accessories store, Computer consultant, Computer Hardware Company, Computer networking service, Computer Rental Agency, Computer software store, Computer Wholesaler, Used computer store",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 78787 87858,https://computersolutionsurat.com/,4.9,,"20-D, opposite Chowksiwadi, Krishna Nagar Society, Krishna Nagar Society - 2, Choksi Wadi, Adajan, Surat, Gujarat 395009","Krishna Nagar Society, Krishna Nagar Society - 2, Choksi Wadi, Adajan",21.1980921,72.8032605,ChIJIXbN4oBO4DsRgqgmxLBvdu0,https://www.google.com/maps/place/?q=place_id:ChIJIXbN4oBO4DsRgqgmxLBvdu0,part_102,2026-09-20 16:44:33
Computer Solutions,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer Hardware Company, Computer Rental Agency, Computer repair service, Computer software store, Computer support and services, Computer Wholesaler",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 99095 18648,N/A,4.9,,"GF-08, Paradise Complex, near Rajshree Centre, Opposite M.S. University, Sarod, Sayajiganj, Vadodara, Gujarat 390007","Opposite M.S. University, Sarod, Sayajiganj",22.307948,73.1868635,ChIJ2YcdS1LPXzkRQo7qIzI530s,https://www.google.com/maps/place/?q=place_id:ChIJ2YcdS1LPXzkRQo7qIzI530s,part_102,2026-09-20 16:44:33
Pam Infotech,Computer Sales and Laptop Repair,Computer store,"Computer store, Audio visual consultant, Computer accessories store, Computer networking service, Computer repair service, Computer security service, Computer service, Electronics store",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98240 79955,https://paminfotech.com/,4.5,,"Kashyap Complex, 71, Productivity Rd, Sampatrao Colony, Alkapuri, Vadodara, Gujarat 390007","Sampatrao Colony, Alkapuri",22.3084451,73.1740964,ChIJD4zj2K7IXzkRZMuTX0CwjRY,https://www.google.com/maps/place/?q=place_id:ChIJD4zj2K7IXzkRZMuTX0CwjRY,part_102,2026-09-20 16:44:33
IT Mall,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer software store, Hardware store",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",N/A,N/A,4.1,,"No. 121, Gayatri Complex, Chani Jakat Naka Main Road,Nizampura, Vadodara, Gujarat 390024","Giriraj Society, Swaminarayan Nagar, Nizampura",22.3374751,73.1789285,ChIJ2XTxodPIXzkRsO4nHhRGDH4,https://www.google.com/maps/place/?q=place_id:ChIJ2XTxodPIXzkRsO4nHhRGDH4,part_102,2026-09-20 16:44:33
Harsiddhi Computers,Computer Sales and Laptop Repair,Electronics store,Electronics store,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98980 98834,N/A,4.3,,"142, Radhe Shopping Center, Shankheshwar, Gujarat 384246",382260,23.5160833,71.78455509999999,ChIJDw2MNueNWzkRgi2MsMA6R7E,https://www.google.com/maps/place/?q=place_id:ChIJDw2MNueNWzkRgi2MsMA6R7E,part_102,2026-09-20 16:44:33
Laptop Hub,Computer Sales and Laptop Repair,Computer repair service,"Computer repair service, Repair service",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 99241 40554,http://www.imlaptophub.in/,4.5,,"FF-2, Productivity Rd, opp. Vishwas Motor Training school Vallabh chok, opposite VISHWAS MOTOR TRAINING SCHOOL, Anupum Society, Haripura, Vadodara, Gujarat 390007","Anupum Society, Haripura",22.307051899999998,73.1735321,ChIJpbClJ6_IXzkRDioX8UbKGJ8,https://www.google.com/maps/place/?q=place_id:ChIJpbClJ6_IXzkRDioX8UbKGJ8,part_102,2026-09-20 16:44:33
Type House (COMPUTER SHOWROOM) Retails & Corporate Suppliers,Computer Sales and Laptop Repair,Computer store,Computer store,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98980 99904,http://typehouseindia.in/,4.4,,"G3, Harmony Complex, Nutan Bharat Society, Alkapuri, Vadodara, Gujarat 390007","Nutan Bharat Society, Alkapuri",22.314446,73.17104719999999,ChIJq6qqarHIXzkRyViKtPmzpeA,https://www.google.com/maps/place/?q=place_id:ChIJq6qqarHIXzkRyViKtPmzpeA,part_102,2026-09-20 16:44:33
HARIOM INFOTECH,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer accessories store, Computer repair service, Computer service, Computer Wholesaler, Used computer store",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 83478 90171,https://www.indiamart.com/hariom-infotech-vadodara/,4.9,,"55, Payal Complex, 55, opp. VADODARA STOCK EXCHANGE, Sayajiganj, Vadodara, Gujarat 390007","Near Kala Ghoda, Sarod, Sayajiganj",22.3084217,73.1858146,ChIJOXcmNB7PXzkRLG_Qkmr5Kco,https://www.google.com/maps/place/?q=place_id:ChIJOXcmNB7PXzkRLG_Qkmr5Kco,part_102,2026-09-20 16:44:33
AshaComputers,Computer Sales and Laptop Repair,Computer store,Computer store,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98250 37028,N/A,4.5,,"Madhav Complex, 206-207, near Bombay Shopping Centre, Alkapuri, Vadodara, Gujarat 390007",Alkapuri,22.310744099999997,73.1659748,ChIJud17SrDIXzkR2LfPHZak8LQ,https://www.google.com/maps/place/?q=place_id:ChIJud17SrDIXzkR2LfPHZak8LQ,part_102,2026-09-20 16:44:33
Akshar Computer& Video Vision,Computer Sales and Laptop Repair,Computer store,Computer store,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98989 71694,http://www.hargharcomputer.in/,4.4,,"First Floor, Hari Om Complex, Road, near Jal Bhavan, Vrindavan Society, Radhanpur, Gujarat 385340",Vrindavan Society,23.828406299999997,71.6152639,ChIJN0wosf50WzkRUJctlggj14I,https://www.google.com/maps/place/?q=place_id:ChIJN0wosf50WzkRUJctlggj14I,part_102,2026-09-20 16:44:33
PAM World,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer networking service, Security system supplier",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 90815 50500,https://mydigitalcard.store/PAM-WORLD-,4.3,,"G/F-9, Rajgadh Complex, Dandia Bazaar Rd, opp. Old Rajdhani Hotel, Vadodara, Gujarat 390001",Babajipura,22.2999139,73.20055649999999,ChIJvRBu7_XFXzkR7rqD4Y74l28,https://www.google.com/maps/place/?q=place_id:ChIJvRBu7_XFXzkR7rqD4Y74l28,part_102,2026-09-20 16:44:33
Shree Harsiddhi Infotech,Computer Sales and Laptop Repair,Computer service,Computer service,382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 98259 59858,N/A,4.5,,"Sona Park Complex, Depot, F-8, Makarpura Rd, near Makarpura, opp. Hundai Show Room, Sonapark Society, Indra Nagar, Makarpura, Vadodara, Gujarat 390010","Sonapark Society, Indra Nagar, Makarpura",22.2469693,73.1958988,ChIJPSsJvjHEXzkRsRR0eIkaALU,https://www.google.com/maps/place/?q=place_id:ChIJPSsJvjHEXzkRsRR0eIkaALU,part_102,2026-09-20 16:44:33
HD INFOSYS & AUTOMATION,Computer Sales and Laptop Repair,Computer store,"Computer store, Computer Hardware Company, Computer networking service, Electronics repair shop, Printer repair service, Security system supplier",382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO",+91 97279 57870,http://hdinfosys.com/,4.2,,"24 Second floor, Darshnam Trade Center-1, near Hotel Surya Palace, Sayajiganj, Vadodara, Gujarat 390020","Parshuram Nagar, Sayajiganj",22.3032592,73.1822724,ChIJrU-CORvPXzkR20e8UoxbjR4,https://www.google.com/maps/place/?q=place_id:ChIJrU-CORvPXzkR20e8UoxbjR4,part_102,2026-09-20 16:44:33
