business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
H S Food,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 89805 19429,N/A,5.0,,"Toll Plaza, Vataman Tarapur Road Mai Toll Plaza, Road, Pase, Vataman, Gujarat 382265",Pase,22.505346,72.4260911,ChIJc0nr3RzlXjkRZsS4zkTzf_o,https://www.google.com/maps/place/?q=place_id:ChIJc0nr3RzlXjkRZsS4zkTzf_o,part_102,2026-09-20 16:44:47
Jay Ranchod Dal Bati,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",N/A,N/A,4.5,,"GC85+QCW, Vataman, Gujarat 382265",382265,22.5169852,72.4085869,ChIJC4nzHQbnXjkRV9WtbpaVXhU,https://www.google.com/maps/place/?q=place_id:ChIJC4nzHQbnXjkRV9WtbpaVXhU,part_102,2026-09-20 16:44:47
Ambika Dabada Centre,Family Restaurant,Fast food restaurant,Fast food restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 82008 51906,N/A,4.9,,"Near Khambhat, Road Rohini Chokdi, Pase, Golana, Gujarat 382265",Pase,22.496673299999998,72.4286446,ChIJJdj_S-LlXjkR6PyWBRP8RaM,https://www.google.com/maps/place/?q=place_id:ChIJJdj_S-LlXjkR6PyWBRP8RaM,part_102,2026-09-20 16:44:47
AKASHRAJ RESTAURANT,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 95745 73000,N/A,5.0,,"JHXF+X2C, GJ SH149, Matar, Gujarat 387530",382265,22.649928199999998,72.5725136,ChIJg7WhCwDxXjkRVR3JYltWRWg,https://www.google.com/maps/place/?q=place_id:ChIJg7WhCwDxXjkRVR3JYltWRWg,part_102,2026-09-20 16:44:47
Rana Brek Fast Bhajiya Haush,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 89805 19706,http://www.bhajiya.com/,4.1,,"GJ SH 6, Gujarat 382265",382265,22.5181084,72.4094953,ChIJ36OwkpbmXjkRaRaLw5TTNl8,https://www.google.com/maps/place/?q=place_id:ChIJ36OwkpbmXjkRaRaLw5TTNl8,part_102,2026-09-20 16:44:47
Mahadev Nasta House,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 82000 04550,N/A,5.0,,"8 Shivalik Complex Vatman, Road, near Simejgam, Simej, Gujarat 382265",382265,22.6202389,72.41124529999999,ChIJQUViCivpXjkRtpibRLbl_KE,https://www.google.com/maps/place/?q=place_id:ChIJQUViCivpXjkRtpibRLbl_KE,part_102,2026-09-20 16:44:47
H S Food,Family Restaurant,Vegetarian restaurant,Vegetarian restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 63582 96041,N/A,5.0,,"Tarapur Bogodra Hwy, Chokdi Road, Vataman, Gujarat 382265",382265,22.5002042,72.40769449999999,ChIJ1z9QTRrnXjkRs9Od1AegYKk,https://www.google.com/maps/place/?q=place_id:ChIJ1z9QTRrnXjkRs9Od1AegYKk,part_102,2026-09-20 16:44:47
Hotel Maldhari,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 98986 90654,N/A,4.2,,"Vataman-Tarapur Hwy, Varasda, Gujarat 382265",382265,22.503815,72.5044435,ChIJ-fwRDQDlXjkRMAVTqmRLYWI,https://www.google.com/maps/place/?q=place_id:ChIJ-fwRDQDlXjkRMAVTqmRLYWI,part_102,2026-09-20 16:44:47
Ranjit Sah up Bihar hotel,Family Restaurant,Fast food restaurant,Fast food restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 78658 81843,N/A,5.0,,"near Vataman, Chokdi, Vataman, Gujarat 382265",Chokdi,22.520859299999998,72.4071495,ChIJO6Abyn_nXjkRfRYE6raMpRM,https://www.google.com/maps/place/?q=place_id:ChIJO6Abyn_nXjkRfRYE6raMpRM,part_102,2026-09-20 16:44:47
Kismat dalbati,Family Restaurant,Restaurant,"Restaurant, Vegetarian restaurant",382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",N/A,N/A,4.3,,"GCG7+28G, road, Vataman-Dholka Hwy, Gujarat 382265",382265,22.525067999999997,72.41333879999999,ChIJCYowX3jnXjkRS1jMP5sid3Y,https://www.google.com/maps/place/?q=place_id:ChIJCYowX3jnXjkRS1jMP5sid3Y,part_102,2026-09-20 16:44:47
Nurani tawa fry,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",N/A,N/A,4.3,13.0,"MJP3+76F, Mahelaj, Gujarat 387530",382265,22.685682999999997,72.6030316,ChIJZ5-mTiHxXjkRfuwuuoC-r8A,https://www.google.com/maps/place/?q=place_id:ChIJZ5-mTiHxXjkRfuwuuoC-r8A,part_102,2026-09-20 16:44:47
Hotel Tiranga,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",N/A,N/A,4.8,12.0,"GG33+FP3, Varasda, Gujarat 388180",382265,22.503639,72.50430159999999,ChIJ0_w7QADlXjkRjIpB7_d--nk,https://www.google.com/maps/place/?q=place_id:ChIJ0_w7QADlXjkRjIpB7_d--nk,part_102,2026-09-20 16:44:47
The Green Desert Garden Restaurant,Family Restaurant,Restaurant,"Restaurant, Diner",382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 96017 62082,http://www.thegreendesert.co.in/,4.3,1924.0,"In front HP petrol pump, Sardar Patel Ring Rd, nearby tilak home, Ahmedabad, Gujarat 382481",382265,23.1327805,72.523411,ChIJDZx9L7CDXjkRSaIXRHe-Z4c,https://www.google.com/maps/place/?q=place_id:ChIJDZx9L7CDXjkRSaIXRHe-Z4c,part_102,2026-09-20 16:44:47
Hotel Jay Gopal Kathiyawadi,Family Restaurant,Restaurant,Restaurant,382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO",+91 99795 48470,N/A,4.4,202.0,"near Tarapur, Varasda, Gujarat 388180",382265,22.5047931,72.5044156,ChIJb2ZjjKflXjkRnTMbOYq9BrI,https://www.google.com/maps/place/?q=place_id:ChIJb2ZjjKflXjkRnTMbOYq9BrI,part_102,2026-09-20 16:44:47
