business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Yashvi insurance care service,Insurance Agent,Insurance agent,Insurance agent,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 89050 67300,N/A,5.0,,"Akshardham Township, 26, Nr Nehru chokdi, Nehru Society, Dahegam, Gujarat 382305",Nehru Society,23.1604733,72.8094586,ChIJGcemkRx5XjkRtESyZlBhQAM,https://www.google.com/maps/place/?q=place_id:ChIJGcemkRx5XjkRtESyZlBhQAM,part_102,2026-09-20 16:45:53
Umiya Insurance and Investment,Insurance Agent,Insurance agency,"Insurance agency, Insurance agent, Insurance company",382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,https://umiya-insurance.grexa.site/,,,"Tirupati Society, 6, near nehru chowki, Dahegam, Gujarat 382305",Anuradha Society,23.1637174,72.8102451,ChIJJeVHYHJ5XjkRBGfzxPBHhOg,https://www.google.com/maps/place/?q=place_id:ChIJJeVHYHJ5XjkRBGfzxPBHhOg,part_102,2026-09-20 16:45:53
Kavya insurance Consultancy,Insurance Agent,Insurance agency,Insurance agency,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 98792 54257,http://www.pratishmshah.com/,5.0,,"1st floor, M. G. Amin Complex, B-1/1, GIDC, Dahegam, Gujarat 382305",GIDC,23.1716449,72.8217063,ChIJa-k-YOZ5XjkRrIfBTipNWLo,https://www.google.com/maps/place/?q=place_id:ChIJa-k-YOZ5XjkRrIfBTipNWLo,part_102,2026-09-20 16:45:53
Darshan Insurance Agency,Insurance Agent,Life insurance agency,Life insurance agency,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 98243 29677,N/A,4.4,,"GJ SH 144, Darshan Society, GIDC, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.1637584,72.8095374,ChIJMaFHB7R4XjkRBGjfph56taU,https://www.google.com/maps/place/?q=place_id:ChIJMaFHB7R4XjkRBGjfph56taU,part_102,2026-09-20 16:45:53
NAVKARR INSURANCE,Insurance Agent,Insurance agency,Insurance agency,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 98984 34300,N/A,5.0,,"455, Balmukund square, opp. Vatsalya Bunglows, above IDFC bank, Darshan Society, GIDC, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.1656598,72.811748,ChIJ2WrbLIt5XjkRTILMMeBuuCY,https://www.google.com/maps/place/?q=place_id:ChIJ2WrbLIt5XjkRTILMMeBuuCY,part_102,2026-09-20 16:45:53
HDFC ERGO General Insurance,Insurance Agent,Insurance broker,"Insurance broker, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 22 6234 6234,http://www.hdfcergo.com/,4.0,,"No 455, Balmukund Square, Near, Nehru Cross Road, Darshan Society, GIDC, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.1658173,72.8117828,ChIJac54HnV5XjkR66vw85q3ZOk,https://www.google.com/maps/place/?q=place_id:ChIJac54HnV5XjkR66vw85q3ZOk,part_102,2026-09-20 16:45:53
HDFC ERGO Insurance Agent: Urvi Ben Nirav Kumar Shah,Insurance Agent,Insurance agency,Insurance agency,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 80 4594 9152,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-urvi-ben-nirav-kumar-shah-insurance-broker-dahegam-gandhinagar-347756/Home?utm_source=locator&utm_medium=googleplaces,,,"No 24, Shilon Greens, opposite Maruti Flora, Darshan Society, GIDC, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.160699599999997,72.8008237,ChIJV9_9AQR_XjkRdCbsqB9saHU,https://www.google.com/maps/place/?q=place_id:ChIJV9_9AQR_XjkRdCbsqB9saHU,part_102,2026-09-20 16:45:53
HDFC ERGO Insurance Agent: Rathod Aniruddh Surendrasinh,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 8071 497 647,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-rathod-aniruddh-surendrasinh-insurance-broker-nandol-road-gandhinagar-427187/Home,,,"No 20637, Nandol Road, near Purshottam Dham, Nandol, Gujarat 382305",382305,23.2105683,72.8183134,ChIJhUmTgsvXXTkRBEJ0vchmjfE,https://www.google.com/maps/place/?q=place_id:ChIJhUmTgsvXXTkRBEJ0vchmjfE,part_102,2026-09-20 16:45:53
HDFC ERGO Insurance Agent: Chauhan Aviraj Jagatsinh,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 79 4746 5745,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-chauhan-aviraj-jagatsinh-insurance-broker-sanoda-gandhinagar-468855/Home?utm_source=locator&utm_medium=googleplaces,,,"Amrajina Muvada, Gandhinagar, Sanoda, Nandol, Gujarat 382305",Gandhinagar,23.2105683,72.8183134,ChIJ6dWPURfXXTkRmvzFOjLUnJM,https://www.google.com/maps/place/?q=place_id:ChIJ6dWPURfXXTkRmvzFOjLUnJM,part_102,2026-09-20 16:45:53
HDFC ERGO Insurance Agent: Krupa Lalitkumar Prajapati,Insurance Agent,Insurance agency,"Insurance agency, Auto insurance agency, Health insurance agency, Home insurance agency, Motorcycle insurance agency",382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 79 4746 5513,https://agent.hdfcergo.com/hdfc-ergo-insurance-agent-krupa-lalitkumar-prajapati-insurance-broker-akshardham-township-gandhinagar-468686/Home?utm_source=locator&utm_medium=googleplaces,,,"Akshardham Township, 39-B, Nehru Cross Road, Gandhinagar, Nehru Society, Dahegam, Gujarat 382305","Gandhinagar, Nehru Society",23.160838899999998,72.8100138,ChIJ2xuDbHp5XjkRin2odiVO3KA,https://www.google.com/maps/place/?q=place_id:ChIJ2xuDbHp5XjkRin2odiVO3KA,part_102,2026-09-20 16:45:53
Life Insurance Corporation of India,Insurance Agent,Insurance agency,Insurance agency,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 120 454 2222,N/A,4.2,,"5R99+VPG, GJ SH 68, Siyavada, GIDC, Dahegam, Gujarat 382305","Siyavada, GIDC",23.1696925,72.8193249,ChIJP0LBIbt4XjkRhBR0jzUJqVI,https://www.google.com/maps/place/?q=place_id:ChIJP0LBIbt4XjkRhBR0jzUJqVI,part_102,2026-09-20 16:45:53
Kriyansh insurance and investment,Insurance Agent,Insurance broker,Insurance broker,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 93169 75090,N/A,,,"Shop No. 1, Shreenath arced, Naroda - Dehgam Rd, Nehru Society, Dahegam, Gujarat 382305",Nehru Society,23.1585786,72.8022802,ChIJvVEND6p_XjkRwSi8Isx5ItI,https://www.google.com/maps/place/?q=place_id:ChIJvVEND6p_XjkRwSi8Isx5ItI,part_102,2026-09-20 16:45:53
Aadhya Insurance and Investment,Insurance Agent,Insurance agency,Insurance agency,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,,,"5R86+3Q3, Darshan Society, GIDC, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.1651448,72.81193019999999,ChIJ-2BzRwB5XjkRo47jutW189I,https://www.google.com/maps/place/?q=place_id:ChIJ-2BzRwB5XjkRo47jutW189I,part_102,2026-09-20 16:45:53
