business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
M/s.bulakhidas Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,5.0,,"5R9C+P7R, Aminwada, Dahegam, Gujarat 382305",Aminwada,23.169363,72.8206391,ChIJlYqYbLt4XjkRGxlyMd_dsuw,https://www.google.com/maps/place/?q=place_id:ChIJlYqYbLt4XjkRGxlyMd_dsuw,part_102,2026-09-20 16:45:32
Meena Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,5.0,,"5R9C+R9G, Barotwada, Aminwada, Dahegam, Gujarat 382305","Barotwada, Aminwada",23.1695587,72.8209669,ChIJ29dDabt4XjkR2p4I9a7lScc,https://www.google.com/maps/place/?q=place_id:ChIJ29dDabt4XjkR2p4I9a7lScc,part_102,2026-09-20 16:45:32
Sonal Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 6355 405 766,N/A,5.0,,"near Municipal Girls High School, Barotwada, Pankaj Society, Dahegam, Gujarat 382305","Barotwada, Pankaj Society",23.1697401,72.8217906,ChIJhWv_e3R5XjkRbt-5yCeYlDw,https://www.google.com/maps/place/?q=place_id:ChIJhWv_e3R5XjkRbt-5yCeYlDw,part_102,2026-09-20 16:45:32
Yash Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,4.0,,"5R75+MVP, GJ SH 68, Darshan Society, GIDC, Dhegam, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.164211599999998,72.80971819999999,ChIJ_7JcB7R4XjkRj854gfEFTcY,https://www.google.com/maps/place/?q=place_id:ChIJ_7JcB7R4XjkRj854gfEFTcY,part_102,2026-09-20 16:45:32
Shiv Medical And General,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,1.0,,"Anand Residency-1, Bansidhar Society, Anuradha Society, Dahegam, Gujarat 382305","Bansidhar Society, Anuradha Society",23.1644935,72.8137605,ChIJmcC0H815XjkRC5jPl4tSwXU,https://www.google.com/maps/place/?q=place_id:ChIJmcC0H815XjkRC5jPl4tSwXU,part_102,2026-09-20 16:45:32
SHREYA MEDICAL STORE,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 90163 19456,N/A,2.0,,"312 Balmukund Squre, Dahegam, Gujarat 382305","Darshan Society, GIDC",23.165397,72.8118679,ChIJYT3DHGB5XjkR6m4YlMTYuUg,https://www.google.com/maps/place/?q=place_id:ChIJYT3DHGB5XjkR6m4YlMTYuUg,part_102,2026-09-20 16:45:32
Rushabh Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,5.0,,"5RCC+7G8, GJ SH 68, Barotwada, Pankaj Society, Dahegam, Gujarat 382305","Barotwada, Pankaj Society",23.1706552,72.8213176,ChIJTSQ9ULt4XjkRSptjoYZc_Vc,https://www.google.com/maps/place/?q=place_id:ChIJTSQ9ULt4XjkRSptjoYZc_Vc,part_102,2026-09-20 16:45:32
Xetrapal Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 99257 08448,N/A,5.0,,"Ramdevpir Temple, 01, Galudan Gam, Gujarat 382355",382305,23.137695299999997,72.75467379999999,ChIJac0YKBx_XjkR5MI86YNS7CQ,https://www.google.com/maps/place/?q=place_id:ChIJac0YKBx_XjkR5MI86YNS7CQ,part_102,2026-09-20 16:45:32
Krushna Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,,,"5RC9+2WF, GJ SH 68, Siyavada, GIDC, Dahegam, Gujarat 382305","Siyavada, GIDC",23.170065599999997,72.8198053,ChIJpfpSO7t4XjkR_AymeqHedm8,https://www.google.com/maps/place/?q=place_id:ChIJpfpSO7t4XjkR_AymeqHedm8,part_102,2026-09-20 16:45:32
Gayatri Medical Store,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 94286 09643,N/A,3.8,,"H-12 Sahjanand Complex Nandol Road, Dahegam, Gujarat 382305",GIDC,23.1732496,72.8225394,ChIJh3evZqN4XjkR3lTTNrIDAnk,https://www.google.com/maps/place/?q=place_id:ChIJh3evZqN4XjkR3lTTNrIDAnk,part_102,2026-09-20 16:45:32
Vardhman Medical Store,Medical Store / Pharmacy,Pharmacy,"Pharmacy, General store",382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",+91 99782 52625,N/A,2.5,,"Shop no. 18, Sardar Shopping Centre, opp. S. T. Stand, Gandhibaugh, GIDC, Dahegam, Gujarat 382305","Gandhibaugh, GIDC",23.1642525,72.8101588,ChIJJyxha7t4XjkRMXyPTxfriSw,https://www.google.com/maps/place/?q=place_id:ChIJJyxha7t4XjkRMXyPTxfriSw,part_102,2026-09-20 16:45:32
Swastik medical stores.,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,5.0,,"5R65+M52, Nehru Society, Dahegam, Gujarat 382305",Nehru Society,23.1616379,72.8078968,ChIJvxnJUbR4XjkRfDAtno7TV8g,https://www.google.com/maps/place/?q=place_id:ChIJvxnJUbR4XjkRfDAtno7TV8g,part_102,2026-09-20 16:45:32
Uma Medical Stores,Medical Store / Pharmacy,Pharmacy,Pharmacy,382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO",N/A,N/A,5.0,,"Station Rd, opp. Dr.Vitthal Hospital, Barotwada, Pankaj Society, Dahegam, Gujarat 382305","Barotwada, Pankaj Society",23.1707292,72.8213737,ChIJl6qqqrZ4XjkRScsOEkH3q1M,https://www.google.com/maps/place/?q=place_id:ChIJl6qqqrZ4XjkRScsOEkH3q1M,part_102,2026-09-20 16:45:32
