business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Shree J C Joshi High School,School,High school,High school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"Piplaj, Dahegam, Pimplaj, Gujarat 382315",Piplaj,23.2377205,72.96641129999999,ChIJK1X45ubYXTkRja4SHP2xKyk,https://www.google.com/maps/place/?q=place_id:ChIJK1X45ubYXTkRja4SHP2xKyk,part_102,2026-09-20 16:47:11
Kadjodra High School,School,Senior high school,Senior high school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"5WMV+5RR, Kadjodra, Gujarat 382315",382315,23.182981899999998,72.94450189999999,ChIJA4nOCkV3XjkRMTGIkEN13m4,https://www.google.com/maps/place/?q=place_id:ChIJA4nOCkV3XjkRMTGIkEN13m4,part_102,2026-09-20 16:47:11
Chandana Muvada Primary school,School,Primary school,Primary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"382315, Chandana Muvada, Gujarat 382315",382315,23.188322199999998,72.9298871,ChIJDy28wtt3XjkR3_LalHUXd-Y,https://www.google.com/maps/place/?q=place_id:ChIJDy28wtt3XjkR3_LalHUXd-Y,part_102,2026-09-20 16:47:11
Jesana Muvada Primary School,School,Primary school,Primary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"5WMG+RVC, Lihoda, Gujarat 382315",382315,23.1845623,72.9271254,ChIJsUmGjeh3XjkRmSsj98PDQC4,https://www.google.com/maps/place/?q=place_id:ChIJsUmGjeh3XjkRmSsj98PDQC4,part_102,2026-09-20 16:47:11
Pato Hiratalav Primary School,School,Elementary school,Elementary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"5WHJ+6MF, Kadjodra, Gujarat 382315",382315,23.1780553,72.9316687,ChIJv8Sd1sV3XjkRD8La11Yb9Sc,https://www.google.com/maps/place/?q=place_id:ChIJv8Sd1sV3XjkRD8La11Yb9Sc,part_102,2026-09-20 16:47:11
SARGUDI PRIMARY SCHOOL,School,Elementary school,Elementary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"Sargudi, Lihoda, Gujarat 382315",Sargudi,23.1892952,72.9115501,ChIJcTVCVPt3XjkRk-2a7ispxLw,https://www.google.com/maps/place/?q=place_id:ChIJcTVCVPt3XjkRk-2a7ispxLw,part_102,2026-09-20 16:47:11
K.v.k High School,School,Higher secondary school,Higher secondary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"382315, GJ SH 69, Kadjodra, Gujarat 382315",382315,23.178945199999998,72.9371717,ChIJa-3TKc93XjkRTQ5E3YHAFJ0,https://www.google.com/maps/place/?q=place_id:ChIJa-3TKc93XjkRTQ5E3YHAFJ0,part_102,2026-09-20 16:47:11
Jindva primary school,School,Elementary school,Elementary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"6X43+MWJ, Jindva, Gujarat 382315",382315,23.206723,72.9547558,ChIJ75qEqYXYXTkR6jAUm_DJKOY,https://www.google.com/maps/place/?q=place_id:ChIJ75qEqYXYXTkR6jAUm_DJKOY,part_102,2026-09-20 16:47:11
Kadjodara primary School,School,Elementary school,Elementary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"5WMR+GWG, Kadjodra, Gujarat 382315",382315,23.1838181,72.9423255,ChIJXynB7M13XjkR__WVI3iGzWk,https://www.google.com/maps/place/?q=place_id:ChIJXynB7M13XjkR__WVI3iGzWk,part_102,2026-09-20 16:47:11
Main Gate PM SHRI JNV Gandhinagar,School,Middle school,Middle school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"6VMM+QRM, Sagdalpur, Gujarat 382315",382315,23.2344564,72.8845491,ChIJ6cFSWwDXXTkRUhFXWiHVbjA,https://www.google.com/maps/place/?q=place_id:ChIJ6cFSWwDXXTkRUhFXWiHVbjA,part_102,2026-09-20 16:47:11
Mirjapur primary school,School,Primary school,Primary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"6XXG+XG6, Mirjapur, Gujarat 382315",382315,23.2499218,72.9762582,ChIJ2fZoQm_ZXTkRYx8y-iVEl3s,https://www.google.com/maps/place/?q=place_id:ChIJ2fZoQm_ZXTkRYx8y-iVEl3s,part_102,2026-09-20 16:47:11
School,School,Primary school,Primary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"6XQW+MCR, Bayad, Gujarat 382315",382315,23.239185,72.9967364,ChIJezll0KbfXTkROitJ5OmYJbQ,https://www.google.com/maps/place/?q=place_id:ChIJezll0KbfXTkROitJ5OmYJbQ,part_102,2026-09-20 16:47:11
Megrajna Muvada primary school,School,Primary school,Primary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",N/A,N/A,,,"5XW3+P7R, Meghraj Na Muvada, Gujarat 382315",382315,23.1968523,72.9531499,ChIJUQLK63J3XjkRcWvQp75nlzA,https://www.google.com/maps/place/?q=place_id:ChIJUQLK63J3XjkRcWvQp75nlzA,part_102,2026-09-20 16:47:11
Pimplaj Primary School,School,Elementary school,Elementary school,382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO",+91 83200 18672,N/A,,,"6XJ7+XJC, Pimplaj, Gujarat 382315",382315,23.2324389,72.9640292,ChIJZShJsujYXTkRWVhfOxMNkXg,https://www.google.com/maps/place/?q=place_id:ChIJZShJsujYXTkRWVhfOxMNkXg,part_102,2026-09-20 16:47:11
