business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Raja Tour & travels,Tour and Travel Operator,Travel agency,Travel agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",N/A,N/A,5.0,,"FF 108, RADHIKA COMPLEX, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.267846499999997,72.6679425,ChIJk9EGzWUtXDkRx1S1hB2hGH4,https://www.google.com/maps/place/?q=place_id:ChIJk9EGzWUtXDkRx1S1hB2hGH4,part_102,2026-09-20 16:47:41
Vedtourism,Tour and Travel Operator,Tour agency,Tour agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 75673 11413,N/A,5.0,,"8, Shreenath Society, Pethapur, Gandhinagar, Gujarat 382610","Shreenath Society, Pethapur",23.2676172,72.671246,ChIJmYdeRHotXDkRRVbsxCe0E6c,https://www.google.com/maps/place/?q=place_id:ChIJmYdeRHotXDkRRVbsxCe0E6c,part_102,2026-09-20 16:47:41
Maa Chamunda travels,Tour and Travel Operator,Tour operator,Tour operator,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 95742 56615,N/A,5.0,,"pranam square, 204, Pethapur, Gujarat 382610",Pethapur,23.2655322,72.6698851,ChIJ24qQx6ItXDkRraX2eybGtuU,https://www.google.com/maps/place/?q=place_id:ChIJ24qQx6ItXDkRraX2eybGtuU,part_102,2026-09-20 16:47:41
Sarojben Tours and Travels,Tour and Travel Operator,Travel agency,Travel agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",N/A,N/A,,,"Baliyadev temple, near rabari vas, Pethapur, Gandhinagar, Gujarat 382355",Pethapur,23.2671951,72.6732251,ChIJ84BA6VItXDkRHFOCmsNNTwY,https://www.google.com/maps/place/?q=place_id:ChIJ84BA6VItXDkRHFOCmsNNTwY,part_102,2026-09-20 16:47:41
RB TOURS & TRAVELS,Tour and Travel Operator,Travel agency,Travel agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",N/A,N/A,,,"RABARI VAS, 3503, near BALIYADEV TEMPLE, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2671928,72.6732269,ChIJSQ_yeTYtXDkRXO4KpybHPGg,https://www.google.com/maps/place/?q=place_id:ChIJSQ_yeTYtXDkRXO4KpybHPGg,part_102,2026-09-20 16:47:41
Krishna Travels 🧳,Tour and Travel Operator,Bus tour agency,Bus tour agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 84010 96305,N/A,5.0,,"Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2661578,72.6683394,ChIJVc7zILktXDkRFd5Yj-VXUeM,https://www.google.com/maps/place/?q=place_id:ChIJVc7zILktXDkRFd5Yj-VXUeM,part_102,2026-09-20 16:47:41
Shree Chamunda Tour & Travels,Tour and Travel Operator,Tour agency,Tour agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 95583 09557,N/A,4.7,,"Modhera chokadi, Sagar Society, Mehsana, Gujarat 384002",Sagar Society,23.5956941,72.37891359999999,ChIJFSamw8BDXDkRiEDfGDeJ85Q,https://www.google.com/maps/place/?q=place_id:ChIJFSamw8BDXDkRiEDfGDeJ85Q,part_102,2026-09-20 16:47:41
Priyal Tours and Travel,Tour and Travel Operator,Tour operator,Tour operator,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 96012 60810,https://priyaltoursandtravel.com/,5.0,,"FIRST FLOOR, SANSKRUTI S SQUARE, F /58 C, opp. DARSHAN PARLOUR, near Mahesana Cross Road, Adarash Nagar, Visnagar, Gujarat 384315",Adarash Nagar,23.691722,72.541097,ChIJ7Y_YO4NPXDkRD4B_mt1UjvY,https://www.google.com/maps/place/?q=place_id:ChIJ7Y_YO4NPXDkRD4B_mt1UjvY,part_102,2026-09-20 16:47:41
Kheruchiya Travel Hub Pvt. Ltd.,Tour and Travel Operator,Travel agency,"Travel agency, Tourist attraction",382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 2762 353 535,https://kheruchiyatravelhub.com/,4.8,,"First Floor, jayant plaza, F/5, Modhera Rd, Chowkdi, Sagar Society, Mehsana, Gujarat 384002","Chowkdi, Sagar Society",23.594622299999997,72.3786566,ChIJ_4CYbrFDXDkREc3P0XXpXUQ,https://www.google.com/maps/place/?q=place_id:ChIJ_4CYbrFDXDkREc3P0XXpXUQ,part_102,2026-09-20 16:47:41
Parivar Travels Point LLP ( Mahesana ),Tour and Travel Operator,Tour agency,Tour agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 93776 38307,N/A,4.9,,"31 Shreenath Hall, St Workshop Rd, Mehsana, Gujarat 384002",Shraddhadip Society,23.594734799999998,72.383512,ChIJy3RdylFDXDkRu_86fsTIoeg,https://www.google.com/maps/place/?q=place_id:ChIJy3RdylFDXDkRu_86fsTIoeg,part_102,2026-09-20 16:47:41
Radhe Krishna Tourism,Tour and Travel Operator,Tour operator,"Tour operator, Airline ticket agency, Sightseeing Tour Operator, Tour agency, Tourist information center, Travel agency, Vacation home rental agency, Visa Agent",382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 94262 55522,https://radhekrishnatourism.com/,4.5,,"11, Podium Floor, City Center, Chimanlal Girdharlal Rd, near Swastik Cross Road, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009","Swastik Society, Navrangpura",23.0376689,72.5614945,ChIJ0wRqPgCFXjkRtFz6OfIqGF8,https://www.google.com/maps/place/?q=place_id:ChIJ0wRqPgCFXjkRtFz6OfIqGF8,part_102,2026-09-20 16:47:41
Earth Tours & Travels,Tour and Travel Operator,Travel agency,Travel agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 98243 49123,http://www.earthtours.in/,4.5,,"S-2, JAYANT PLAZA, MODHERA CIRCLE, STATE HIGHWAY, Mehsana, Gujarat 384002",Sagar Society,23.594564899999998,72.3785389,ChIJQeAG1-hDXDkRDdvy3yEP3zA,https://www.google.com/maps/place/?q=place_id:ChIJQeAG1-hDXDkRDdvy3yEP3zA,part_102,2026-09-20 16:47:43
JP International,Tour and Travel Operator,Travel agency,Travel agency,382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO",+91 97373 12592,http://www.jptour.in/,4.5,,"203, Block-C, joyous hubtown, Sukheshwar Society, Mehsana, Gujarat 384002","Block-C, joyous hubtown, Sukheshwar Society",23.5942175,72.38260559999999,ChIJX4scatZDXDkR_ehQXDuTlZE,https://www.google.com/maps/place/?q=place_id:ChIJX4scatZDXDkR_ehQXDuTlZE,part_102,2026-09-20 16:47:43
