business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Paheramani sarees show room,Saree Showroom,Clothing store,Clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 94087 84357,N/A,4.4,17.0,"Sruhad Complex, Devi Cinema Road, near Devi Cinema, Kapdi Vas, Naroda, Ahmedabad, Gujarat 382330","Kapdi Vas, Naroda",23.073262399999997,72.6530544,ChIJf3HyGC2BXjkRgpCfHqIntlc,https://www.google.com/maps/place/?q=place_id:ChIJf3HyGC2BXjkRgpCfHqIntlc,part_102,2026-09-20 16:48:58
mahavir saree showroom,Saree Showroom,Clothing store,Clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 75675 40002,N/A,4.6,12.0,"near, 101,102,avani plaza, Dolphin Cir, Naroda, Ahmedabad, Gujarat 382330","Surdhara Society, Naroda",23.0740929,72.6595188,ChIJeZt8luWBXjkRL_IP3pCSi2c,https://www.google.com/maps/place/?q=place_id:ChIJeZt8luWBXjkRL_IP3pCSi2c,part_102,2026-09-20 16:48:58
Bhoomi Saree,Saree Showroom,Women's clothing store,Women's clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 81699 35192,N/A,5.0,10.0,"Shop No. 06, Ground Floor, Pearl Plaza, Nr. Maharshi Sandipani School Haridarshan cross road, Vasant Vihar 2, Nava Naroda, Ahmedabad, Gujarat 382330","Vasant Vihar 2, Nava Naroda",23.0717964,72.6755064,ChIJ5S7xbeqHXjkRigbIuPqUfkw,https://www.google.com/maps/place/?q=place_id:ChIJ5S7xbeqHXjkRigbIuPqUfkw,part_102,2026-09-20 16:48:58
KANCHAN SADI CENTER,Saree Showroom,Clothing store,"Clothing store, Women's clothing store",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 94081 15542,N/A,4.6,37.0,"GAYATRI VIDDHYALAYA, A2, SHIVDARSHAN CHSL, B/H, Naroda Rd, Payal Nagar Society, Naroda, Ahmedabad, Gujarat 382330","Payal Nagar Society, Naroda",23.065420099999997,72.6526117,ChIJeU1Tzp2HXjkRDayQ-TuRWQI,https://www.google.com/maps/place/?q=place_id:ChIJeU1Tzp2HXjkRDayQ-TuRWQI,part_102,2026-09-20 16:48:58
Shivam Saree Fashion,Saree Showroom,Clothing store,Clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 99259 22069,N/A,4.9,1164.0,"Shop No. 105, First Floor, Hiltown Harmony, New India Colony Rd, opp. V.I.P School, Ankur Chokadi, New India Colony, Ankur Tenament, Nikol, Ahmedabad, Gujarat 382350","Ankur Chokadi, New India Colony, Ankur Tenament, Nikol",23.0573731,72.67570239999999,ChIJ00BKsdmHXjkRI2IO0cqvziU,https://www.google.com/maps/place/?q=place_id:ChIJ00BKsdmHXjkRI2IO0cqvziU,part_102,2026-09-20 16:48:58
Shivam Saree Fashion,Saree Showroom,Clothing store,Clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 94276 65887,N/A,4.9,2150.0,"Sundarvan Sco, A-25, Nikol Canal Rd, near shyam wadi, opp. Thakkarbapa Nagar Road, Narayan Park Society, Thakkarbapanagar, Nikol, Ahmedabad, Gujarat 380049","Narayan Park Society, Thakkarbapanagar, Nikol",23.0444165,72.6535553,ChIJCSn4J96HXjkR3an4rx-LF5E,https://www.google.com/maps/place/?q=place_id:ChIJCSn4J96HXjkR3an4rx-LF5E,part_102,2026-09-20 16:48:58
Twinkle Saree center,Saree Showroom,Women's clothing store,Women's clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 82382 20785,N/A,4.5,19.0,"No. 2,3, Ground Floor, Shiv Darshan Shopping Centre, near Gayatri School, Naroda, Ahmedabad, Gujarat 382330",Naroda,23.065762,72.6530265,ChIJu5TAi9GGXjkR9BupBgFh_1g,https://www.google.com/maps/place/?q=place_id:ChIJu5TAi9GGXjkR9BupBgFh_1g,part_102,2026-09-20 16:48:58
Hemkunt Emporium,Saree Showroom,Clothing store,Clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 98981 08108,N/A,4.9,355.0,"SDP Road, Sardar Rd, opp. Shiv Apartment, behind Krishna Nagar, Mahasukh Nagar, Krishnanagar, Nava Naroda, Ahmedabad, Gujarat 382345","Mahasukh Nagar, Krishnanagar, Nava Naroda",23.0549933,72.6474329,ChIJHaccYcSGXjkR2RzjiLLok68,https://www.google.com/maps/place/?q=place_id:ChIJHaccYcSGXjkR2RzjiLLok68,part_102,2026-09-20 16:48:58
Shayona Saree Center,Saree Showroom,Clothing store,Clothing store,382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 92284 07611,N/A,5.0,2.0,"Sruhad Complex, G 02 Sarad Complex, Kapdi Vas, Naroda, Ahmedabad, Gujarat 382330","Kapdi Vas, Naroda",23.0732006,72.6528015,ChIJ-eeWW4aBXjkRDpzkCs3qiRo,https://www.google.com/maps/place/?q=place_id:ChIJ-eeWW4aBXjkRDpzkCs3qiRo,part_102,2026-09-20 16:48:58
Paras Emporium,Saree Showroom,Saree Shop,"Saree Shop, Women's clothing store",382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO",+91 91067 92524,N/A,3.7,16.0,"Shop 15, AMTS bus Shop, Devkinandan Complex, opp. Naroda, Avadhpuri Society, Makarpura, GIDC Naroda, Ahmedabad, Gujarat 382330","Avadhpuri Society, Makarpura, GIDC Naroda",23.0757519,72.655723,ChIJ-7vdbyyBXjkRssoJ3Y4s45o,https://www.google.com/maps/place/?q=place_id:ChIJ-7vdbyyBXjkRssoJ3Y4s45o,part_102,2026-09-20 16:48:58
