business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Royal car spa,Car Wash and Auto Detailing,Car wash,Car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 96248 46642,N/A,4.9,,"Shop.A5, Krish Gold, residency, near kelavanidham.d-mart, Ankur Chokadi, New India Colony, Nikol, Ahmedabad, Gujarat 382350","Ankur Chokadi, New India Colony, Nikol",23.0557546,72.6737811,ChIJ4WEiGimHXjkRE2ic0i8US4M,https://www.google.com/maps/place/?q=place_id:ChIJ4WEiGimHXjkRE2ic0i8US4M,part_102,2026-09-20 16:51:22
CROWN CARSPA,Car Wash and Auto Detailing,Car wash,Car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 98249 55538,https://crowncarspa.shop/,4.8,,"7,SHIVNANDAN ARCADE,MANOHAR VILLA ROAD, Bhavani Chowk, Nikol, Ahmedabad, Gujarat 382330","New India Colony, Nikol",23.0599383,72.6651923,ChIJdSlHKVmHXjkR401SEpsgTpw,https://www.google.com/maps/place/?q=place_id:ChIJdSlHKVmHXjkR401SEpsgTpw,part_102,2026-09-20 16:51:22
Carspa ahmedabad,Car Wash and Auto Detailing,Self service car wash,Self service car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",N/A,https://carspa.online/,5.0,,"04, opp. Suyog 99, bangloge, Ahmedabad, Gujarat 380010","bangloge, Nikol",23.0554041,72.6633449,ChIJzbdntyaHXjkROAjk8D7ZtzA,https://www.google.com/maps/place/?q=place_id:ChIJzbdntyaHXjkROAjk8D7ZtzA,part_102,2026-09-20 16:51:22
The Washing Company ( Car Wash & Spa ),Car Wash and Auto Detailing,Car wash,Car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 94262 57625,N/A,5.0,,"Shop No. E/28, DevManek-101, Nikol Rd, opp. Shreenath Party Plot, New India Colony, Nikol, Ahmedabad, Gujarat 382350","New India Colony, Nikol",23.0629568,72.66876309999999,ChIJ3YFkPj2HXjkRPA3Uly-gp6I,https://www.google.com/maps/place/?q=place_id:ChIJ3YFkPj2HXjkRPA3Uly-gp6I,part_102,2026-09-20 16:51:22
RK Auto And Car Washing,Car Wash and Auto Detailing,Car wash,Car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 98989 11618,N/A,5.0,,"RK Service Center, Lilanagar Rd, near Vaishali Flat, Shastri Nagar, Bapunagar, Ahmedabad, Gujarat 380024","Shastri Nagar, Bapunagar",23.0363923,72.6374203,ChIJRWO4vZKGXjkRi6Rj_ciRUEM,https://www.google.com/maps/place/?q=place_id:ChIJRWO4vZKGXjkRi6Rj_ciRUEM,part_102,2026-09-20 16:51:22
JAY MATAJI CAR WASHING,Car Wash and Auto Detailing,Car wash,Car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",N/A,N/A,5.0,,"Sarita Residency 3, Ankur Chokadi, New India Colony, Ankur Tenament, Nikol, Ahmedabad, Gujarat 380049","Ankur Chokadi, New India Colony, Ankur Tenament, Nikol",23.057629,72.6774787,ChIJbcfJawCHXjkR_pI2KutTnF4,https://www.google.com/maps/place/?q=place_id:ChIJbcfJawCHXjkR_pI2KutTnF4,part_102,2026-09-20 16:51:22
Katareautomobilecompany,Car Wash and Auto Detailing,Car wash,Car wash,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",N/A,https://www.katareautomobile.com/,4.7,,"Satyam Flats, Manhar Nagar, Bapunagar, Ahmedabad, Gujarat 380024","Manhar Nagar, Bapunagar",23.033016699999997,72.63628849999999,ChIJqVq3NnE9XKgRE60S7ptxnOQ,https://www.google.com/maps/place/?q=place_id:ChIJqVq3NnE9XKgRE60S7ptxnOQ,part_102,2026-09-20 16:51:23
CarzSpa - Car Detailing Studio,Car Wash and Auto Detailing,Car wash,"Car wash, Auto restoration service, Auto window tinting service, Bike wash, Car detailing service, Vehicle wrapping service",382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 80 3775 9635,https://studios.carzspa.com/carzspa/ahmedabad/motera/carzspa-in-motera-ahmedabad--cc761f90-3173-468f-bef8-92e669e44deb/home,4.8,164.0,"Shop No 9, Sankalp Arcade, 10, Motera Stadium Rd, near HP Petrol Pump, Motera, Ahmedabad, Gujarat 380005",Motera,23.1096616,72.6055346,ChIJP-oj-NKDXjkRjwfGzwGvntc,https://www.google.com/maps/place/?q=place_id:ChIJP-oj-NKDXjkRjwfGzwGvntc,part_102,2026-09-20 16:51:24
CarzSpa - Car Detailing Studio,Car Wash and Auto Detailing,Car wash,"Car wash, Auto body shop, Auto painting, Auto restoration service, Car battery store, Car stereo store, Repair service, Tire shop",382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 80 3778 1722,https://studios.carzspa.com/carzspa/car-detailing-studio-in-ahmedabad/car-detailing-studio-in-ghodasar/carzspa-in-ghodasar-ahmedabad--1b9336fc-b861-487b-8f1d-ed57b0a73950/home,4.8,600.0,"Nirant Cross Rd, beside Shiv Shakti Tea Stall, near Sharma Hospital, Kamal Park Society, Parsi Dungarvadi, Jashoda Nagar, Ahmedabad, Gujarat 382445","Kamal Park Society, Parsi Dungarvadi, Jashoda Nagar",22.982495699999998,72.6224518,ChIJ3___v_SFXjkR50ptqutnlwc,https://www.google.com/maps/place/?q=place_id:ChIJ3___v_SFXjkR50ptqutnlwc,part_102,2026-09-20 16:51:24
Krishna Car Accessories,Car Wash and Auto Detailing,Auto Accessories Store,Auto Accessories Store,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 98798 30582,N/A,4.9,321.0,"B/14, Jabuka Complex, Nr.Bajrangdas Ashram N.H.No-8,, Thakkarbapanagar, Ahmedabad, Gujarat 382345","Thakkarbapanagar, Saijpur Bogha",23.046909,72.640851,ChIJs7dkm-qGXjkRO1pe_0YI5X4,https://www.google.com/maps/place/?q=place_id:ChIJs7dkm-qGXjkRO1pe_0YI5X4,part_102,2026-09-20 16:51:24
