business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Tathastu wellness centre,Therapy Center,Occupational therapist,Occupational therapist,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 87801 08242,N/A,5.0,,"Shop No 106 First Floor, SR Square Complex, Gurukul Rd, Nikol, Ahmedabad, Gujarat 380049",Nikol,23.0381042,72.6725617,ChIJ44bMSQCHXjkRp0ItSLXzzTs,https://www.google.com/maps/place/?q=place_id:ChIJ44bMSQCHXjkRp0ItSLXzzTs,part_102,2026-09-20 16:51:32
Om Sai Multispecility Physiotherapy clinic branch2 odhav Viratnagar,Therapy Center,Physiotherapy Center,Physiotherapy Center,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 81558 03949,https://dizintro.com/om-sai-physiotherapy-clinic,5.0,,"Shop No.25 Siddheshwar, Shop No.25, Virat Nagar Rd, near sathwara Samaj vadi, Nikol, Ahmedabad, Gujarat 382415",Nikol,23.031951799999998,72.6529959,ChIJS4xOGxOHXjkR-KoiiSbVr24,https://www.google.com/maps/place/?q=place_id:ChIJS4xOGxOHXjkR-KoiiSbVr24,part_102,2026-09-20 16:51:32
Ekakshh Physiotherapy Clinic - ODHAV,Therapy Center,Physiotherapy Center,Physiotherapy Center,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 93132 63896,https://www.instagram.com/ekakshhphysiofitclinic/,5.0,,"a 16, SHRADDHA COMPLEX, Virat Nagar Rd, near KP Heights, Odhav, Ahmedabad, Gujarat 382415",Odhav,23.0323505,72.65869339999999,ChIJ0wCVIUWHXjkR-rR6yEcTFz0,https://www.google.com/maps/place/?q=place_id:ChIJ0wCVIUWHXjkR-rR6yEcTFz0,part_102,2026-09-20 16:51:32
Dr. Sanjay Physio,Therapy Center,Physiotherapist,Physiotherapist,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 72018 83534,https://dr-sanjay-physio.grexa.site/,5.0,,"Virat Nagar, Shreeji Colony, Nikol, Ahmedabad, Gujarat 380038","Virat Nagar, Shreeji Colony, Nikol",23.0304458,72.6469991,ChIJN7dK_GeHXjkR9d4AP20fyYE,https://www.google.com/maps/place/?q=place_id:ChIJN7dK_GeHXjkR9d4AP20fyYE,part_102,2026-09-20 16:51:32
Sardar physiotherapy centre,Therapy Center,Doctor,Doctor,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 95580 59813,N/A,5.0,,"1st floor, SARDAR PATEL MALL, part-B, Nikol Gam Rd, Thakkarbapanagar, Khodiar Nagar, Ahmedabad, Gujarat 382350","Thakkarbapanagar, Khodiar Nagar",23.0382709,72.6441912,ChIJlX6KiJOHXjkRd8AfHyscHuo,https://www.google.com/maps/place/?q=place_id:ChIJlX6KiJOHXjkRd8AfHyscHuo,part_102,2026-09-20 16:51:32
Dr.physio physiotherapy centre,Therapy Center,Physiotherapy Center,Physiotherapy Center,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",N/A,N/A,4.8,,"110, India Colony Rd, Thakkarbapanagar, Bapunagar, Ahmedabad, Gujarat 382350","Thakkarbapanagar, Bapunagar",23.0394215,72.6388624,ChIJK0-5AACHXjkRf4Un9MjzsPI,https://www.google.com/maps/place/?q=place_id:ChIJK0-5AACHXjkRf4Un9MjzsPI,part_102,2026-09-20 16:51:32
Re-Walk Neuro Rehab Center,Therapy Center,Physiotherapy Center,Physiotherapy Center,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 87587 51213,N/A,5.0,,"3rd Floor, SARDAR PATEL MALL, Nikol Gam Rd, above Sardar Hospital, Nikol, Ahmedabad, Gujarat 382350",Nikol,23.0381589,72.6446027,ChIJIyLZZN-HXjkRdSUd3X8JWik,https://www.google.com/maps/place/?q=place_id:ChIJIyLZZN-HXjkRdSUd3X8JWik,part_102,2026-09-20 16:51:32
MaxGEM Therapy & Weight Loss Centre,Therapy Center,Physiotherapy Center,"Physiotherapy Center, Weight loss service",382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",N/A,N/A,5.0,,"5, Bhavani Complex, Nr. Jayshrinagar Gate1 N. H. No.8, Khodiyarnagar, Cross Road, Bapunagar, Ahmedabad, Gujarat 380024","Manhar Nagar, Bapunagar",23.0338936,72.6389492,ChIJg6Kf0oeHXjkRPZ7ZraqrmQQ,https://www.google.com/maps/place/?q=place_id:ChIJg6Kf0oeHXjkRPZ7ZraqrmQQ,part_102,2026-09-20 16:51:32
Life care Physiotherapy rehab center,Therapy Center,Physiotherapy Center,Physiotherapy Center,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 90907 21021,https://www.instagram.com/life_care_physiotherapy_rehab?igsh=a3FoNGs4dXdma2Fi,5.0,,"4 ,5,6, KHUSHI ARCADE, KHODIYAR MANDIR, opp. SHELL PETROL PUMP, Nicol Gam, NIKOL, Ahmedabad, Gujarat 380049","Nicol Gam, NIKOL",23.0399615,72.66165869999999,ChIJaRGrbHSHXjkRGdW-X6CUzq0,https://www.google.com/maps/place/?q=place_id:ChIJaRGrbHSHXjkRGdW-X6CUzq0,part_102,2026-09-20 16:51:33
Jay Ambe Physiotherapy Center - Best Physiotherapy Clinic In Odhav,Therapy Center,Physiotherapy Center,Physiotherapy Center,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 99749 91227,N/A,4.9,,"C - 1 Shyam Sundar Flate, opp. Gayatri Mandir, Chhotalal Chali, Odhav, Ahmedabad, Gujarat 382415","Chhotalal Chali, Janta Nagar, Vallabha Nagar, Odhav",23.023975699999998,72.6601457,ChIJ79F11w2HXjkReMce68qNE8I,https://www.google.com/maps/place/?q=place_id:ChIJ79F11w2HXjkReMce68qNE8I,part_102,2026-09-20 16:51:33
Life care Prosthetics & Orthotics Rehab Center,Therapy Center,Orthotics & Prosthetics Centre,Orthotics & Prosthetics Centre,382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO",+91 84699 16165,N/A,5.0,82.0,"A/5, 2nd floor, Sardar Patel Mall, Near Diamond Mall Nikol Gam Road, Thakkarnagar Rd, Ahmedabad, Gujarat 382350","Suradhara Society, Khodiar Nagar",23.0380725,72.6431338,ChIJBwgOfCOHXjkRgQ-Rg7v6sto,https://www.google.com/maps/place/?q=place_id:ChIJBwgOfCOHXjkRgQ-Rg7v6sto,part_102,2026-09-20 16:51:33
