business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Little Poppins Preschool & Daycare,Play School and Daycare,Preschool,Preschool,382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 98792 08410,https://www.littlepoppinspreschool.com/,5.0,29,"Little Poppins preschool, metro-station, GUJARAT NATIONAL LAW UNIVERSITY, near Shivansh Signature, Koba, Gujarat 382421",382355,23.151946499999998,72.6495285,ChIJFQ-xdijBgoERb6VZDh43p3c,https://www.google.com/maps/place/?q=place_id:ChIJFQ-xdijBgoERb6VZDh43p3c,part_102,2026-09-20 16:52:21
"Cambridge Montessori Preschool Raysan, Gandhinagar",Play School and Daycare,Preschool,"Preschool, Kindergarten School, Montessori preschool, Nursery school, Summer camp organizer",382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 97235 35359,https://cambridgemontessoriglobal.org/location/preschool-in-ahmedabad/gandhi-nagar/,4.8,19,"Poonam Party Plot Road, near BAPS Swaminarayan temple, Raysan, Gandhinagar, Gujarat 382007",382355,23.163128399999998,72.6564374,ChIJXUWQiN8rXDkRsWNeYgWn4x8,https://www.google.com/maps/place/?q=place_id:ChIJXUWQiN8rXDkRsWNeYgWn4x8,part_102,2026-09-20 16:52:21
h3 preschool randesan,Play School and Daycare,Preschool,Preschool,382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 78618 78016,https://instagram.com/h3preschoolrandesan?igshid=OGQ5ZDc2ODk2ZA==,4.9,158,"City Pulse Cinema, 101-102 Shree Status, B/H, SMVS hospital road, nr. Urjanagar-1, opp. Shukan mall, Randesan, Gandhinagar, Gujarat 382426",Randesan,23.1727596,72.6403079,ChIJNTLQzOwrXDkRZTMs97mPFso,https://www.google.com/maps/place/?q=place_id:ChIJNTLQzOwrXDkRZTMs97mPFso,part_102,2026-09-20 16:52:21
eduMETA THE i-SCHOOL Randesan Gandhinagar,Play School and Daycare,Day care center,"Day care center, Preschool",382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 93280 64002,https://kudasangandhinagar.theischool.com/,5.0,57,"ground floor, vraj sapphire, Shopno 1-4, shree status lane, Urjanagar 2, Randesan, Gandhinagar, Gujarat 382426","Urjanagar 2, Randesan",23.177445799999997,72.6461842,ChIJE32ATFKBXjkRKR5Vr-4S77g,https://www.google.com/maps/place/?q=place_id:ChIJE32ATFKBXjkRKR5Vr-4S77g,part_102,2026-09-20 16:52:21
"EuroKids Preschool in Randesan, Gandhinagar",Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Montessori school, Nursery school, Playgroup",382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 95131 70064,https://www.eurokidsindia.com/preschool-in-gandhinagar/randesan/?utm_source=google&utm_medium=organic&utm_id=gmb_listing,4.8,53,"No. 1 First Floor, Atishay Shivalay-II, near Swaminarayan Dham, Randesan, Gandhinagar, Gujarat 382426",Randesan,23.179608299999998,72.64130709999999,ChIJ4bI7QJ8rXDkRb2DLCKzieXY,https://www.google.com/maps/place/?q=place_id:ChIJ4bI7QJ8rXDkRb2DLCKzieXY,part_102,2026-09-20 16:52:21
Ved Cubs Premier Preschool,Play School and Daycare,Preschool,Preschool,382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 98799 92305,N/A,5.0,5,"Ved School, opp. Posh ville, near BAPS Swaminarayan Temple, Raysan, Gandhinagar, Gujarat 382007",382355,23.1648502,72.6562132,ChIJlXblVfsrXDkRRx9OXKYV72Q,https://www.google.com/maps/place/?q=place_id:ChIJlXblVfsrXDkRRx9OXKYV72Q,part_102,2026-09-20 16:52:21
"FirstCry Intellitots Preschool & Daycare - Sargasan, Gandhinagar",Play School and Daycare,Preschool,"Preschool, Kindergarten School, Learning center, Nursery school, Playgroup, Primary school",382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 93168 52549,https://www.firstcry.com/intelli/intellitots/preschool-near-you/gandhinagar/sargasan/?utm_source=google&utm_medium=cpc&utm_campaign=Promotion,4.9,32,"Shop Number :- 101 to 104, Shyam Heights, Palm Rd, Sargasan, Gandhinagar, Gujarat 382421",Sargasan,23.1814388,72.6162971,ChIJ0bnnDV4rXDkRXmJ-SysxqkI,https://www.google.com/maps/place/?q=place_id:ChIJ0bnnDV4rXDkRXmJ-SysxqkI,part_102,2026-09-20 16:52:21
Rangoli Preschool - Sector 2,Play School and Daycare,Day care center,"Day care center, Preschool, Kindergarten School, Nursery school, Playgroup, Primary school",382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 73599 60007,https://www.rangolischool.co.in/,4.9,77,"Sector 2D, Sector 2, Gandhinagar, Gujarat 382007","Sector 2D, Sector 2",23.2054062,72.6401766,ChIJB3yvVbMrXDkR9Pyy679wpik,https://www.google.com/maps/place/?q=place_id:ChIJB3yvVbMrXDkR9Pyy679wpik,part_102,2026-09-20 16:52:21
Divine Little Junior Preschool,Play School and Daycare,Day care center,"Day care center, Preschool",382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",+91 84692 13394,N/A,4.8,57,"Divine junior, opp. SMVS School, Randesan, Gandhinagar, Gujarat 382426",Randesan,23.1801413,72.6412696,ChIJr36SCtcrXDkRj8TeXcr8ahU,https://www.google.com/maps/place/?q=place_id:ChIJr36SCtcrXDkRj8TeXcr8ahU,part_102,2026-09-20 16:52:21
Leo kids,Play School and Daycare,Preschool,Preschool,382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO",N/A,N/A,4.9,103,"BUS STOP, R.J FARM NH 48 NR.GIFT CITY EAST GATE JETHIPURA, behind IOCL PETROL PUMP, Gandhinagar, Gujarat 382050",382355,23.163245399999997,72.7041663,ChIJiwM-1qyBXjkRmm1SJt7lv-8,https://www.google.com/maps/place/?q=place_id:ChIJiwM-1qyBXjkRmm1SJt7lv-8,part_102,2026-09-20 16:52:21
