business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
City Corner,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Pizza restaurant",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 92284 19123,N/A,4.2,4330.0,"Rajkamal Complex, 1, Lala Lajpat Rai Marg, opposite Swaminarayan Mandir, Rambagh, Maninagar, Ahmedabad, Gujarat 380008","Rambagh, Maninagar",23.0000216,72.6008865,ChIJ____r8KFXjkRLcJcd7lRC7M,https://www.google.com/maps/place/?q=place_id:ChIJ____r8KFXjkRLcJcd7lRC7M,part_102,2026-09-20 16:52:41
Brajvasi Chat Wala,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Deli, Snack bar",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 98985 75670,N/A,4.1,150.0,"XJW5+X9J Char Rasta, Lala Lajpat Rai Marg, near Maninagar, Balvatika, Pushpkunj, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Pushpkunj, Maninagar",22.997470999999997,72.608406,ChIJwTQWWOeFXjkRS3hoWKt56mA,https://www.google.com/maps/place/?q=place_id:ChIJwTQWWOeFXjkRS3hoWKt56mA,part_102,2026-09-20 16:52:41
Nagar Farsan Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 93138 32809,N/A,4.2,522.0,"Shop no .3, white house, Nathalal Jagad flyover, nr. L.G. Corner, Balvatika, Maninagar, Ahmedabad, Gujarat 380008","Balvatika, Maninagar",22.9999248,72.6077145,ChIJ_____8KFXjkR3-AmZIdMX8M,https://www.google.com/maps/place/?q=place_id:ChIJ_____8KFXjkR3-AmZIdMX8M,part_102,2026-09-20 16:52:41
K3 Food Corner,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 63769 31114,N/A,4.8,51.0,"Kankaria Rd, Ramnagar, Maninagar, Ahmedabad, Gujarat 380008","Ramnagar, Maninagar",23.001952,72.6004288,ChIJHRSA7x6FXjkR9EHIyKLs6hk,https://www.google.com/maps/place/?q=place_id:ChIJHRSA7x6FXjkR9EHIyKLs6hk,part_102,2026-09-20 16:52:41
Taj chaat house,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 70163 61334,https://www.tajfoodcorner.com/,,,"996/2 astodiya gate nr st bus stand gita mandir, Astodia, Ahmedabad, Gujarat 380001",Astodia,23.016191499999998,72.5910668,ChIJgZH0hOKFXjkRBLLOoo4Agzo,https://www.google.com/maps/place/?q=place_id:ChIJgZH0hOKFXjkRBLLOoo4Agzo,part_102,2026-09-20 16:52:41
BALAJI PAUVA HOUSE,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 89800 28858,https://balajipauvahouse.com/,4.5,,"1, Kanhaiya Appartment, Jogeshwari Rd, opp. Wonder Point Road, N H 8, C.T.M, Amraiwadi, Ahmedabad, Gujarat 380026","N H 8, C.T.M, Amraiwadi",22.9998093,72.6350157,ChIJO81trHSHXjkRv2x19NCm1Xo,https://www.google.com/maps/place/?q=place_id:ChIJO81trHSHXjkRv2x19NCm1Xo,part_102,2026-09-20 16:52:41
Karnavati Dabeli Center,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 99745 35106,N/A,4.4,,"Ground Floor , Radhamandir Complex, Shop No. 1, Isanpur Rd, opp. TOWER-2, Uttamnagar, Maninagar, Ahmedabad, Gujarat 380008","Manav Purusharth Society, Uttamnagar, Bhairavnath, Maninagar",22.9910334,72.6037231,ChIJQ_sY_OWFXjkRiz7FSp9MABc,https://www.google.com/maps/place/?q=place_id:ChIJQ_sY_OWFXjkRiz7FSp9MABc,part_102,2026-09-20 16:52:41
Kutchi King,Fast Food and Chaat Corner,Fast food restaurant,Fast food restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 70690 00999,N/A,4.1,,"Hiral Complex, Gf-7,Shree Sahjanand Plaza, Freniben Desai Marg, Near, Ashoknagar Society, Bhatta, Paldi, Ahmedabad, Gujarat 380007","Near, Ashoknagar Society, Bhatta, Paldi",23.0058448,72.5554526,ChIJiwI9d2CFXjkRMHF44_HZ_2Y,https://www.google.com/maps/place/?q=place_id:ChIJiwI9d2CFXjkRMHF44_HZ_2Y,part_102,2026-09-20 16:52:41
Madhur Snacks,Fast Food and Chaat Corner,Fast food restaurant,"Fast food restaurant, Sandwich shop",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 96389 20222,N/A,4.1,,"Dharnidhar Derasar, Dharnidhar Society, Yashkamal Society, Vasna, Ahmedabad, Gujarat 380007","Dharnidhar Society, Yashkamal Society, Vasna",23.0087005,72.54828669999999,ChIJz_-vyR6FXjkRoSNVbLHXGhs,https://www.google.com/maps/place/?q=place_id:ChIJz_-vyR6FXjkRoSNVbLHXGhs,part_102,2026-09-20 16:52:41
Gajanand Pauva House Maninagar,Fast Food and Chaat Corner,Restaurant,Restaurant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 89806 66161,N/A,4.0,,"Police Station, Rajvi Complex, G-5, Lala Lajpat Rai Marg, opposite Rambaug, Krishna Baug, Rambagh, Maninagar, Ahmedabad, Gujarat 380008","Krishna Baug, Rambagh, Maninagar",22.9981843,72.60195039999999,ChIJZ9BhqcWFXjkRDSopGSoPrHU,https://www.google.com/maps/place/?q=place_id:ChIJZ9BhqcWFXjkRDSopGSoPrHU,part_102,2026-09-20 16:52:41
