business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
"Lakshya Estate Management - Buy, Sell and Rent",Real Estate Agents,Real estate agent,"Real estate agent, Commercial real estate agency, Condominium rental agency, Industrial real estate agency, Office space rental agency, Property investment company, Property management company, Real estate consultant, Real estate rental agency",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 99095 37449,http://www.lakshyaestatemanagement.in/,4.8,58.0,"25 ground floor, nandanvan height, N.H.8, Aslali Road, opp. Old Narol Court, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.954155999999998,72.59612249999999,ChIJW7w0pUKPXjkRuYVIKv_mw3A,https://www.google.com/maps/place/?q=place_id:ChIJW7w0pUKPXjkRuYVIKv_mw3A,part_102,2026-09-20 16:53:12
Vivan Real Estate,Real Estate Agents,Real estate consultant,Real estate consultant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 75673 52571,N/A,5.0,15.0,"Office No-338, Rashmi South Park, near Divine Life International School Road, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9491591,72.5969934,ChIJqQ2CmVuPXjkRUWijkG6-3Ss,https://www.google.com/maps/place/?q=place_id:ChIJqQ2CmVuPXjkRUWijkG6-3Ss,part_102,2026-09-20 16:53:12
Shubh Real Estate & Co,Real Estate Agents,Property management company,"Property management company, Real estate agent, Real estate consultant, Real estate rental agency",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 88491 38682,https://shubhproperties.in/,4.9,10.0,"Shop No 338 Third Floor, Rashmi South Park, opp. Tirth One, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9492682,72.5973775,ChIJR49OyNiuZYkRzdLTrqcj1Sg,https://www.google.com/maps/place/?q=place_id:ChIJR49OyNiuZYkRzdLTrqcj1Sg,part_102,2026-09-20 16:53:12
KADAM REAL ESTATE,Real Estate Agents,Real estate consultant,"Real estate consultant, Corporate office",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 80004 07033,N/A,5.0,13.0,"SHOP NO 01 BAAGE HASAN PARK BAPU KI KETALI, opp. AMINA TWONSHIP, Vatva, Ahmedabad, Gujarat 382405","Akruti Township, Vatva",22.9571729,72.600202,ChIJx0BFKqiPXjkRfeSVIhVGv7U,https://www.google.com/maps/place/?q=place_id:ChIJx0BFKqiPXjkRfeSVIhVGv7U,part_102,2026-09-20 16:53:12
Patrimonio Real Estate & Construction Management,Real Estate Agents,Real estate agency,"Real estate agency, Real estate consultant",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 96380 00989,N/A,4.9,32.0,"Shop no 6, Patrimonio Real Estate, Nr. Mahadev, Sejal Park Society Rd, Isanpur, Ahmedabad, Gujarat 382443","Ekta Park Society, Rajeswari Society, Isanpur",22.97906,72.597749,ChIJhZWqD_CFXjkROLLNfWPRERE,https://www.google.com/maps/place/?q=place_id:ChIJhZWqD_CFXjkROLLNfWPRERE,part_102,2026-09-20 16:53:12
DWARKESH PROPERTIES,Real Estate Agents,Real estate consultant,Real estate consultant,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",N/A,N/A,5.0,1.0,"karnavati 7, 32, near nakshtra aspire pooja farmNarol, Ahmedabad, Gujarat 382405",Lambha,22.943555099999998,72.5980309,ChIJRQkiaUCPXjkRs_2CFzAe1SY,https://www.google.com/maps/place/?q=place_id:ChIJRQkiaUCPXjkRs_2CFzAe1SY,part_102,2026-09-20 16:53:12
M.S ENTERPRISES & REAL ESTATE,Real Estate Agents,Real estate agency,Real estate agency,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",N/A,N/A,5.0,1.0,"BLOCK-D, NANDANVAN HEIGHTS-3, Vatva, Ahmedabad, Gujarat 382405",Vatva,22.953851999999998,72.596567,ChIJPwRFYQCPXjkRb_-h-dLa1mc,https://www.google.com/maps/place/?q=place_id:ChIJPwRFYQCPXjkRb_-h-dLa1mc,part_102,2026-09-20 16:53:12
M.S Enterprises & Real Estate,Real Estate Agents,Real estate agency,Real estate agency,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 88823 31198,http://www.mspropertyea.com/,5.0,25.0,"SHOP NO.104, NANDANVAN HEIGHTS, NEW, nr. AKRUTI TOWNSHIP, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9489058,72.5965911,ChIJr4BAW_6PXjkR0NOuJ3AyWpg,https://www.google.com/maps/place/?q=place_id:ChIJr4BAW_6PXjkR0NOuJ3AyWpg,part_102,2026-09-20 16:53:12
Ganesh Properties & Consultancy,Real Estate Agents,Real estate agency,Real estate agency,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 99788 13229,N/A,4.9,27.0,"Shop D-45 OM SHANTI GOLD PLUS Nr Karnavati-5 Lambha, Vatva Road, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.946434,72.5960357,ChIJv_ioSaKPXjkRxvofv5r5PZI,https://www.google.com/maps/place/?q=place_id:ChIJv_ioSaKPXjkRxvofv5r5PZI,part_102,2026-09-20 16:53:12
Real Estate Broker,Real Estate Agents,Real estate rental agency,Real estate rental agency,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",N/A,N/A,,,"OM SHANTI GOLD PLUS, C-41, nr. Swastik Hospital, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9466654,72.5966219,ChIJdTFlnauPXjkRXcJpfeiDfXY,https://www.google.com/maps/place/?q=place_id:ChIJdTFlnauPXjkRXcJpfeiDfXY,part_102,2026-09-20 16:53:12
