business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Bs The unisex salon,Unisex Salon,Barber shop,Barber shop,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 81608 32688,https://www.instagram.com/bs_the_unisex_salon?igsh=MWU4Mzc3NXZnd3pvMQ==,5.0,,"shop no.26, Nakshatra aspire, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9462919,72.59686099999999,ChIJXUaJVIKPXjkRMCbcHN70-mA,https://www.google.com/maps/place/?q=place_id:ChIJXUaJVIKPXjkRMCbcHN70-mA,part_102,2026-09-20 16:52:58
Bk beauty salon unisex,Unisex Salon,Barber shop,Barber shop,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 84699 53244,https://www.instagram.com/brijeshparekh149?igsh=anZieG9zdHV3MnF5&utm_source=qr,4.9,,"Shop no 22, Karnavati 5 bhmrya, Lambha-Vatva Canal Rd, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.9463214,72.5949005,ChIJuZzJwlePXjkRg5zYTbM28JQ,https://www.google.com/maps/place/?q=place_id:ChIJuZzJwlePXjkRg5zYTbM28JQ,part_102,2026-09-20 16:52:58
Asha Unisex salon,Unisex Salon,Beauty Parlour,Beauty Parlour,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 74055 33108,N/A,4.8,,"26, SHREE RAM RESIDENCY, Aslali Highway, opp. Central Ware House, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.948737599999998,72.59290519999999,ChIJFVY05umPXjkRYcvRHJkMWGw,https://www.google.com/maps/place/?q=place_id:ChIJFVY05umPXjkRYcvRHJkMWGw,part_102,2026-09-20 16:52:58
Sonal The Unisex Saloon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Barber shop, Beautician, Hairdresser, Make-up artist, Waxing hair removal service",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 98249 76474,https://sonal-the-unisex-saloon.grexa.site/,4.3,,"G/8, Mangal Murti Society, near Ghodasar Canal Road, New Arti Society, Ghodasar, Ahmedabad, Gujarat 380050","New Arti Society, Ghodasar",22.9796974,72.61079939999999,ChIJxbYCnv6FXjkRxcGTu7LWeww,https://www.google.com/maps/place/?q=place_id:ChIJxbYCnv6FXjkRxcGTu7LWeww,part_102,2026-09-20 16:52:58
Unique Hair Saloon,Unisex Salon,Hair salon,Hair salon,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 85300 48155,N/A,4.8,,"4, Pratham Height, Narolgam, Ahmedabad, Gujarat 382405",Narolgam,22.949560599999998,72.5992034,ChIJawQMkTiPXjkRV6l_mL8CEUw,https://www.google.com/maps/place/?q=place_id:ChIJawQMkTiPXjkRV6l_mL8CEUw,part_102,2026-09-20 16:52:58
Ms Unisex Salon,Unisex Salon,Beauty Parlour,"Beauty Parlour, Facial spa, Hair salon",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 81411 18775,N/A,4.8,,"Sigma Sparsh Complex, Jay Bhikkhu Marg, opposite Municipality School, Fatehpura, Paldi, Ahmedabad, Gujarat 380007","Fatehpura, Paldi",23.005869099999998,72.5645306,ChIJCZVLOb6FXjkRPJINGtOsK3M,https://www.google.com/maps/place/?q=place_id:ChIJCZVLOb6FXjkRPJINGtOsK3M,part_102,2026-09-20 16:52:59
Collegian Hair Salon,Unisex Salon,Hairdresser,Hairdresser,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 98256 24245,N/A,4.9,,"G4, Rushabh Avenue, Road, near jain Temple, opposite SAVITA PARK, Govindwadi, Jaymala, Isanpur, Ahmedabad, Gujarat 382443","Govindwadi, Jaymala, Isanpur",22.984391799999997,72.5975406,ChIJH0h8uJ-FXjkR6DnYURhD0LM,https://www.google.com/maps/place/?q=place_id:ChIJH0h8uJ-FXjkR6DnYURhD0LM,part_102,2026-09-20 16:52:59
THE COLLEGIAN UNISEX SALOON,Unisex Salon,Hair salon,Hair salon,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 99250 63340,N/A,4.8,,"Adarsh Tenament, opp. Rangaahish Society, Vishalnagar, Isanpur, Ahmedabad, Gujarat 382443","Vishalnagar, Isanpur",22.9861787,72.59652439999999,ChIJSznP1e2FXjkRVHYKLAqmmzo,https://www.google.com/maps/place/?q=place_id:ChIJSznP1e2FXjkRVHYKLAqmmzo,part_102,2026-09-20 16:52:59
Alexa unisex salon,Unisex Salon,Hairdresser,"Hairdresser, Facial spa",382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 84603 49962,http://www.alexaunisexsalon.wordpress.com/,4.7,,"Radhe Complex, B/GF/01-06-07, Khokhra Cir, near osiya mall, Maninagar East, Khokhra, Ahmedabad, Gujarat 380026","Maninagar East, Khokhra",23.0030243,72.6180524,ChIJpRmGe0GHXjkR68rR0eKqoeM,https://www.google.com/maps/place/?q=place_id:ChIJpRmGe0GHXjkR68rR0eKqoeM,part_102,2026-09-20 16:52:59
Lavish Hair & Beauty Salon,Unisex Salon,Hair salon,Hair salon,382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO",+91 98245 61177,https://lavishbeautysalon.in/,4.7,,"FF/9, Tirupati Avenue, Gordhanwadi Cross Rd, nr. Gordhanwadi Bus stop, Kankaria, Maninagar, Ahmedabad, Gujarat 380028","Kankaria, Maninagar",23.0030193,72.5963822,ChIJdS4--_eFXjkRdKp-ZR0_jAQ,https://www.google.com/maps/place/?q=place_id:ChIJdS4--_eFXjkRdKp-ZR0_jAQ,part_102,2026-09-20 16:52:59
