business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mesigo India Private Limited,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,+91 92747 97981,http://www.mesigo.com/,5.0,,"Ganesh Imperial, 310, near Podar School, Vastral, Ahmedabad, Gujarat 382418",Vastral,22.990259299999998,72.6654002,ChIJE22-Lj2HXjkRjmMqkBXQ-gQ,https://www.google.com/maps/place/?q=place_id:ChIJE22-Lj2HXjkRjmMqkBXQ-gQ,part_102,2026-09-20 16:54:42
Tanvira International,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,N/A,https://www.tanvirainternational.com/,5.0,,"Vastral, Ahmedabad, Gujarat 382418",Vastral,22.9934616,72.6648424,ChIJj-_C3wCHXjkRJvr6T5hO3-Q,https://www.google.com/maps/place/?q=place_id:ChIJj-_C3wCHXjkRJvr6T5hO3-Q,part_102,2026-09-20 16:54:42
Boniqo International Pvt. Ltd.,Importers,Importer,"Importer, Exporter",382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,+91 82902 53752,N/A,5.0,,"Alok Plaza, F.F 18, Sardar Patel Ring Rd, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418","Pranami Nagar, Vastral",23.0041311,72.66727089999999,ChIJFXdwHh6HXjkRLefX7yn_O-o,https://www.google.com/maps/place/?q=place_id:ChIJFXdwHh6HXjkRLefX7yn_O-o,part_102,2026-09-20 16:54:42
Ashvin patel,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,+91 80009 57765,N/A,,,": SHOP W- 32, DEVNANDAN, SUPREMYS, opp. Shrey Exotica, Opp. RAF Camp, Vastral, Ahmeabad - 382418, Daskroi, Vastral, Ahmedabad, Gujarat 382418","Daskroi, Vastral",22.9868286,72.6617049,ChIJbUkPUvOHXjkR6VkkhCeA9cs,https://www.google.com/maps/place/?q=place_id:ChIJbUkPUvOHXjkR6VkkhCeA9cs,part_102,2026-09-20 16:54:42
Trucrate Global Private Limited,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,N/A,N/A,5.0,,"BLOCK-A, PUSHP BUSINESS CAMPUS, T/F-308, Sardar Patel Ring Rd, Shiv Shanti Society, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418","Shiv Shanti Society, Pranami Nagar, Vastral",22.998902599999997,72.66545099999999,ChIJm5cJG5yHXjkRqtrW8hgZ7so,https://www.google.com/maps/place/?q=place_id:ChIJm5cJG5yHXjkRqtrW8hgZ7so,part_102,2026-09-20 16:54:42
Rudra Trading co.,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,N/A,N/A,,,"Shop no 4, shivam Apartment, Madhav Park-1, Pranami Nagar, Vastral, Ahmedabad, Gujarat 382418","Madhav Park-1, Pranami Nagar, Vastral",23.0029783,72.65897389999999,ChIJizpm-HOHXjkR53lJztoMmis,https://www.google.com/maps/place/?q=place_id:ChIJizpm-HOHXjkR53lJztoMmis,part_102,2026-09-20 16:54:42
Mahija International,Importers,Import export company,"Import export company, Wholesaler, Manufacturer",382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,+91 70430 15300,N/A,,,"Shrey Exotica, Opp. RAF Camp, Vastral, Ahmeabad - 382418, G - 404 BLUE IRIS, Sardar Patel Ring Rd, Vastral, Ahmedabad, Gujarat 382418",Vastral,22.9868286,72.6617049,ChIJSwazjBeHXjkR7FbVO8KtASY,https://www.google.com/maps/place/?q=place_id:ChIJSwazjBeHXjkR7FbVO8KtASY,part_102,2026-09-20 16:54:42
VSV TRADERS,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,+91 78200 92009,N/A,,,"G7, Shantiniketan-3, opp. Mahadev Road, Vastral, Ahmedabad, Gujarat 382418",Vastral,22.998975599999998,72.65718799999999,ChIJRXM5IzSGXjkRWPqmqHt2cAI,https://www.google.com/maps/place/?q=place_id:ChIJRXM5IzSGXjkRWPqmqHt2cAI,part_102,2026-09-20 16:54:42
rs prime global,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,N/A,N/A,,,"Vastral, Ahmedabad, Gujarat 382418",Vastral,22.9978372,72.66599099999999,ChIJE4xhw9aHXjkR2SXXROOxicg,https://www.google.com/maps/place/?q=place_id:ChIJE4xhw9aHXjkR2SXXROOxicg,part_102,2026-09-20 16:54:42
TradeNexus,Importers,Import export company,Import export company,382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO,N/A,N/A,,,"Vastral, Ahmedabad, Gujarat 382418",Vastral,22.9978372,72.66599099999999,ChIJg4mVcniHXjkRM58HOlzAOCQ,https://www.google.com/maps/place/?q=place_id:ChIJg4mVcniHXjkRM58HOlzAOCQ,part_102,2026-09-20 16:54:42
