business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Siddhivinayak homoeopathy Clinic,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 84880 28073,N/A,5.0,21.0,"Avichar park, B-49, Visatmata Road, Kanyadan Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Kanyadan Nagar, Chandkheda",23.1194733,72.57887989999999,ChIJMfmoHwCDXjkRYMCeC5UOlqI,https://www.google.com/maps/place/?q=place_id:ChIJMfmoHwCDXjkRYMCeC5UOlqI,part_102,2026-09-20 16:57:06
Restoration Homoeopathic Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Alternative Medicine Clinic, Alternative medicine practitioner, Doctor, Hospital, Medical clinic",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 94072 05534,http://restorationhomoeopathic.in/,4.9,83.0,"1st Floor 10, Vaishnodevi circle, MALABAR COUNTY-2, Sarkhej - Gandhinagar Hwy, behind NIRMA UNIVERSITY, Tragad, Gota, Ahmedabad, Gujarat 382470","Tragad, Gota",23.128368,72.5489808,ChIJ547U8YCDXjkRx7EQRs3vpm0,https://www.google.com/maps/place/?q=place_id:ChIJ547U8YCDXjkRx7EQRs3vpm0,part_102,2026-09-20 16:57:06
Health & Homoeopathy by Dr. Parul Modi,Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Holistic medicine practitioner, Psychotherapist, Wellness center",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 72111 22323,N/A,4.9,127.0,"301, the Emporio, Opp 4D square mall Near Vishwakarma engineering college, Visat, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 382424","Mahavirnagar, Harikurpa Society, Chandkheda",23.1038572,72.5944473,ChIJ2z59xUWDXjkR0jSLUkDzTUY,https://www.google.com/maps/place/?q=place_id:ChIJ2z59xUWDXjkR0jSLUkDzTUY,part_102,2026-09-20 16:57:06
Sanjivani Homoeopathic clinic (Dr. Ishwar Patel),Homeopathic Clinic,Homeopath,"Homeopath, Health consultant, Medical clinic",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 98797 22366,http://www.sanjivanihomoeopathy.com/,4.8,237.0,"Petrol pump GST, Vandemataram Homes, A-3, Chenpur Rd, near Chenpur, Chamunda Nagar, New Ranip, Ahmedabad, Ranip, Gujarat 382470","Chamunda Nagar, New Ranip",23.097838499999998,72.55974549999999,ChIJG5hvqQWDXjkRYLEKgRzdi2s,https://www.google.com/maps/place/?q=place_id:ChIJG5hvqQWDXjkRYLEKgRzdi2s,part_102,2026-09-20 16:57:06
Vraj Clinic (General and Homoeopathic),Homeopathic Clinic,Medical clinic,Medical clinic,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 97255 97527,N/A,4.9,51.0,"5, Narayan Residency, Bh. Satyamev Hospital, New, Chandkheda, Ahmedabad, Gujarat 382424","Tragad, Chandkheda",23.120726599999998,72.579641,ChIJHQDszlqCXjkRZAe0t1cRWvc,https://www.google.com/maps/place/?q=place_id:ChIJHQDszlqCXjkRZAe0t1cRWvc,part_102,2026-09-20 16:57:06
Amrutam Homoeopathic Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Alternative Medicine Clinic, Alternative medicine practitioner, Child health care center, Health consultant, Holistic medicine practitioner, Medical Center, Urologist",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 79741 33746,N/A,5.0,85.0,"First floor, Shop No.3, Shukan Apartment Opp Shukan Residency,Vandematram Cross Road, New SG Rd, Gota, Ahmedabad, Gujarat 382481","Vandematram Arcade, Janta Nagar, Gota",23.0938597,72.5462853,ChIJWViYvYKDXjkRye5tojsyhE4,https://www.google.com/maps/place/?q=place_id:ChIJWViYvYKDXjkRye5tojsyhE4,part_102,2026-09-20 16:57:06
Dr.FeelGood's Homoeopathic Clinic,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 97278 32228,http://www.drfeelgoods.in/,4.9,197.0,"Sports Club, Aaryan Elan A, 405 & 406, Godrej Garden City Rd, near SAVVY SWARAAJ, Gota, Ahmedabad, Gujarat 382470",Gota,23.1036741,72.55042929999999,ChIJgwIROhiDXjkR3yth9YQajkY,https://www.google.com/maps/place/?q=place_id:ChIJgwIROhiDXjkR3yth9YQajkY,part_102,2026-09-20 16:57:06
Dr Parth Maru Homeopathic clinic (Dr Parth Maru)(M.D.),Homeopathic Clinic,Homeopath,"Homeopath, Alternative Medicine Clinic, Diabetologist, Doctor, Homeopathic pharmacy",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 90338 78582,N/A,4.9,256.0,"Shop no 1, First floor, 3rd eye residency, opposite Nirmal kala, near Motera Stadium Road, Parvati Nagar, Motera, Ahmedabad, Gujarat 380005","Parvati Nagar, Motera",23.0971402,72.5961702,ChIJ56vail-DXjkR7FNXmNersuE,https://www.google.com/maps/place/?q=place_id:ChIJ56vail-DXjkR7FNXmNersuE,part_102,2026-09-20 16:57:06
Soul Cure Homoeopathic Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Diabetes center, Medical clinic, Women's health clinic, Urology clinic",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 63596 62685,https://soulcurehomoeopathicclinic.com/,5.0,31.0,"City Square Mall, F35, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470","Godrej Garden City, Chandkheda",23.1136896,72.5558597,ChIJu0v53TGDXjkRbi_1hO7dN2A,https://www.google.com/maps/place/?q=place_id:ChIJu0v53TGDXjkRbi_1hO7dN2A,part_102,2026-09-20 16:57:06
Kayatatvam Homoeopathic Clinic - Dr. Priti Prajapati,Homeopathic Clinic,Homeopath,"Homeopath, Doctor, Medical clinic",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 99242 51123,https://www.apollo247.com/hospital/4de28ced-cd5b-4900-b30d-67a7c147d07b?,5.0,98.0,"Ff 101, Aavishkar Complex, Motera Stadium Rd, nr. Asharam Ashram Road, Char Rasta, Motera, Ahmedabad, Gujarat 380005","Char Rasta, Motera",23.0996067,72.599038,ChIJJRz91dWDXjkRU6ncSKey4nE,https://www.google.com/maps/place/?q=place_id:ChIJJRz91dWDXjkRU6ncSKey4nE,part_102,2026-09-20 16:57:06
Umiya Homoeopathic and Diet Clinic,Homeopathic Clinic,Homeopath,"Homeopath, Dietitian",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 76000 67031,N/A,5.0,184.0,"3rd floor, 3HX5+VVX Saavan Square, bus stand, near Chenpur, Chamunda Nagar, New Ranip, Ahmedabad, Ranip, Gujarat 382470","Chamunda Nagar, New Ranip",23.0997164,72.5596858,ChIJnZ1YQamDXjkRftVPeBcStaM,https://www.google.com/maps/place/?q=place_id:ChIJnZ1YQamDXjkRftVPeBcStaM,part_102,2026-09-20 16:57:06
HOMOEOPATHIC CLINIC,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",N/A,N/A,5.0,18.0,"BLOCK-D, A-17/2 DEVBHUMINAGAR ,NR, nr. JAIN DERASAR, D-Cabin, Sabarmati, Ahmedabad, Gujarat 380019","D-Cabin, Sabarmati",23.104452,72.5722222,ChIJUfv3tI-DXjkRiZcoCLF9Oig,https://www.google.com/maps/place/?q=place_id:ChIJUfv3tI-DXjkRiZcoCLF9Oig,part_102,2026-09-20 16:57:06
Dev Homeopathic Clinic,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 84607 53144,https://sites.google.com/view/devhomeopathic/home,5.0,150.0,"Shop-16, Pavitra Enclave, Mansarovar Road to SP Ring Road B/h CBD Mall, New, Chandkheda, Ahmedabad, Gujarat 382470","Tragad, Chandkheda",23.1297511,72.5671521,ChIJU-FYKOqDXjkRT_mawZ9Zh8o,https://www.google.com/maps/place/?q=place_id:ChIJU-FYKOqDXjkRT_mawZ9Zh8o,part_102,2026-09-20 16:57:06
Dr. Rajesh Shah,Homeopathic Clinic,Homeopath,"Homeopath, Alternative medicine practitioner, Doctor",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 79 2665 0443,http://www.drroshah.com/,4.6,279.0,"3rd Floor, 318, Sharan Circle Hub, opposite Brts Bust Stop, Ahmedabad, Gujarat 382424",382424,23.130143399999998,72.5842401,ChIJ_____wKFXjkRV4HoEWBNSms,https://www.google.com/maps/place/?q=place_id:ChIJ_____wKFXjkRV4HoEWBNSms,part_102,2026-09-20 16:57:06
Dr.Rashmi's Homoeo Clinic | Best homeopathy Clinic in Ahmedabad,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 85117 11175,https://drrashmihomeoclinic.com/,5.0,14.0,"114, Suyog Complex, New CG Rd, above Hira Misthan, nr. Sarkar English Medium School, Shrinath Bungalows-I, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Shrinath Bungalows-I, Nigam Nagar, Chandkheda",23.1089219,72.5919615,ChIJWQg3o1SDXjkR2NdwTjQbM7U,https://www.google.com/maps/place/?q=place_id:ChIJWQg3o1SDXjkR2NdwTjQbM7U,part_102,2026-09-20 16:57:07
"Dr Kiran's Homeopathic Clinic, Best Homeopathic Doctor, Best Doctor, NIRAMAYA HEALTH CARE & SKIN CLINIC",Homeopathic Clinic,Doctor,Doctor,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 97250 56280,N/A,5.0,20.0,"Shop No 12, AAVKAR HEIGHTS, to, Sneh Plaza Rd, near maple parmeshwar & parmeshwar 8, near ring road, Tragad, New, Chandkheda, Ahmedabad, Gujarat 382424","Tragad, New, Chandkheda",23.1277601,72.5711048,ChIJY56VqLmDXjkR1kHp3_ZsiaY,https://www.google.com/maps/place/?q=place_id:ChIJY56VqLmDXjkR1kHp3_ZsiaY,part_102,2026-09-20 16:57:07
"Dr. Sapna's Homoeopathic Clinic , Holistic Homoeo Health Care",Homeopathic Clinic,Homeopath,"Homeopath, Alternative Medicine Clinic, Doctor, Medical clinic",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 96645 95403,N/A,5.0,,"Shop No 317, Third Floor, Kalash Square, Mansarovar Rd, Tragad, Chandkheda, Ahmedabad, Gujarat 382470","Tragad, Chandkheda",23.1198531,72.56857409999999,ChIJoYcSHJ-DXjkRJ7-en2fKDJg,https://www.google.com/maps/place/?q=place_id:ChIJoYcSHJ-DXjkRJ7-en2fKDJg,part_102,2026-09-20 16:57:08
Dr. Anjariya Homeopathic Clinic,Homeopathic Clinic,Medical clinic,"Medical clinic, Homeopath",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 98254 50423,N/A,5.0,,"4H5P+PWM, New CG Rd, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Nigam Nagar, Chandkheda",23.1093449,72.5872844,ChIJK2TGxrSDXjkRiGgLQ3sHwxc,https://www.google.com/maps/place/?q=place_id:ChIJK2TGxrSDXjkRiGgLQ3sHwxc,part_102,2026-09-20 16:57:08
Asha Homeopathic clinic,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 81600 54856,N/A,5.0,,"07, First Floor, Diamond 27, opp. Shree Sarju Heights, near Kalash Apartment, Chandkheda, Ahmedabad, Gujarat 382424",Chandkheda,23.117497699999998,72.5747251,ChIJD3BsV-CDXjkROHnB63G9eWU,https://www.google.com/maps/place/?q=place_id:ChIJD3BsV-CDXjkROHnB63G9eWU,part_102,2026-09-20 16:57:08
Shiv Homoeopathic Care Clinic,Homeopathic Clinic,Homeopath,Homeopath,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 94270 59425,N/A,4.9,,"T-75, Mansarovar Township Nr. Mansarovar Water Tank, IOC Rd, Chandkheda, Ahmedabad, Gujarat 382470",Chandkheda,23.1150786,72.5674602,ChIJBRLkfv-CXjkRU2IHpvG3XiY,https://www.google.com/maps/place/?q=place_id:ChIJBRLkfv-CXjkRU2IHpvG3XiY,part_102,2026-09-20 16:57:08
"Anubhuti Homeo Clinic: Chandkheda Branch, Ahmedabad",Homeopathic Clinic,Medical clinic,"Medical clinic, Homeopath",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 95109 76215,https://www.anubhutihomeo.org/,4.8,,"Sarjan Complex, 103, II, New CG Rd, above पंजाब नैशनल बैंक, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Nigam Nagar, Chandkheda",23.109358,72.58708899999999,ChIJE3VCx7SDXjkRHryFGDNOmEc,https://www.google.com/maps/place/?q=place_id:ChIJE3VCx7SDXjkRHryFGDNOmEc,part_102,2026-09-20 16:57:08
Dr. Priti's Homoeopathy,Homeopathic Clinic,Homeopath,"Homeopath, Medical clinic",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 81603 22945,https://dr-pritis-homoeopathy.grexa.site/,5.0,,"Karishma Avenue, Near, Sneh Plaza Rd, Surekha Park Society, Chandkheda, Ahmedabad, Gujarat 382424","Surekha Park Society, Chandkheda",23.1129277,72.5728645,ChIJX7nfyhiDXjkRb_QzW-b36Is,https://www.google.com/maps/place/?q=place_id:ChIJX7nfyhiDXjkRb_QzW-b36Is,part_102,2026-09-20 16:57:08
