business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Xtra clean water purification ( RO sales & service),RO Water Purifier Sales and Service,Water Filter Supplier,"Water Filter Supplier, Water Pump Supplier, Water purification company",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 93277 40060,N/A,4.9,,"24, shyamal complex, New CG Rd, near Kotak Mahindra bank, Full Stop Society, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Full Stop Society, Nigam Nagar, Chandkheda",23.108641799999997,72.58664689999999,ChIJ_1mFNnyDXjkRXeavNocu0LE,https://www.google.com/maps/place/?q=place_id:ChIJ_1mFNnyDXjkRXeavNocu0LE,part_102,2026-09-20 16:57:17
DE SPRING RO | RO Services in Ahmedabad,RO Water Purifier Sales and Service,Water purification company,Water purification company,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 87329 38879,https://de-springro.com/,5.0,,"JAINIK SOCIETY, Janta Nagar, ONGC Colony, Chandkheda, Ahmedabad, Gujarat 382424","Janta Nagar, ONGC Colony, Chandkheda",23.1045575,72.5786804,ChIJVXGLr-2DXjkRwMOt6aBQi8M,https://www.google.com/maps/place/?q=place_id:ChIJVXGLr-2DXjkRwMOt6aBQi8M,part_102,2026-09-20 16:57:17
Vishva enterprise RO SALES AND SERVICES,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 87581 86346,https://www.facebook.com/profile.php?id=100005778701283&mibextid=ZbWKwL,5.0,,"Devdutt residency, Chenpur Rd, opp. narnarayan tenament, New Ranip, Ahmedabad, Ranip, Gujarat 382470",New Ranip,23.0969682,72.55858649999999,ChIJm1ctmJuDXjkRRYv_yqSpqH8,https://www.google.com/maps/place/?q=place_id:ChIJm1ctmJuDXjkRRYv_yqSpqH8,part_102,2026-09-20 16:57:17
Dwarkesh enterprise Ro sales & service,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 81530 64680,N/A,4.1,,"Shop No 2, Aaryan City, Vandematram Rd, near VANDEMATARAM ICON, Gota, Ahmedabad, Gujarat 382481",Gota,23.096125,72.55120459999999,ChIJQUWFz7yDXjkRs2SSOKQ_qs4,https://www.google.com/maps/place/?q=place_id:ChIJQUWFz7yDXjkRs2SSOKQ_qs4,part_102,2026-09-20 16:57:17
AARVI AQUA SERVICE - RO water purifier sales service and repair,RO Water Purifier Sales and Service,Water Filter Supplier,Water Filter Supplier,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",N/A,N/A,5.0,,"siddheshwari Avenue, A 103, Nigam Nagar, Chandkheda, Ahmedabad, Gujarat 382424","Nigam Nagar, Chandkheda",23.109098,72.5849179,ChIJITCzhRuDXjkRJBxppoMQqE8,https://www.google.com/maps/place/?q=place_id:ChIJITCzhRuDXjkRJBxppoMQqE8,part_102,2026-09-20 16:57:17
De-spring Ro | Ro Service Provider,RO Water Purifier Sales and Service,Water purification company,Water purification company,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 87329 38879,https://de-springro.com/,4.8,,"SHOP NUMBER 5, EADEN PARMESHWAR, TP-44, Chandkheda, Ahmedabad, Gujarat 382424","TP-44, Chandkheda",23.1188097,72.5931102,ChIJcdCuuvWDXjkREoRntyBEpZ0,https://www.google.com/maps/place/?q=place_id:ChIJcdCuuvWDXjkREoRntyBEpZ0,part_102,2026-09-20 16:57:17
Thunderbird RO Sales and Services Water Purifier,RO Water Purifier Sales and Service,Water purification company,Water purification company,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",N/A,N/A,2.9,,"Swarnim Business Hub - 1, New Chamunda Society, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470","New Chamunda Society, Godrej Garden City, Chandkheda",23.118576299999997,72.5559205,ChIJ8ZTnMwCDXjkR3HMxJ5MH7-I,https://www.google.com/maps/place/?q=place_id:ChIJ8ZTnMwCDXjkR3HMxJ5MH7-I,part_102,2026-09-20 16:57:17
Khodal Ro sales and service,RO Water Purifier Sales and Service,Repair service,"Repair service, Water Filter Supplier",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 83475 61996,N/A,4.9,,"Gf-09, Rhythm hights, Nr vivaan infinity, Zundal, Ahmedabad, Gujarat 382421",382424,23.1338567,72.5755186,ChIJ5TIolbmDXjkRU6b3utPzu_o,https://www.google.com/maps/place/?q=place_id:ChIJ5TIolbmDXjkRU6b3utPzu_o,part_102,2026-09-20 16:57:17
Krishna RO Water Purifier & Washing Machine Sales & Service and maicroweve repair,RO Water Purifier Sales and Service,Electrical appliance wholesaler,Electrical appliance wholesaler,382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 73833 03237,N/A,3.0,,"L-804 Tivoli, Jagatpur Rd, Godrej Garden City, Gota, Ahmedabad, Gujarat 382470","Godrej Garden City, Gota",23.114348099999997,72.55173429999999,ChIJUWe1jZODXjkRQ1tnQDWYP90,https://www.google.com/maps/place/?q=place_id:ChIJUWe1jZODXjkRQ1tnQDWYP90,part_102,2026-09-20 16:57:17
Fresh Tech R.O,RO Water Purifier Sales and Service,Water purification company,"Water purification company, Repair service",382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO",+91 85119 80025,N/A,4.7,54.0,"Deepbhumi appartment part 1,near ongc,chandkheda,ahmedabad,382424 sabarmati, Chandkheda, Ahmedabad, Gujarat 382424","Nigam Nagar, Chandkheda",23.1062546,72.5880762,ChIJw6qq6q2DXjkROyFrKDcEWzA,https://www.google.com/maps/place/?q=place_id:ChIJw6qq6q2DXjkROyFrKDcEWzA,part_102,2026-09-20 16:57:18
