business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Radhe Ply And Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 90239 83842,N/A,4.8,,"6, Devdarshan Complex, Mahemdabad Road, Trikampura patiya, Jashoda Nagar, Ahmedabad, Gujarat 382445","Trikampura patiya, Jashoda Nagar",22.9818085,72.6310477,ChIJwYhlkR-HXjkRlyD7deu2nAA,https://www.google.com/maps/place/?q=place_id:ChIJwYhlkR-HXjkRlyD7deu2nAA,part_102,2026-09-20 17:03:51
Hare Krishna Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 96645 31463,N/A,3.0,,"XM54+CPW, Ringroad, Hathijan Cir, opp. Samsung Mobile Showroom, Vatva, Ahmedabad, Gujarat 382445","Phase IV, Vatva",22.9586053,72.656824,ChIJQ-OCUf6JXjkRKcsA7TsfQPY,https://www.google.com/maps/place/?q=place_id:ChIJQ-OCUf6JXjkRKcsA7TsfQPY,part_102,2026-09-20 17:03:51
Mahalaxmi Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 97253 63330,N/A,5.0,,"Surya Kiran Society, PD Pandya College Rd, Ghodasar, Ahmedabad, Gujarat 382445",Ghodasar,22.969687099999998,72.61446219999999,ChIJSWgiI0iPXjkRuC9z3U6oG10,https://www.google.com/maps/place/?q=place_id:ChIJSWgiI0iPXjkRuC9z3U6oG10,part_102,2026-09-20 17:03:51
Ashapura Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 98331 73887,N/A,4.2,,"Sundha Selection, Bombay Conductor Rd, Phase I, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase I, Vatva GIDC",22.9766604,72.6227404,ChIJBWH323qHXjkR3eD4FXxQ04Q,https://www.google.com/maps/place/?q=place_id:ChIJBWH323qHXjkR3eD4FXxQ04Q,part_102,2026-09-20 17:03:51
Shree Gauree Tool & Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 97254 53626,N/A,4.1,,"21, radhey residency, Sardar Patel Ring Rd, near Hathijan Circle, Phase IV, Vatva GIDC, Ahmedabad, Gujarat 382445","Phase IV, Vatva GIDC",22.9594946,72.65742449999999,ChIJdxrhHMGJXjkRuOQ7PN5Ar_A,https://www.google.com/maps/place/?q=place_id:ChIJdxrhHMGJXjkRuOQ7PN5Ar_A,part_102,2026-09-20 17:03:51
Liliyawala Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 98985 22219,N/A,4.5,,"XJ57+W2G, Narol - Vatva Rd, Saiyedwadi, Vatva, Ahmedabad, Gujarat 382445","Saiyedwadi, Vatva",22.9598054,72.6125643,ChIJtayx8EyPXjkR67Cop8SnaU4,https://www.google.com/maps/place/?q=place_id:ChIJtayx8EyPXjkR67Cop8SnaU4,part_102,2026-09-20 17:03:51
Gayatri Hardware,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 99099 50411,N/A,4.3,,"18, Jashoda Nagar, Ahmedabad, Gujarat 382445",Jashoda Nagar,22.9843349,72.6250289,ChIJrQDe7gSGXjkREIJnY903sO0,https://www.google.com/maps/place/?q=place_id:ChIJrQDe7gSGXjkREIJnY903sO0,part_102,2026-09-20 17:03:51
MADHAV HARDWARE,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 99092 59059,N/A,5.0,,"Shop No A 7, BALESHWAR CITY, Mahemdava Road, below OM Hospital, Hathijan, Ahmedabad, Gujarat 382445",382445,22.9537069,72.6598419,ChIJm5cZnNWJXjkR4eBpIZAgpUE,https://www.google.com/maps/place/?q=place_id:ChIJm5cZnNWJXjkR4eBpIZAgpUE,part_102,2026-09-20 17:03:51
Kutbi Electric & Hardware Store,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 98246 85131,N/A,5.0,,"15, sankheswer Park, Vatva, Ahmedabad, Gujarat 382445","sankheswer Park, Vatva",22.961265599999997,72.6204379,ChIJc2vX9XeJXjkRlJBJpJ9wDY4,https://www.google.com/maps/place/?q=place_id:ChIJc2vX9XeJXjkRlJBJpJ9wDY4,part_102,2026-09-20 17:03:51
Swaminarayan Hardware And Paints,Hardware Store,Hardware store,Hardware store,382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO",+91 6825 422 467,N/A,5.0,,"42, CTM - Ramol Rd, C.T.M, Hatkeshwar, Ahmedabad, Gujarat 380026","C.T.M, Hatkeshwar",22.9923427,72.6336104,ChIJ6W9t0BaGXjkR11TPi4YXFV0,https://www.google.com/maps/place/?q=place_id:ChIJ6W9t0BaGXjkR11TPi4YXFV0,part_102,2026-09-20 17:03:53
