business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Dental Care Clinic,Dental Clinic,Medical clinic,Medical clinic,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",N/A,N/A,,,"Parasia, Madhya Pradesh 480441",382455,22.191707299999997,78.7539638,ChIJD3hnt9B91TsRYyWDKMPTYrI,https://www.google.com/maps/place/?q=place_id:ChIJD3hnt9B91TsRYyWDKMPTYrI,part_102,2026-09-20 17:05:52
Dental Care Clinic,Dental Clinic,Medical clinic,Medical clinic,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",N/A,N/A,,,"Sahanpur, Uttar Pradesh 246749",382455,29.630676599999997,78.3218959,ChIJx45gCY7fCzkR8E3-xBb16rE,https://www.google.com/maps/place/?q=place_id:ChIJx45gCY7fCzkR8E3-xBb16rE,part_102,2026-09-20 17:05:52
SHINE DENTAL CLINIC,Dental Clinic,Dentist,Dentist,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 78060 61450,N/A,5.0,1.0,"Shiv Nagar, Gadhaipura, Gwalior, Madhya Pradesh 474003","Shiv Nagar, Gadhaipura",26.2445876,78.186551,ChIJe7jYXMTGdjkRZ0xJn72z6lM,https://www.google.com/maps/place/?q=place_id:ChIJe7jYXMTGdjkRZ0xJn72z6lM,part_102,2026-09-20 17:05:52
LAKSHMI Dentalclinic,Dental Clinic,Dentist,Dentist,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",N/A,N/A,1.0,1.0,"Kannankurichi, Tamil Nadu 636008",382455,11.7063829,78.17362899999999,ChIJPTkNHhTxqzsR6fqgQiMnbeE,https://www.google.com/maps/place/?q=place_id:ChIJPTkNHhTxqzsR6fqgQiMnbeE,part_102,2026-09-20 17:05:52
G.M Dental Care,Dental Clinic,Dentist,Dentist,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",N/A,N/A,5.0,3.0,"Vallalar Nagar, Achamangalam, Pachchal, Tamil Nadu 635601","Vallalar Nagar, Achamangalam",12.5094734,78.5695346,ChIJJdIZ3H5UrDsR8s4cSQcwjLA,https://www.google.com/maps/place/?q=place_id:ChIJJdIZ3H5UrDsR8s4cSQcwjLA,part_102,2026-09-20 17:05:52
Dental Care Multi Speciality Dental Clinic & Implant Centre,Dental Clinic,Dental clinic,Dental clinic,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",N/A,N/A,1.0,1.0,"Sanjay Nagar, Pashupati Colony, Khandari, Agra, Uttar Pradesh 282002","Sanjay Nagar, Pashupati Colony, Khandari",27.207289799999998,78.00221549999999,ChIJYU2LVkN3dDkROrnh1S0E08c,https://www.google.com/maps/place/?q=place_id:ChIJYU2LVkN3dDkROrnh1S0E08c,part_102,2026-09-20 17:05:52
Dr. Ghadages City Smile Dental Clinic,Dental Clinic,Dentist,"Dentist, Doctor, Service establishment",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 96076 86884,N/A,5.0,104.0,"Dr. Ghadages City Smile Dental Clinic, 382455, India",382455,17.2602433,74.551637,ChIJ_6aGFeNnwTsRvKW-aFNuwBU,https://www.google.com/maps/place/?q=place_id:ChIJ_6aGFeNnwTsRvKW-aFNuwBU,part_102,2026-09-20 17:05:52
Aamil Dental Clinic,Dental Clinic,Dentist,Dentist,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 84491 83565,N/A,,,"Mujahidpur, Uttar Pradesh 244410",382455,28.4592426,78.4593654,ChIJjYgho1g7CzkR4h4xZrz2KVU,https://www.google.com/maps/place/?q=place_id:ChIJjYgho1g7CzkR4h4xZrz2KVU,part_102,2026-09-20 17:05:52
Krushna Dental Clinic – Ghatanji’s Best Dental Clinic,Dental Clinic,Dental clinic,"Dental clinic, Dentist, Doctor",382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 72767 79132,N/A,4.9,95.0,"opposite Dr Bhure's Hospital, Ghatanji, Maharashtra 445301",382455,20.144180799999997,78.3121049,ChIJ____Pxe40zsRLT5gxZe-vfE,https://www.google.com/maps/place/?q=place_id:ChIJ____Pxe40zsRLT5gxZe-vfE,part_102,2026-09-20 17:05:53
DentisTree - The Dental Clinic,Dental Clinic,Hospital,Hospital,382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO",+91 72004 40177,N/A,4.9,11.0,"67/1, Bazaar St, Papparapatti, Tamil Nadu 636809",382455,12.2096889,78.0559992,ChIJ2cLvmbMjrDsRF8XeJ3h1nlY,https://www.google.com/maps/place/?q=place_id:ChIJ2cLvmbMjrDsRF8XeJ3h1nlY,part_102,2026-09-20 17:05:53
