business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
AYURVEDIC,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",N/A,N/A,5.0,,"7Q38+7G8, Saronda, Gujarat 396120",382463,20.2526996,72.7665763,ChIJx2JhVADV4DsRTWgi9Sc5m5c,https://www.google.com/maps/place/?q=place_id:ChIJx2JhVADV4DsRTWgi9Sc5m5c,part_102,2026-09-20 17:07:13
Aum Chiranjeevi Ayurveda Hospital || Best Ayurveda Clinic || Best Panchkarma || Best Ayurveda Doctor & Treatment ||,Ayurvedic Pharmacy and Clinic,Hospital,"Hospital, Ayurvedic clinic, Gastroenterologist, Orthopedic clinic, Pediatric gastroenterologist",382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",+91 76228 49896,http://www.chiranjeeviayurved.com/,4.9,,"Bpc road ,,Nr Govardhannathji Haveli Alkapuri, near Urmi Cross Road, Akota, Vadodara, Gujarat 390007","Laxmi Colony, Anand Nagar, Akota",22.3022675,73.17320939999999,ChIJxUlr36jIXzkRc0dAtp71S60,https://www.google.com/maps/place/?q=place_id:ChIJxUlr36jIXzkRc0dAtp71S60,part_102,2026-09-20 17:07:13
Dr.Vasishth's AyuRemedies,Ayurvedic Pharmacy and Clinic,Pharmaceutical company,Pharmaceutical company,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",+91 99980 02862,http://www.drvasishths.com/,4.3,,"Park, Sarkhej-Bavla Rd, Vasna Chacharavadi, Gujarat 382213",382463,22.8724541,72.41066289999999,ChIJ7U2s4vyEXjkRkQOkQ0i_o4g,https://www.google.com/maps/place/?q=place_id:ChIJ7U2s4vyEXjkRkQOkQ0i_o4g,part_102,2026-09-20 17:07:13
Ayurvedicwala,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",+91 99251 59764,https://www.ayurvedicwala.com/,5.0,12.0,"Chika park, Moti Bhagol, nr. Umiyamata temple, Uvarsad, Gujarat 382422",382463,23.208633,72.5889558,ChIJoXig7VQpXDkRVO9XTYfJ7ME,https://www.google.com/maps/place/?q=place_id:ChIJoXig7VQpXDkRVO9XTYfJ7ME,part_102,2026-09-20 17:07:13
Ayurvedic upchar kendra,Ayurvedic Pharmacy and Clinic,Pharmacy,Pharmacy,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",N/A,N/A,4.4,19.0,"GCPC+2CF, Jamaliya, Gadi, Gujarat 396051",382463,20.5350528,73.4210341,ChIJo_ThHsen4DsRV1Ync9lKg-A,https://www.google.com/maps/place/?q=place_id:ChIJo_ThHsen4DsRV1Ync9lKg-A,part_102,2026-09-20 17:07:13
Government Ayurved Clinic સરકારી આયુર્વેદ દવાખાનું,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",N/A,N/A,5.0,1.0,"7988+M5V, Ubharan, Gujarat 383335",382463,23.2667483,73.3654336,ChIJIUYWteD9XTkRXCeOfo7h93A,https://www.google.com/maps/place/?q=place_id:ChIJIUYWteD9XTkRXCeOfo7h93A,part_102,2026-09-20 17:07:13
Ayurved dispensery,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Doctor",382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",N/A,N/A,4.5,2.0,"F3P9+R6M, Kantva, Gujarat 394405",382463,21.487083,73.068062,ChIJFzo7C5U94DsReSZBKds6LC0,https://www.google.com/maps/place/?q=place_id:ChIJFzo7C5U94DsReSZBKds6LC0,part_102,2026-09-20 17:07:13
Ayush Ayurvedic Clinic GOVT,Ayurvedic Pharmacy and Clinic,Medical clinic,Medical clinic,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",N/A,N/A,5.0,3.0,"2FF8+C28, Umrethi, Gujarat 362150",382463,21.0235386,70.46508899999999,ChIJsTz3HB7L4jsRbi9VDFycpp0,https://www.google.com/maps/place/?q=place_id:ChIJsTz3HB7L4jsRbi9VDFycpp0,part_102,2026-09-20 17:07:13
AYURSATV AAUSADHALAY,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,"Ayurvedic clinic, Medical supply store",382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",+91 70164 07285,N/A,5.0,30.0,"GAYATRI CLINIC BANK OF BARODA ROAD I, Lajpur, Gujarat 394235",382463,21.0600782,72.9008139,ChIJiYrTkDlZ4DsRJXv3D52x-Tc,https://www.google.com/maps/place/?q=place_id:ChIJiYrTkDlZ4DsRJXv3D52x-Tc,part_102,2026-09-20 17:07:13
A B ayurveda and panchkarma,Ayurvedic Pharmacy and Clinic,Ayurvedic clinic,Ayurvedic clinic,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",N/A,N/A,4.0,1.0,"88QC+WVG, Nandigram Society, Savar Kundla, Gujarat 364515",Nandigram Society,21.3398234,71.32220459999999,ChIJ5w1YFtZl4jsRvUNaeeZCmd4,https://www.google.com/maps/place/?q=place_id:ChIJ5w1YFtZl4jsRvUNaeeZCmd4,part_102,2026-09-20 17:07:13
Ayur Breath,Ayurvedic Pharmacy and Clinic,Alternative medicine practitioner,Alternative medicine practitioner,382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO",+91 75758 77878,N/A,5.0,2.0,"M4VX+CJX, near BPCL Petrol Pump, Budhel, Gujarat 364002",382463,21.693600699999998,72.14912319999999,ChIJo6iVSdpZXzkRJ9hJFffhG38,https://www.google.com/maps/place/?q=place_id:ChIJo6iVSdpZXzkRJ9hJFffhG38,part_102,2026-09-20 17:07:13
