business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Castle Design & Modular Studio,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 92656 94395,https://www.castledesign.in/,4.9,,"Office No. B-214, Second Floor, Money Plant High Street, Jagatpur, Gota, Ahmedabad, Gujarat 382470",Gota,23.1135551,72.53868179999999,ChIJR2MyTTKHXjkRxIPFgOJ8ICI,https://www.google.com/maps/place/?q=place_id:ChIJR2MyTTKHXjkRxIPFgOJ8ICI,part_102,2026-09-20 17:08:47
Space O - Design,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 70162 93183,https://www.spaceodesign.com/,4.8,,"OFFICE, D- 803,Ganesh Glory 11 Jagatpur Road, Sarkhej - Gandhinagar Hwy, near BSNL, Ahmedabad, Gujarat 382470",Gota,23.1140871,72.54031239999999,ChIJ_anMCMGDXjkRa979nGEMF6g,https://www.google.com/maps/place/?q=place_id:ChIJ_anMCMGDXjkRa979nGEMF6g,part_102,2026-09-20 17:08:47
SN interior studio,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 89804 62685,https://sn-interior-studio.grexa.site/,4.7,,"Ganesh Glory 11, Gota, Ahmedabad, Gujarat 382470",Gota,23.1138826,72.5412793,ChIJZSoOkqyDXjkRJ8yNXkShmG4,https://www.google.com/maps/place/?q=place_id:ChIJZSoOkqyDXjkRJ8yNXkShmG4,part_102,2026-09-20 17:08:47
Ambica Interiors,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 97258 42238,N/A,4.9,,"B802 Ganesh glory 11, Jagatpur, Ahmedabad, Gujarat 382470",Jagatpur,23.1142807,72.5404545,ChIJMdUlJrKDXjkRGALJGbjXSEA,https://www.google.com/maps/place/?q=place_id:ChIJMdUlJrKDXjkRGALJGbjXSEA,part_102,2026-09-20 17:08:47
TUD SPACES Private Limited,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",N/A,http://www.tudspaces.com/,4.5,,"Ganesh Glory 11, E922, Gota - Jagatpur Rd, Gota, Ahmedabad, Gujarat 382470",Gota,23.1131745,72.5395348,ChIJmYKj6eaDXjkR-dugSzBG7lM,https://www.google.com/maps/place/?q=place_id:ChIJmYKj6eaDXjkR-dugSzBG7lM,part_102,2026-09-20 17:08:47
PRISM INTERIOR DESIGN,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 98248 01010,https://www.instagram.com/prisminteriordesign_09?igsh=czdhM3drMmgzMngx&utm_source=qr,5.0,,"GANESH GLORY, D-306, Jagatpur Rd, Gota, Ahmedabad, Gujarat 382470",Gota,23.113734299999997,72.54026259999999,ChIJt9LwEACDXjkRmWItL53XztA,https://www.google.com/maps/place/?q=place_id:ChIJt9LwEACDXjkRmWItL53XztA,part_102,2026-09-20 17:08:47
Casa Interior Studio,Interior Designers,Interior designer,"Interior designer, Architect, Interior architect office, Interior construction contractor, Interior Decorator",382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",N/A,N/A,4.5,,"Display Center - A 422, Money Plant High Street,S G Highway, Jagatpur Rd, Gota, Ahmedabad, Gujarat 382470",Gota,23.1135551,72.53868179999999,ChIJy-o1oJ6DXjkR0sZ5l-vraNg,https://www.google.com/maps/place/?q=place_id:ChIJy-o1oJ6DXjkR0sZ5l-vraNg,part_102,2026-09-20 17:08:47
Radhe Design Studio,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 70431 73673,https://www.radhedesignstudio.in/,5.0,,"Moneyplant Highstreet, A-1111, Jagatpur Rd, near Ganesh Glory 11, Gota, Ahmedabad, Gujarat 382470",Gota,23.1135551,72.53868179999999,ChIJ8TKz-3uDXjkRXX-Pt9dxeWA,https://www.google.com/maps/place/?q=place_id:ChIJ8TKz-3uDXjkRXX-Pt9dxeWA,part_102,2026-09-20 17:08:47
A & A Design Studio,Interior Designers,Interior designer,"Interior designer, Architect, Architectural designer, Architecture firm, Building designer, Civil engineer, Custom home builder, Interior construction contractor, Interior Decorator, Interior architect office",382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 99242 43226,https://sites.google.com/view/aa-design-studio-amdavad-2004/home,4.9,,"swarnim Business hub-1, A 325, Tragad Rd, near Godrej Garden City, New Chamunda Society, Godrej Garden City, Gota, Ahmedabad, Gujarat 382470","New Chamunda Society, Godrej Garden City, Gota",23.11834,72.555815,ChIJR2Ig-aeDXjkRG6cWUj1yUOw,https://www.google.com/maps/place/?q=place_id:ChIJR2Ig-aeDXjkRG6cWUj1yUOw,part_102,2026-09-20 17:08:47
Aatrey Interior,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",N/A,N/A,5.0,,"Money Plant High Street, A-625, Jagatpur Rd, Gota, Ahmedabad, Gujarat 382470",Gota,23.114382499999998,72.538704,ChIJAVgTVfiDXjkR0cO7t9HmyWk,https://www.google.com/maps/place/?q=place_id:ChIJAVgTVfiDXjkR0cO7t9HmyWk,part_102,2026-09-20 17:08:47
Pragati Interiors | Interior Design Studio,Interior Designers,Interior designer,Interior designer,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 96606 61051,https://www.pragatiinteriors.in/,5.0,,"B-343, Moneyplant High Street, Jagatpur Road, Sarkhej - Gandhinagar Hwy, Gota, Ahmedabad, Gujarat 382470",Gota,23.1132128,72.5382359,ChIJr4sNaZiDXjkRb02M66b0fkM,https://www.google.com/maps/place/?q=place_id:ChIJr4sNaZiDXjkRb02M66b0fkM,part_102,2026-09-20 17:08:47
