business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
nourishme,Malls,Shopping mall,Shopping mall,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",N/A,N/A,4.2,,"4H74+C7H, Godrej Garden City, Chandkheda, Ahmedabad, Gujarat 382470","Godrej Garden City, Chandkheda",23.1135527,72.55572529999999,ChIJMWGWs-SCXjkRhDCXYPGn_LU,https://www.google.com/maps/place/?q=place_id:ChIJMWGWs-SCXjkRhDCXYPGn_LU,part_102,2026-09-20 17:09:08
Misha Skywalk,Malls,Shopping mall,Shopping mall,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",N/A,N/A,4.6,,"Jagatpur Rd, Krishnadham Tenement, Chandkheda, Ahmedabad, Ranip, Gujarat 382470","Krishnadham Tenement, Chandkheda",23.104008999999998,72.55537369999999,ChIJIdNeCxmDXjkRsl2zIGj4tkE,https://www.google.com/maps/place/?q=place_id:ChIJIdNeCxmDXjkRsl2zIGj4tkE,part_102,2026-09-20 17:09:08
Magnate Square,Malls,Shopping mall,Shopping mall,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 99246 22773,N/A,4.3,176.0,"Magnate Square Home, Town 3, New Ranip, Ahmedabad, Gujarat 382470","Town 3, New Ranip",23.0917459,72.5626108,ChIJ-bypi0ODXjkRi6p2bcr0Ruc,https://www.google.com/maps/place/?q=place_id:ChIJ-bypi0ODXjkRi6p2bcr0Ruc,part_102,2026-09-20 17:09:09
The Hiwest,Malls,Outlet mall,Outlet mall,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 98790 50808,N/A,5.0,,"Jagatpur, Tragad Rd, Tragad, Ahmedabad, Gujarat 382470",Tragad,23.1275788,72.5563349,ChIJQaZuKM2DXjkRz4UP28kFgnM,https://www.google.com/maps/place/?q=place_id:ChIJQaZuKM2DXjkRz4UP28kFgnM,part_102,2026-09-20 17:09:10
Sv square mall,Malls,Coffee shop,Coffee shop,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",N/A,N/A,4.5,,"Sv Square Commercial Complex, New Ranip, Ahmedabad, Gujarat 382470",New Ranip,23.0893205,72.56517,ChIJXzRMWACDXjkRZ56w7pFDGKk,https://www.google.com/maps/place/?q=place_id:ChIJXzRMWACDXjkRZ56w7pFDGKk,part_102,2026-09-20 17:09:10
"House of Sujata Authorised Dealer - Navdeep Kitchen Appliances Store | Chimneys, Cooktops",Malls,Shopping mall,"Shopping mall, Chimney services, Countertop store, Electrical supply store, Electronics store, Home improvement store, Kitchen supply store, Outlet mall, Appliance store",382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 91062 94903,https://houseofsujata.com/store-locator/sujata-in-gujarat-ahmedabad-shayona-shopping-centre-49565,,,"Shayona Shopping Centre, C-21, Maharana Pratap Rd, Shayona City, Chanakyapuri, Ahmedabad, Gujarat 380061","Shayona City, Chanakyapuri",23.079841599999998,72.53644229999999,ChIJryQwhiODXjkRdv1SDOsEx0A,https://www.google.com/maps/place/?q=place_id:ChIJryQwhiODXjkRdv1SDOsEx0A,part_102,2026-09-20 17:09:10
House of Sujata Authorised Dealer - Nirali Kitchen Appliances Store,Malls,Shopping mall,"Shopping mall, Chimney services, Countertop store, Electrical supply store, Electronics store, Home improvement store, Kitchen supply store, Outlet mall, Appliance store",382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 76001 03558,https://houseofsujata.com/store-locator/sujata-in-gujarat-ahmedabad-nidhi-shopping-center-12671,,,"Nidhi Shopping Center, 1/138, opp. Pragati Nagar Road, Shastrinagar, Naranpura, Ahmedabad, Gujarat 380063","Shastrinagar, Naranpura",23.064835499999997,72.55502609999999,ChIJh74bPlKDXjkR88k3R8x-YCs,https://www.google.com/maps/place/?q=place_id:ChIJh74bPlKDXjkR88k3R8x-YCs,part_102,2026-09-20 17:09:10
KINGS KITCHEN GALLERY,Malls,Chimney services,Chimney services,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 81281 18684,https://kingskitchengallery.com/,4.9,,"Shop No 111, First Floor, Sv Square, Mall, New Ranip, Ahmedabad, Gujarat 382470",New Ranip,23.089212399999997,72.5649392,ChIJCXZ771yDXjkRfqwX-MuG6jk,https://www.google.com/maps/place/?q=place_id:ChIJCXZ771yDXjkRfqwX-MuG6jk,part_102,2026-09-20 17:09:10
Anupam Enterprise,Malls,Appliance store,"Appliance store, Bathroom supply store, Building materials store, Kitchen remodeler, Kitchen supply store",382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 88665 58844,https://anupamenterprise.in/,4.4,,"L 202, nr. Umiya Campus, opp. Agrwal Mall, Sola, Gota, Ahmedabad, Gujarat 380060","Sola, Gota",23.092051299999998,72.5288028,ChIJn7qeMxaDXjkRmCv_X3n-n0M,https://www.google.com/maps/place/?q=place_id:ChIJn7qeMxaDXjkRmCv_X3n-n0M,part_102,2026-09-20 17:09:10
Kajaria Tiles Authorised Showroom - Shree Shah Sanitary Store,Malls,Tile store,"Tile store, Building materials store, Ceramics wholesaler, Construction Material Wholesaler, Flooring store, Granite supplier, Marble supplier, Tile manufacturer",382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 99987 26523,https://dealers.kajariaceramics.com/kajaria-tiles-in-gujarat-ahmedabad-sg-highway-24651,4.0,,"Bhagwat Vidhyapith, Shree Shah Sanitary 16-30, 2nd Floor, Agarwal Mall, Sarkhej - Gandhinagar Hwy, opp. Sola, Ahmedabad, Gujarat 380060",Chanakyapuri,23.087762899999998,72.529088,ChIJGfznq1JzCDsRHcXBDA0F4tQ,https://www.google.com/maps/place/?q=place_id:ChIJGfznq1JzCDsRHcXBDA0F4tQ,part_102,2026-09-20 17:09:10
Shree Shah Sanitary Store,Malls,Building materials store,Building materials store,382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO",+91 99987 26523,N/A,4.0,,"Shop No 16-30 Agarwal Mall 2nd floor Opp Sola Bhagvath Vidyapith Near Gota cross roads, Sarkhej - Gandhinagar Hwy, Ahmedabad, Gujarat 380060",Chanakyapuri,23.0878257,72.5294153,ChIJ6-wPmV-EXjkRubbSVFb9zsM,https://www.google.com/maps/place/?q=place_id:ChIJ6-wPmV-EXjkRubbSVFb9zsM,part_102,2026-09-20 17:09:10
