pincode,circle,region,division,offices
382225,Gujarat circle,Ahmedabad HQ Region,Gandhinagar Division,"Rampur BO, Ranoda BO, Sahij BO, Vautha BO, Transad BO, Dadusar BO, Sindharej BO, Valdhera BO, Ambareli BO, Jalalpur Vajifa BO, Kelia  Vasna BO, Ambaliara BO, Sherpura BO, Siawada BO, Sathal BO, Nesda BO, Dholka SO, Sarandi BO"
382230,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Lothal Bhurkhi RS SO, Arnej BO, Bagodara BO, Bholad BO, Bhurkhi BO, Dhingada BO, Durgi BO, Gundi Sarvodaya Ashram BO, Jakhada BO, Jawaraj BO, Mithapur BO, Moti Boru BO, Nani Boru BO, Rohika BO, Sargwala BO, Shiyal BO, Utelia BO, Vejalka BO"
382240,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Koth SO, Baldana BO, Bamsara BO, Deo Dholera BO, Dholi BO, Gangad BO, Kalyangadh BO, Kesardi BO, Rupgadh BO"
382245,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Ranpur SO, Alampur BO, Aniali  K  BO, Bodia BO, Devaliya BO, Dharpipla BO, Galsana BO, Keria BO, Khokarnesh BO, Kundli BO, Nani Vavdi BO, Rajpura BO, Umrela BO, Vagad BO"
382250,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Polarpur SO, Akru BO, Chokdi BO, Jeska BO, Parabadi BO, Shahpur BO, Tagadi BO, Unchadi BO, Zinzar BO"
382255,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Jalila SO, Alau BO, Bagad BO, Chandarva BO, Godhavata BO, Gunda BO, Khas BO, Moti Vavdi BO, Refda BO, Sunderiana BO"
382260,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chaloda SO, Chandisar BO, Kavitha BO, Saroda BO, Badarkha BO"
382265,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kauka SO, Ganol BO, Ingoli BO, Pisawada BO, Simej BO, Varna BO, Vataman BO, Virdi BO"
382305,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dehgam SO, Jawaharmarket Dehgam SO, Amrajinamuvada BO, Anguthala BO, Bardolikoti BO, Harkhji Na Muvada BO, Harsoli BO, Jalia No Math BO, Kadodara BO, Karoli BO, Lavad BO, Mota Jalundra BO, Nandol BO, Salki BO, Sanoda BO, Vadvasa BO, Vasna Rathod BO"
382308,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bahiyal SO, Baria BO, Chiskari BO, Devkaran Na Muvada BO, Ghamij BO, Hathijan BO, Hilol BO, Isanpurdodia BO, Kanipur BO, Motipura BO, Palundra BO, Siawada BO, Vasna  Sogthi BO"
382315,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Rakhial RS SO, Dharisana BO, Jindva BO, Kadjodara BO, Khanpur BO, Lihoda BO, Masang Moti BO, Navanagar BO, Patna Kuva BO, Piplaj BO, Rakhial BO, Sahebji Na  Muvada BO, Sametri BO, Sampa BO, Udan BO"
382320,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sadra SO, Dolarana Vasna BO, Jakhora BO, Madhavgadh BO"
382321,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Chhala SO, Chandrala BO, Chekhala Pagi BO, Giyod BO, Halisa BO, Nana Jalundra BO, Vasnachaudhary BO"
382330,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bilasia BO, Limbadia BO, Medra BO, Nana Chiloda BO, Pardhol BO, Vehlal BO, Naroda I E SO, Naroda S A SO, Naroda SO"
382340,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Kubernagar B A SO, Kubernagar SO, Noblenagar SO"
382345,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Krishnanagar SO Ahmedabad, N C Mills SO, Naroda Road SO, Saijpur Bogha SO"
382350,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Khodiyarnagar SO, T B Nagar SO"
382355,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Gift City SO, Dabhoda SO, Basan BO, Chiloda BO, Dashela BO, Dhanap BO, Galudan BO, Isanpurmota BO, Lavarpur BO, Magodi BO, Palaj BO, Prantiya BO, Shahpur BO, Shiholi Moti BO, Vadodara BO, Valad BO"
382405,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Gyaspur BO, Lambha BO, Saijpur BO, Shahwadi BO, Narol SO"
382415,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Odhav Industrial Estate SO, Odhav SO"
382418,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Vastral SO
382421,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Adalaj SO, Ambapur BO, Khodiyar BO, Kudasan BO, Por BO, Sargasan BO, Zundal BO"
382422,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Uvarsad SO, Bhoyan Rathod BO, Pundrasan BO, Tintoda BO"
382423,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kasturinagar SO, Jamiyatpura BO, Shertha BO"
382424,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandkheda BO, Sughad BO, Chandkheda Society Area SO"
382425,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Girmatha BO, Mahijada BO, Miroli BO, Muktipur BO, Paldi Kankaj BO, Pirana BO, Timba BO, Vasai BO, Bareja SO Ahmedabad"
382426,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Koba SO
382427,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Jetalpur BO, Ode BO, Aslali SO"
382428,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Bhat SO
382430,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bakrol BO, Bhuvaldi BO, Kanbha BO, Kathwada BO, Kubadthal BO, Kujad BO, Pasunj BO, Zanu BO, Kathwada Maize Product SO"
382433,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Bhavda BO, Chamla BO, Chandial BO, Chaulaj BO, Kaniyel BO, Ranodra BO, Undrel BO, Vadod BO, Kuha SO"
382435,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Dhamatvan BO, Gamdi BO, Geratpur BO, Harniav BO, Hirapur BO, Nandej SO"
382443,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Isanpur SO
382445,Gujarat circle,Ahmedabad HQ Region,Ahmedabad City Division,"Hathijan BO, Vinzol BO, Vivekanandnagar BO, Vatva SO, Vatva Industrial Estate SO"
382449,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Jantanagar SO, Gatrad BO, Ramol BO, Vanch BO"
382450,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Barwala Ghelasha SO, Charanki BO, Khambhada BO, Khamidana BO, Kundal BO, Navda BO, Rampura BO, Rojid BO, Salangpur  Hanuman BO, Vadhela BO, Valhia BO"
382455,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dholera SO, Bavaliary BO, Bhangadh BO, Hebatpur BO, Khun BO, Mingalpur BO, Panchhi BO, Sandhida BO"
