business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
SHREE BRAMHANI CYCLE REPAIRING STORE,Bicycle Shop and Repair,Bicycle repair shop,Bicycle repair shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 63518 41554,N/A,4.6,,"Shop 01, Palm Glory 3, nr. SANGATH IPL, Chandkheda, Ahmedabad, Gujarat 382424",Chandkheda,23.127750799999998,72.5848835,ChIJnw8ZDOuDXjkRlv4OwPrBK_U,https://www.google.com/maps/place/?q=place_id:ChIJnw8ZDOuDXjkRlv4OwPrBK_U,part_103,2026-09-20 16:40:12,3467
Mahakali E Bike Pethapur,Bicycle Shop and Repair,Electronics store,Electronics store,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 97143 95155,N/A,5.0,,"7M47+F8X, GSECL colony, Thermal Power Plant Area, Sector 30, Gandhinagar, Gujarat 382610","GSECL colony, Thermal Power Plant Area, Sector 30",23.2601749,72.664109,ChIJo4it8wQtXDkR_wCzsdbcDYA,https://www.google.com/maps/place/?q=place_id:ChIJo4it8wQtXDkR_wCzsdbcDYA,part_103,2026-09-20 16:40:12,3468
Bhole Cycle Store,Bicycle Shop and Repair,Motorcycle shop,"Motorcycle shop, Auto parts store",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99046 18279,N/A,5.0,,"Old Post Office, 1 Nr, Suthar Vas, Main Bazar, Pethapur, Gandhinagar, Gujarat 382610","Main Bazar, Pethapur",23.2641511,72.6738565,ChIJnV900jwtXDkREa09ZiMY2Ro,https://www.google.com/maps/place/?q=place_id:ChIJnV900jwtXDkREa09ZiMY2Ro,part_103,2026-09-20 16:40:12,3469
Deepak Cycle Works,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 93277 35036,N/A,4.7,,"Near Raghunath School, Memko - Bapunagar Road, Lal Bahadur Shastri Rd, Vimal Jyoti Society, Hirawadi, Saijpur Bogha, Ahmedabad, Gujarat 382345","Vimal Jyoti Society, Hirawadi, Saijpur Bogha",23.047007699999998,72.6327721,ChIJs5Yd_b2GXjkRnNrWBHXvR8w,https://www.google.com/maps/place/?q=place_id:ChIJs5Yd_b2GXjkRnNrWBHXvR8w,part_103,2026-09-20 16:40:12,3470
CYCLE WORLD MANSA,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99246 88391,N/A,5.0,,"CMH2, 7MV, GJ SH 138, Mansa, Gujarat 382845",382650,23.428186099999998,72.651639,ChIJmdVcii4zXDkRV-0M7tU0uIk,https://www.google.com/maps/place/?q=place_id:ChIJmdVcii4zXDkRV-0M7tU0uIk,part_103,2026-09-20 16:40:12,3471
Vahanvati cycle works,Bicycle Shop and Repair,Auto repair shop,Auto repair shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 70962 97709,N/A,4.0,,"7M89+H7P, Pethapur Village Rd, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2664582,72.6681962,ChIJH0nHf4YsXDkREC0G-bDZv6o,https://www.google.com/maps/place/?q=place_id:ChIJH0nHf4YsXDkREC0G-bDZv6o,part_103,2026-09-20 16:40:12,3472
SIDDHANATH E BIKE,Bicycle Shop and Repair,Electric motor vehicle dealer,Electric motor vehicle dealer,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 95587 27979,N/A,5.0,,"10, shrifal, Mansa, Gujarat 382845",shrifal,23.410369199999998,72.64940229999999,ChIJCenh6MQ1XDkRouojMbKCL3o,https://www.google.com/maps/place/?q=place_id:ChIJCenh6MQ1XDkRouojMbKCL3o,part_103,2026-09-20 16:40:12,3473
Shradha Cycles,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 92280 85995,N/A,4.6,,"BLOCK-K, Shayona Tilak, 108, New SG Rd, near Life Line Hospital, Gota, Ahmedabad, Gujarat 382481",Gota,23.0989893,72.5481396,ChIJzwYhNOyDXjkRnHDUjd5P3I4,https://www.google.com/maps/place/?q=place_id:ChIJzwYhNOyDXjkRnHDUjd5P3I4,part_103,2026-09-20 16:40:12,3474
Bansu Cycle Stores,Bicycle Shop and Repair,Bicycle Shop,Bicycle Shop,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 96603 76580,N/A,4.7,,"945, Khokhra Rd, Gujarat Housing Board, Maninagar East, Amraiwadi, Ahmedabad, Gujarat 380026","Gujarat Housing Board, Maninagar East, Amraiwadi",23.0016742,72.62160329999999,ChIJ2ToTd3OGXjkRFGDZbZm_SoU,https://www.google.com/maps/place/?q=place_id:ChIJ2ToTd3OGXjkRFGDZbZm_SoU,part_103,2026-09-20 16:40:12,3475
R K & Sons Cycle Shop,Bicycle Shop and Repair,Bicycle Shop,"Bicycle Shop, Bicycle rack, Bicycle rental service, Bicycle repair shop, Bicycle wholesaler, Bike wash, Electric bicycle store, Used bicycle shop",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98245 36176,http://www.rkbicycle.com/,4.5,,"Shop No. 13 Embassy Centre, Mota Bazaar, Vallabh Vidyanagar, Anand, Gujarat 388120","Mota Bazaar, Vallabh Vidyanagar",22.547912,72.92658,ChIJf3pIZt9NXjkRvLCfa5CQjpk,https://www.google.com/maps/place/?q=place_id:ChIJf3pIZt9NXjkRvLCfa5CQjpk,part_103,2026-09-20 16:40:12,3476
