business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shree Maruti Courier Service - Main Bazar,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 87589 30918,https://nearme.shreemaruti.com/locator/gandhinagar/Main-Bazar/shree-maruti-courier-service-in-Main-Bazar-gandhinagar--Qdvd4I/home,4.3,18.0,"Nagrik Sahakari Bank, Shop No 12, First Floor, Old Market Yard, Main Bazar, Mansa, Gujarat 382845",382650,23.4260488,72.6519237,ChIJJeR3y1YzXDkRaUpY8o3ZPb4,https://www.google.com/maps/place/?q=place_id:ChIJJeR3y1YzXDkRaUpY8o3ZPb4,part_103,2026-09-20 16:40:28,6855
Shree Anjani Courier Services Pvt. Ltd.,Courier and Cargo Service,Courier service,"Courier service, Business to business service, Freight Forwarding Agency, Shipping and mailing service, Transportation service",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79 2546 1202,N/A,2.7,17.0,"24, Bhagwati Shopping Center, Behind State Bank of India, Mansa, Gujarat 382845",Malan,23.4267608,72.6566409,ChIJ5RVGgpwzXDkRPavd1ctVA2Y,https://www.google.com/maps/place/?q=place_id:ChIJ5RVGgpwzXDkRPavd1ctVA2Y,part_103,2026-09-20 16:40:28,6856
Blue Dart Express Limited,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 22 4061 1234,https://www.bluedart.com/,3.1,103.0,"14/15, Plot No. E, GIDC Rd, G I, D C, Sector 25, Gandhinagar, Gujarat 382028","G I, D C, Sector 25",23.258945399999998,72.64180499999999,ChIJMUT_pWwtXDkRGZgF3muamv0,https://www.google.com/maps/place/?q=place_id:ChIJMUT_pWwtXDkRGZgF3muamv0,part_103,2026-09-20 16:40:28,6857
Shree Nandan Courier limited,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 97232 98194,http://www.shreenandancourier.com/,3.6,16.0,"1st, Flr, Balaji Complex, opp- narnarayan hospital dr p.m.patel S.T. Road, Malan, Mansa, Gujarat 382845",Malan,23.425597999999997,72.65360749999999,ChIJo2X4_YMzXDkRpMW4fAv1tes,https://www.google.com/maps/place/?q=place_id:ChIJo2X4_YMzXDkRpMW4fAv1tes,part_103,2026-09-20 16:40:28,6858
Akshat enterprise ( DTDC ),Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 97142 48080,N/A,,,"shop no- 122, Satyam complex, chokdi, near Pethapur, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.266320099999998,72.6682787,ChIJzRBNm0gtXDkRG8mi7rZVu0c,https://www.google.com/maps/place/?q=place_id:ChIJzRBNm0gtXDkRG8mi7rZVu0c,part_103,2026-09-20 16:40:28,6859
Sai Enterprise,Courier and Cargo Service,Freight Forwarding Agency,Freight Forwarding Agency,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 97232 68744,N/A,5.0,3.0,"98, Bhagwati Shopping Center, nr. Rangila Hotel, GIDC Industry Area, Mansa, Gandhinagar, Gujarat 382845",GIDC Industry Area,23.4349858,72.6565687,ChIJPwAAAIQzXDkRc-f6AssVErE,https://www.google.com/maps/place/?q=place_id:ChIJPwAAAIQzXDkRc-f6AssVErE,part_103,2026-09-20 16:40:28,6860
RK Angadiya Pethapur,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 90335 60107,N/A,,,"Satyam complex, 132, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.266124899999998,72.66819029999999,ChIJQ40mCTYtXDkRtPliUZMiOdw,https://www.google.com/maps/place/?q=place_id:ChIJQ40mCTYtXDkRtPliUZMiOdw,part_103,2026-09-20 16:40:28,6861
Shree Tirupati Courier Service Pvt Ltd,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 74578 16603,http://www.shreetirupaticourier.net/,2.1,7.0,"2 Nagarpalika Shopping Centre Opp. SBI Nr. Bus Stand Old Market Yard Corner MANSA, Sajjannagar, Mansa, Gujarat 382845",Sajjannagar,23.4349858,72.6565687,ChIJz0GD65ozXDkRFa-hv0XI2DM,https://www.google.com/maps/place/?q=place_id:ChIJz0GD65ozXDkRFa-hv0XI2DM,part_103,2026-09-20 16:40:28,6862
Shree Anjani Courier Service,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,3.4,8.0,"18, MLA road, Gujarat Housing Board, Sector 21, Gandhinagar, Gujarat 382021","Gujarat Housing Board, Sector 21",23.231533499999998,72.6616129,ChIJCTKHktIrXDkR5ywuqINoSDE,https://www.google.com/maps/place/?q=place_id:ChIJCTKHktIrXDkR5ywuqINoSDE,part_103,2026-09-20 16:40:28,6863
Shree Rang Logistics Pvt Ltd,Courier and Cargo Service,Freight Forwarding Agency,Freight Forwarding Agency,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79 2560 5040,http://srlogs.com/,4.5,35.0,"Shop No. G 5, Municipal Shopping Centre, Opp. Kiran Nagar Society, Outside Shahpur Gate, Old City, Halim Ni Khadki, Shahpur, Ahmedabad, Gujarat 380004","Old City, Halim Ni Khadki, Shahpur",23.039303999999998,72.579844,ChIJH5B7tEKEXjkRplKd-TDdBKw,https://www.google.com/maps/place/?q=place_id:ChIJH5B7tEKEXjkRplKd-TDdBKw,part_103,2026-09-20 16:40:28,6864
"Shree Trivedi International Courier Services - Send Parcel UK, USA, UAE, Canada and more",Courier and Cargo Service,Courier service,"Courier service, Freight Forwarding Agency, Logistics service",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98245 06565,https://strivediservices.com/,4.5,814.0,"President House, 1, opp. c n vidhyalay, Ambawadi, Ahmedabad, Gujarat 380006","Shree Society, Panchavati Society, Ambawadi",23.0213061,72.5534212,ChIJXwACjOSEXjkRt8NF8ah81Vg,https://www.google.com/maps/place/?q=place_id:ChIJXwACjOSEXjkRt8NF8ah81Vg,part_103,2026-09-20 16:40:28,6865
Air International Couriers And Cargo,Courier and Cargo Service,Courier service,"Courier service, Freight Forwarding Agency, Logistics service, Shipping and mailing service, Shipping service, Transportation service",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 80973 48711,https://www.airinternationalcourier.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,4.8,220.0,"G-5, Omkar Prarthna Bldg, Nr. HDIL Tower Behind Janta Mutton Shop Vijay Nagar, Sahar Rd, Andheri East, Mumbai, Maharashtra 400069","Navpada, Vile Parle East, Andheri East",19.113014,72.8473826,ChIJbZyd6R7J5zsRxHpwlzjcpLM,https://www.google.com/maps/place/?q=place_id:ChIJbZyd6R7J5zsRxHpwlzjcpLM,part_103,2026-09-20 16:40:28,6866
SURAT INTERNATIONAL courier and cargo services,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98988 81113,N/A,4.4,186.0,"A-5 shyam complex, opp. Bhumi Complex, near shurbhi dairy, Adajan, Surat, Gujarat 395009","Opposite Bhumi Complex, Kedar Darshan Society, Adajan",21.206923,72.78953899999999,ChIJ00VCFj9N4DsRZSrwsrKlgng,https://www.google.com/maps/place/?q=place_id:ChIJ00VCFj9N4DsRZSrwsrKlgng,part_103,2026-09-20 16:40:28,6867
DHL Express (India) Pvt. Ltd,Courier and Cargo Service,Courier service,"Courier service, Delivery service, Freight Forwarding Agency, Logistics service, Shipping and mailing service, Shipping service",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 80 3546 9449,https://locations-in.express.dhl.com/courier-service-in-nava-vadaj-ahmedabad-gujarat/home,4.6,233.0,"Tremont No. 6, Vaishnodevi Cir, near Ratna Paradise, Gandhi Nagar, Ahmedabad, Gujarat 382421",Gandhi Nagar,23.1354951,72.5526209,ChIJDfHacYGDXjkRiTxYHUF3GHs,https://www.google.com/maps/place/?q=place_id:ChIJDfHacYGDXjkRiTxYHUF3GHs,part_103,2026-09-20 16:40:28,6868
J D INTERNATIONAL COURIER,Courier and Cargo Service,Courier service,Courier service,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 95862 26000,http://www.jdic.in/,4.2,228.0,"G1-2, ARUN COMPLEX, OPP SHEETAL LAW HOUSE NR C U SHAH COLLEGE, NR INCOME TEX CROSS ROAD, Ashram Rd, Ahmedabad, Gujarat 380009","Sattar Taluka Society, Usmanpura",23.0421651,72.5677771,ChIJdULPNrKFXjkRWuE5m_ocGrM,https://www.google.com/maps/place/?q=place_id:ChIJdULPNrKFXjkRWuE5m_ocGrM,part_103,2026-09-20 16:40:28,6869
