business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Naran Kidney Hospital and Dialysis Center,Dialysis Center,Hospital,Hospital,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98987 83034,N/A,5.0,,"J.B.commercial, 302, College Rd, next to Mamlatdar Office, Ambika Nagar Society, Mansa, Gujarat 382845",Ambika Nagar Society,23.429866699999998,72.6530684,ChIJAfW-_EczXDkRvbaLjyER54g,https://www.google.com/maps/place/?q=place_id:ChIJAfW-_EczXDkRvbaLjyER54g,part_103,2026-09-20 16:40:09,2663
NAMOSTUTE DIALYSIS CENTRE AND NEPHROLOGY SERVICES,Dialysis Center,Hospital,Hospital,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 89108 93885,N/A,4.0,,"Gh 3 circle, opposite Zaverchand Meghani Circle, behind city bus stand, Sector 6, Gandhinagar, Gujarat 382006",Sector 6,23.2165899,72.6398182,ChIJz92lUwYrXDkRXf66_aP8fb4,https://www.google.com/maps/place/?q=place_id:ChIJz92lUwYrXDkRXf66_aP8fb4,part_103,2026-09-20 16:40:09,2664
NephroPlus Dialysis Clinic in Ahmedabad,Dialysis Center,Dialysis center,Dialysis center,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,https://www.nephroplus.com/,5.0,6.0,"NephroPlus at Renus, Golden Icon, Kidney Hospital, 505, 132 Feet Ring Rd, opposite Medilink Hospital, near Shivranjani Flyover, Jodhpur Village, Ahmedabad, Gujarat 380015",Jodhpur Village,23.0184405,72.5298823,ChIJDZY1_WiFXjkRUuVAPS3zhBM,https://www.google.com/maps/place/?q=place_id:ChIJDZY1_WiFXjkRUuVAPS3zhBM,part_103,2026-09-20 16:40:09,2665
Kidney Cure Clinic & Dialysis Center I Dr. Umesh Godhani I NephrologyTeleconsultation,Dialysis Center,Dialysis center,"Dialysis center, Nephrologist, Doctor, Hospital, Medical clinic, Pharmacy",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 74909 06544,https://kidneycurehospital.com/,5.0,,"Poonam Arcade, 401/501, Juhu Park Rd, above Asopalav Show room, Bhimjipura, Nava Vadaj, Ahmedabad, Gujarat 380013","Bhimjipura, Nava Vadaj",23.0635293,72.56593269999999,ChIJERMJjPKDXjkRp2spu8wgweE,https://www.google.com/maps/place/?q=place_id:ChIJERMJjPKDXjkRp2spu8wgweE,part_103,2026-09-20 16:40:09,2666
GDP GANDHINAGAR,Dialysis Center,Dialysis center,Dialysis center,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,5.0,2.0,"6J9R+95X GENERAL HOSPITAL, GMERS, Gandhinagar, Gujarat 382016",GMERS,23.2184863,72.6404838,ChIJB_drdmQrXDkRnNko9rEPiw4,https://www.google.com/maps/place/?q=place_id:ChIJB_drdmQrXDkRnNko9rEPiw4,part_103,2026-09-20 16:40:09,2667
NephroPlus Dialysis & Kidney Care Centre | Ahmedabad-Mavani,Dialysis Center,Hospital,Hospital,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 95129 20009,https://www.nephroplus.com/,5.0,,"2nd Floor, Mavani Kidney Care, Kairos Building, Drive In Rd, opp. Mahatma Gandhi Labour Institute, Sushil Nagar Society, Memnagar, Ahmedabad, Gujarat 380052","Sushil Nagar Society, Memnagar",23.045442899999998,72.53786,ChIJtciTGNeFXjkRa2VuszfXjKE,https://www.google.com/maps/place/?q=place_id:ChIJtciTGNeFXjkRa2VuszfXjKE,part_103,2026-09-20 16:40:09,2668
Renus Kidney Hospital,Dialysis Center,Hospital,Hospital,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 72260 72244,http://www.drjigarshrimali.com/,4.8,,"GOLDEN ICON, Opposite Medilink Hospital,Near Shivranjani Flyover, 505, 132 Feet Ring Rd, Jodhpur Village, Ahmedabad, Gujarat 380015",Jodhpur Village,23.018421099999998,72.5298564,ChIJi9C3wEKFXjkRO2_L14uuXmU,https://www.google.com/maps/place/?q=place_id:ChIJi9C3wEKFXjkRO2_L14uuXmU,part_103,2026-09-20 16:40:09,2669
GDP MANSA,Dialysis Center,Dialysis center,Dialysis center,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,,,"GENERAL HOSPITAL, GIDC Industry Area, Mansa, Gujarat 382845",GIDC Industry Area,23.434986199999997,72.6565687,ChIJuZhZ4mkzXDkR3G_zRPZPhIw,https://www.google.com/maps/place/?q=place_id:ChIJuZhZ4mkzXDkR3G_zRPZPhIw,part_103,2026-09-20 16:40:09,2670
A-ONE Dialysis Programme,Dialysis Center,Dialysis center,Dialysis center,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79 2268 7575,https://aonedialysis.com/,4.6,17.0,"2nd Floor, Canteen Building Manjushree Mill Compound, Baliyalimbdi Chowk, opp. M & J Eye Hospital, Asarwa, Ahmedabad, Gujarat 380016","Jahangirpura, Asarwa",23.0468746,72.6007942,ChIJ-fQHJ_iFXjkRMD8Ip8GuTdU,https://www.google.com/maps/place/?q=place_id:ChIJ-fQHJ_iFXjkRMD8Ip8GuTdU,part_103,2026-09-20 16:40:09,2671
Aashapura Multispeciality Hospital,Dialysis Center,Dialysis center,"Dialysis center, Day care center, Hospital, Medical clinic, Nephrologist, Surgeon, Urologist",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 74051 33456,https://www.aashapurahospital.com/,4.9,,"D' Wing, City centre Arcade, 2nd floor, Shop No.254 to 259 & 261 to 265, near S.R.P Camps, Krishnanagar, Naroda, Ahmedabad, Gujarat 382345","Krishnanagar, Naroda",23.061840999999998,72.6435649,ChIJFa-MPNWHXjkRahR9-opUq54,https://www.google.com/maps/place/?q=place_id:ChIJFa-MPNWHXjkRahR9-opUq54,part_103,2026-09-20 16:40:09,2672
