business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Shiv Enterprise INDIA (Import/Export),Importers,Import export company,"Import export company, Exporter, Importer",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99987 52700,N/A,4.5,,"Nr Post Office, 1, Chipa Chakla, Randheja, Gandhinagar, Gujarat 382620",Chipa Chakla,23.2910109,72.6389987,ChIJiYFtutgtXDkRmZzpb_sD3YY,https://www.google.com/maps/place/?q=place_id:ChIJiYFtutgtXDkRmZzpb_sD3YY,part_103,2026-09-20 16:40:32,7676
Arohi Import Export,Importers,Importer,"Importer, Exporter",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 94089 79099,https://arohiimportexport.com/,3.7,,"NO-6, E7/E8, GIDC Rd, nr. Kolavada Road, Sector 26, Gandhinagar, Gujarat 382028",Sector 26,23.255170699999997,72.6331008,ChIJZ2B-PZErXDkR7jCdbNt-tbg,https://www.google.com/maps/place/?q=place_id:ChIJZ2B-PZErXDkR7jCdbNt-tbg,part_103,2026-09-20 16:40:32,7677
Prasad Exports,Importers,Import export company,"Import export company, Service establishment",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,https://www.prasadexports.com/,,,"Prasad Exports, 382650, India",382650,23.2560234,72.6368004,ChIJk48IpLd6oyMRWNKPEGN1Z3c,https://www.google.com/maps/place/?q=place_id:ChIJk48IpLd6oyMRWNKPEGN1Z3c,part_103,2026-09-20 16:40:32,7678
Shivan international,Importers,Import export company,Import export company,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,https://shivaninternational.com/,5.0,,"shop 2, pandya enclave, mandavi chok, Randheja, Gujarat 382620",382650,23.292018499999998,72.6387293,ChIJ8YiXS2YtXDkRkfBG1G_4sMs,https://www.google.com/maps/place/?q=place_id:ChIJ8YiXS2YtXDkRkfBG1G_4sMs,part_103,2026-09-20 16:40:32,7679
Mayra Impex,Importers,Import export company,"Import export company, Service establishment",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 95104 23508,N/A,,,"Mayra Impex, 382650, India",382650,21.0680074,82.7525294,ChIJO0pu69wt1WoRiFSHQp0YJQk,https://www.google.com/maps/place/?q=place_id:ChIJO0pu69wt1WoRiFSHQp0YJQk,part_103,2026-09-20 16:40:32,7680
Vishvasta enterprise,Importers,Import export company,"Import export company, Exporter, Wholesaler, Importer",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 70165 22785,https://vishvastaenterprise.com/,,,"sahjanand squre, SH-23, near dharti party plot, Randheja, Gandhinagar, Gujarat 382620",382650,23.2881252,72.6459514,ChIJ7S7Za7YtXDkRQVhL-BsBTW0,https://www.google.com/maps/place/?q=place_id:ChIJ7S7Za7YtXDkRQVhL-BsBTW0,part_103,2026-09-20 16:40:32,7681
NZ FoodStuff,Importers,Import export company,Import export company,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,http://www.nzfoodstuff.com/,,,"Satyam complex, 209, near Pethapur, Chokdi, Gandhinagar, Gujarat 382610","Chokdi, Pethapur",23.2661597,72.66821159999999,ChIJUdJY_KItXDkReilto-Awxl0,https://www.google.com/maps/place/?q=place_id:ChIJUdJY_KItXDkReilto-Awxl0,part_103,2026-09-20 16:40:32,7682
IKAN ENTERPRISES,Importers,Stationery wholesaler,"Stationery wholesaler, Furniture wholesaler, Office equipment supplier, Office furniture store, Office supply wholesaler",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98244 19439,https://www.ikanenterprise.com/,5.0,43.0,"Shop no 22 and 23, Bosky the city mall, near Axis Bank, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2679083,72.6669873,ChIJi0-dkB8rXDkRTWMe6xKNxKA,https://www.google.com/maps/place/?q=place_id:ChIJi0-dkB8rXDkRTWMe6xKNxKA,part_103,2026-09-20 16:40:32,7683
UTKARSA MARKETING LLP,Importers,Beverage Store,"Beverage Store, Supplier",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 70395 56957,N/A,5.0,2.0,"Shop No-3 & 4, Bhawan Rohidasji Apartment, near Mulchand Park, Pethapur, Gandhinagar, Gujarat 382610",Pethapur,23.2609031,72.6723294,ChIJd3fQQDYtXDkRdvECEYKZbnc,https://www.google.com/maps/place/?q=place_id:ChIJd3fQQDYtXDkRdvECEYKZbnc,part_103,2026-09-20 16:40:32,7684
Ankit Enterprise,Importers,Importer,"Importer, Industrial equipment supplier, Tool store",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99989 31221,N/A,4.8,,"9-B, Jayraj Complex, Soni Ni Chawl Flyover, nr. HDFC Bank, Odhav, Ahmedabad, Gujarat 382415","Soni ni chali, Ramrajya Nagar, Odhav",23.020529699999997,72.640073,ChIJ7WjzSaqHXjkRJ4hfPrU2Zk0,https://www.google.com/maps/place/?q=place_id:ChIJ7WjzSaqHXjkRJ4hfPrU2Zk0,part_103,2026-09-20 16:40:33,7685
