business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
જય ચેહર પાન પાર્લર ચા કોફી ગોટા,North Indian Restaurant,Gujarati restaurant,Gujarati restaurant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,3.5,,"Pethapur - Randheja Rd, Gujarat 382610",382650,23.2803929,72.64996649999999,ChIJfcMdEQAtXDkRy_HNqiPBh7M,https://www.google.com/maps/place/?q=place_id:ChIJfcMdEQAtXDkRy_HNqiPBh7M,part_103,2026-09-20 16:40:01
Amritsari,North Indian Restaurant,Punjabi restaurant,"Punjabi restaurant, Chinese restaurant, Fine dining restaurant, Indian takeaway, North Indian restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 88664 25119,N/A,4.5,,"Pramukh Mastana, A 101, near reliance circle, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.185114799999997,72.63156,ChIJeXUl7x8rXDkRqrj8LVMnxho,https://www.google.com/maps/place/?q=place_id:ChIJeXUl7x8rXDkRqrj8LVMnxho,part_103,2026-09-20 16:40:01
Jassi De Parathe,North Indian Restaurant,Punjabi restaurant,"Punjabi restaurant, Family restaurant, North Indian restaurant, Restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99250 02706,https://www.jassideparathe.com/,4.4,,"107 & 108, Safal Pegasus, 106, 100 Feet Anand Nagar Rd, Chinar Bungalows, Prahlad Nagar, Ahmedabad, Gujarat 380015","Chinar Bungalows, Prahlad Nagar",23.0123358,72.51095029999999,ChIJ0xLMVyibXjkRRVANQWi2jzo,https://www.google.com/maps/place/?q=place_id:ChIJ0xLMVyibXjkRRVANQWi2jzo,part_103,2026-09-20 16:40:01
The Masala Secrets,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 90993 22446,N/A,4.5,,"Ground Floor, West Wing, Siddhraj Z Square, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.175694099999998,72.6294508,ChIJG3CV9HwrXDkRzhAaJ1E_oHc,https://www.google.com/maps/place/?q=place_id:ChIJG3CV9HwrXDkRzhAaJ1E_oHc,part_103,2026-09-20 16:40:01
Sanvariya Dalbati,North Indian Restaurant,Restaurant,"Restaurant, Rajasthani Restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 93271 42783,N/A,4.0,,"Chokdi, Pethapur, Gandhinagar, Gujarat 382610","Chokdi, Pethapur",23.2649196,72.6665545,ChIJ28q9-KUtXDkRKtSNQ_O8yQM,https://www.google.com/maps/place/?q=place_id:ChIJ28q9-KUtXDkRKtSNQ_O8yQM,part_103,2026-09-20 16:40:01
Tahuko Garden Restaurant And Guest House,North Indian Restaurant,Gujarati restaurant,"Gujarati restaurant, Restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,4.0,,"8JRV+837, Mansa - Gandhinagar Hwy, Unava, Balva, Gujarat 382650",382650,23.340788099999997,72.6426798,ChIJB70bcYwtXDkRy8Q7_Qw3614,https://www.google.com/maps/place/?q=place_id:ChIJB70bcYwtXDkRy8Q7_Qw3614,part_103,2026-09-20 16:40:01
Shree Sonal Restaurant,North Indian Restaurant,Fast food restaurant,"Fast food restaurant, Gujarati restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79843 33219,N/A,5.0,,"Road, Randheja, Gujarat 382620",382650,23.294623299999998,72.6457533,ChIJ1_PYHQAtXDkRDgid3Ek1cXQ,https://www.google.com/maps/place/?q=place_id:ChIJ1_PYHQAtXDkRDgid3Ek1cXQ,part_103,2026-09-20 16:40:01
Green Apple Restaurant,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Punjabi restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 96626 53440,N/A,4.1,,"1st Floor, Nr. Gandhinagar Nagrik Bank GH-4II, Sector 16, Gandhinagar, Gujarat 382016",Sector 16,23.229218499999998,72.6483758,ChIJr3LG5LwrXDkRqYSuP2jyxzI,https://www.google.com/maps/place/?q=place_id:ChIJr3LG5LwrXDkRqYSuP2jyxzI,part_103,2026-09-20 16:40:01
Hotel Navrang,North Indian Restaurant,Punjabi restaurant,Punjabi restaurant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 73838 20026,https://navranghotel.com/,4.1,,"Mansa, Gujarat 382845",382650,23.4203737,72.6499697,ChIJOy9fepczXDkRc65jSB45oUY,https://www.google.com/maps/place/?q=place_id:ChIJOy9fepczXDkRc65jSB45oUY,part_103,2026-09-20 16:40:01
"Mirch Masala, Chandkheda",North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Indian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79 2397 2452,http://mirchmasala.co.in/,4.1,,"108, Visat Koba Highway, near Govt Engineering College, Chandkheda, Ahmedabad, Gujarat 382424",Chandkheda,23.106802,72.5981517,ChIJa0Uwb82DXjkRQRR7ncK_uaI,https://www.google.com/maps/place/?q=place_id:ChIJa0Uwb82DXjkRQRR7ncK_uaI,part_103,2026-09-20 16:40:01
FoodInn Restaurant,North Indian Restaurant,North Indian restaurant,"North Indian restaurant, Halal restaurant, Indian restaurant, Non Vegetarian Restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 89801 79440,N/A,4.3,,"Bhadra Rd, near Electricity House, Opposite Sidi Saiyed Jali, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001","Old City, Gheekanta, Lal Darwaja",23.0267835,72.5815064,ChIJ8_qnyIqEXjkRkLfgauotvhA,https://www.google.com/maps/place/?q=place_id:ChIJ8_qnyIqEXjkRkLfgauotvhA,part_103,2026-09-20 16:40:01
The Peacock Restaurant,North Indian Restaurant,North Indian restaurant,North Indian restaurant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 81406 26250,http://www.radheupavanresort.com/,4.5,,"Radhe Upavan Resort, Hathijan Rd, Mahemdavad, Hathijan, Ahmedabad, Gujarat 382445",Mahemdavad,22.9349019,72.67839599999999,ChIJTQc2rDKJXjkRJxs3kuoG6Jc,https://www.google.com/maps/place/?q=place_id:ChIJTQc2rDKJXjkRJxs3kuoG6Jc,part_103,2026-09-20 16:40:02
Taste & Tales - Multicuisine Restaurant,North Indian Restaurant,Restaurant,"Restaurant, Cafe",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 95120 88009,N/A,4.6,,"PDPU Rd, near Gift city, Gandhinagar, Gujarat 382426",382650,23.156608499999997,72.6575199,ChIJ1T5eVL6BXjkR4ioAUzatkKc,https://www.google.com/maps/place/?q=place_id:ChIJ1T5eVL6BXjkR4ioAUzatkKc,part_103,2026-09-20 16:40:02
Jassi De Parathe,North Indian Restaurant,Punjabi restaurant,"Punjabi restaurant, Family restaurant, North Indian restaurant, Restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 98988 56795,https://www.jassideparathe.com/,4.5,,"Shop No. 140 to 146, 1st Floor Prime Shoppers, Vesu Gam, Vesu, Surat, Gujarat 395007",Vesu,21.1471557,72.7656173,ChIJ2x1loY9T4DsRNwGJ8I-ooeM,https://www.google.com/maps/place/?q=place_id:ChIJ2x1loY9T4DsRNwGJ8I-ooeM,part_103,2026-09-20 16:40:02
Nurani Bara Handi,North Indian Restaurant,Indian Muslim restaurant,"Indian Muslim restaurant, Indian restaurant, Non Vegetarian Restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99786 34437,N/A,4.3,,"Nurani Barahandi, Kalupur Tower, Old City, Kalupur, Ahmedabad, Gujarat 380001","Old City, Kalupur",23.0297727,72.5957505,ChIJ5RHlUzeEXjkRNj6vguSHtlk,https://www.google.com/maps/place/?q=place_id:ChIJ5RHlUzeEXjkRNj6vguSHtlk,part_103,2026-09-20 16:40:02
Bombay bliss,North Indian Restaurant,Restaurant,Restaurant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 97767 30333,N/A,4.5,,"Bhagat Singh Marg, opposite Aashka Multi-Speciality Hospital, near kameshwar international school, Sargasan, Gandhinagar, Gujarat 382419",Sargasan,23.1840692,72.6207539,ChIJbdbYfCQrXDkRTexPs74a3ZQ,https://www.google.com/maps/place/?q=place_id:ChIJbdbYfCQrXDkRTexPs74a3ZQ,part_103,2026-09-20 16:40:02
Best Indian Restaurant,North Indian Restaurant,Indian restaurant,Indian restaurant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",N/A,N/A,4.9,,"WP9P+XXP, Karu, Ladakh 194201",382650,33.9198713,77.73736009999999,ChIJiaO7MwD3_TgRXr651-b3Nfk,https://www.google.com/maps/place/?q=place_id:ChIJiaO7MwD3_TgRXr651-b3Nfk,part_103,2026-09-20 16:40:02
Z.chaat,North Indian Restaurant,Restaurant,Restaurant,382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 76008 59800,N/A,4.8,,"E19, Z .Chaat, Siddhraj Z Square, 20, Kudasan, Gandhinagar, Gujarat 382421",Kudasan,23.1747315,72.630028,ChIJadixlcYrXDkRuovJ4U8awZo,https://www.google.com/maps/place/?q=place_id:ChIJadixlcYrXDkRuovJ4U8awZo,part_103,2026-09-20 16:40:02
The House of Makeba - Pure Veg Family Dining Restaurant in Gandhinagar,North Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Family restaurant, Fine dining restaurant, Restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 87801 41564,https://www.thehouseofmakeba.com/location/kudasan-gandhinagar,4.5,,"Radhe Infinity, 105/106, Raksha Shakti Cir, Urjanagar 1, Randesan, Gandhinagar, Gujarat 382426","Urjanagar 1, Randesan",23.184733299999998,72.6391884,ChIJwdUMVJ4rXDkRQtDQwd3OTYQ,https://www.google.com/maps/place/?q=place_id:ChIJwdUMVJ4rXDkRQtDQwd3OTYQ,part_103,2026-09-20 16:40:02
Nini's Kitchen,North Indian Restaurant,Vegetarian restaurant,"Vegetarian restaurant, Family restaurant, Fine dining restaurant, North Indian restaurant, Punjabi restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 99255 96666,http://www.ninis.co.in/,4.3,,"9/C, First Floor, Venus Atlantis Business Park, 100 Feet Anand Nagar Rd, near Shell Petrol Pump, Prahlad Nagar, Ahmedabad, Gujarat 380015",Prahlad Nagar,23.011683899999998,72.5111234,ChIJv4IutiebXjkRFgBbLRed28A,https://www.google.com/maps/place/?q=place_id:ChIJv4IutiebXjkRFgBbLRed28A,part_103,2026-09-20 16:40:03
Jalaram Restaurant,North Indian Restaurant,Gujarati restaurant,"Gujarati restaurant, Indian restaurant, Punjabi restaurant, Vegetarian restaurant",382650,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Unava  Balva SO, Vasan BO, Mubarakpura BO",+91 79 2213 6836,N/A,4.1,,"Relief Rd, near Satish Chamber, South Revdi Bazar, Revdi Bazar, Kalupur, Ahmedabad, Gujarat 380001","South Revdi Bazar, Revdi Bazar, Kalupur",23.0277753,72.5981126,ChIJsaQULzGEXjkREdc2xxLzCxk,https://www.google.com/maps/place/?q=place_id:ChIJsaQULzGEXjkREdc2xxLzCxk,part_103,2026-09-20 16:40:03
