business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
VAHANVATI CONSTRUCTION-construction contractor in ahmedabad,Civil Contractor and Builder,Real Estate Builders & Construction Company,"Real Estate Builders & Construction Company, Civil engineering company, Service establishment, Road construction machine repair service",382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",+91 99258 99500,https://www.vahanvaticonstruction.com/,4.7,,"VAHANVATI CONSTRUCTION-construction contractor in ahmedabad, 382725, India",382725,23.020245799999998,72.5794282,ChIJhbv8ShqDXjkRSpkN89_Ll3s,https://www.google.com/maps/place/?q=place_id:ChIJhbv8ShqDXjkRSpkN89_Ll3s,part_103,2026-09-20 16:42:06
Vrundavan Infratech Private Limited Jaspur,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,N/A,5.0,,"5G9C+PC2, Kalol, Gujarat 382725",382725,23.1693261,72.521158,ChIJ8QMpTwApXDkRQbE9HPhNO7A,https://www.google.com/maps/place/?q=place_id:ChIJ8QMpTwApXDkRQbE9HPhNO7A,part_103,2026-09-20 16:42:06
DR VILLA,Civil Contractor and Builder,Home builder,Home builder,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,N/A,5.0,,"6GF8+44Q, Saij, Kalol, Gujarat 382725",Saij,23.2228317,72.5153737,ChIJ_0sQLwAnXDkREwCoW4zUO2w,https://www.google.com/maps/place/?q=place_id:ChIJ_0sQLwAnXDkREwCoW4zUO2w,part_103,2026-09-20 16:42:06
શ્રી લાખણેચી રીયલ એસ્ટેટ,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,N/A,,,"ABHISHEK HOMES, Panchvati Bypass, Ambika Nagar, Palsana, Kalol, Gujarat 382721",Ambika Nagar,23.224399599999998,72.4988005,ChIJj80wYgAnXDkRG0lMHkNJ25U,https://www.google.com/maps/place/?q=place_id:ChIJj80wYgAnXDkRG0lMHkNJ25U,part_103,2026-09-20 16:42:06
Keya Infracon - Diaphragm Wall Contractors Ahmedabad,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,https://midwestprecastcontractor.com/,4.9,,"208, Samaan-2, Opp Shell Petrol Pump Prahlad Nagar, Satellite, Ahmedabad, Gujarat 380015",Satellite,23.0127588,72.5123947,ChIJ-1en2v2bXjkRfS9vuzRFzUU,https://www.google.com/maps/place/?q=place_id:ChIJ-1en2v2bXjkRfS9vuzRFzUU,part_103,2026-09-20 16:42:06
Shree Vishwakarma Fabrication/PEBFABTECH INFRASTRUCTURE,Civil Contractor and Builder,Steel construction company,Steel construction company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",+91 70168 49002,https://www.indiamart.com/shreevishwakarmafabrication/profile.html?srsltid=AfmBOopiSaYMJJmDiUwxxT74n3RTeWHJsaC-GVmZFxN2Bb6uOU0fMUeJ,5.0,,"Ploat No. 86, lake, opp. jaspur, Jaspur, Gujarat 382725",382725,23.1660912,72.5193335,ChIJU_JkkLcnXDkRLXba-kVA7-Y,https://www.google.com/maps/place/?q=place_id:ChIJU_JkkLcnXDkRLXba-kVA7-Y,part_103,2026-09-20 16:42:06
Innovators,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,N/A,,,"Shivana Green, B-503, near panchamrut Party Plot, panchwati Aera, Ambika Nagar, Kalol, Gujarat 392721","panchwati Aera, Ambika Nagar",23.227786899999998,72.503514,ChIJZ_n_IuwnXDkRipIIuZsDplk,https://www.google.com/maps/place/?q=place_id:ChIJZ_n_IuwnXDkRipIIuZsDplk,part_103,2026-09-20 16:42:06
Shree Ram Fabrication,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,N/A,,,"6FGW+48, Tirupati Society, Ambika Nagar, Kalol, Gujarat 382721","Tirupati Society, Ambika Nagar",23.225854599999998,72.4963313,ChIJS01QOwAnXDkREqd0exq-M9Y,https://www.google.com/maps/place/?q=place_id:ChIJS01QOwAnXDkREqd0exq-M9Y,part_103,2026-09-20 16:42:06
SIVANA GREENS,Civil Contractor and Builder,Real Estate Builders & Construction Company,Real Estate Builders & Construction Company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,N/A,4.3,,"SIVANA GREENS, next to PANCHAMRUT PARTY PLOT, Panchvati, Ambika Nagar, Kalol, Gujarat 382721","Panchvati, Ambika Nagar",23.22784,72.5035164,ChIJk1Zfp9QnXDkRwD19QzN2uUY,https://www.google.com/maps/place/?q=place_id:ChIJk1Zfp9QnXDkRwD19QzN2uUY,part_103,2026-09-20 16:42:06
Shanti Construction,Civil Contractor and Builder,Civil engineering company,Civil engineering company,382725,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Kalol Industrial Estate SO, Palsana BO, Jaspur BO",N/A,https://midwestprecastcontractor.com/,5.0,,"Time Square Arcade, A-605, Maple County Rd, off NR Sindhu Bhavan Road, Bodakdev, Ahmedabad, Gujarat 380059",Bodakdev,23.0448189,72.5074885,ChIJl8ZLPFWbXjkRt38x5KLqA8c,https://www.google.com/maps/place/?q=place_id:ChIJl8ZLPFWbXjkRt38x5KLqA8c,part_103,2026-09-20 16:42:06
