business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mansi Patel Makeup Studio & salon,Bridal Makeup Artist,Make-up artist,"Make-up artist, Nail salon",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 81280 05921,https://www.instagram.com/mansipatelmakeup?igsh=NWQxeHVkM3RpNjFt,5.0,,"F8, Silver Cube, Radhanpur Rd, near Harsiddh Party Plot, Kunal, Mehsana, Gujarat 384002",Kunal,23.6152637,72.3531963,ChIJB16AnKBBXDkRggFEmpdAXLE,https://www.google.com/maps/place/?q=place_id:ChIJB16AnKBBXDkRggFEmpdAXLE,part_103,2026-09-20 16:42:45
Nikita’s Studio,Bridal Makeup Artist,Make-up artist,Make-up artist,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 79905 74859,N/A,4.9,,"Someshwar garden city, A - Lotus- 207, TB Rd, opp. dhara vidhyalaya, nr. Ruturaj Flats, Mehsana, Gujarat 384002",382728,23.5844173,72.3834229,ChIJ3TOn6A1BXDkRlGB19LyxFgE,https://www.google.com/maps/place/?q=place_id:ChIJ3TOn6A1BXDkRlGB19LyxFgE,part_103,2026-09-20 16:42:45
Bhargaviparekh_makeover,Bridal Makeup Artist,Make-up artist,"Make-up artist, Nail salon, Hairdresser",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 90167 23261,https://instagram.com/bhargaviparekh_makeover?igshid=YmMyMTA2M2Y=,4.9,,"Aastha vihar flats, Nr aero dram road, F/306, Behind Avsar Party Plot Rd, Mehsana, Gujarat 384002",Kailashnagar Society,23.6030206,72.3666277,ChIJQzGvm2hDXDkRSnl6cuw1Ga8,https://www.google.com/maps/place/?q=place_id:ChIJQzGvm2hDXDkRSnl6cuw1Ga8,part_103,2026-09-20 16:42:45
Parul Beauty Parlour,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",N/A,N/A,4.9,,"9 , Someshwar kunj, Visnagar Link Rd, near sidhartha school, Mehsana, Gujarat 384001","Someshwar Kunj Society, Surdhara society",23.621657199999998,72.3951695,ChIJG-Cugw9DXDkRwjghTcZSz0o,https://www.google.com/maps/place/?q=place_id:ChIJG-Cugw9DXDkRwjghTcZSz0o,part_103,2026-09-20 16:42:45
Raj Bridal Studio,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 99046 77251,N/A,4.4,,"near LG showroom, Ashok Nagar Society, Radhanpur Road, Mehsana, Gujarat 384002","Ashok Nagar Society, Radhanpur Road",23.6073931,72.3757421,ChIJ0VD5BI9DXDkRDhPRM080yas,https://www.google.com/maps/place/?q=place_id:ChIJ0VD5BI9DXDkRDhPRM080yas,part_103,2026-09-20 16:42:45
Simmy makwana,Bridal Makeup Artist,Make-up artist,"Make-up artist, Education center, Photography service, Hairdresser, Wedding service",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 96241 77783,https://m.facebook.com/Simmymakeupstudio/,4.7,,"Paraskunj Society - Part 2, 3, Shivranjani Cross Rd, opposite CLOUD 9 APARTMENT, near jain temple, Part 1, area, Satellite, Ahmedabad, Gujarat 380015","Part 1, area, Satellite",23.020367,72.5352765,ChIJNS1r7s-EXjkRhpohTh_HZWE,https://www.google.com/maps/place/?q=place_id:ChIJNS1r7s-EXjkRhpohTh_HZWE,part_103,2026-09-20 16:42:45
ORRA BEAUTY CARE,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 83479 64700,https://orrabeautycare.com/,4.7,,"904, Naranpura Gam, Sundar Nagar, Naranpura, Ahmedabad, Gujarat 380013","Naranpura Gam, Sundar Nagar, Naranpura",23.053481899999998,72.5527724,ChIJD_LR4HSFXjkRKxrtqwZ8AxU,https://www.google.com/maps/place/?q=place_id:ChIJD_LR4HSFXjkRKxrtqwZ8AxU,part_103,2026-09-20 16:42:45
Nayna Boricha Makeup Artist,Bridal Makeup Artist,Beauty Parlour,Beauty Parlour,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 63526 78730,N/A,4.6,,"1st Floor office no 23, Bapa Sitaram Heights, near Shakti maata temple, Kaliyabid, Bhavnagar, Gujarat 364002",Kaliyabid,21.739468799999997,72.143597,ChIJU11lrUhbXzkRWB4T5GItq1E,https://www.google.com/maps/place/?q=place_id:ChIJU11lrUhbXzkRWB4T5GItq1E,part_103,2026-09-20 16:42:45
Rashmi Beauty Care,Bridal Makeup Artist,Beauty Parlour,"Beauty Parlour, Beautician, Hairdresser",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 63539 83897,N/A,4.9,450.0,"Shop no.7, Shreedhar Auram, nr. SHIVALAY PARISAR, Kudasan, Gandhinagar, Gujarat 382419",Kudasan,23.1790615,72.631396,ChIJecC_LnMrXDkRXZwnaX5Ojg4,https://www.google.com/maps/place/?q=place_id:ChIJecC_LnMrXDkRXZwnaX5Ojg4,part_103,2026-09-20 16:42:45
A.K TAILORING CLASSES & BEAUTY PARLOR,Bridal Makeup Artist,Beauty Parlour,"Beauty Parlour, Fashion design school, Beauty school",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 94261 45947,N/A,4.9,96.0,"plot no:- a-4473 , nilmaninagar, near sardar patel school, Kaliyabid, Bhavnagar, Gujarat 364002",Kaliyabid,21.7329872,72.128641,ChIJm6eLr3BRXzkRXYY5mOairjQ,https://www.google.com/maps/place/?q=place_id:ChIJm6eLr3BRXzkRXYY5mOairjQ,part_103,2026-09-20 16:42:46
