business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Mahakali Jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Goldsmith, Jeweler, Jewelry appraiser, Jewelry designer, Jewelry manufacturer",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 99798 55862,http://www.mahakalijewellers.com/,4.9,18764.0,"Trogon 2, near Panchot Circle, Radhanpur Road, Mehsana, Gujarat 384002",Radhanpur Road,23.618498199999998,72.34735599999999,ChIJ2RL3-dVDXDkRYpmgeoY7IJU,https://www.google.com/maps/place/?q=place_id:ChIJ2RL3-dVDXDkRYpmgeoY7IJU,part_103,2026-09-20 16:42:32
K K 1 GRAM JEWELLERS MEHSANA,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 81401 36434,https://www.instagram.com/kkjewellers_mehsana?igsh=MTlzdWhxa3oyZ3ZxZQ==,4.9,494.0,"St Workshop Rd, opp. SURYA COMPLEX, near BAHUCHARNAGAR SOCIETY, Shraddhadip Society, Mehsana, Gujarat 384002",Shraddhadip Society,23.5950527,72.3845226,ChIJUz3bb0VDXDkRRKZO4l8MXF4,https://www.google.com/maps/place/?q=place_id:ChIJUz3bb0VDXDkRRKZO4l8MXF4,part_103,2026-09-20 16:42:32
SHREE UMIYA JEWELS,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 93279 11721,N/A,5.0,15.0,"Madhav Comlex, Vadvada Mandir Road Par, Bhagyoday Hispital Road, Ma, Gujarat 384440","Ma, Bhaupura",23.295868199999997,72.3319238,ChIJg--cuzsjXDkROfYNqd_CyKc,https://www.google.com/maps/place/?q=place_id:ChIJg--cuzsjXDkROfYNqd_CyKc,part_103,2026-09-20 16:42:32
"BlueStone Jewellery Radhanpur Road, Mehsana",Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Diamond Merchant, Gold dealer, Goldsmith, Jeweler, Silversmith",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 86556 88622,https://www.bluestone.com/,5.0,114.0,"Unit 47-147, Silicon Sponta, Radhanpur Rd, opp. Shubh Residency, Bansari Twp, Mehsana, Gujarat 384005",Bansari Township,23.617997199999998,72.3500676,ChIJq3sEhY5DXDkRc1tz8GyCepw,https://www.google.com/maps/place/?q=place_id:ChIJq3sEhY5DXDkRc1tz8GyCepw,part_103,2026-09-20 16:42:32
Tanishq Jewellery - Mehsana - Radhanpur Road,Gold and Diamond Jewellery Showroom,Jewelry store,"Jewelry store, Jeweler, Jewelry designer, Jewelry manufacturer, Jewelry repair service",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 85118 50655,https://stores.tanishq.co.in/store-locator/jewellery-stores/gujarat/mehsana-radhanpurroad/MHS,4.8,1767.0,"Ground floor, Silicon Sponta, 01-02, Radhanpur Rd, next to Goodluck Party Plot, Bansari Twp, Mehsana, Gujarat 384005",Bansari Township,23.618109,72.3498996,ChIJU4kPI81DXDkRSK3jiJHStpQ,https://www.google.com/maps/place/?q=place_id:ChIJU4kPI81DXDkRSK3jiJHStpQ,part_103,2026-09-20 16:42:32
Padmavati Gold Palace,Gold and Diamond Jewellery Showroom,Jeweler,Jeweler,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98793 06619,N/A,5.0,56.0,"18, Crystal City Mall, opp. Nagar Palika, Pilaji Ganj, Mehsana, Gujarat 384001",Pilaji Ganj,23.6024268,72.39283069999999,ChIJYwzRbj9DXDkRhW6L0EZmrvA,https://www.google.com/maps/place/?q=place_id:ChIJYwzRbj9DXDkRhW6L0EZmrvA,part_103,2026-09-20 16:42:32
Patel Jewellers Mehsanawala,Gold and Diamond Jewellery Showroom,Jeweler,"Jeweler, Jewelry store",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98245 30822,http://www.pateljewellers.in/,4.9,23144.0,"Radhanpur Cir, beside Dr t. I. Patel hospital, Radhanpur Road, Mehsana, Gujarat 384002",Radhanpur Road,23.6061937,72.3797345,ChIJrb_yqP9DXDkRV0WlD9Pypq8,https://www.google.com/maps/place/?q=place_id:ChIJrb_yqP9DXDkRV0WlD9Pypq8,part_103,2026-09-20 16:42:32
Arvindbhai Ambalal Choksi,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 94267 22044,N/A,4.8,57.0,"G-14, silicon skyland, Radhanpur Rd, opp. Kashi Vishwanath Mahadev Temple, Kunal, Mehsana, Gujarat 384002",Kunal,23.612737799999998,72.3572001,ChIJVVhWuTFDXDkR4BwhDABnEyw,https://www.google.com/maps/place/?q=place_id:ChIJVVhWuTFDXDkR4BwhDABnEyw,part_103,2026-09-20 16:42:32
Jewellers Hasuram,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98255 46301,http://www.jewellershasuram.com/,4.9,274.0,"Dayanand Complex, 49, SHIVAM GATE, N/R POST OFFICE, Mansarovar, Becharaji, Gujarat 384415","N/R POST OFFICE, Mansarovar",23.502292999999998,72.043503,ChIJ5xqBeYF0XDkRlMbVXG7nW_4,https://www.google.com/maps/place/?q=place_id:ChIJ5xqBeYF0XDkRlMbVXG7nW_4,part_103,2026-09-20 16:42:32
Anjali jewellers,Gold and Diamond Jewellery Showroom,Jewelry store,Jewelry store,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 94090 63021,https://www.anjalijewellers.in/,4.8,96.0,"C-BLOCK, Joyos Hubtown, St Workshop Rd, Sukheshwar Society, Mehsana, Gujarat 384002",Sukheshwar Society,23.5941832,72.3820391,ChIJ8UAgBOVDXDkRDCuMdbeAMdI,https://www.google.com/maps/place/?q=place_id:ChIJ8UAgBOVDXDkRDCuMdbeAMdI,part_103,2026-09-20 16:42:32
