business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
WELTECH ACADEMIC INSTITUTE OF ENGLISH,Spoken English Institute,English language school,English language school,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",N/A,N/A,5.0,154.0,"Opp:, BSNL Sanchar Bhavan, 3rd, Floor, C-Arcade, Near Jocky Show-Room, Pilaji Ganj, Mehsana, Gujarat 384001",Pilaji Ganj,23.6008911,72.3914157,ChIJLR6IGdpDXDkRuBnCWbHrxSg,https://www.google.com/maps/place/?q=place_id:ChIJLR6IGdpDXDkRuBnCWbHrxSg,part_103,2026-09-20 16:42:50
EEC Mehsana IELTS PTE Spoken English GRE TOEFL SAT Coaching & Student Visa Consultant for Canada USA Australia UK,Spoken English Institute,Educational institution,"Educational institution, Coaching Center",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 87588 80886,https://www.eecglobal.com/,4.5,217.0,"2nd Floor, Perfect Plaza, near Sai Krishna Hospital, Radhanpur Road, Mehsana, Gujarat 384002",Radhanpur Road,23.608513499999997,72.37350119999999,ChIJIWYV7lpDXDkR4AV_B7_S2vQ,https://www.google.com/maps/place/?q=place_id:ChIJIWYV7lpDXDkR4AV_B7_S2vQ,part_103,2026-09-20 16:42:50
Sun International Spoken English,Spoken English Institute,English language school,English language school,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 90164 72288,http://sunspokenenglish.com/,5.0,306.0,"S-98, Tirupati Bazaar Rd, Siddhpur Char Rasta, VTC Patan, Patan, Gujarat 384265","Siddhpur Char Rasta, VTC Patan",23.8521401,72.1373741,ChIJT3EIy_GHXDkRxQY_yxov2IE,https://www.google.com/maps/place/?q=place_id:ChIJT3EIy_GHXDkRxQY_yxov2IE,part_103,2026-09-20 16:42:50
EEC,Spoken English Institute,Educational institution,Educational institution,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 87587 50086,https://www.eecglobal.com/,4.7,150.0,"26, Sankalp Shopping Centre, Visnagar - Kheralu Rd, Anand Nagar, Visnagar, Gujarat 384315",Anand Nagar,23.7068647,72.5391915,ChIJweIYeOBRXDkRf39Do-Bz-cc,https://www.google.com/maps/place/?q=place_id:ChIJweIYeOBRXDkRf39Do-Bz-cc,part_103,2026-09-20 16:42:50
Foram's phonics,Spoken English Institute,Educational institution,Educational institution,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 99251 92191,N/A,5.0,96.0,"13, Darshan society, Mahavirnagar, Himatnagar, Gujarat 383001","Mangalam Park Society, Mahavirnagar",23.5943185,72.9710104,ChIJ_aqpoam5XTkRlbkO5-Xtu70,https://www.google.com/maps/place/?q=place_id:ChIJ_aqpoam5XTkRlbkO5-Xtu70,part_103,2026-09-20 16:42:50
Preeti's Institute,Spoken English Institute,English language school,English language school,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98258 41867,N/A,4.6,74.0,"58, Green, Ravi Park Society Rd, Mahavirnagar, Gujarat 383001",Mahavirnagar,23.591144099999998,72.97454689999999,ChIJXyiRZ7-4XTkROF-cIUh0kPM,https://www.google.com/maps/place/?q=place_id:ChIJXyiRZ7-4XTkROF-cIUh0kPM,part_103,2026-09-20 16:42:50
YOU Can Change Institute,Spoken English Institute,English language school,"English language school, Coaching Center, English language camp, Training center",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 99740 00888,https://www.yccinst.com/english-speaking-classes/?utm_source=GMB+organic&utm_medium=GMB,4.7,219.0,"601, ICONIC, Shyamal Commercial Building, Shyamal Cross Rd, Swinagar Society, Satellite, Nehru Nagar, Shyamal, Ahmedabad, Gujarat 380015","Swinagar Society, Satellite, Nehru Nagar, Shyamal",23.0152774,72.53132579999999,ChIJ9bJP_jabXjkRHFAVqNHYpnQ,https://www.google.com/maps/place/?q=place_id:ChIJ9bJP_jabXjkRHFAVqNHYpnQ,part_103,2026-09-20 16:42:50
Enjoy Spoken English,Spoken English Institute,English language school,"English language school, Educational institution",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98247 51113,https://youtube.com/@enjoywithenglish2847,5.0,18.0,"2nd Floor, Bhakti Park Shopping Near Mahadev Temple Pasodara, gam, Kamrej, Gujarat 395013",gam,21.236494999999998,72.9412315,ChIJJQ5-gRZF4DsR1cedKZJuvdU,https://www.google.com/maps/place/?q=place_id:ChIJJQ5-gRZF4DsR1cedKZJuvdU,part_103,2026-09-20 16:42:50
Enjoy Spoken English,Spoken English Institute,English language school,"English language school, Education center, English language camp, Educational institution, Language school, Training center",382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98247 14613,N/A,4.9,134.0,"Shop No.218, Opp. Dreamland Surat, Sarthana Jakat Naka, Nana Varachha, Surat, Gujarat 395013","Opp. Dreamland Surat, Sarthana Jakat Naka, Nana Varachha",21.230157,72.901917,ChIJMXSXK_VF4DsRj8Oc-u_MY3U,https://www.google.com/maps/place/?q=place_id:ChIJMXSXK_VF4DsRj8Oc-u_MY3U,part_103,2026-09-20 16:42:50
Rebirth Education,Spoken English Institute,College,College,382728,Gujarat circle,Ahmedabad HQ Region,Mahesana Division,"Adrajmerdabo BO, Borisana Kadi BO, Fuletra BO",+91 98250 66009,http://skills.rerfindia.org/,4.7,281.0,"3rd floor, Maruti Nandan Complex, Station Rd, opp. G.D.High School, Vijay Para, Visnagar, Gujarat 384315",Vijay Para,23.7030285,72.5431952,ChIJj4kyEeBPXDkR4vjWWRzgrUE,https://www.google.com/maps/place/?q=place_id:ChIJj4kyEeBPXDkR4vjWWRzgrUE,part_103,2026-09-20 16:42:50
